Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,3.81,4.0,3.79,3.93,3.01,37080
2002-07-02,4.0,4.38,3.91,4.15,3.18,350980
2002-07-03,3.75,4.6,3.75,4.47,3.42,865140
2002-07-04,4.5,4.7,4.41,4.51,3.45,1013200
2002-07-05,4.6,4.95,4.25,4.66,3.57,993120
2002-07-08,4.95,5.24,4.95,5.0,3.83,1224740
2002-07-09,5.15,5.15,4.75,4.8,3.67,712980
2002-07-10,4.95,4.95,4.7,4.79,3.67,320760
2002-07-11,4.7,4.75,4.61,4.63,3.54,144600
2002-07-12,4.69,4.83,4.64,4.75,3.64,175280
2002-07-15,4.75,4.75,4.5,4.52,3.46,121560
2002-07-16,4.6,4.65,4.35,4.4,3.37,121840
2002-07-17,5.27,5.27,4.25,4.39,3.36,225160
2002-07-18,4.3,4.55,4.26,4.4,3.37,153660
2002-07-19,4.4,4.46,4.29,4.31,3.3,190220
2002-07-22,4.9,4.9,4.01,4.1,3.14,120760
2002-07-23,4.3,4.3,4.06,4.19,3.21,104480
2002-07-24,4.2,4.25,4.09,4.1,3.14,39440
2002-07-25,4.15,4.18,4.05,4.08,3.12,108840
2002-07-26,4.1,4.1,3.75,3.9,2.99,123240
2002-07-29,4.4,4.4,3.61,3.67,2.81,317780
2002-07-30,3.99,4.0,3.65,3.69,2.82,169420
2002-07-31,3.84,3.84,3.4,3.65,2.79,113100
2002-08-01,4.25,4.25,3.5,3.53,2.7,166420
2002-08-02,3.99,3.99,3.42,3.48,2.66,157580
2002-08-05,4.1,4.1,3.52,3.59,2.75,108340
2002-08-06,3.65,3.95,3.53,3.78,2.89,139880
2002-08-07,3.85,3.9,3.7,3.76,2.88,258980
2002-08-08,3.95,3.95,3.61,3.63,2.78,40760
2002-08-09,3.7,3.77,3.61,3.7,2.83,80260
2002-08-12,3.75,3.75,3.66,3.69,2.82,19760
2002-08-13,3.68,3.79,3.68,3.76,2.88,41800
