Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,17.18,17.5,16.53,17.25,12.14,34848
2002-07-02,19.38,19.38,18.28,18.65,13.13,320102
2002-07-03,18.95,19.75,18.7,19.1,13.44,167888
2002-07-04,19.5,19.63,18.58,18.75,13.2,94564
2002-07-05,19.38,19.48,18.0,18.1,12.74,65442
2002-07-08,18.75,18.98,18.0,18.18,12.8,60574
2002-07-09,18.45,18.45,17.28,17.4,12.25,53902
2002-07-10,17.4,17.78,17.0,17.5,12.32,135996
2002-07-11,17.35,17.5,17.05,17.1,12.04,48398
2002-07-12,17.5,17.5,16.63,16.98,11.95,48870
2002-07-15,16.73,16.85,16.25,16.45,11.58,29148
2002-07-16,16.25,16.5,16.03,16.15,11.37,36218
2002-07-17,15.63,16.28,15.63,16.0,11.26,24404
2002-07-18,16.25,16.5,15.88,16.13,11.35,12660
2002-07-19,15.68,16.38,15.68,15.9,11.19,21222
2002-07-22,15.0,16.13,15.0,15.98,11.25,17790
2002-07-23,15.95,16.1,15.75,15.95,11.23,11842
2002-07-24,15.55,16.0,15.55,15.83,11.14,11180
2002-07-25,16.13,16.13,15.5,15.8,11.12,10200
2002-07-26,15.05,15.93,15.05,15.58,10.97,10090
2002-07-29,15.08,15.9,15.08,15.33,10.79,22808
2002-07-30,15.5,15.95,15.2,15.28,10.76,25424
2002-07-31,14.6,15.38,14.55,15.25,10.73,13730
2002-08-01,16.0,16.0,15.13,15.2,10.7,9714
2002-08-02,15.3,15.5,15.0,15.28,10.76,21268
2002-08-05,15.5,15.63,15.18,15.2,10.7,9020
2002-08-06,15.6,15.6,15.05,15.23,10.72,8580
2002-08-07,15.25,15.68,15.25,15.38,10.83,13800
2002-08-08,15.55,15.75,15.38,15.5,10.91,18146
2002-08-09,15.43,15.75,15.3,15.63,11.0,7200
2002-08-12,15.5,15.95,15.5,15.85,11.16,9538
2002-08-13,15.95,15.95,15.7,15.9,11.19,7796
2002-08-14,15.75,15.85,15.63,15.75,11.09,5750
