Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,31.98,31.98,31.1,31.28,22.09,112855
2002-07-02,31.6,31.6,31.24,31.44,22.2,151425
2002-07-03,31.4,32.16,31.4,31.83,22.48,161135
2002-07-04,32.0,32.15,31.75,32.09,22.66,125250
2002-07-05,32.1,32.65,31.6,32.47,22.93,245415
2002-07-08,32.8,32.96,32.0,32.45,22.92,135815
2002-07-09,32.6,32.75,32.45,32.67,23.07,36755
2002-07-10,31.02,32.5,31.02,32.31,22.82,32990
2002-07-11,32.27,32.27,32.0,32.04,22.63,21575
2002-07-12,31.0,32.58,31.0,32.3,22.81,19520
2002-07-15,32.67,32.8,32.13,32.37,22.86,14855
2002-07-16,32.75,32.75,32.21,32.59,23.02,24380
2002-07-17,32.0,32.6,32.0,32.55,22.99,10275
2002-07-18,31.8,31.8,30.2,30.45,22.54,37435
2002-07-19,30.83,30.88,28.8,29.19,21.61,58715
2002-07-22,28.0,28.8,26.72,27.03,20.01,206435
2002-07-23,26.58,26.58,24.8,25.12,18.6,323080
2002-07-24,25.22,25.8,25.05,25.53,18.9,144915
2002-07-25,27.4,27.4,25.19,25.3,18.73,113515
2002-07-26,25.1,25.5,25.0,25.17,18.63,106795
2002-07-29,25.59,26.36,25.0,25.94,19.2,105250
2002-07-30,26.09,26.59,26.0,26.03,19.27,93360
2002-07-31,26.29,26.29,25.74,25.82,19.12,41370
2002-08-01,25.81,25.99,25.7,25.91,19.18,20870
2002-08-02,25.6,25.8,25.4,25.48,18.86,21180
2002-08-05,25.8,25.8,24.8,24.9,18.43,64640
2002-08-06,24.8,25.1,24.8,24.99,18.5,66420
2002-08-07,25.75,25.75,24.84,24.98,18.49,40275
2002-08-08,25.09,25.09,24.5,24.61,18.22,26620
2002-08-09,24.22,24.78,24.0,24.56,18.18,22490
2002-08-12,24.24,24.6,24.24,24.38,18.05,13340
2002-08-13,24.43,24.64,24.4,24.5,18.14,10100
2002-08-14,24.8,24.98,24.2,24.59,18.21,16375
2002-08-15,24.59,24.59,24.59,24.59,18.21,0
2002-08-16,24.78,25.0,24.55,24.92,18.45,5960
2002-08-19,25.0,25.0,24.5,24.58,18.2,12630
2002-08-20,24.6,24.6,24.0,24.09,17.84,39425
2002-08-21,24.68,24.68,24.3,24.33,18.01,12230
2002-08-22,24.7,24.7,24.45,24.5,18.14,8345
2002-08-23,24.6,24.8,24.6,24.7,18.29,11125
2002-08-26,24.98,25.0,24.45,24.67,18.26,22250
2002-08-27,24.96,24.96,24.36,24.52,18.15,12050
2002-08-28,24.8,24.8,24.36,24.48,18.12,15390
2002-08-29,24.21,24.6,24.21,24.37,18.04,12355
2002-08-30,24.2,24.6,24.2,24.26,17.96,16400
2002-09-02,24.75,24.76,24.34,24.59,18.21,3520
2002-09-03,24.59,24.59,24.2,24.22,17.93,18285
2002-09-04,24.01,24.4,24.01,24.3,17.99,6980
2002-09-05,24.0,24.2,23.93,23.99,17.76,64800
2002-09-06,24.0,24.0,23.68,23.81,17.63,21175
2002-09-09,23.7,23.7,23.24,23.37,17.3,12500
2002-09-10,23.37,23.37,23.37,23.37,17.3,0
2002-09-11,23.6,23.6,23.12,23.41,17.33,11450
2002-09-12,23.29,23.5,23.04,23.27,17.23,22515
2002-09-13,23.4,23.4,22.87,22.97,17.01,99660
2002-09-16,22.8,22.89,22.25,22.27,16.49,117150
2002-09-17,22.2,22.76,22.2,22.3,16.51,30405
2002-09-18,22.22,22.4,22.0,22.09,16.35,40725
2002-09-19,21.63,22.1,21.0,21.06,15.59,56480
2002-09-20,21.0,21.8,21.0,21.7,16.07,18480
2002-09-23,22.0,22.0,21.7,21.8,16.14,18285
2002-09-24,21.92,21.92,20.81,20.94,15.5,31855
2002-09-25,20.8,21.78,20.8,21.72,16.08,12965
2002-09-26,22.17,22.2,21.6,21.73,16.09,24560
2002-09-27,22.19,22.2,21.79,22.15,16.4,19360
2002-09-30,22.0,22.0,21.4,21.59,15.98,32955
2002-10-01,21.8,21.8,20.8,21.35,15.81,10690
2002-10-02,21.35,21.35,21.35,21.35,15.81,0
2002-10-03,21.2,21.85,21.2,21.57,15.97,9660
2002-10-04,21.75,21.75,21.45,21.57,15.97,5030
2002-10-07,21.6,21.93,21.51,21.83,16.16,4955
2002-10-08,21.96,22.02,21.4,21.46,15.89,18135
2002-10-09,21.89,21.89,21.22,21.37,15.82,8170
2002-10-10,21.34,21.6,21.23,21.33,15.79,7315
2002-10-11,21.5,21.74,21.4,21.65,16.03,1800
2002-10-14,21.9,21.9,21.6,21.68,16.05,10500
2002-10-15,21.68,21.68,21.68,21.68,16.05,0
2002-10-16,21.7,21.8,21.03,21.21,15.7,9955
2002-10-17,21.4,21.75,21.16,21.55,15.95,15910
2002-10-18,21.3,21.4,21.1,21.16,15.67,14600
2002-10-21,21.24,21.67,21.21,21.6,15.99,20515
2002-10-22,21.3,21.4,21.0,21.05,15.58,9830
2002-10-23,21.05,21.4,21.05,21.33,15.79,4265
2002-10-24,21.78,21.8,20.9,21.16,15.67,9120
2002-10-25,21.0,21.27,20.9,20.96,15.52,8370
2002-10-28,20.8,21.18,20.56,20.61,15.26,46260
2002-10-29,20.98,21.19,20.4,20.45,15.14,38740
2002-10-30,20.62,20.62,20.3,20.36,15.07,18245
2002-10-31,20.41,20.41,20.14,20.19,14.95,35025
2002-11-01,20.2,20.2,19.82,20.18,14.94,36135
2002-11-04,20.81,20.81,20.0,20.18,14.94,30300
2002-11-05,20.03,20.4,20.03,20.23,14.98,4855
2002-11-06,20.23,20.23,20.23,20.23,14.98,0
2002-11-07,20.4,20.6,20.25,20.4,15.1,12320
2002-11-08,20.02,20.29,20.01,20.15,14.92,9925
2002-11-11,20.2,20.32,20.0,20.05,14.84,12315
2002-11-12,20.2,20.2,19.9,19.96,14.78,12715
2002-11-13,20.4,20.4,19.9,20.2,14.96,7115
2002-11-14,20.4,20.4,20.0,20.08,14.87,10600
2002-11-15,20.6,20.6,20.0,20.1,14.88,15545
2002-11-18,20.23,20.4,20.01,20.24,14.98,9835
2002-11-19,20.24,20.24,20.24,20.24,14.98,0
2002-11-20,20.84,20.84,20.1,20.25,14.99,11000
2002-11-21,20.47,20.48,20.2,20.25,14.99,28460
2002-11-22,20.22,20.26,20.0,20.04,14.84,33675
2002-11-25,20.12,20.24,19.9,20.18,14.94,23425
2002-11-26,20.12,20.15,19.93,19.96,14.78,53220
2002-11-27,20.01,20.14,19.91,19.99,14.8,29785
2002-11-28,20.01,20.1,19.5,19.7,14.59,67485
2002-11-29,20.19,20.24,19.87,20.02,14.82,28080
2002-12-02,20.2,20.5,20.1,20.35,15.07,76970
2002-12-03,20.4,20.5,20.0,20.08,14.87,33995
2002-12-04,20.16,20.2,20.07,20.18,14.94,54430
2002-12-05,20.25,20.4,20.07,20.25,14.99,74905
2002-12-06,20.42,20.42,20.06,20.12,14.9,29305
2002-12-09,20.25,20.25,20.05,20.14,14.91,27475
2002-12-10,20.0,20.2,20.0,20.16,14.93,12580
2002-12-11,20.2,20.25,20.04,20.13,14.9,26815
2002-12-12,20.05,20.19,20.05,20.09,14.87,15005
2002-12-13,20.08,20.17,19.92,20.07,14.86,25290
2002-12-16,19.92,20.2,19.5,19.55,14.47,46500
2002-12-17,19.9,19.9,19.24,19.39,14.36,87980
2002-12-18,19.54,19.54,19.25,19.34,14.32,65700
2002-12-19,19.44,19.44,19.22,19.3,14.29,23365
2002-12-20,19.0,19.4,18.38,19.37,14.34,50745
2002-12-23,19.2,19.4,19.2,19.36,14.33,18875
2002-12-24,19.3,19.38,19.28,19.37,14.34,23870
2002-12-25,19.37,19.37,19.37,19.37,14.34,0
2002-12-26,19.3,19.4,19.2,19.34,14.32,32350
2002-12-27,19.4,19.4,19.25,19.3,14.29,19620
2002-12-30,19.4,19.4,19.1,19.16,14.19,30965
2002-12-31,19.01,19.4,18.6,19.22,14.23,50180
2003-01-01,19.3,19.38,19.11,19.31,14.3,26600
2003-01-02,19.2,19.39,19.04,19.1,14.14,57735
2003-01-03,19.37,19.37,18.93,19.02,14.08,71405
2003-01-06,19.1,19.19,18.8,18.87,13.97,56945
2003-01-07,18.87,19.07,18.81,18.94,14.02,21240
2003-01-08,18.95,19.25,18.94,19.14,14.17,15410
2003-01-09,19.4,19.53,19.2,19.4,14.36,36175
2003-01-10,19.5,19.94,19.4,19.52,14.45,54720
2003-01-13,19.6,19.85,19.3,19.41,14.37,48315
