Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,6.0,6.44,6.0,6.36,3.42,379205
2002-07-02,6.38,6.52,6.31,6.33,3.4,335390
2002-07-03,6.39,6.4,6.27,6.35,3.41,222225
2002-07-04,6.22,6.75,6.22,6.51,3.5,549690
2002-07-05,6.78,7.55,6.7,6.89,3.7,1128435
2002-07-08,7.14,7.14,6.9,7.03,3.78,786105
2002-07-09,6.8,6.9,6.55,6.62,3.77,434660
2002-07-10,6.51,6.7,6.4,6.51,3.71,199800
2002-07-11,6.5,6.5,6.2,6.22,3.54,171365
2002-07-12,6.15,6.38,6.15,6.2,3.53,90610
2002-07-15,6.2,6.2,6.01,6.1,3.48,109840
2002-07-16,6.01,6.17,6.0,6.11,3.48,96400
2002-07-17,6.12,6.15,5.9,5.94,3.38,118400
2002-07-18,5.8,6.04,5.7,5.96,3.4,82365
2002-07-19,5.8,6.05,5.8,6.0,3.42,56120
2002-07-22,6.01,6.38,5.87,6.11,3.48,189285
2002-07-23,6.03,6.2,6.03,6.07,3.46,96345
2002-07-24,5.98,6.05,5.9,5.94,3.38,89435
2002-07-25,6.05,6.36,5.85,6.21,3.54,220595
2002-07-26,6.0,6.18,5.86,5.89,3.36,214105
2002-07-29,6.38,6.4,6.06,6.26,3.57,504545
2002-07-30,6.3,6.56,6.09,6.17,3.52,360690
2002-07-31,6.04,6.24,6.04,6.18,3.52,159085
2002-08-01,6.2,6.28,6.15,6.22,3.54,87155
2002-08-02,6.11,6.24,6.11,6.2,3.53,134190
2002-08-05,6.12,6.4,6.12,6.35,3.62,162155
2002-08-06,6.29,6.4,6.22,6.37,3.63,97970
2002-08-07,6.4,6.4,6.27,6.31,3.6,63290
2002-08-08,6.24,6.35,6.16,6.23,3.55,101585
2002-08-09,6.23,6.3,6.2,6.27,3.57,92500
2002-08-12,6.8,6.8,6.23,6.3,3.59,82015
2002-08-13,6.3,6.34,6.29,6.33,3.61,53520
2002-08-14,6.29,6.43,6.27,6.39,3.64,127345
2002-08-15,6.39,6.39,6.39,6.39,3.64,0
2002-08-16,6.4,6.68,6.3,6.56,3.74,458780
2002-08-19,6.8,6.8,6.5,6.53,3.72,147510
2002-08-20,6.48,6.5,6.4,6.4,3.65,99475
2002-08-21,6.4,6.4,6.31,6.34,3.61,69060
2002-08-22,6.22,6.36,6.22,6.29,3.58,57810
2002-08-23,6.26,6.35,6.24,6.25,3.56,68135
2002-08-26,6.23,6.28,6.22,6.26,3.57,111880
2002-08-27,6.29,6.3,6.24,6.24,3.56,84110
2002-08-28,6.24,6.24,6.15,6.19,3.53,68065
2002-08-29,6.13,6.18,6.06,6.07,3.46,79570
2002-08-30,6.1,6.19,6.1,6.13,3.49,62575
2002-09-02,6.2,6.24,6.12,6.15,3.5,103200
2002-09-03,6.12,6.16,6.1,6.14,3.5,43255
2002-09-04,6.08,6.16,6.08,6.14,3.5,52450
2002-09-05,6.1,6.17,6.1,6.14,3.5,44400
2002-09-06,6.08,6.17,6.08,6.09,3.47,59365
2002-09-09,6.02,6.12,6.02,6.12,3.49,98195
2002-09-10,6.12,6.12,6.12,6.12,3.49,0
2002-09-11,6.01,6.15,6.01,6.1,3.48,41210
