Date,Open,High,Low,Close,Adj Close,Volume
2006-04-04,12.0,14.75,10.0,14.35,14.17,41758918
2006-04-05,14.5,17.25,14.05,17.25,17.04,5791771
2006-04-07,19.5,20.7,17.5,18.8,18.57,9405656
2006-04-10,20.35,21.35,18.7,19.8,19.56,7487580
2006-04-12,20.0,20.25,17.6,18.1,17.88,4111461
2006-04-13,18.15,18.6,16.1,17.15,16.94,2353144
2006-04-17,17.0,18.45,16.8,16.95,16.74,1131568
2006-04-18,17.8,17.8,16.0,16.1,15.9,1350963
2006-04-19,16.15,17.75,15.05,16.55,16.35,3451635
2006-04-20,16.65,17.0,15.7,15.8,15.61,825619
2006-04-21,16.0,16.0,15.2,15.45,15.26,598944
2006-04-24,15.5,18.55,15.0,18.55,18.32,2393946
2006-04-25,20.0,20.0,17.0,17.3,17.09,2744021
2006-04-26,17.5,18.5,17.5,17.8,17.58,1048249
2006-04-27,17.9,18.2,17.25,17.5,17.28,644968
2006-04-28,16.95,17.5,14.0,17.2,16.99,762168
2006-05-02,17.9,18.45,17.55,17.75,17.53,394046
2006-05-03,17.9,19.3,16.9,18.0,17.78,2118328
2006-05-04,17.9,18.45,17.5,17.7,17.48,671049
2006-05-05,17.95,18.35,17.5,17.55,17.33,510263
2006-05-08,18.3,18.3,17.2,17.4,17.19,356175
2006-05-09,16.8,17.5,16.6,17.15,16.94,420962
2006-05-10,17.4,17.75,17.15,17.25,17.04,528579
2006-05-11,17.75,17.75,16.55,16.7,16.49,313614
2006-05-12,16.0,17.6,15.5,16.65,16.45,550606
2006-05-15,16.9,17.0,15.7,16.05,15.85,595786
2006-05-16,16.05,16.25,15.0,15.55,15.36,432699
2006-05-17,16.0,16.85,15.85,16.15,15.95,350327
2006-05-18,16.05,16.05,14.5,14.9,14.72,317433
2006-05-19,15.5,15.85,13.4,13.75,13.58,400213
2006-05-22,13.75,16.4,11.0,12.15,12.0,478956
2006-05-23,12.0,13.7,11.5,13.4,13.24,879432
2006-05-24,13.7,14.45,13.4,13.7,13.53,456473
2006-05-25,13.5,13.85,13.3,13.7,13.53,254095
2006-05-26,13.95,14.45,13.65,13.75,13.58,409167
2006-05-29,14.25,14.25,13.8,13.85,13.68,118489
2006-05-30,13.6,14.15,13.6,13.85,13.68,174591
2006-05-31,12.8,13.5,12.4,12.9,12.74,493287
2006-06-01,13.25,13.45,12.55,12.55,12.4,154517
2006-06-02,10.05,13.0,10.05,12.15,12.0,312975
2006-06-05,12.55,12.55,12.1,12.2,12.05,75433
2006-06-06,11.7,12.1,11.1,11.55,11.41,268828
2006-06-07,11.55,11.85,10.0,10.3,10.17,248181
2006-06-08,10.45,10.45,8.25,9.35,9.23,573865
2006-06-09,9.35,10.3,9.05,10.2,10.07,251636
2006-06-12,10.6,10.6,9.6,9.95,9.83,301503
2006-06-13,9.5,9.95,8.95,9.2,9.09,264716
2006-06-14,9.6,10.0,9.0,9.15,9.04,132599
2006-06-15,9.65,9.7,9.05,9.6,9.48,115454
2006-06-16,9.75,10.6,9.75,10.2,10.07,254658
2006-06-19,10.2,10.5,9.85,10.3,10.17,103734
2006-06-20,10.15,10.5,10.1,10.15,10.03,87521
2006-06-21,10.45,10.9,10.05,10.75,10.62,302063
2006-06-22,11.0,11.55,10.4,11.35,11.21,296232
2006-06-23,11.1,11.5,10.75,11.3,11.16,222482
2006-06-26,13.0,13.55,11.6,11.85,11.7,519807
2006-06-27,12.9,12.9,10.8,11.75,11.61,295365
2006-06-28,11.25,11.5,11.05,11.2,11.06,156320
2006-06-29,11.4,11.9,11.2,11.3,11.16,267152
2006-06-30,11.5,11.85,11.5,11.65,11.51,259188
2006-07-03,12.2,12.2,11.15,11.2,11.06,332768
2006-07-04,11.25,11.25,11.0,11.05,10.91,79547
2006-07-05,10.9,11.25,10.85,11.0,10.86,133401
2006-07-06,10.95,11.0,10.7,10.85,10.72,218270
2006-07-07,10.45,11.25,10.45,10.7,10.57,282879
2006-07-10,10.9,10.9,10.1,10.3,10.17,90747
2006-07-11,10.6,10.6,10.0,10.3,10.17,39714
2006-07-12,9.7,10.4,9.7,10.2,10.07,59216
2006-07-13,10.0,10.7,10.0,10.35,10.22,25992
2006-07-14,9.6,10.35,9.5,10.2,10.07,51897
2006-07-17,10.5,10.5,9.5,9.8,9.68,101698
2006-07-18,9.15,10.5,9.15,9.75,9.63,53474
2006-07-19,10.4,10.4,9.5,9.6,9.48,62410
2006-07-20,9.6,9.95,9.45,9.5,9.38,76489
2006-07-21,9.45,9.6,9.3,9.4,9.28,75558
2006-07-24,9.8,9.8,8.9,9.5,9.38,71048
2006-07-25,9.5,9.9,9.25,9.35,9.23,44088
2006-07-26,10.1,10.1,9.05,9.25,9.14,68987
2006-07-27,9.4,9.6,9.15,9.35,9.23,39819
2006-07-28,9.55,9.7,9.15,9.2,9.09,58354
2006-07-31,9.55,9.9,9.3,9.45,9.33,67234
2006-08-01,9.5,9.6,9.15,9.25,9.14,57451
2006-08-02,9.35,9.4,9.15,9.3,9.19,32451
2006-08-03,9.15,9.45,9.1,9.25,9.14,45224
2006-08-04,9.3,9.35,9.05,9.1,8.99,66502
2006-08-07,9.2,9.25,9.05,9.1,8.99,16988
2006-08-08,9.35,9.35,9.05,9.15,9.04,37289
2006-08-09,9.0,9.2,9.0,9.1,8.99,50562
2006-08-10,9.3,9.35,9.0,9.15,9.04,39806
2006-08-11,9.25,10.1,9.1,10.1,9.98,133882
2006-08-14,10.4,10.55,9.95,10.05,9.93,153620
2006-08-16,10.25,10.35,10.0,10.1,9.98,141025
2006-08-17,10.0,10.15,9.7,9.75,9.63,58248
2006-08-18,9.65,9.9,9.6,9.6,9.48,24350
2006-08-21,9.6,9.85,9.5,9.65,9.53,44355
2006-08-22,9.4,9.8,9.4,9.55,9.43,62544
2006-08-23,9.4,9.6,9.1,9.3,9.19,45900
2006-08-24,8.95,9.75,8.95,9.35,9.23,49313
2006-08-25,9.75,9.75,9.25,9.25,9.14,83224
2006-08-28,9.5,9.8,9.2,9.65,9.53,105528
2006-08-29,9.75,9.85,9.45,9.55,9.43,106285
2006-08-30,9.7,9.7,9.35,9.5,9.38,59453
2006-08-31,9.65,9.65,9.35,9.45,9.33,60435
2006-09-01,9.8,9.8,9.4,9.45,9.33,59193
2006-09-04,9.5,9.6,9.45,9.55,9.43,48901
2006-09-05,9.7,9.8,9.35,9.65,9.53,59127
2006-09-06,9.65,9.8,9.55,9.7,9.58,90296
2006-09-07,9.3,9.85,9.3,9.75,9.63,112290
2006-09-08,9.9,10.7,9.8,10.5,10.37,257111
2006-09-11,10.45,10.5,9.8,9.8,9.68,107754
2006-09-12,10.0,10.0,9.5,9.75,9.63,73196
2006-09-13,9.8,10.1,9.75,9.8,9.68,57596
2006-09-14,9.8,9.9,9.4,9.5,9.38,114206
2006-09-15,9.1,9.5,9.0,9.35,9.23,73911
2006-09-18,9.6,9.6,9.25,9.35,9.23,64878
2006-09-19,9.35,9.5,9.2,9.25,9.14,59098
2006-09-20,9.45,9.45,9.1,9.2,9.09,93285
2006-09-21,9.5,9.55,9.15,9.35,9.23,84088
2006-09-22,9.15,9.5,9.15,9.35,9.23,57139
2006-09-25,9.15,9.5,9.15,9.3,9.19,40321
2006-09-26,9.45,11.2,9.25,10.25,10.12,786703
2006-09-27,10.6,10.6,9.75,9.85,9.73,195251
2006-09-28,9.85,10.35,9.5,10.1,9.98,96840
2006-09-29,10.3,10.75,10.05,10.3,10.17,409439
2006-10-03,10.3,10.75,10.2,10.45,10.32,159876
2006-10-04,10.4,10.7,10.0,10.15,10.03,121834
2006-10-05,10.3,10.9,9.9,9.95,9.83,214196
2006-10-06,10.2,10.25,9.9,9.95,9.83,162415
2006-10-09,9.75,10.25,9.75,9.95,9.83,130565
2006-10-10,10.05,10.15,9.85,9.95,9.83,103990
2006-10-11,9.7,10.05,9.6,9.65,9.53,72346
2006-10-12,9.8,9.9,9.7,9.8,9.68,25746
2006-10-13,9.95,10.2,9.75,9.85,9.73,74006
2006-10-16,9.8,9.95,9.75,9.75,9.63,43691
2006-10-17,9.65,9.75,9.55,9.6,9.48,55111
2006-10-18,9.7,9.7,9.3,9.45,9.33,119750
2006-10-19,9.3,9.7,9.3,9.5,9.38,46614
2006-10-20,9.35,9.95,9.35,9.6,9.48,59069
2006-10-23,10.0,10.0,9.45,9.45,9.33,73879
2006-10-26,9.5,9.7,9.4,9.45,9.33,192568
2006-10-27,9.7,9.7,9.4,9.45,9.33,80420
2006-10-30,9.45,10.0,9.45,9.8,9.68,181775
2006-10-31,9.5,9.85,9.5,9.6,9.48,73260
2006-11-01,9.85,10.0,9.6,9.75,9.63,118281
2006-11-02,9.7,9.85,9.55,9.7,9.58,45846
2006-11-03,9.6,9.75,9.4,9.5,9.38,83229
2006-11-06,9.5,9.8,9.5,9.65,9.53,64677
2006-11-07,9.9,9.9,9.5,9.5,9.38,100387
2006-11-08,9.45,9.6,9.3,9.35,9.23,83634
2006-11-09,9.45,9.7,9.35,9.45,9.33,54783
2006-11-10,9.65,9.65,9.25,9.3,9.19,71309
2006-11-13,9.25,10.0,9.25,9.75,9.63,103178
2006-11-14,10.25,10.25,9.45,9.55,9.43,128642
2006-11-15,9.75,9.75,9.4,9.4,9.28,67933
2006-11-16,9.4,9.9,9.4,9.75,9.63,142593
2006-11-17,9.6,9.75,9.3,9.4,9.28,53545
2006-11-20,9.3,9.45,9.15,9.2,9.09,83813
2006-11-21,9.25,9.9,9.25,9.55,9.43,134535
2006-11-22,9.7,9.7,9.35,9.4,9.28,36846
2006-11-23,9.45,9.55,9.35,9.4,9.28,37518
2006-11-24,9.5,9.75,9.3,9.7,9.58,87694
2006-11-27,9.75,10.0,9.4,9.55,9.43,272746
2006-11-28,9.6,9.6,9.3,9.45,9.33,96277
2006-11-29,9.8,9.8,9.3,9.3,9.19,54917
2006-11-30,9.35,9.5,9.25,9.3,9.19,50032
2006-12-01,9.3,9.45,9.25,9.25,9.14,44632
2006-12-04,9.2,9.5,9.1,9.25,9.14,53358
2006-12-05,9.5,9.6,9.2,9.35,9.23,81654
2006-12-06,9.25,9.5,9.05,9.15,9.04,56495
2006-12-07,9.4,9.4,9.15,9.25,9.14,44216
2006-12-08,9.2,9.25,9.05,9.1,8.99,68372
2006-12-11,9.1,9.25,9.0,9.0,8.89,55643
2006-12-12,9.0,9.3,8.6,8.75,8.64,107400
2006-12-13,8.5,9.0,8.45,8.8,8.69,93333
2006-12-14,8.8,9.1,8.75,9.0,8.89,47165
2006-12-15,9.0,10.4,9.0,10.0,9.88,325576
2006-12-18,10.2,10.3,9.85,10.1,9.98,259052
2006-12-19,9.55,10.05,9.55,9.9,9.78,296208
2006-12-20,10.05,10.05,9.8,9.95,9.83,154565
2006-12-21,9.9,10.0,9.75,9.85,9.73,110279
2006-12-22,9.85,9.9,9.65,9.7,9.58,57375
2006-12-26,9.7,9.85,9.5,9.55,9.43,46471
2006-12-27,9.85,9.85,9.35,9.45,9.33,81047
2006-12-28,9.85,10.85,9.45,10.55,10.42,470552
2006-12-29,11.0,11.0,10.25,10.4,10.27,229499
2007-01-02,10.2,11.45,10.2,10.8,10.67,325190
2007-01-03,11.0,11.55,10.8,11.4,11.26,291260
2007-01-04,11.8,12.75,11.35,12.3,12.15,554557
2007-01-05,12.45,13.2,12.25,12.9,12.74,413318
2007-01-08,13.0,13.4,12.6,12.75,12.59,255681
2007-01-09,13.2,13.2,11.8,11.95,11.8,222506
2007-01-10,12.0,12.4,11.55,11.8,11.65,100962
2007-01-11,12.0,12.2,11.35,11.5,11.36,127721
2007-01-12,11.75,11.95,11.5,11.7,11.56,185976
2007-01-15,12.0,12.5,11.25,11.8,11.65,739798
2007-01-16,12.25,12.3,11.4,11.45,11.31,304832
2007-01-17,11.7,12.0,11.35,11.45,11.31,244138
2007-01-18,11.7,11.85,11.4,11.45,11.31,157478
2007-01-19,11.6,11.8,11.1,11.25,11.11,129811
2007-01-22,11.25,11.6,10.7,10.85,10.72,139701
2007-01-23,11.1,11.15,10.4,10.8,10.67,85031
2007-01-24,10.85,11.2,10.6,11.0,10.86,99931
2007-01-25,11.15,11.6,11.15,11.3,11.16,167753
2007-01-29,11.4,11.65,11.05,11.4,11.26,83296
2007-01-31,11.5,11.6,11.0,11.05,10.91,97661
2007-02-01,11.2,11.45,11.0,11.1,10.96,113797
2007-02-02,11.2,11.4,11.1,11.15,11.01,91410
2007-02-05,11.35,11.5,11.15,11.35,11.21,105830
2007-02-06,11.5,11.55,10.9,11.0,10.86,295018
2007-02-07,10.75,11.4,10.75,11.0,10.86,102518
2007-02-08,11.15,11.35,10.9,10.9,10.77,76822
2007-02-09,11.25,11.25,10.75,10.8,10.67,84707
2007-02-12,10.5,11.0,10.5,10.65,10.52,105822
2007-02-13,10.4,10.85,10.1,10.3,10.17,87903
2007-02-14,10.0,10.4,9.9,10.15,10.03,78643
2007-02-15,11.05,11.05,10.25,10.45,10.32,77083
2007-02-19,10.7,10.75,10.4,10.65,10.52,74468
2007-02-20,10.85,10.85,10.35,10.45,10.32,59832
2007-02-21,10.4,10.5,10.1,10.3,10.17,28178
2007-02-22,10.3,10.4,10.1,10.1,9.98,52189
2007-02-23,10.3,10.75,10.0,10.05,9.93,104855
2007-02-26,10.35,10.4,10.05,10.1,9.98,45895
2007-02-27,10.15,10.3,9.75,10.1,9.98,33530
2007-02-28,10.15,10.2,9.6,9.9,9.78,50682
2007-03-01,9.8,10.3,9.8,9.85,9.73,60135
2007-03-02,9.8,10.3,9.8,9.9,9.78,61310
2007-03-05,9.8,9.9,9.3,9.4,9.28,67514
2007-03-06,9.55,9.6,9.05,9.3,9.19,60391
2007-03-07,9.25,9.5,9.0,9.05,8.94,93451
2007-03-08,9.45,9.45,9.0,9.15,9.04,33750
2007-03-09,9.1,9.5,8.8,9.4,9.28,48607
2007-03-12,9.65,9.7,9.25,9.65,9.53,26028
2007-03-13,9.55,9.75,9.45,9.5,9.38,36205
2007-03-14,9.15,9.4,8.9,9.25,9.14,45883
2007-03-15,9.3,11.1,9.3,10.15,10.03,288968
2007-03-16,10.0,10.25,9.7,9.85,9.73,64631
2007-03-19,9.8,10.05,9.6,9.85,9.73,17767
2007-03-20,10.25,10.25,9.6,9.65,9.53,30543
2007-03-21,9.9,9.9,9.45,9.45,9.33,37143
2007-03-22,9.8,9.8,9.45,9.5,9.38,67349
2007-03-23,9.15,9.6,9.15,9.5,9.38,28990
2007-03-26,9.45,9.7,9.3,9.3,9.19,79193
2007-03-28,9.25,9.45,9.1,9.15,9.04,64789
2007-03-29,9.4,9.75,9.4,9.6,9.48,48811
2007-03-30,9.85,9.85,9.4,9.6,9.48,51875
2007-04-02,9.5,9.8,9.35,9.5,9.38,39375
2007-04-03,9.2,9.6,9.2,9.4,9.28,22175
2007-04-04,9.45,9.7,9.3,9.4,9.28,36624
2007-04-05,9.3,9.75,9.3,9.6,9.48,47526
2007-04-09,9.85,10.7,9.7,10.3,10.17,117907
2007-04-10,10.0,10.35,9.7,10.15,10.03,43137
2007-04-11,10.1,10.35,10.1,10.15,10.03,22158
2007-04-12,9.85,10.25,9.8,10.15,10.03,30014
2007-04-13,10.3,10.5,10.15,10.25,10.12,61885
2007-04-16,10.25,10.5,10.2,10.45,10.32,53326
2007-04-17,10.55,10.55,10.1,10.2,10.07,59113
2007-04-18,10.25,10.35,10.1,10.1,9.98,24555
2007-04-19,10.1,10.4,10.05,10.15,10.03,41394
2007-04-20,10.1,12.2,10.1,12.2,12.05,766645
2007-04-23,13.0,13.35,12.05,12.55,12.4,1053093
2007-04-24,12.55,12.9,11.9,12.05,11.9,292213
2007-04-25,12.85,12.85,11.7,11.95,11.8,138000
2007-04-26,11.95,12.25,11.5,11.6,11.46,123900
2007-04-27,11.25,12.2,11.25,11.95,11.8,123536
2007-04-30,12.2,12.2,11.25,11.95,11.8,103832
2007-05-03,12.0,12.2,11.8,11.85,11.7,69083
2007-05-04,11.9,12.15,11.6,11.7,11.56,92226
2007-05-07,12.0,12.2,11.1,11.9,11.75,119365
2007-05-08,11.95,12.1,11.9,11.95,11.8,114906
2007-05-09,11.95,12.05,11.85,11.95,11.8,84049
2007-05-10,12.05,12.95,12.0,12.25,12.1,195756
2007-05-11,12.0,12.3,11.9,11.95,11.8,90988
2007-05-14,12.2,12.9,12.0,12.55,12.4,280080
2007-05-15,12.6,13.0,12.25,12.4,12.25,94553
2007-05-16,12.8,12.9,12.5,12.8,12.64,212074
2007-05-17,12.9,13.0,12.45,12.85,12.69,208527
2007-05-18,12.85,12.9,12.55,12.6,12.45,121125
2007-05-21,13.0,13.0,12.5,12.55,12.4,111223
2007-05-22,12.65,12.85,12.45,12.45,12.3,102003
2007-05-23,12.35,12.65,12.3,12.45,12.3,116048
2007-05-24,12.35,12.6,12.15,12.4,12.25,155167
2007-05-25,12.45,12.5,12.2,12.35,12.2,54431
2007-05-28,12.7,12.7,12.0,12.2,12.05,84199
2007-05-29,12.1,12.6,12.1,12.4,12.25,89972
2007-05-30,13.0,13.0,12.1,12.15,12.0,66438
2007-05-31,12.4,12.45,12.0,12.1,11.95,68248
2007-06-01,12.15,12.25,11.8,12.05,11.9,67430
2007-06-04,12.0,12.1,11.9,11.95,11.8,69094
2007-06-05,12.4,12.4,11.9,12.05,11.9,34447
2007-06-06,12.3,12.3,11.6,11.85,11.7,52331
2007-06-07,11.9,12.15,11.7,11.8,11.65,41953
2007-06-08,11.95,12.2,11.6,11.9,11.75,99694
2007-06-11,11.9,11.95,11.7,11.8,11.65,22821
2007-06-12,11.9,12.1,11.6,11.95,11.8,74003
2007-06-13,11.75,12.0,11.7,11.75,11.61,36381
2007-06-14,11.9,12.1,11.75,11.95,11.8,30493
2007-06-15,11.75,12.2,11.0,11.9,11.75,101212
2007-06-18,11.75,11.8,11.55,11.6,11.46,42575
2007-06-19,11.6,11.95,11.5,11.8,11.65,33150
2007-06-20,11.8,12.05,11.7,11.85,11.7,55008
2007-06-21,11.8,11.95,11.6,11.75,11.61,44771
2007-06-22,12.1,12.1,11.65,11.9,11.75,27294
2007-06-25,12.0,12.1,11.5,11.65,11.51,70856
2007-06-26,11.3,12.5,11.3,11.8,11.65,278823
2007-06-27,11.75,11.9,11.65,11.7,11.56,29584
2007-06-28,12.0,12.0,11.65,11.7,11.56,101131
2007-06-29,11.9,11.95,11.65,11.7,11.56,40422
2007-07-02,11.5,11.9,11.25,11.6,11.46,117379
2007-07-03,11.55,11.9,11.55,11.6,11.46,91639
2007-07-04,11.8,11.8,11.5,11.75,11.61,65022
2007-07-05,11.95,11.95,11.55,11.85,11.7,37821
2007-07-06,11.75,12.15,11.75,12.0,11.85,111491
2007-07-09,11.9,13.5,11.9,12.65,12.49,367431
2007-07-10,12.75,13.0,12.6,12.75,12.59,135700
2007-07-11,12.5,13.5,12.5,13.1,12.94,288358
2007-07-12,13.35,13.35,12.85,13.0,12.84,188897
2007-07-13,13.3,14.2,12.9,13.65,13.48,690543
2007-07-16,13.5,14.2,13.5,13.75,13.58,359189
2007-07-17,14.0,14.05,13.5,13.5,13.33,200573
2007-07-18,13.25,13.5,12.9,13.1,12.94,143923
2007-07-19,13.9,13.9,12.9,13.0,12.84,122284
2007-07-20,13.0,13.15,12.55,12.6,12.45,65114
2007-07-23,12.7,12.9,12.6,12.75,12.59,66734
