Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,23.6,23.6,19.5,20.4,14.79,6515
2002-08-13,20.5,20.5,20.0,20.0,14.5,4399
2002-08-14,20.0,20.1,19.8,20.1,14.58,1140
2002-08-15,20.1,20.1,20.1,20.1,14.58,0
2002-08-16,19.2,20.0,19.0,19.1,13.85,3550
2002-08-19,18.5,20.0,18.5,19.6,14.21,2673
2002-08-20,19.0,19.95,19.0,19.5,14.14,2400
2002-08-21,21.0,21.0,19.5,19.5,14.14,1880
2002-08-22,19.8,19.8,19.1,19.6,14.21,1400
2002-08-23,19.2,19.8,19.2,19.6,14.21,1738
2002-08-26,19.9,19.9,19.3,19.85,14.4,4650
2002-08-27,19.75,20.15,19.6,20.05,14.54,16740
2002-08-28,19.95,20.15,19.75,19.95,14.47,10705
2002-08-29,20.0,20.0,19.65,19.75,14.32,9232
2002-08-30,20.1,20.25,19.5,20.15,14.61,2697
2002-09-02,20.75,20.75,19.65,19.75,14.32,6616
2002-09-03,20.1,20.25,19.75,19.95,14.47,12375
2002-09-04,19.5,20.1,19.2,19.75,14.32,10160
2002-09-05,21.0,21.0,20.0,20.15,14.61,1806
2002-09-06,19.65,20.45,19.65,20.35,14.76,15752
2002-09-09,18.85,18.85,17.6,17.65,12.8,2379
2002-09-10,17.65,17.65,17.65,17.65,12.8,0
2002-09-11,21.1,21.1,17.5,18.0,13.05,977
2002-09-12,21.6,21.6,17.3,17.9,12.98,601
2002-09-13,19.9,19.9,16.75,17.0,12.33,3059
2002-09-16,19.75,19.75,16.8,17.45,12.66,1406
2002-09-17,18.55,18.55,16.8,17.2,12.47,1253
2002-09-18,17.2,17.9,16.5,16.75,12.15,4303
2002-09-19,16.85,17.0,16.85,16.95,12.29,3800
2002-09-20,16.95,17.0,16.95,17.0,12.33,200
2002-09-23,17.0,17.15,17.0,17.0,12.33,4726
2002-09-24,16.5,17.0,16.5,17.0,12.33,4838
2002-09-25,16.5,16.5,16.5,16.5,11.97,100
2002-09-26,16.5,16.55,16.5,16.5,11.97,508
2002-09-27,16.5,16.95,16.5,16.95,12.29,1632
2002-09-30,16.25,17.0,16.2,17.0,12.33,1700
2002-10-01,17.0,17.0,17.0,17.0,12.33,0
2002-10-02,17.0,17.0,17.0,17.0,12.33,0
2002-10-03,17.0,17.0,17.0,17.0,12.33,0
2002-10-04,17.0,17.0,17.0,17.0,12.33,0
2002-10-07,17.0,17.0,17.0,17.0,12.33,0
2002-10-08,17.0,17.0,17.0,17.0,12.33,0
2002-10-09,17.0,17.0,17.0,17.0,12.33,0
2002-10-10,17.0,17.0,17.0,17.0,12.33,0
2002-10-11,17.0,17.0,17.0,17.0,12.33,0
2002-10-14,17.0,17.0,17.0,17.0,12.33,0
2002-10-15,17.0,17.0,17.0,17.0,12.33,0
2002-10-16,17.0,17.0,17.0,17.0,12.33,0
2002-10-17,17.0,17.0,17.0,17.0,12.33,0
2002-10-18,17.0,17.0,17.0,17.0,12.33,0
2002-10-21,17.0,17.0,17.0,17.0,12.33,0
2002-10-22,17.0,17.0,17.0,17.0,12.33,0
2002-10-23,17.0,17.0,17.0,17.0,12.33,0
2002-10-24,17.0,17.0,17.0,17.0,12.33,0
2002-10-25,17.0,17.0,17.0,17.0,12.33,0
2002-10-28,17.0,17.0,17.0,17.0,12.33,0
2002-10-29,17.0,17.0,17.0,17.0,12.33,0
2002-10-30,17.0,17.0,17.0,17.0,12.33,0
2002-10-31,17.0,17.0,17.0,17.0,12.33,0
2002-11-01,17.0,17.0,17.0,17.0,12.33,0
2002-11-04,17.0,17.0,17.0,17.0,12.33,0
2002-11-05,17.0,17.0,17.0,17.0,12.33,0
2002-11-06,17.0,17.0,17.0,17.0,12.33,0
2002-11-07,17.0,17.0,17.0,17.0,12.33,0
2002-11-08,17.0,17.0,17.0,17.0,12.33,0
2002-11-11,17.0,17.0,17.0,17.0,12.33,0
2002-11-12,17.0,17.0,17.0,17.0,12.33,0
2002-11-13,17.0,17.0,17.0,17.0,12.33,0
2002-11-14,17.0,17.0,17.0,17.0,12.33,0
2002-11-15,17.0,17.0,17.0,17.0,12.33,0
2002-11-18,17.0,17.0,17.0,17.0,12.33,0
2002-11-19,17.0,17.0,17.0,17.0,12.33,0
2002-11-20,17.0,17.0,17.0,17.0,12.33,0
2002-11-21,17.0,17.0,17.0,17.0,12.33,0
2002-11-22,17.0,17.0,17.0,17.0,12.33,0
2002-11-25,17.0,17.0,17.0,17.0,12.33,0
2002-11-26,17.0,17.0,17.0,17.0,12.33,0
2002-11-27,17.0,17.0,17.0,17.0,12.33,0
2002-11-28,17.0,17.0,17.0,17.0,12.33,0
2002-11-29,17.0,17.0,17.0,17.0,12.33,0
2002-12-02,17.0,17.0,17.0,17.0,12.33,0
2002-12-03,17.0,17.0,17.0,17.0,12.33,0
2002-12-04,17.0,17.0,17.0,17.0,12.33,0
2002-12-05,17.0,17.0,17.0,17.0,12.33,0
2002-12-06,17.0,17.0,17.0,17.0,12.33,0
2002-12-09,17.0,17.0,17.0,17.0,12.33,0
2002-12-10,17.0,17.0,17.0,17.0,12.33,0
2002-12-11,17.0,17.0,17.0,17.0,12.33,0
2002-12-12,17.0,17.0,17.0,17.0,12.33,0
2002-12-13,17.0,17.0,17.0,17.0,12.33,0
2002-12-16,17.0,17.0,17.0,17.0,12.33,0
