Date,Open,High,Low,Close,Adj Close,Volume
2006-10-10,95.0,110.4,93.25,107.7,93.37,598700
2006-10-11,109.0,111.6,100.55,102.25,88.65,455049
2006-10-12,102.0,103.95,97.1,100.4,87.04,188149
2006-10-13,100.4,104.0,99.15,99.95,86.65,97470
2006-10-16,99.95,101.9,96.6,97.6,84.61,29732
2006-10-17,99.0,99.0,93.0,93.9,81.41,30387
2006-10-18,94.9,95.8,92.15,92.85,80.5,28750
2006-10-19,95.7,95.7,91.75,92.4,80.11,13970
2006-10-20,94.0,94.0,91.5,93.1,80.71,15661
2006-10-23,92.8,95.85,91.0,92.65,80.32,16065
2006-10-26,94.4,95.5,91.3,91.65,79.46,14486
2006-10-27,92.65,93.7,90.25,91.0,78.89,19545
2006-10-30,91.0,91.0,87.55,88.2,76.47,17786
2006-10-31,89.5,89.5,87.2,88.15,76.42,13765
2006-11-01,89.3,95.1,88.5,90.9,78.81,38989
2006-11-02,90.0,93.0,90.0,90.8,78.72,16745
2006-11-03,91.5,92.0,89.55,91.15,79.02,24170
2006-11-06,91.1,92.5,90.6,91.55,79.37,16995
2006-11-07,92.6,95.0,91.5,92.6,80.28,47646
2006-11-08,92.0,92.85,90.15,91.25,79.11,18850
2006-11-09,91.6,92.4,89.5,89.85,77.9,6337
2006-11-10,89.75,90.5,87.1,87.9,76.21,13241
2006-11-13,90.95,103.0,90.95,99.7,86.44,348524
2006-11-14,101.0,102.9,94.5,95.1,82.45,215869
2006-11-15,94.55,95.7,93.2,93.9,81.41,66431
2006-11-16,94.4,98.9,91.65,93.45,81.02,66099
2006-11-17,95.3,95.9,89.5,91.15,79.02,32246
2006-11-20,90.15,96.9,87.9,95.1,82.45,72801
2006-11-21,94.85,98.5,93.0,95.95,83.18,96667
2006-11-22,96.0,96.85,93.5,93.9,81.41,57834
2006-11-23,94.0,94.0,92.2,92.7,80.37,57557
2006-11-24,94.95,109.4,94.95,96.45,83.62,294815
2006-11-27,97.25,97.25,93.0,93.55,81.1,77402
2006-11-28,90.05,101.0,90.05,93.9,81.41,304895
2006-11-29,94.0,97.85,93.55,94.1,81.58,117830
2006-11-30,94.9,97.8,94.55,95.25,82.58,72070
2006-12-01,96.45,112.0,95.5,106.8,92.59,912850
2006-12-04,108.0,108.0,101.0,101.4,87.91,292963
2006-12-05,103.7,109.8,101.5,104.0,90.16,550091
2006-12-06,104.0,110.55,102.5,105.05,91.07,637217
2006-12-07,105.85,107.7,104.15,104.8,90.86,211498
2006-12-08,104.8,106.2,101.0,101.8,88.26,144204
2006-12-11,101.85,102.0,96.0,97.1,84.18,142121
2006-12-12,97.0,101.0,90.0,92.45,80.15,132153
2006-12-13,92.2,98.9,89.05,95.35,82.66,86467
2006-12-14,98.0,101.8,95.65,100.6,87.22,77050
2006-12-15,101.8,103.0,98.5,99.1,85.91,46799
2006-12-18,103.9,103.9,96.6,97.8,84.79,49091
2006-12-19,98.75,98.75,87.3,94.6,82.01,52680
2006-12-20,98.0,98.0,93.25,94.25,81.71,28070
2006-12-21,92.75,95.3,92.75,94.35,81.8,21754
2006-12-22,95.0,100.4,93.6,96.8,83.92,98130
2006-12-26,98.1,99.0,94.0,94.9,82.27,59128
2006-12-27,95.95,98.0,95.05,95.65,82.92,50862
2006-12-28,95.75,96.7,95.2,95.4,82.71,23548
2006-12-29,96.4,96.5,94.2,94.55,81.97,27050
2007-01-02,95.85,97.5,95.0,95.4,82.71,22703
2007-01-03,98.0,98.0,91.55,92.3,80.02,173856
2007-01-04,92.0,95.4,92.0,95.05,82.4,116223
2007-01-05,99.0,99.0,93.2,93.85,81.36,103032
2007-01-08,95.0,95.5,93.0,93.35,80.93,54378
2007-01-09,94.0,94.75,91.1,91.65,79.46,43152
2007-01-10,92.0,95.0,91.05,93.8,81.32,112586
2007-01-11,95.0,102.8,94.6,99.25,86.04,491370
2007-01-12,101.9,102.2,98.15,99.2,86.0,281617
2007-01-15,101.9,103.0,97.0,97.6,84.61,129660
2007-01-16,99.4,99.4,95.5,96.3,83.49,39584
2007-01-17,96.95,97.65,95.25,96.0,83.23,34196
2007-01-18,97.25,98.95,95.2,95.7,82.97,40170
2007-01-19,96.75,101.0,95.1,97.0,84.09,90536
2007-01-22,95.0,98.25,94.0,94.3,81.75,60617
2007-01-23,94.1,99.5,94.1,95.85,83.1,99800
2007-01-24,96.5,99.7,96.5,98.7,85.57,98402
2007-01-25,98.0,100.0,97.05,98.55,85.44,79950
2007-01-29,98.0,100.0,98.0,98.45,85.35,35594
2007-01-31,99.0,100.5,98.0,99.75,86.48,64382
2007-02-01,100.0,100.55,98.25,99.1,85.91,28045
2007-02-02,98.1,100.0,98.0,98.55,85.44,27907
2007-02-05,98.0,104.7,97.65,102.45,88.82,131837
2007-02-06,100.75,104.0,99.75,100.8,87.39,71344
2007-02-07,102.95,102.95,100.0,100.55,87.17,46474
2007-02-08,100.05,102.0,100.0,100.8,87.39,41564
2007-02-09,101.45,101.45,98.95,99.5,86.26,32913
2007-02-12,99.0,99.95,97.0,98.65,85.52,44981
2007-02-13,96.0,98.0,92.5,94.7,82.1,68889
2007-02-14,93.1,97.0,93.1,95.65,82.92,26098
2007-02-15,96.1,98.7,96.0,97.0,84.09,32907
2007-02-19,98.0,98.0,95.5,96.25,83.44,15222
2007-02-20,97.5,97.5,94.0,94.65,82.06,23257
2007-02-21,95.5,96.75,94.0,95.15,82.49,21491
2007-02-22,96.45,98.0,95.5,97.05,84.14,26799
2007-02-23,98.0,98.0,95.0,95.65,82.92,27280
2007-02-26,98.0,98.0,94.5,96.4,83.57,41835
2007-02-27,96.0,97.0,94.15,94.55,81.97,16833
2007-02-28,94.0,94.1,89.2,92.15,79.89,20241
2007-03-01,88.0,94.5,88.0,92.95,80.58,19090
2007-03-02,94.95,95.2,93.4,93.9,81.41,28259
2007-03-05,90.15,92.5,88.2,88.95,77.12,11509
2007-03-06,91.85,91.85,89.0,90.55,78.5,38650
2007-03-07,90.9,93.0,88.1,90.5,78.46,49254
2007-03-08,90.0,94.9,88.6,93.2,80.8,49243
2007-03-09,93.2,98.1,91.5,96.4,83.57,39590
2007-03-12,95.0,96.5,92.0,93.6,81.15,18179
2007-03-13,94.9,94.95,93.6,94.45,81.88,27434
2007-03-14,91.0,93.0,90.5,91.15,79.02,8018
2007-03-15,92.5,93.0,90.0,90.55,78.5,19323
2007-03-16,94.9,94.9,90.15,91.1,78.98,10383
2007-03-19,91.05,91.65,90.1,90.5,78.46,6474
2007-03-20,91.0,91.95,88.1,89.8,77.85,50249
2007-03-21,90.8,91.0,89.3,90.2,78.2,10923
2007-03-22,91.5,92.0,91.0,91.3,79.15,9361
2007-03-23,91.0,91.75,90.0,90.25,78.24,7195
2007-03-26,90.0,91.5,90.0,90.0,78.03,9929
2007-03-28,90.0,90.85,88.3,90.05,78.07,10427
2007-03-29,91.95,91.95,89.25,89.95,77.98,7793
2007-03-30,93.0,93.0,90.0,91.15,79.02,8728
2007-04-02,90.9,92.0,89.2,90.0,78.03,7334
2007-04-03,90.15,90.45,90.0,90.0,78.03,4189
2007-04-04,90.0,91.0,89.5,90.0,78.03,10164
2007-04-05,90.0,90.1,89.25,89.8,77.85,14675
2007-04-09,90.3,90.3,89.5,89.95,77.98,9192
2007-04-10,90.25,90.5,89.55,89.95,77.98,21622
2007-04-11,90.45,91.5,89.0,89.1,77.25,30692
2007-04-12,91.7,94.8,90.05,91.4,79.24,61975
2007-04-13,92.0,93.0,89.45,90.0,78.03,298449
2007-04-16,91.85,94.6,91.0,91.7,79.5,51191
2007-04-17,91.5,91.5,90.5,90.7,78.63,18384
2007-04-18,90.05,92.0,90.05,90.7,78.63,6982
2007-04-19,90.5,91.2,90.0,90.3,78.29,6126
2007-04-20,90.4,91.9,90.4,91.3,79.15,14660
2007-04-23,91.95,91.95,90.0,90.0,78.03,4039
2007-04-24,90.0,90.7,90.0,90.15,78.16,13086
2007-04-25,91.0,91.7,89.5,90.4,78.37,15100
2007-04-26,92.8,92.9,90.6,91.1,78.98,32752
2007-04-27,92.25,94.45,91.6,92.95,80.58,48084
2007-04-30,93.9,93.9,92.05,92.5,80.19,10960
2007-05-03,94.25,94.25,92.0,92.2,79.93,19195
2007-05-04,93.75,93.75,91.0,91.25,79.11,10717
2007-05-07,93.25,93.25,90.1,90.4,78.37,9808
2007-05-08,91.5,92.0,90.0,90.6,78.55,6831
2007-05-09,90.4,91.9,88.5,90.0,78.03,9897
2007-05-10,91.0,91.5,89.4,90.0,78.03,11700
2007-05-11,88.2,90.5,88.2,88.45,76.68,18271
2007-05-14,90.95,90.95,89.1,89.9,77.94,6062
2007-05-15,88.05,90.0,88.05,88.6,76.81,13156
2007-05-16,89.5,92.0,89.0,90.2,78.2,40818
2007-05-17,92.85,92.85,89.05,89.9,77.94,25290
2007-05-18,88.05,92.1,88.05,89.15,77.29,13248
2007-05-21,90.0,91.25,88.5,90.4,78.37,33373
2007-05-22,89.55,90.95,89.05,90.0,78.03,12321
2007-05-23,89.55,90.4,89.15,90.05,78.07,13454
2007-05-24,90.0,90.7,90.0,90.1,78.11,10396
2007-05-25,90.65,90.9,88.6,90.0,78.03,13857
2007-05-28,91.0,91.0,90.0,90.05,78.07,9980
2007-05-29,90.05,91.0,90.0,90.1,78.11,6735
2007-05-30,91.0,91.0,90.0,90.0,78.03,18888
2007-05-31,90.15,91.0,90.0,90.55,78.5,18248
2007-06-01,90.0,91.0,90.0,90.0,78.03,2772
2007-06-04,90.8,93.9,90.0,92.1,79.85,27889
2007-06-05,91.0,97.9,90.0,93.7,81.23,124622
2007-06-06,94.5,98.9,93.5,94.75,82.14,82929
2007-06-07,92.5,96.9,92.2,92.95,80.58,32846
2007-06-08,95.0,95.4,91.2,91.75,79.54,14347
2007-06-11,92.0,93.25,90.0,90.05,78.07,22019
2007-06-12,90.05,91.0,89.05,89.75,77.81,10263
2007-06-13,89.05,91.45,88.1,89.0,77.16,3806
2007-06-14,90.5,91.0,89.2,89.65,77.72,6053
2007-06-15,90.9,91.35,88.65,89.2,77.33,12604
2007-06-18,91.0,92.5,83.3,84.2,73.0,155858
2007-06-19,84.0,84.15,80.3,82.9,71.87,91691
2007-06-20,83.0,89.0,81.4,88.15,76.42,191688
2007-06-21,88.9,91.5,88.9,90.1,78.11,135557
2007-06-22,90.8,103.25,90.0,100.6,87.22,1197044
2007-06-25,99.7,102.4,98.1,99.0,85.83,444791
2007-06-26,99.0,99.95,97.25,97.7,84.7,153732
2007-06-27,97.6,97.65,95.0,95.4,82.71,50960
2007-06-28,95.5,97.6,93.1,94.1,81.58,36967
2007-06-29,95.0,101.0,95.0,97.6,84.61,83379
2007-07-02,99.0,101.0,97.0,97.75,84.74,53691
2007-07-03,99.0,101.85,98.0,99.5,86.26,84637
2007-07-04,99.9,100.7,96.0,96.6,83.75,22668
2007-07-05,96.65,98.75,92.4,95.0,82.36,46225
2007-07-06,94.5,97.65,93.6,93.85,81.36,28234
2007-07-09,97.45,99.95,95.15,97.25,84.31,63710
2007-07-10,98.65,109.7,94.8,102.35,88.73,417090
2007-07-11,102.75,118.6,102.0,113.35,98.27,1275742
2007-07-12,110.0,119.7,110.0,115.1,99.79,566404
2007-07-13,115.0,116.8,108.1,108.8,94.32,241411
2007-07-16,105.1,109.8,90.1,106.0,91.9,101235
2007-07-17,108.0,117.0,107.25,111.9,97.01,464215
2007-07-18,103.5,114.55,103.5,112.25,97.32,133020
2007-07-19,114.0,115.0,110.2,111.15,96.36,85576
2007-07-20,111.5,113.0,106.9,108.45,94.02,46114
2007-07-23,109.05,109.5,106.85,108.2,93.8,34071
2007-07-24,110.0,110.8,106.25,107.15,92.89,53098
2007-07-25,105.0,108.85,105.0,107.55,93.24,52222
2007-07-26,107.5,109.05,107.0,107.1,92.85,15666
2007-07-27,106.0,109.0,105.0,107.15,92.89,65412
2007-07-30,107.0,113.0,105.0,108.1,93.72,63376
2007-07-31,110.6,115.0,108.1,111.2,96.4,75864
2007-08-01,108.15,110.75,103.7,104.55,90.64,53417
2007-08-02,105.5,108.9,103.05,103.85,90.03,54373
2007-08-03,105.0,108.0,104.7,105.15,91.16,38586
2007-08-06,104.0,104.0,99.5,100.45,87.09,56157
2007-08-07,102.0,103.85,100.1,100.8,87.39,50930
2007-08-08,102.0,102.4,97.5,98.4,85.31,81309
2007-08-09,101.9,104.0,100.5,100.9,87.48,71573
2007-08-10,98.0,100.0,98.0,99.85,86.57,49303
2007-08-13,105.0,118.0,99.5,100.35,87.0,169230
2007-08-14,104.0,104.0,100.5,101.4,87.91,41684
2007-08-16,99.5,100.5,97.1,98.55,85.44,33898
2007-08-17,98.0,100.0,95.5,99.1,85.91,99974
2007-08-20,102.75,103.0,98.55,100.15,86.83,43659
2007-08-21,101.0,101.0,97.0,97.1,84.18,21489
2007-08-22,97.15,98.55,97.0,98.05,85.0,25489
2007-08-23,99.85,100.0,97.0,97.25,84.31,30705
2007-08-24,99.5,99.5,96.8,97.05,84.14,24385
2007-08-27,100.1,102.1,98.1,100.2,86.87,56671
2007-08-28,101.0,101.55,100.0,100.15,86.83,28522
2007-08-29,97.0,100.5,97.0,99.5,86.26,19330
2007-08-30,102.1,106.5,102.1,103.45,89.69,115259
2007-08-31,104.55,107.4,103.8,106.3,92.16,132170
2007-09-03,108.6,110.5,107.05,109.25,94.71,110841
2007-09-04,109.0,111.9,109.0,109.45,94.89,62775
2007-09-05,110.0,110.7,107.9,108.65,94.19,32854
2007-09-06,108.0,109.3,107.0,108.8,94.32,31457
2007-09-07,108.05,109.5,107.2,107.7,93.37,36425
2007-09-10,103.6,110.5,103.0,110.05,95.41,66057
2007-09-11,110.95,114.0,108.0,110.1,95.45,37513
2007-09-12,111.0,111.7,109.0,109.95,95.32,33800
2007-09-13,110.9,110.9,109.0,109.75,95.15,24881
2007-09-14,110.0,113.95,110.0,113.1,98.05,76907
2007-09-17,112.5,113.0,111.05,112.6,97.62,24816
2007-09-18,112.9,114.9,110.0,112.8,97.79,52358
2007-09-19,114.0,115.0,111.6,112.95,97.92,38770
2007-09-20,113.0,113.0,109.05,110.05,95.41,18292
2007-09-21,110.0,113.0,109.0,109.1,94.58,21925
2007-09-24,110.0,111.45,108.5,108.5,94.06,40249
2007-09-25,109.0,110.0,108.0,109.25,94.71,21127
2007-09-26,105.0,112.0,105.0,110.35,95.67,29008
2007-09-27,111.5,115.0,106.05,111.05,96.27,22409
2007-09-28,112.95,114.0,110.5,113.15,98.1,49614
2007-10-01,113.1,113.15,110.6,111.05,96.27,12783
2007-10-03,113.6,113.6,106.0,108.2,93.8,20589
2007-10-04,106.0,109.8,103.1,106.7,92.5,17727
2007-10-05,106.1,110.0,106.0,107.75,93.41,20259
2007-10-08,110.0,110.45,102.6,103.7,89.9,14513
2007-10-09,103.8,107.4,100.05,104.65,91.43,15008
2007-10-10,109.2,110.0,105.2,108.1,94.45,48434
2007-10-11,107.0,109.5,104.05,108.05,94.4,18383
2007-10-12,109.45,110.0,107.0,107.0,93.49,16058
2007-10-15,107.5,108.0,105.0,106.25,92.83,10478
2007-10-16,103.0,109.0,103.0,107.4,93.83,22102
2007-10-17,92.65,108.5,92.65,106.7,93.22,22720
2007-10-18,108.0,114.0,99.1,107.25,93.7,103057
2007-10-19,108.0,110.0,99.0,99.65,87.06,94244
2007-10-22,99.65,105.0,99.65,103.85,90.73,51236
2007-10-23,107.6,109.95,100.0,100.95,88.2,54350
2007-10-24,105.75,105.8,101.05,103.2,90.16,38660
2007-10-25,106.0,106.0,101.55,104.3,91.13,13753
2007-10-26,104.0,106.9,104.0,105.95,92.57,27139
2007-10-29,106.75,108.2,103.1,106.15,92.74,53753
2007-10-30,106.55,108.05,103.35,107.15,93.62,77099
2007-10-31,110.0,110.0,105.1,107.0,93.49,36634
2007-11-01,105.55,107.0,102.15,104.05,90.91,77670
2007-11-02,105.0,109.0,103.05,106.1,92.7,55501
2007-11-05,107.45,110.0,107.05,108.05,94.4,57438
2007-11-06,108.0,110.0,108.0,108.85,95.1,20408
2007-11-07,109.0,109.9,107.1,108.1,94.45,53956
2007-11-08,107.0,111.0,105.25,109.85,95.98,83642
2007-11-12,112.0,112.0,108.35,109.75,95.89,35817
2007-11-13,112.0,131.7,112.0,131.7,115.07,541810
2007-11-14,133.0,149.8,133.0,135.75,118.6,670162
2007-11-15,135.75,139.0,128.0,129.0,112.71,138784
2007-11-16,129.7,134.9,126.25,129.35,113.01,234101
2007-11-19,134.1,135.0,128.0,128.55,112.31,105230
2007-11-20,127.0,132.6,124.05,125.4,109.56,80006
2007-11-21,126.9,126.9,123.55,124.6,108.86,74464
2007-11-22,137.0,137.0,115.0,119.0,103.97,35122
2007-11-23,125.25,125.25,112.1,117.0,102.22,28847
2007-11-26,119.9,123.4,116.55,120.05,104.89,28980
2007-11-27,115.2,122.0,115.2,118.15,103.23,31222
2007-11-28,115.0,130.5,115.0,123.15,107.6,79107
2007-11-29,125.5,128.0,121.0,122.0,106.59,33819
2007-11-30,125.0,125.5,121.1,124.4,108.69,41026
2007-12-03,125.0,125.9,123.0,123.95,108.29,22924
2007-12-04,128.0,132.1,124.0,124.7,108.95,30871
2007-12-05,126.0,127.0,124.3,125.8,109.91,34171
2007-12-06,126.0,127.9,123.2,124.1,108.43,28014
2007-12-07,126.9,126.9,123.0,124.95,109.17,40771
2007-12-10,123.1,125.0,122.6,124.3,108.6,20552
2007-12-11,127.0,127.0,122.65,123.15,107.6,20785
2007-12-12,121.5,125.0,121.5,124.1,108.43,25730
2007-12-13,124.1,126.45,122.5,123.3,107.73,45238
2007-12-14,126.0,126.0,122.05,123.35,107.77,28799
2007-12-17,123.35,130.0,121.1,122.7,107.2,107341
2007-12-18,124.0,124.65,122.5,123.0,107.46,20856
2007-12-19,125.0,126.2,122.75,123.25,107.68,27960
2007-12-20,122.2,124.45,115.0,119.95,104.8,14915
2007-12-24,120.0,123.25,119.1,119.95,104.8,19859
2007-12-26,120.1,123.0,120.0,120.75,105.5,35635
2007-12-27,122.7,131.0,121.0,128.7,112.44,223754
2007-12-28,131.9,154.45,129.0,154.45,134.94,1272199
2007-12-31,163.7,185.35,155.1,185.35,161.94,1591063
2008-01-01,198.7,203.9,186.0,197.55,172.6,1769488
2008-01-02,198.0,216.0,195.6,199.9,174.65,981231
2008-01-03,199.9,200.0,185.8,193.9,169.41,340007
2008-01-04,194.0,195.0,182.0,184.0,160.76,182148
2008-01-07,180.0,191.9,175.0,179.65,156.96,214132
2008-01-08,181.0,185.0,166.55,170.05,148.57,124169
2008-01-09,171.0,173.95,161.35,163.6,142.94,136543
2008-01-10,164.0,172.0,151.65,154.0,134.55,101040
2008-01-11,157.9,157.9,140.5,147.4,128.78,198217
2008-01-14,150.25,162.15,145.15,162.15,141.67,143458
2008-01-15,165.9,178.4,165.2,177.55,155.12,428271
2008-01-16,175.0,179.25,161.55,170.05,148.57,314023
2008-01-17,170.0,178.5,164.05,166.6,145.56,282118
2008-01-18,165.0,180.9,150.0,159.8,139.62,203812
2008-01-21,154.5,159.9,140.9,140.9,123.1,122815
2008-01-22,141.0,141.0,126.9,126.9,110.87,23061
2008-01-23,132.0,133.25,120.65,128.2,112.01,120569
2008-01-24,130.05,134.65,125.0,130.05,113.62,85273
2008-01-25,134.9,136.0,130.15,135.25,118.17,47177
2008-01-28,134.0,138.0,128.5,136.55,119.3,57818
2008-01-29,139.0,143.4,138.0,143.4,125.29,40067
2008-01-30,150.5,150.5,136.3,137.55,120.18,43552
2008-01-31,140.0,140.0,130.7,135.8,118.65,47873
2008-02-01,141.0,142.0,135.35,136.7,119.43,31505
2008-02-04,142.0,142.0,132.1,137.05,119.74,49068
2008-02-05,138.8,138.9,133.05,134.55,117.56,34150
2008-02-06,128.5,135.8,128.0,131.65,115.02,39711
2008-02-07,132.0,137.0,125.8,126.95,110.92,49632
2008-02-08,126.95,132.5,122.0,124.05,108.38,33528
2008-02-11,126.55,126.55,117.85,117.85,102.96,18879
2008-02-12,118.0,118.0,112.0,112.1,97.94,31345
2008-02-13,113.0,116.25,106.65,110.15,96.24,45998
2008-02-14,114.8,115.65,111.1,114.75,100.26,32549
2008-02-15,111.2,118.0,111.0,115.95,101.3,36650
2008-02-18,114.05,119.0,114.05,117.2,102.4,25609
2008-02-19,123.0,123.1,114.85,123.1,107.55,56054
2008-02-20,124.0,127.0,119.0,120.55,105.32,64781
2008-02-21,124.9,126.2,121.0,122.3,106.85,28414
2008-02-22,118.1,123.9,118.0,122.65,107.16,19426
2008-02-25,126.0,126.0,119.1,121.05,105.76,28725
2008-02-26,126.0,127.1,125.0,127.1,111.05,57731
2008-02-27,131.0,133.5,125.1,126.8,110.78,63567
2008-02-28,128.0,128.0,125.05,126.95,110.92,16044
2008-02-29,123.2,126.8,122.3,123.1,107.55,16885
2008-03-03,120.5,123.25,119.1,120.05,104.89,17525
2008-03-04,120.0,121.8,114.1,114.95,100.43,17193
2008-03-05,112.5,114.75,111.1,112.25,98.07,14345
2008-03-07,108.0,108.0,106.65,106.95,93.44,19346
2008-03-10,103.0,107.0,92.0,100.05,87.41,63026
2008-03-11,100.05,113.9,97.05,111.05,97.02,53874
2008-03-12,113.0,131.0,101.0,110.3,96.37,72263
2008-03-13,102.95,108.45,99.9,100.6,87.89,38765
2008-03-14,101.0,105.55,99.3,103.4,90.34,52141
