Date,Open,High,Low,Close,Adj Close,Volume
2005-03-31,71.12,95.2,71.12,89.84,50.09,27752572
2005-04-01,90.4,101.2,82.6,98.32,54.82,17329748
2005-04-04,98.4,100.8,92.48,93.64,52.21,9625086
2005-04-05,94.0,94.6,88.16,89.36,49.82,5091013
2005-04-06,90.4,95.12,89.12,91.96,51.27,4804050
2005-04-07,92.72,100.56,91.64,97.36,54.29,10021846
2005-04-08,97.6,101.56,94.68,100.04,55.78,9033132
2005-04-11,99.92,103.56,95.28,96.56,53.84,7987107
2005-04-12,96.08,99.4,93.6,94.36,52.61,2566067
2005-04-13,95.2,97.04,92.32,93.0,51.85,2161725
2005-04-15,93.0,93.0,86.6,89.12,49.69,2065375
2005-04-18,89.0,97.36,80.16,96.04,53.55,6202728
2005-04-19,96.4,101.16,94.8,97.6,54.42,6070903
2005-04-20,97.44,98.24,94.0,97.28,54.24,1926133
2005-04-21,95.2,100.64,95.2,99.96,55.73,2130015
2005-04-22,101.6,106.64,100.52,101.44,56.56,3842376
2005-04-25,102.16,107.88,100.8,106.6,59.44,4091433
2005-04-26,108.8,127.92,108.8,123.56,68.89,13298342
2005-04-27,124.24,130.4,115.68,117.44,65.48,12480510
2005-04-28,118.4,121.2,110.64,115.52,64.41,6198473
2005-04-29,116.8,121.84,113.92,118.2,65.91,7012928
2005-05-02,118.2,122.16,117.04,118.92,66.31,6905757
2005-05-03,118.4,124.6,118.12,122.92,68.54,6399106
2005-05-04,122.4,135.88,122.4,131.4,73.26,14711886
2005-05-05,132.0,137.28,128.84,130.24,72.62,7782341
2005-05-06,131.2,135.0,130.16,132.52,73.89,5968813
2005-05-09,133.6,136.0,132.04,132.72,74.0,2792337
2005-05-10,132.96,134.6,126.56,129.16,72.44,3522852
2005-05-11,129.96,131.92,128.28,129.24,72.49,1849527
2005-05-12,129.92,131.4,127.88,128.72,72.19,1225996
2005-05-13,129.2,130.6,126.6,127.56,71.54,1366202
2005-05-16,129.2,129.2,124.16,124.8,70.0,831228
2005-05-17,125.6,133.12,124.0,129.32,72.53,4582960
2005-05-18,127.84,128.96,122.92,123.84,69.46,1578872
2005-05-19,124.8,126.8,121.24,122.2,68.54,1478132
2005-05-20,122.04,124.16,121.24,122.32,68.6,1292697
2005-05-23,122.8,125.36,120.88,121.52,68.16,980676
2005-05-24,122.8,123.12,119.28,119.88,67.24,1018275
2005-05-25,120.56,121.0,118.04,118.72,66.59,759368
2005-05-26,119.12,125.84,118.72,121.76,68.29,2788203
2005-05-27,122.4,123.52,117.68,118.96,66.72,899497
2005-05-30,118.6,120.36,118.0,118.64,66.54,664280
2005-05-31,118.8,119.6,115.72,116.56,65.37,676815
2005-06-01,116.76,117.04,114.12,115.32,64.68,748795
2005-06-02,115.92,119.92,114.52,118.24,66.32,1409458
