Date,Open,High,Low,Close,Adj Close,Volume
2005-07-01,9.2,9.33,8.9,9.32,3.71,326612
2005-07-04,9.47,10.25,8.9,9.67,3.85,339708
2005-07-05,9.68,9.89,9.07,9.15,3.64,137025
2005-07-06,9.18,9.45,9.1,9.19,3.66,62418
2005-07-07,9.35,9.45,8.86,8.97,3.57,31680
2005-07-08,9.2,9.29,8.9,9.08,3.62,29426
2005-07-11,9.2,9.45,9.2,9.31,3.71,75800
2005-07-12,9.24,9.42,9.12,9.26,3.69,35820
2005-07-13,9.27,9.27,9.05,9.14,3.64,17471
2005-07-14,9.21,9.36,9.0,9.04,3.6,21594
2005-07-15,9.45,9.45,9.04,9.1,3.62,21598
2005-07-18,9.19,9.23,9.12,9.14,3.64,20649
2005-07-19,9.2,9.2,9.0,9.04,3.6,21082
2005-07-20,9.1,9.39,9.1,9.3,3.7,36311
2005-07-21,9.35,9.38,9.05,9.12,3.63,29558
2005-07-22,9.19,10.6,9.15,10.07,4.01,378736
2005-07-25,10.15,10.28,9.7,9.81,4.88,79693
2005-07-26,9.98,9.98,9.32,9.42,4.68,32726
2005-07-27,9.45,9.73,9.41,9.56,4.75,25312
2005-07-28,9.56,9.56,9.56,9.56,4.75,0
2005-07-29,9.58,9.99,9.4,9.54,4.74,44176
2005-08-01,10.0,10.1,9.31,9.46,4.7,37707
2005-08-02,9.8,9.9,9.6,9.66,4.8,42150
2005-08-03,9.9,9.99,9.51,9.61,4.78,41736
2005-08-04,9.7,9.7,9.35,9.39,4.67,51622
2005-08-05,9.6,10.45,9.51,9.93,4.94,201218
2005-08-08,10.0,10.19,9.55,9.65,4.8,72937
2005-08-09,9.7,10.04,9.54,9.68,4.81,98930
2005-08-10,9.7,9.9,9.66,9.71,4.83,45306
2005-08-11,9.79,9.85,9.66,9.72,4.83,27899
2005-08-12,9.78,10.05,9.68,9.92,4.93,34503
2005-08-16,10.0,10.88,9.9,10.61,5.27,260611
2005-08-17,10.75,11.9,10.6,11.38,5.66,408457
2005-08-18,13.3,13.65,12.0,13.65,6.78,480306
2005-08-19,14.5,15.99,14.4,15.05,7.48,1721915
2005-08-22,14.96,15.08,13.55,13.57,6.74,473565
2005-08-23,13.95,14.84,13.31,13.53,6.72,485894
2005-08-24,13.94,13.94,12.33,12.96,6.44,304932
2005-08-25,13.0,14.26,12.9,14.26,7.09,388439
2005-08-26,14.65,15.1,14.03,14.23,7.07,524621
2005-08-29,14.25,14.25,13.55,13.75,6.83,134614
2005-08-30,13.96,14.4,13.61,14.2,7.06,231163
2005-08-31,14.15,14.39,13.7,13.79,6.85,77573
2005-09-01,13.7,14.03,13.54,13.68,6.8,59902
2005-09-02,13.8,14.0,13.3,13.58,6.75,70139
2005-09-05,13.8,14.35,13.53,13.85,6.88,125744
2005-09-06,13.9,14.15,13.75,13.83,6.87,91510
2005-09-08,13.99,14.59,13.81,14.27,7.09,195556
2005-09-09,14.37,14.55,13.82,14.27,7.09,143445
2005-09-12,14.28,14.49,14.0,14.25,7.08,122477
2005-09-13,14.25,14.49,14.15,14.24,7.08,74085
2005-09-14,14.22,14.36,13.5,14.09,7.0,57910
2005-09-15,14.1,15.18,14.1,14.73,7.32,279931
2005-09-16,15.0,15.59,14.54,14.94,7.43,361599
2005-09-19,15.1,15.28,13.9,14.41,7.16,130207
2005-09-20,14.4,14.6,13.9,14.22,7.07,109867
2005-09-21,14.4,14.48,12.82,13.47,6.69,93035
2005-09-22,13.5,13.7,12.13,12.15,6.04,112093
2005-09-23,12.3,12.59,11.48,12.04,5.98,137541
2005-09-26,12.49,12.9,12.2,12.75,6.34,82668
2005-09-27,12.9,13.1,12.7,12.79,6.36,59620
2005-09-28,13.0,13.0,12.75,12.83,6.38,20504
2005-09-29,13.0,13.09,12.3,12.37,6.15,64710
2005-09-30,12.4,13.61,12.05,13.56,6.74,249711
2005-10-03,14.2,14.3,13.54,13.69,6.8,176652
2005-10-04,13.75,14.12,13.5,13.98,6.95,111069
2005-10-05,14.06,14.3,13.9,14.03,6.97,99113
2005-10-06,13.81,14.2,13.0,13.84,6.88,58104
2005-10-07,13.8,14.07,13.64,13.74,6.83,32810
2005-10-10,14.0,14.33,13.8,13.98,6.95,82893
2005-10-11,14.0,14.0,13.25,13.8,6.86,44732
2005-10-13,13.9,14.3,13.6,13.7,6.81,25854
2005-10-14,13.9,14.19,12.85,13.02,6.47,58911
2005-10-17,13.0,13.25,12.7,13.12,6.52,39355
2005-10-18,13.0,13.48,12.63,12.75,6.34,33760
2005-10-19,12.5,12.7,12.0,12.15,6.04,25431
2005-10-20,12.38,12.74,12.15,12.53,6.23,91831
2005-10-21,12.8,12.8,12.0,12.61,6.27,31547
2005-10-24,13.3,13.87,13.2,13.65,6.78,139637
2005-10-25,13.8,14.0,13.3,13.56,6.74,87609
2005-10-26,13.51,14.2,13.39,14.01,6.96,134032
2005-10-27,13.62,14.3,13.62,14.0,6.96,62881
2005-10-28,13.51,13.97,13.5,13.62,6.77,51739
2005-10-31,13.8,14.17,13.7,13.93,6.92,29841
2005-11-02,14.95,15.17,14.5,14.85,7.38,209813
2005-11-04,14.85,14.85,14.85,14.85,7.38,0
2005-11-07,15.3,15.5,15.0,15.21,7.56,117288
2005-11-08,15.37,15.37,14.91,15.01,7.46,50948
2005-11-09,15.0,15.15,14.85,14.99,7.45,56593
2005-11-10,15.09,15.12,14.89,14.96,7.43,34672
2005-11-11,15.14,15.15,14.9,15.04,7.47,38004
2005-11-14,15.19,16.48,15.19,16.27,8.09,349465
2005-11-16,16.45,16.66,15.96,16.06,7.98,142837
2005-11-17,16.21,16.21,15.58,15.64,7.77,76364
2005-11-18,15.83,16.2,15.61,15.78,7.84,69437
2005-11-21,15.7,16.1,15.53,15.68,7.79,52195
2005-11-22,15.8,15.8,15.33,15.49,7.7,20047
2005-11-23,15.56,15.59,15.41,15.5,7.7,9647
2005-11-24,15.85,16.15,15.6,15.88,7.89,75877
2005-11-25,16.24,16.25,15.8,15.99,7.95,51803
2005-11-28,15.9,16.3,15.9,16.08,7.99,229906
2005-11-29,16.7,16.95,16.25,16.45,8.18,119138
2005-11-30,16.64,16.75,15.92,16.03,7.97,54478
2005-12-01,16.1,16.18,15.91,16.05,7.98,32105
2005-12-02,16.3,16.3,15.86,15.94,7.92,22918
2005-12-05,16.08,16.08,15.8,15.83,7.87,18056
2005-12-06,15.99,16.0,15.8,15.82,7.86,12176
2005-12-07,15.98,16.0,15.75,15.81,7.86,10916
2005-12-08,16.05,16.25,15.83,15.91,7.91,24140
2005-12-09,16.02,16.3,15.51,15.77,7.84,28965
2005-12-12,15.99,17.35,15.99,17.35,8.62,394522
2005-12-13,17.51,17.99,17.01,17.65,8.77,204123
2005-12-14,17.8,19.41,17.42,19.37,9.63,419450
2005-12-15,20.0,20.0,18.41,18.47,9.18,278087
2005-12-16,18.5,19.4,18.1,19.21,9.55,176284
2005-12-19,19.1,19.5,18.78,19.17,9.53,63934
2005-12-20,19.2,19.3,18.76,19.05,9.47,29598
2005-12-21,19.5,19.85,19.08,19.29,9.59,73919
2005-12-22,19.48,19.48,18.78,18.89,9.39,24657
2005-12-23,19.29,19.65,18.81,19.02,9.45,52052
