Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,50.0,55.6,48.4,55.6,39.74,558368
2002-07-02,62.0,62.0,57.5,57.85,41.35,664431
2002-07-03,69.0,69.0,55.6,56.7,40.53,224624
2002-07-04,68.05,68.05,57.0,61.55,44.0,492292
2002-07-05,63.0,70.35,62.0,69.35,49.57,615034
2002-07-08,69.0,70.0,65.5,66.1,47.25,214726
2002-07-09,66.75,67.95,62.0,62.55,44.71,131332
2002-07-10,61.0,64.5,60.05,62.15,44.43,112897
2002-07-11,61.0,65.85,60.6,64.4,46.03,224162
2002-07-12,66.9,68.4,62.0,67.2,48.04,271918
2002-07-15,68.4,68.45,63.85,64.6,46.18,138983
2002-07-16,60.0,63.75,60.0,61.9,44.25,118125
2002-07-17,72.0,72.0,57.6,58.05,41.5,105026
2002-07-18,59.4,60.45,58.1,58.6,41.89,118001
2002-07-19,70.35,70.35,57.25,60.8,43.46,108259
2002-07-22,59.45,64.2,58.55,60.3,43.1,156714
2002-07-23,55.0,59.0,53.15,55.05,39.35,199813
2002-07-24,65.0,65.0,54.5,54.9,39.24,78377
2002-07-25,59.0,59.0,53.55,54.0,38.6,68820
2002-07-26,54.0,54.0,49.55,50.1,35.81,108544
2002-07-29,50.0,50.5,47.1,49.05,35.06,62943
2002-07-30,54.0,54.0,48.0,48.35,34.56,52248
2002-07-31,48.0,51.2,46.5,50.1,35.81,92162
2002-08-01,51.5,52.25,49.5,50.05,35.78,39057
2002-08-02,49.5,52.25,48.65,51.05,36.49,36059
2002-08-05,51.8,52.45,51.0,51.25,36.63,41684
2002-08-06,51.6,53.45,51.0,52.85,37.78,40600
2002-08-07,53.6,53.8,52.55,52.7,37.67,51613
2002-08-08,53.0,53.0,49.3,49.5,35.38,45111
2002-08-09,49.3,51.7,49.0,51.4,36.74,22299
2002-08-12,51.9,52.5,51.05,52.35,37.42,26313
2002-08-13,52.9,54.0,52.6,53.2,38.03,33665
2002-08-14,54.0,54.0,52.95,53.7,38.39,25323
2002-08-15,53.7,53.7,53.7,53.7,38.39,0
2002-08-16,56.0,57.8,53.0,55.0,39.31,71040
2002-08-19,55.1,56.4,52.5,53.0,37.89,27133
2002-08-20,53.6,53.6,52.3,53.05,37.92,26062
2002-08-21,54.55,55.45,53.95,55.1,39.39,31514
2002-08-22,54.5,55.0,53.0,53.5,38.24,17005
2002-08-23,52.25,54.0,52.25,53.4,38.17,6190
2002-08-26,53.5,54.65,53.2,53.9,38.53,10632
2002-08-27,54.1,54.15,53.5,53.8,38.46,28493
2002-08-28,53.5,53.7,52.75,53.5,38.24,14283
2002-08-29,52.55,53.75,52.55,53.5,38.24,12792
2002-08-30,53.1,54.0,53.1,53.55,38.28,7061
2002-09-02,54.0,54.0,53.0,53.2,38.03,19837
2002-09-03,53.5,53.95,51.25,51.9,37.1,20344
2002-09-04,51.25,52.45,51.0,51.1,36.53,31791
2002-09-05,52.0,52.0,50.35,51.05,36.49,5215
2002-09-06,52.25,52.5,49.6,49.95,35.71,20526
2002-09-09,49.5,49.7,49.3,49.5,35.38,10383
2002-09-10,49.5,49.5,49.5,49.5,35.38,0
2002-09-11,50.0,50.8,49.75,50.65,36.21,7103
2002-09-12,49.75,51.0,49.75,50.45,36.06,12535
2002-09-13,50.1,50.45,49.8,50.0,35.74,16776
2002-09-16,49.95,50.25,49.0,49.2,35.17,20520
2002-09-17,49.25,50.25,48.0,48.15,34.42,10685
2002-09-18,48.0,49.1,48.0,48.5,34.67,3510
2002-09-19,46.25,49.45,46.25,47.55,33.99,11276
2002-09-20,39.45,49.0,39.45,47.05,33.63,12494
2002-09-23,46.5,46.7,45.5,45.75,32.7,5223
2002-09-24,45.75,45.75,44.8,45.0,32.17,6723
2002-09-25,44.5,44.85,44.25,44.45,31.77,4766
2002-09-26,44.2,45.25,44.1,44.95,32.13,3882
2002-09-27,51.0,51.0,40.1,44.65,31.92,10560
2002-09-30,53.6,53.6,43.5,44.15,31.56,9510
2002-10-01,45.0,45.95,42.0,43.5,31.09,10992
2002-10-02,43.5,43.5,43.5,43.5,31.09,0
2002-10-03,43.45,45.0,43.45,43.7,31.24,5314
2002-10-04,43.7,44.5,43.7,44.45,31.77,4995
2002-10-07,44.0,44.9,43.4,44.55,31.85,7079
2002-10-08,44.25,45.9,44.0,45.7,32.67,11291
2002-10-09,47.0,47.0,45.0,45.2,32.31,4924
2002-10-10,46.0,46.0,43.5,44.15,31.56,27054
2002-10-11,45.0,45.35,43.55,43.8,31.31,38317
2002-10-14,45.3,45.3,43.6,44.7,31.95,8758
2002-10-15,44.7,44.7,44.7,44.7,31.95,0
2002-10-16,44.75,46.0,43.65,44.1,31.52,34746
2002-10-17,44.25,45.0,43.85,44.5,31.81,4001
2002-10-18,45.95,45.95,44.2,44.4,31.74,4548
2002-10-21,45.0,45.8,44.65,44.95,32.13,7918
2002-10-22,44.6,45.5,40.25,41.7,29.81,94917
2002-10-23,40.6,41.9,38.35,40.35,28.84,140329
2002-10-24,39.0,41.5,38.05,39.15,27.99,93796
2002-10-25,39.15,39.75,38.1,39.1,27.95,13195
2002-10-28,39.25,39.3,37.0,37.1,26.52,18455
2002-10-29,37.45,38.0,36.2,37.95,27.13,17084
2002-10-30,38.9,38.9,36.2,36.65,26.2,19464
2002-10-31,40.0,40.0,34.05,34.8,24.88,168445
2002-11-01,35.95,39.95,35.25,38.8,27.73,56844
2002-11-04,39.2,40.0,38.75,39.1,27.95,21605
2002-11-05,39.0,39.2,38.15,38.35,27.41,108726
2002-11-06,38.35,38.35,38.35,38.35,27.41,0
2002-11-07,38.9,39.8,38.5,39.0,27.88,5285
2002-11-08,38.75,42.7,38.75,41.5,29.66,61642
2002-11-11,42.3,42.3,40.1,40.45,28.91,14341
2002-11-12,40.7,41.0,40.35,40.9,29.24,13106
2002-11-13,41.0,41.95,40.85,41.2,29.45,37091
2002-11-14,41.7,41.7,40.7,40.95,29.27,3994
2002-11-15,41.5,41.5,40.5,40.85,29.2,10652
2002-11-18,41.5,42.0,41.25,41.65,29.77,6161
2002-11-19,41.65,41.65,41.65,41.65,29.77,0
2002-11-20,41.15,43.0,41.1,42.6,30.45,26130
2002-11-21,43.5,43.5,42.5,42.6,30.45,16085
2002-11-22,42.8,43.5,42.8,43.25,30.92,15441
2002-11-25,43.8,44.0,41.5,42.2,30.17,31686
2002-11-26,43.25,43.4,41.9,42.25,30.2,33480
2002-11-27,42.45,42.9,41.1,41.45,29.63,24161
2002-11-28,41.75,43.2,41.65,42.95,30.7,13335
2002-11-29,43.15,44.0,42.85,43.2,30.88,31561
2002-12-02,44.1,45.25,44.0,44.6,31.88,47248
2002-12-03,44.0,45.4,42.5,42.7,30.52,28639
2002-12-04,41.6,43.0,41.4,42.6,30.45,12744
2002-12-05,43.0,43.8,43.0,43.25,30.92,21900
2002-12-06,42.85,46.45,42.85,44.55,31.85,39775
2002-12-09,44.5,45.6,43.5,43.65,31.2,24064
2002-12-10,42.95,44.2,42.85,43.0,30.74,18970
2002-12-11,44.0,44.0,42.3,43.05,30.77,9668
2002-12-12,42.55,43.5,42.5,42.95,30.7,7809
2002-12-13,42.6,43.6,42.4,42.8,30.59,9105
2002-12-16,42.5,42.9,42.05,42.2,30.17,10953
2002-12-17,41.8,42.15,41.7,41.9,29.95,6152
2002-12-18,41.9,42.8,41.7,42.2,30.17,10914
2002-12-19,42.25,48.4,42.0,46.85,33.49,173054
2002-12-20,47.4,50.7,47.4,48.2,34.45,139049
2002-12-23,48.8,48.9,45.2,45.85,32.77,39247
2002-12-24,45.8,47.3,45.7,46.5,33.24,12073
2002-12-25,46.5,46.5,46.5,46.5,33.24,0
2002-12-26,47.8,47.8,46.4,46.5,33.24,10170
2002-12-27,47.4,47.7,46.15,47.15,33.7,38428
2002-12-30,46.5,49.5,46.35,48.25,34.49,33704
2002-12-31,48.95,52.2,48.95,50.35,35.99,152653
2003-01-01,51.9,51.9,49.15,49.8,35.6,21834
2003-01-02,51.3,51.95,47.9,48.15,34.42,39136
2003-01-03,48.15,48.8,47.55,47.9,34.24,11231
2003-01-06,48.1,48.5,47.0,47.35,33.85,11577
2003-01-07,47.5,49.2,47.5,48.9,34.95,13204
2003-01-08,49.75,51.8,49.5,50.5,36.1,63918
2003-01-09,51.0,51.7,50.5,51.1,36.53,28991
2003-01-10,51.3,51.3,49.1,50.2,35.88,36319
2003-01-13,49.25,50.25,49.0,49.5,35.38,7323
2003-01-14,50.0,50.0,48.5,48.75,34.85,10272
2003-01-15,48.4,52.5,48.4,51.45,36.78,65282
2003-01-16,52.4,52.9,51.0,51.15,36.56,29330
2003-01-17,51.5,51.8,50.25,51.5,36.81,25396
2003-01-20,51.5,51.8,50.35,50.7,36.24,15189
2003-01-21,50.1,51.0,49.7,49.8,35.6,23901
2003-01-22,50.0,50.0,49.0,49.55,35.42,19112
2003-01-23,50.0,51.5,49.1,50.95,36.42,30533
2003-01-24,51.3,54.5,51.25,53.65,38.35,75040
2003-01-27,53.2,54.25,50.6,50.85,36.35,27462
2003-01-28,51.3,52.95,51.1,51.85,37.06,13556
2003-01-29,52.0,52.3,51.15,51.3,36.67,9795
2003-01-30,51.25,53.2,48.1,50.45,36.06,22930
2003-01-31,51.0,52.4,49.5,51.8,37.03,28634
2003-02-03,51.15,52.5,51.0,51.25,36.63,7752
2003-02-04,51.75,52.5,50.55,51.25,36.63,17826
2003-02-05,50.75,57.2,50.75,54.4,38.89,107740
2003-02-06,55.5,56.75,55.15,56.0,40.03,78332
2003-02-07,56.0,59.05,55.1,57.9,41.39,96439
2003-02-10,58.8,58.8,56.0,56.4,40.32,99645
2003-02-11,58.1,58.1,56.1,56.4,40.32,52611
2003-02-12,56.95,61.75,55.95,60.55,43.28,146574
2003-02-13,60.55,60.55,60.55,60.55,43.28,0
2003-02-14,60.1,61.8,56.7,57.05,40.78,53812
2003-02-17,58.9,60.7,58.8,60.15,43.0,46723
2003-02-18,61.8,64.7,61.0,63.5,45.39,242635
2003-02-19,64.5,66.5,64.5,64.85,46.36,124726
2003-02-20,65.85,68.95,64.55,64.95,46.43,126428
2003-02-21,65.5,66.0,62.25,63.4,45.32,51946
2003-02-24,64.0,66.7,63.85,65.15,46.57,106906
2003-02-25,64.5,64.95,62.1,62.4,44.6,58752
2003-02-26,63.0,63.0,60.1,61.9,44.25,66962
2003-02-27,62.55,65.2,62.55,63.95,45.71,97346
2003-02-28,64.2,66.4,58.7,59.75,42.71,148169
2003-03-03,60.25,60.9,56.0,60.05,42.92,118559
2003-03-04,58.75,59.5,57.5,58.7,41.96,52025
2003-03-05,58.2,58.35,56.1,57.75,41.28,35123
2003-03-06,57.55,58.5,57.1,57.85,41.35,19465
2003-03-07,56.75,58.0,54.55,57.3,40.96,29395
2003-03-10,56.65,58.0,52.1,53.75,38.42,17948
2003-03-11,54.7,54.75,52.55,54.05,38.64,18249
2003-03-12,55.4,55.4,52.3,52.9,37.81,20933
2003-03-13,52.6,52.65,47.8,48.35,34.56,79297
2003-03-14,48.35,48.35,48.35,48.35,34.56,0
2003-03-17,46.0,48.55,46.0,47.9,34.24,16330
2003-03-18,47.9,47.9,47.9,47.9,34.24,0
2003-03-19,49.1,49.8,48.75,49.5,35.38,19850
2003-03-20,49.5,54.0,48.5,52.45,37.49,42555
2003-03-21,53.45,53.65,51.6,51.95,37.13,33303
2003-03-24,51.3,52.45,50.1,50.3,35.96,14042
