Date,Open,High,Low,Close,Adj Close,Volume
2009-12-14,93.6,97.0,92.27,92.6,80.88,36121
2009-12-15,93.6,101.67,93.6,95.87,83.73,224491
2009-12-16,96.53,98.47,91.67,92.83,81.08,28222
2009-12-17,95.53,99.2,93.6,96.33,84.14,96267
2009-12-18,95.97,98.67,92.67,93.23,81.43,25519
2009-12-21,94.53,96.0,91.57,93.73,81.87,21513
2009-12-22,93.5,94.83,91.6,92.5,80.79,3267
2010-01-04,103.3,106.5,101.4,104.47,91.24,61831
2010-01-05,105.33,112.13,103.83,107.73,94.09,383805
2010-01-06,109.6,110.93,107.37,109.83,95.93,125196
2010-01-07,110.9,112.6,109.33,110.4,96.42,69939
2010-01-08,111.3,112.0,106.0,107.5,93.89,32653
2010-01-11,108.0,116.53,106.7,111.93,97.76,159208
2010-01-12,112.6,117.93,110.7,111.57,97.44,118707
2010-01-13,109.53,114.53,109.53,113.27,98.93,27846
2010-01-14,112.67,115.33,112.1,112.43,98.2,35814
2010-01-15,113.33,115.93,112.0,112.77,98.49,49360
2010-01-18,115.23,115.33,111.0,111.93,97.76,34578
2010-01-19,111.33,113.33,107.0,107.87,94.21,32302
2010-01-20,108.0,110.97,105.73,107.57,93.95,18079
2010-01-21,108.93,108.93,104.0,104.7,91.44,13851
2010-01-22,100.67,103.33,100.67,101.67,88.79,22357
2010-01-25,100.4,101.67,96.63,97.03,84.75,21951
2010-01-27,98.0,98.53,90.67,91.67,80.06,18204
2010-01-28,95.27,98.0,91.07,92.53,80.82,8628
2010-01-29,90.0,96.33,86.67,93.0,81.23,25693
2010-02-01,94.7,103.6,94.67,102.87,89.84,54976
2010-02-02,105.13,111.2,104.4,105.27,91.94,81606
2010-02-03,106.27,109.3,105.33,106.3,92.84,13504
2010-02-04,105.53,109.33,103.73,105.4,92.06,25770
2010-02-05,101.87,103.33,98.67,100.0,87.34,22557
2010-02-08,103.67,103.7,98.73,99.9,87.25,16768
2010-02-09,100.03,101.0,96.8,98.57,86.09,6420
2010-02-10,99.0,100.67,96.73,97.97,85.56,30909
2010-02-11,98.1,112.6,98.1,102.2,89.26,55489
2010-02-15,103.33,104.27,100.07,100.4,87.69,13780
2010-02-16,98.83,104.0,98.83,101.8,88.91,16753
2010-02-17,101.9,104.0,100.77,101.23,88.42,11019
2010-02-18,102.0,105.13,101.0,102.03,89.11,49848
2010-02-19,101.33,102.43,98.13,99.6,86.99,13275
2010-02-22,100.67,104.3,95.77,96.9,84.63,15823
2010-02-23,97.33,97.67,94.37,94.87,82.86,5536
2010-02-24,94.87,94.87,92.07,92.77,81.02,13996
2010-02-25,94.0,94.27,92.7,92.9,81.14,8595
2010-02-26,92.9,97.33,92.3,95.77,83.64,16359
2010-03-02,97.33,97.33,95.0,95.77,83.64,5250
2010-03-03,108.27,109.33,97.43,100.87,88.1,156087
2010-03-04,103.6,103.6,100.83,101.03,88.24,16960
2010-03-05,101.67,103.47,101.67,102.33,89.38,21652
2010-03-08,102.67,105.27,102.33,102.53,89.55,21865
2010-03-09,101.73,102.57,100.03,100.7,87.95,13746
2010-03-10,100.17,103.0,100.0,101.23,88.42,12417
2010-03-11,101.67,102.67,95.4,100.5,87.78,11416
2010-03-12,99.87,102.6,99.0,99.23,86.67,19117
2010-03-15,99.87,99.93,95.6,97.3,84.98,17824
2010-03-16,98.67,100.03,96.67,99.07,86.52,17049
2010-03-17,98.8,100.6,96.8,97.53,85.18,84721
2010-03-18,102.0,102.0,97.17,97.8,85.42,5881
2010-03-19,97.7,99.3,97.7,98.53,86.06,7254
2010-03-22,97.33,98.67,96.17,97.0,84.72,10026
2010-03-23,96.83,97.9,93.33,95.37,83.29,22386
2010-03-25,94.67,101.0,93.4,97.97,85.56,36253
2010-03-26,97.1,100.57,96.4,96.93,84.66,8439
2010-03-29,103.2,103.2,95.0,95.53,83.44,6852
2010-03-30,97.83,98.87,97.0,97.33,85.01,6907
2010-03-31,96.47,98.63,96.47,98.1,85.68,3291
2010-04-01,98.17,100.6,98.17,99.63,87.02,11280
2010-04-05,102.57,103.27,98.8,102.53,89.55,10540
2010-04-06,103.93,104.97,102.33,103.07,90.02,16885
2010-04-07,104.67,104.67,100.73,101.4,88.56,7504
2010-04-08,101.7,103.33,100.67,102.0,89.09,52134
2010-04-09,105.3,105.3,101.87,102.03,89.11,12130
2010-04-12,102.07,111.9,102.0,107.33,93.74,109294
2010-04-13,106.67,110.67,106.07,107.1,93.54,29155
2010-04-15,108.33,109.13,104.0,104.97,91.68,14400
2010-04-16,105.33,106.33,102.77,104.37,91.15,9804
2010-04-19,104.4,108.0,103.7,105.47,92.11,32604
2010-04-20,106.0,109.0,105.33,106.47,92.99,20775
2010-04-21,106.0,110.0,106.0,108.77,95.0,26365
2010-04-22,108.0,115.87,108.0,110.3,96.33,95931
2010-04-23,111.67,113.23,109.2,110.0,96.07,25860
