Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,350.0,354.9,348.0,350.7,285.69,1529
2002-07-02,353.3,354.7,341.75,342.7,279.17,1583
2002-07-03,352.9,352.9,337.5,339.35,276.44,2875
2002-07-04,342.0,344.0,337.0,340.2,277.13,4179
2002-07-05,341.55,349.0,340.0,342.05,278.64,2639
2002-07-08,348.95,370.0,343.7,353.6,288.05,3341
2002-07-09,364.3,365.0,351.1,351.75,286.54,3370
2002-07-10,352.1,353.0,344.95,347.35,282.96,1159
2002-07-11,345.0,345.0,340.1,341.3,278.03,1806
2002-07-12,347.6,347.6,339.25,340.35,277.26,565
2002-07-15,332.05,344.2,330.0,341.3,278.03,984
2002-07-16,331.05,340.5,331.05,340.05,277.01,1442
2002-07-17,340.0,341.0,334.2,335.15,273.02,939
2002-07-18,339.0,341.85,334.0,335.1,272.98,1069
2002-07-19,334.15,339.65,334.15,335.95,273.67,619
2002-07-22,330.0,344.9,324.3,337.65,275.06,2585
2002-07-23,345.0,345.0,328.0,332.7,271.02,1472
2002-07-24,328.45,341.0,328.45,338.15,275.46,1673
2002-07-25,340.0,343.5,334.15,340.0,276.97,2177
2002-07-26,335.0,343.9,333.5,336.8,274.36,2394
2002-07-29,331.0,335.0,312.7,320.1,260.76,2316
2002-07-30,325.0,325.0,315.15,319.6,260.35,2070
2002-07-31,285.0,328.8,285.0,311.1,253.43,2354
2002-08-01,322.25,340.0,320.0,323.5,263.53,4984
2002-08-02,324.0,330.0,317.05,327.95,267.15,1558
2002-08-05,330.0,335.7,330.0,334.95,272.86,2551
2002-08-06,331.05,333.25,327.0,329.6,268.5,1038
2002-08-07,332.0,334.0,329.0,329.2,268.17,1712
2002-08-08,329.2,329.7,320.0,320.65,261.21,2087
2002-08-09,321.7,326.9,321.4,325.4,265.08,825
2002-08-12,328.5,329.95,325.0,328.15,267.32,268
2002-08-13,329.9,331.95,328.4,330.55,269.27,268
2002-08-14,330.0,335.0,325.7,332.1,270.53,497
2002-08-15,332.1,332.1,332.1,332.1,270.53,0
2002-08-16,331.05,338.0,331.05,334.2,272.25,465
2002-08-19,359.9,359.9,326.1,327.15,266.5,1995
2002-08-20,331.0,334.9,331.0,333.8,271.92,569
2002-08-21,322.2,333.95,322.2,330.5,269.23,483
2002-08-22,322.1,331.0,322.1,326.85,266.26,367
2002-08-23,329.0,335.0,326.5,328.25,267.4,1169
2002-08-26,326.15,335.0,326.15,334.35,272.37,652
2002-08-27,330.05,330.05,325.0,326.05,265.61,956
2002-08-28,326.15,331.0,325.0,325.3,265.0,533
2002-08-29,326.05,327.95,322.0,322.85,263.0,887
2002-08-30,325.0,330.0,325.0,325.45,265.12,99
2002-09-02,326.5,329.9,325.0,325.0,264.75,487
2002-09-03,322.35,328.0,322.1,322.95,263.08,651
2002-09-04,322.1,324.95,317.0,319.35,260.15,672
2002-09-05,321.15,321.15,318.05,318.9,259.78,600
2002-09-06,319.1,320.0,315.0,315.15,256.73,1471
2002-09-09,320.0,320.0,316.9,318.2,259.21,584
2002-09-10,318.2,318.2,318.2,318.2,259.21,0
2002-09-11,327.0,330.0,326.15,328.25,267.4,803
2002-09-12,330.0,330.0,320.0,328.35,267.48,1408
2002-09-13,324.0,324.9,319.25,320.55,261.13,1435
2002-09-16,323.0,340.0,322.1,334.2,272.25,2016
2002-09-17,333.0,337.85,325.1,327.45,266.75,728
2002-09-18,326.15,329.0,321.0,321.7,262.06,509
2002-09-19,321.95,321.95,313.25,314.85,256.48,571
2002-09-20,310.0,318.95,310.0,316.0,257.42,799
2002-09-23,320.0,320.0,313.25,314.05,255.83,697
2002-09-24,319.15,325.0,301.0,305.4,248.78,2571
2002-09-25,300.35,314.5,300.0,303.3,247.07,17768
2002-09-26,307.0,307.95,301.0,304.3,247.89,735
2002-09-27,309.65,318.0,309.65,315.85,257.3,1017
2002-09-30,315.0,315.0,305.0,307.25,250.29,902
2002-10-01,306.5,307.4,305.0,305.3,248.7,625
2002-10-02,305.3,305.3,305.3,305.3,248.7,0
2002-10-03,305.25,305.25,297.1,299.5,243.98,2042
2002-10-04,304.95,304.95,296.25,301.55,245.65,462
2002-10-07,301.05,305.0,300.8,302.6,246.5,484
2002-10-08,303.0,308.65,302.0,304.3,247.89,552
2002-10-09,304.65,308.35,304.0,305.15,248.58,778
2002-10-10,304.0,304.0,298.0,300.0,244.39,921
2002-10-11,300.5,301.0,298.6,300.8,245.04,1423
2002-10-14,302.0,302.0,290.3,293.05,238.72,1077
2002-10-15,293.05,293.05,293.05,293.05,238.72,0
2002-10-16,310.0,310.0,293.05,293.4,239.01,953
2002-10-17,297.0,297.0,287.15,289.35,235.71,1473
2002-10-18,295.0,296.2,292.2,295.05,240.35,1038
2002-10-21,293.0,293.0,290.1,291.8,237.71,962
2002-10-22,292.05,293.45,280.1,283.7,231.11,2434
2002-10-23,278.3,296.95,278.3,294.4,239.82,2835
2002-10-24,298.65,298.65,293.1,295.3,240.56,989
2002-10-25,293.0,299.5,289.95,295.4,240.64,346
2002-10-28,309.0,309.0,290.0,291.8,237.71,306
2002-10-29,281.1,305.0,281.1,303.15,246.95,1225
2002-10-30,305.0,312.0,304.0,306.65,249.8,967
2002-10-31,306.05,310.7,301.0,303.7,247.4,1084
2002-11-01,301.15,302.0,298.0,298.0,242.76,899
2002-11-04,300.0,302.0,299.1,300.05,244.43,1156
2002-11-05,300.0,300.0,295.7,296.8,241.78,1265
2002-11-06,296.8,296.8,296.8,296.8,241.78,0
2002-11-07,307.95,307.95,294.0,299.95,244.34,1063
2002-11-08,300.0,300.0,295.2,296.85,241.82,1744
2002-11-11,296.3,300.0,291.25,297.75,242.55,862
2002-11-12,292.8,299.0,292.1,298.0,242.76,1638
2002-11-13,292.05,303.0,292.05,299.0,243.57,153
2002-11-14,297.0,301.0,295.25,299.2,243.73,303
2002-11-15,299.95,304.5,298.5,299.4,243.9,543
2002-11-18,300.0,300.0,295.0,298.55,243.2,894
