Date,Open,High,Low,Close,Adj Close,Volume
2018-07-13,49.25,49.25,49.25,49.25,49.25,2000
2018-07-16,49.25,49.25,49.25,49.25,49.25,0
2018-07-17,49.25,49.25,49.25,49.25,49.25,0
2018-07-18,49.25,49.25,49.25,49.25,49.25,0
2018-07-19,49.25,49.25,49.25,49.25,49.25,0
2018-07-20,49.25,49.25,49.25,49.25,49.25,0
2018-07-23,49.25,49.25,49.25,49.25,49.25,0
2018-07-24,49.25,49.25,49.25,49.25,49.25,0
2018-07-25,49.25,49.25,49.25,49.25,49.25,0
2018-07-26,49.25,49.25,49.25,49.25,49.25,0
2018-07-27,49.25,49.25,49.25,49.25,49.25,0
2018-07-30,49.25,49.25,49.25,49.25,49.25,0
2018-07-31,49.25,49.25,49.25,49.25,49.25,0
2018-08-01,49.25,49.25,49.25,49.25,49.25,0
2018-08-02,46.75,46.75,46.75,46.75,46.75,2000
2018-08-03,46.75,46.75,46.75,46.75,46.75,0
2018-08-06,46.75,46.75,46.75,46.75,46.75,0
2018-08-07,46.75,46.75,46.75,46.75,46.75,0
2018-08-08,46.75,46.75,46.75,46.75,46.75,0
2018-08-09,46.75,46.75,46.75,46.75,46.75,0
2018-08-10,46.75,46.75,46.75,46.75,46.75,0
2018-08-13,46.75,46.75,46.75,46.75,46.75,0
2018-08-14,46.25,46.25,46.0,46.0,46.0,4000
2018-08-16,46.0,46.0,46.0,46.0,46.0,0
2018-08-17,46.0,46.0,46.0,46.0,46.0,0
2018-08-20,46.0,46.0,46.0,46.0,46.0,0
2018-08-21,46.0,46.0,46.0,46.0,46.0,0
2018-08-23,46.0,46.0,46.0,46.0,46.0,0
2018-08-24,46.0,46.0,46.0,46.0,46.0,0
2018-08-27,46.0,46.0,46.0,46.0,46.0,0
2018-08-28,46.0,46.0,46.0,46.0,46.0,0
2018-08-29,46.0,46.0,46.0,46.0,46.0,0
2018-08-30,46.0,46.0,46.0,46.0,46.0,0
2018-08-31,46.0,46.0,46.0,46.0,46.0,0
2018-09-03,46.0,46.0,46.0,46.0,46.0,0
2018-09-04,46.0,46.0,46.0,46.0,46.0,0
2018-09-05,46.0,46.0,46.0,46.0,46.0,0
2018-09-06,46.0,46.0,46.0,46.0,46.0,0
2018-09-07,46.0,46.0,46.0,46.0,46.0,0
2018-09-10,46.0,46.0,46.0,46.0,46.0,0
2018-09-11,46.0,46.0,46.0,46.0,46.0,0
2018-09-12,46.0,46.0,46.0,46.0,46.0,0
2018-09-14,46.0,46.0,46.0,46.0,46.0,0
2018-09-17,46.0,46.0,46.0,46.0,46.0,0
2018-09-18,46.0,46.0,46.0,46.0,46.0,0
2018-09-19,46.0,46.0,46.0,46.0,46.0,0
2018-09-21,46.0,46.0,46.0,46.0,46.0,0
2018-09-24,46.0,46.0,46.0,46.0,46.0,0
2018-09-25,46.0,46.0,46.0,46.0,46.0,0
2018-09-26,46.0,46.0,46.0,46.0,46.0,0
2018-09-27,46.0,46.0,46.0,46.0,46.0,0
2018-09-28,46.0,46.0,46.0,46.0,46.0,0
2018-10-01,36.8,36.8,36.8,36.8,36.8,4000
2018-10-03,36.8,36.8,36.8,36.8,36.8,0
2018-10-04,36.8,36.8,36.8,36.8,36.8,0
2018-10-05,36.8,36.8,36.8,36.8,36.8,0
2018-10-08,36.8,36.8,36.8,36.8,36.8,0
2018-10-09,36.8,36.8,36.8,36.8,36.8,0
2018-10-10,36.8,36.8,36.8,36.8,36.8,0
2018-10-11,36.8,36.8,36.8,36.8,36.8,0
2018-10-12,36.8,36.8,36.8,36.8,36.8,0
2018-10-15,36.8,36.8,36.8,36.8,36.8,0
2018-10-16,36.8,36.8,36.8,36.8,36.8,0
2018-10-17,36.8,36.8,36.8,36.8,36.8,0
2018-10-19,36.8,36.8,36.8,36.8,36.8,0
2018-10-22,36.8,36.8,36.8,36.8,36.8,0
2018-10-23,36.8,36.8,36.8,36.8,36.8,0
2018-10-24,36.8,36.8,36.8,36.8,36.8,0
2018-10-25,36.8,36.8,36.8,36.8,36.8,0
2018-10-26,36.8,36.8,36.8,36.8,36.8,0
2018-10-29,36.8,36.8,36.8,36.8,36.8,0
2018-10-30,36.8,36.8,36.8,36.8,36.8,0
2018-10-31,36.8,36.8,36.8,36.8,36.8,0
2018-11-01,36.8,36.8,36.8,36.8,36.8,0
2018-11-02,36.8,36.8,36.8,36.8,36.8,0
2018-11-05,36.8,36.8,36.8,36.8,36.8,0
2018-11-06,36.8,36.8,36.8,36.8,36.8,0
2018-11-07,36.8,36.8,36.8,36.8,36.8,0
2018-11-09,36.8,36.8,36.8,36.8,36.8,0
2018-11-12,36.8,36.8,36.8,36.8,36.8,0
2018-11-13,36.8,36.8,36.8,36.8,36.8,0
2018-11-14,36.8,36.8,36.8,36.8,36.8,0
2018-11-15,36.8,36.8,36.8,36.8,36.8,0
2018-11-16,36.8,36.8,36.8,36.8,36.8,0
2018-11-19,36.8,36.8,36.8,36.8,36.8,0
2018-11-20,36.8,36.8,36.8,36.8,36.8,0
2018-11-21,36.8,36.8,36.8,36.8,36.8,0
2018-11-22,36.8,36.8,36.8,36.8,36.8,0
2018-11-26,36.8,36.8,36.8,36.8,36.8,0
2018-11-27,36.8,36.8,36.8,36.8,36.8,0
2018-11-28,36.8,36.8,36.8,36.8,36.8,0
2018-11-29,36.8,36.8,36.8,36.8,36.8,0
2018-11-30,36.8,36.8,36.8,36.8,36.8,0
2018-12-03,36.8,36.8,36.8,36.8,36.8,0
2018-12-04,36.8,36.8,36.8,36.8,36.8,0
2018-12-05,36.8,36.8,36.8,36.8,36.8,0
2018-12-06,36.8,36.8,36.8,36.8,36.8,0
2018-12-07,36.8,36.8,36.8,36.8,36.8,0
2018-12-10,36.8,36.8,36.8,36.8,36.8,0
2018-12-11,36.8,36.8,36.8,36.8,36.8,0
2018-12-12,36.8,36.8,36.8,36.8,36.8,0
2018-12-13,36.8,36.8,36.8,36.8,36.8,0
2018-12-14,36.8,36.8,36.8,36.8,36.8,0
2018-12-17,36.8,36.8,36.8,36.8,36.8,0
2018-12-18,36.8,36.8,36.8,36.8,36.8,0
2018-12-19,36.8,36.8,36.8,36.8,36.8,0
2018-12-20,36.8,36.8,36.8,36.8,36.8,0
2018-12-21,36.8,36.8,36.8,36.8,36.8,0
2018-12-24,36.8,36.8,36.8,36.8,36.8,0
2018-12-26,36.8,36.8,36.8,36.8,36.8,0
2018-12-27,36.8,36.8,36.8,36.8,36.8,0
2018-12-28,36.8,36.8,36.8,36.8,36.8,0
