Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,12.14,12.8,12.14,12.72,7.56,666670
2002-07-02,12.69,12.8,12.5,12.64,7.52,547560
2002-07-03,12.5,12.69,12.24,12.59,7.49,529470
2002-07-04,12.54,12.8,12.54,12.73,7.58,523140
2002-07-05,12.73,12.98,12.73,12.82,7.63,581140
2002-07-08,12.97,12.97,12.51,12.59,7.49,667440
2002-07-09,12.56,12.65,12.32,12.38,7.36,348850
2002-07-10,12.4,12.6,11.97,12.05,7.17,447340
2002-07-11,11.9,12.13,11.9,12.04,7.16,247270
2002-07-12,12.2,12.53,12.02,12.25,7.29,263690
2002-07-15,12.47,12.49,11.72,11.81,7.03,371980
2002-07-16,11.7,11.93,11.61,11.74,6.98,425760
2002-07-17,11.72,11.9,11.62,11.84,7.04,479340
2002-07-18,12.01,12.4,12.0,12.34,7.34,806260
2002-07-19,12.05,12.3,12.0,12.19,7.25,293050
2002-07-22,11.51,11.8,11.51,11.61,6.91,358470
2002-07-23,10.8,11.51,10.8,11.39,6.77,199900
2002-07-24,11.35,11.48,10.75,10.85,6.45,136560
2002-07-25,11.19,11.5,10.9,11.01,6.55,185370
2002-07-26,11.0,11.0,10.15,10.37,6.17,193510
2002-07-29,10.42,10.5,9.41,10.04,5.97,600290
2002-07-30,10.5,10.61,9.51,9.64,5.73,181710
2002-07-31,9.5,9.95,9.0,9.7,5.77,223150
2002-08-01,10.06,10.39,9.7,9.81,5.83,193960
2002-08-02,10.1,10.38,10.01,10.27,6.11,507840
2002-08-05,10.4,10.7,10.25,10.53,6.26,451890
2002-08-06,10.5,10.57,10.4,10.45,6.22,105780
2002-08-07,10.69,10.69,10.26,10.36,6.17,169870
2002-08-08,10.49,10.49,9.92,10.06,5.98,296470
2002-08-09,9.92,10.2,9.92,9.95,5.92,134930
2002-08-12,10.1,10.3,10.03,10.07,5.99,41400
2002-08-13,10.25,10.3,10.02,10.1,6.01,32060
2002-08-14,10.01,10.07,9.9,9.98,5.94,53690
2002-08-15,9.98,9.98,9.98,9.98,5.94,0
2002-08-16,10.19,10.2,9.93,9.98,5.93,33400
2002-08-19,10.1,10.1,9.85,9.9,5.89,27810
2002-08-20,9.95,10.0,9.81,9.87,5.87,27290
2002-08-21,9.85,10.0,9.71,9.74,5.8,39180
2002-08-22,9.99,10.0,9.73,9.8,5.83,27180
2002-08-23,9.81,9.82,9.6,9.61,5.72,26250
2002-08-26,9.77,9.8,9.52,9.53,5.67,30770
2002-08-27,9.57,9.6,9.35,9.45,5.62,30660
2002-08-28,9.6,9.6,9.12,9.18,5.46,53990
2002-08-29,9.78,9.78,9.15,9.21,5.48,47730
2002-08-30,9.25,9.25,8.95,8.99,5.35,34910
2002-09-02,8.96,9.29,8.83,8.92,5.31,86060
2002-09-03,8.81,9.08,8.81,8.93,5.31,32730
2002-09-04,8.94,9.25,8.9,9.14,5.43,58230
2002-09-05,9.09,9.26,9.08,9.12,5.43,46300
2002-09-06,9.0,9.1,8.98,9.03,5.37,48280
2002-09-09,8.9,8.9,8.26,8.34,4.96,86550
2002-09-10,8.34,8.34,8.34,8.34,4.96,0
2002-09-11,8.49,8.55,8.45,8.51,5.06,28290
2002-09-12,8.51,8.74,8.41,8.73,5.19,24700
2002-09-13,8.8,9.07,8.73,8.99,5.35,89230
2002-09-16,8.69,8.69,8.3,8.32,5.18,76300
2002-09-17,8.25,8.44,8.25,8.28,5.16,12160
2002-09-18,8.26,8.26,8.1,8.11,5.05,12530
2002-09-19,7.93,7.95,7.61,7.69,4.79,32490
