Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,7.9,7.9,7.67,7.75,5.32,63252
2002-07-02,7.79,7.96,7.63,7.86,5.4,394968
2002-07-03,7.69,7.75,7.58,7.61,5.22,118860
2002-07-04,7.61,7.7,7.09,7.39,5.07,152052
2002-07-05,7.25,7.75,7.25,7.6,5.21,572748
2002-07-08,7.58,8.23,7.5,7.91,5.43,483564
2002-07-09,7.92,8.38,7.92,8.29,5.69,639048
2002-07-10,8.25,8.58,8.1,8.29,5.69,792204
2002-07-11,8.54,8.54,8.08,8.14,5.59,469488
2002-07-12,8.48,8.83,8.1,8.7,5.97,2768196
2002-07-15,9.0,9.0,7.63,8.31,5.71,178728
2002-07-16,8.39,8.66,8.08,8.47,5.81,355512
2002-07-17,8.34,8.75,8.17,8.24,5.65,163356
2002-07-18,8.25,8.38,8.23,8.31,5.7,137208
2002-07-19,8.25,8.32,8.08,8.13,5.58,46284
2002-07-22,8.25,9.17,7.92,8.55,5.87,1759644
2002-07-23,8.7,9.63,8.67,9.08,6.23,2584236
2002-07-24,9.0,9.42,8.83,8.91,6.12,1406976
2002-07-25,9.33,9.42,8.83,8.89,6.1,435348
2002-07-26,8.92,8.98,8.05,8.27,5.68,865536
2002-07-29,8.33,8.33,7.43,7.79,5.35,434436
2002-07-30,8.05,8.05,7.51,7.65,5.25,202536
2002-07-31,7.25,8.04,7.08,7.9,5.42,608328
2002-08-01,7.87,8.17,7.58,7.68,5.27,1203144
2002-08-02,7.58,7.81,7.47,7.59,5.21,242556
2002-08-05,7.91,8.21,7.55,7.7,5.28,306600
2002-08-06,7.75,7.79,7.58,7.65,5.25,202560
2002-08-07,7.88,7.92,7.79,7.82,5.36,164844
2002-08-08,7.79,7.97,7.68,7.91,5.43,1045152
2002-08-09,7.76,8.15,7.76,8.07,5.54,136212
2002-08-12,8.38,8.58,8.22,8.35,5.73,490296
2002-08-13,8.56,8.56,8.39,8.5,5.83,138828
2002-08-14,8.58,8.58,8.35,8.46,5.81,331032
2002-08-15,8.46,8.46,8.46,8.46,5.81,0
2002-08-16,8.5,8.5,8.35,8.39,5.76,64308
2002-08-19,8.4,8.43,8.21,8.25,5.66,101016
2002-08-20,8.16,8.52,8.02,8.47,5.81,271992
2002-08-21,8.46,8.66,8.43,8.53,5.86,161916
2002-08-22,8.5,8.75,8.36,8.45,5.8,181440
2002-08-23,8.62,8.62,8.42,8.51,5.84,106680
2002-08-26,8.75,8.86,8.42,8.78,6.03,460728
2002-08-27,9.17,9.17,8.67,8.8,6.04,206232
2002-08-28,8.79,9.0,8.79,8.96,6.15,283368
2002-08-29,8.91,9.17,8.88,9.09,6.24,224040
2002-08-30,9.25,10.37,9.13,10.02,6.87,1030920
2002-09-02,10.0,10.0,9.5,9.63,6.61,453576
2002-09-03,9.59,9.71,9.5,9.6,6.59,626484
2002-09-04,9.17,9.91,9.17,9.84,6.76,216216
2002-09-05,9.99,10.0,9.42,9.48,6.5,273816
2002-09-06,9.24,9.63,8.52,9.23,6.33,208800
2002-09-09,9.08,9.25,9.08,9.17,6.29,108672
2002-09-10,9.17,9.17,9.17,9.17,6.29,0
2002-09-11,9.67,9.67,9.19,9.48,6.51,91188
2002-09-12,9.49,9.58,9.35,9.47,6.5,154992
2002-09-13,9.34,9.66,8.75,9.54,6.54,220464
2002-09-16,9.56,9.65,9.26,9.37,6.43,124020
2002-09-17,9.39,9.44,9.17,9.27,6.36,233868
2002-09-18,9.18,9.33,9.17,9.17,6.29,147900
2002-09-19,9.13,9.17,9.08,9.13,6.27,85644
2002-09-20,9.08,9.15,8.75,9.08,6.23,89376
2002-09-23,9.0,9.25,8.85,9.15,6.28,112464
2002-09-24,9.0,9.33,8.93,9.25,6.35,154800
2002-09-25,9.17,9.67,9.1,9.51,6.53,198624
2002-09-26,9.41,9.58,9.33,9.57,6.57,139644
2002-09-27,9.66,9.67,9.46,9.51,6.53,219588
2002-09-30,9.38,10.0,8.92,9.28,6.37,622188
2002-10-01,9.17,9.42,9.0,9.36,6.43,273420
2002-10-02,9.36,9.36,9.36,9.36,6.43,0
2002-10-03,9.33,9.33,8.92,8.98,6.16,89952
2002-10-04,9.0,9.0,8.73,8.78,6.03,198012
2002-10-07,8.84,8.84,8.62,8.64,5.93,104004
2002-10-08,8.67,8.79,8.58,8.75,6.0,93228
2002-10-09,8.79,8.79,8.63,8.71,5.98,169992
2002-10-10,8.67,8.97,8.67,8.84,6.06,42144
2002-10-11,8.8,8.9,8.63,8.69,5.97,72960
2002-10-14,8.96,8.99,8.62,8.73,5.99,103416
2002-10-15,8.73,8.73,8.73,8.73,5.99,0
2002-10-16,9.08,9.17,8.79,9.01,6.19,189504
2002-10-17,9.16,9.16,8.92,9.08,6.23,50244
2002-10-18,9.08,9.08,9.01,9.06,6.22,69132
2002-10-21,9.01,9.09,8.88,8.96,6.15,78900
2002-10-22,8.88,9.03,8.88,8.93,6.13,50184
2002-10-23,9.16,9.57,9.0,9.27,6.36,441996
2002-10-24,9.38,9.38,9.09,9.12,6.26,174300
2002-10-25,9.24,9.24,9.02,9.07,6.22,87372
2002-10-28,9.08,9.16,9.04,9.07,6.22,64920
