Date,Open,High,Low,Close,Adj Close,Volume
2020-10-07,825.6,851.0,825.6,836.95,779.28,5304
2020-10-08,840.65,845.0,686.3,791.9,737.33,4021
2020-10-09,822.85,850.0,809.8,832.2,774.86,3822
2020-10-12,848.0,860.55,803.05,819.8,763.31,3398
2020-10-13,819.0,831.25,810.2,821.35,764.75,859
2020-10-14,810.0,824.95,792.2,800.25,745.11,5417
2020-10-15,800.3,810.0,789.55,793.65,738.96,1332
2020-10-16,789.5,804.75,759.0,792.05,737.47,4677
2020-10-19,795.0,807.95,785.45,791.35,736.82,3894
2020-10-20,795.95,800.0,790.1,794.55,739.8,1587
2020-10-21,798.0,807.45,775.05,790.35,735.89,9796
2020-10-22,819.85,819.85,790.35,797.95,742.97,10386
2020-10-23,804.45,807.5,786.0,796.6,741.71,24992
2020-10-26,796.6,800.0,779.0,779.9,726.16,3303
2020-10-27,779.1,804.8,778.95,798.7,743.66,20003
2020-10-28,795.05,820.0,780.15,786.95,732.72,10306
2020-10-29,782.0,799.0,776.15,790.3,735.84,2184
2020-10-30,799.75,828.2,790.0,810.1,754.28,6268
2020-11-02,816.0,819.95,780.0,785.9,731.75,24430
2020-11-03,800.0,800.0,785.0,788.7,734.35,7355
2020-11-04,787.75,817.0,780.05,799.4,744.32,13398
2020-11-05,808.55,818.0,795.0,800.85,745.67,10625
2020-11-06,805.8,849.8,801.2,833.0,775.6,77007
2020-11-09,844.7,845.05,809.5,817.5,761.17,12282
2020-11-10,814.8,816.65,800.0,805.0,749.53,7614
2020-11-11,802.75,816.35,800.1,810.4,754.56,10137
2020-11-12,812.1,820.0,808.0,809.3,753.53,2546
2020-11-13,808.0,810.0,803.0,805.9,750.37,2670
2020-11-17,822.55,833.0,807.05,816.3,760.05,7566
2020-11-18,820.0,825.0,808.05,815.0,758.84,8211
2020-11-19,839.0,839.0,813.0,817.6,761.26,17613
2020-11-20,828.7,838.15,815.25,821.05,764.47,7023
2020-11-23,826.9,830.2,814.1,817.5,761.17,6056
2020-11-24,832.95,832.95,806.95,818.2,761.82,7718
2020-11-25,821.0,829.95,806.3,813.75,757.68,18083
2020-11-26,815.5,824.5,806.2,810.65,754.79,95619
2020-11-27,818.85,828.8,817.05,821.2,764.61,7462
2020-12-01,829.9,850.0,822.1,839.15,781.33,17110
2020-12-02,833.05,840.95,829.0,834.0,776.53,4878
2020-12-03,840.0,865.25,839.6,845.0,786.77,51293
2020-12-04,854.9,887.95,853.05,876.0,815.64,46994
2020-12-07,889.0,1040.0,880.2,997.65,928.91,246546
2020-12-08,1110.0,1178.8,1050.0,1148.6,1069.45,435198
2020-12-09,1208.0,1208.0,1158.0,1164.0,1083.79,178717
2020-12-10,1190.0,1190.0,1125.0,1165.55,1085.24,83127
2020-12-11,1170.0,1175.0,1150.0,1161.0,1081.0,100804
