Date,Open,High,Low,Close,Adj Close,Volume
2016-07-11,125.0,125.0,119.5,120.43,102.88,8376
2016-07-12,121.0,122.68,116.5,122.35,104.53,27224
2016-07-13,122.5,124.97,119.25,121.5,103.8,30322
2016-07-14,122.0,124.97,120.12,120.97,103.35,26934
2016-07-15,121.0,123.5,112.5,119.97,102.5,26686
2016-07-18,120.0,124.0,119.95,121.3,103.63,26146
2016-07-19,121.5,121.95,118.0,121.47,103.78,27060
2016-07-20,120.75,121.9,112.95,120.6,103.03,25780
2016-07-21,120.75,120.82,118.5,118.5,101.24,24368
2016-07-22,120.0,124.5,119.0,119.6,102.18,29388
2016-07-25,125.2,125.2,120.2,120.8,103.2,29558
2016-07-26,121.0,124.47,119.0,119.0,101.67,24664
2016-07-27,120.0,124.5,115.5,118.28,101.05,31084
2016-07-28,120.0,121.97,116.1,117.5,100.38,31682
2016-07-29,118.0,121.03,118.0,119.75,102.31,25464
2016-08-01,120.0,123.0,100.75,114.15,97.52,33662
2016-08-02,120.0,122.97,110.0,115.28,98.48,52994
2016-08-03,116.5,118.8,114.5,118.38,101.13,78448
2016-08-04,118.0,122.0,112.5,120.53,102.97,74136
2016-08-05,121.0,124.5,117.5,118.75,101.45,60918
2016-08-08,119.5,123.5,117.0,119.15,101.79,40292
2016-08-09,120.0,122.0,117.25,120.4,102.86,44218
2016-08-10,120.1,124.25,118.5,122.68,104.81,37022
2016-08-11,122.5,127.0,120.0,122.93,105.02,39064
2016-08-12,123.0,125.0,115.5,117.65,100.51,29456
2016-08-16,121.0,124.45,117.5,122.0,104.23,147848
2016-08-17,122.5,123.75,120.5,121.18,103.52,27938
2016-08-18,117.5,123.75,117.5,122.45,104.61,52582
2016-08-19,121.25,128.98,121.25,126.05,107.69,55896
2016-08-22,127.5,127.62,119.5,126.03,107.67,38404
2016-08-23,127.5,128.75,120.75,125.35,107.09,29322
2016-08-24,125.0,127.45,124.0,126.5,108.07,29930
2016-08-25,126.5,129.5,125.25,126.5,108.5,30630
2016-08-26,127.5,130.48,115.3,128.07,109.85,63438
2016-08-29,125.28,130.0,122.5,124.72,106.98,27932
2016-08-30,125.0,131.45,125.0,127.9,109.7,36970
2016-08-31,132.4,132.4,120.3,128.2,109.96,29806
2016-09-01,127.5,127.5,125.0,126.2,108.25,25880
2016-09-02,126.5,131.0,121.5,126.93,108.87,16860
2016-09-06,127.03,132.38,125.5,131.38,112.68,27738
2016-09-07,131.5,139.0,127.55,134.38,115.26,87154
2016-09-08,132.5,136.98,132.0,134.9,115.71,18868
2016-09-09,132.5,135.0,130.5,133.45,114.46,24556
2016-09-12,130.0,136.5,129.93,133.12,114.18,10608
2016-09-14,132.0,137.0,132.0,136.1,116.74,24204
2016-09-15,141.0,142.98,115.3,135.88,116.54,72486
2016-09-16,137.0,141.5,136.6,140.02,120.1,39570
2016-09-19,137.6,141.5,137.5,140.98,120.92,102636
2016-09-20,140.0,142.48,139.5,141.35,121.24,30202
2016-09-21,141.27,144.75,138.5,142.95,122.61,51358
2016-09-22,144.25,145.5,142.5,142.82,122.5,20930
2016-09-23,142.5,144.35,139.0,142.0,121.8,18316
2016-09-26,145.45,145.45,140.45,142.5,122.23,26890
2016-09-27,142.5,144.0,142.0,143.2,122.83,18056
2016-09-28,144.0,144.12,142.0,143.35,122.96,16198
2016-09-29,153.5,153.5,137.35,142.23,121.99,24420
2016-09-30,144.0,144.35,139.85,142.4,122.14,19874
2016-10-03,142.05,151.95,140.35,142.98,122.63,20246
2016-10-04,145.05,145.1,142.25,144.0,123.51,10094
2016-10-05,143.0,147.0,142.5,144.77,124.18,15386
2016-10-06,144.0,144.5,141.7,142.73,122.42,13954
2016-10-07,142.5,144.0,141.5,142.2,121.97,17936
2016-10-10,143.5,144.0,142.0,144.0,123.51,11646
2016-10-13,143.0,143.88,136.5,138.68,118.95,155260
2016-10-14,139.95,141.9,137.93,139.9,120.0,23600
2016-10-17,140.5,144.75,132.55,142.1,121.88,50114
2016-10-18,142.5,143.5,139.0,140.57,120.58,14876
2016-10-19,141.0,141.23,138.25,139.9,120.0,26226
2016-10-20,140.5,140.5,133.0,138.82,119.07,16644
2016-10-21,140.0,140.27,136.5,136.93,117.44,14056
2016-10-24,142.55,142.6,138.5,140.65,120.64,12500
2016-10-25,142.5,142.75,138.5,139.5,119.65,10628
2016-10-26,140.5,140.52,134.98,137.4,117.85,14988
2016-10-27,139.5,139.5,134.0,135.9,116.57,18598
2016-10-28,137.5,137.5,135.0,135.77,116.46,11026
2016-11-01,139.0,141.0,137.5,139.45,119.61,14020
2016-11-02,139.07,139.07,134.5,135.07,115.86,14816
2016-11-03,135.27,141.48,134.5,137.23,117.7,18808
2016-11-04,135.5,137.48,124.5,133.02,114.1,12738
2016-11-07,135.0,136.5,133.8,134.0,114.94,11146
2016-11-08,136.0,136.07,131.52,133.6,114.59,14916
2016-11-09,117.5,125.0,107.0,124.93,107.15,7572
2016-11-10,124.62,127.5,124.62,126.25,108.29,9500
2016-11-11,130.0,130.0,120.07,121.4,104.13,5022
2016-11-15,121.0,132.5,110.6,114.75,98.42,44498
2016-11-16,116.0,121.5,107.5,115.5,99.07,51170
2016-11-17,116.0,122.5,110.5,112.93,96.86,22608
2016-11-18,113.2,117.5,112.5,112.5,96.49,11102
2016-11-21,113.0,114.25,97.0,101.43,87.0,11952
2016-11-22,101.0,109.35,98.5,104.82,89.91,11254
2016-11-23,105.0,109.47,105.0,108.0,92.63,10152
2016-11-24,108.5,122.2,103.5,112.53,96.52,8876
2016-11-25,113.5,135.0,113.5,125.22,107.41,18826
2016-11-28,125.5,132.5,110.3,121.05,103.83,22390
2016-11-29,121.25,124.5,119.55,122.18,104.79,12714
2016-11-30,120.0,123.0,120.0,121.0,103.79,13150
2016-12-01,121.12,122.72,119.5,119.5,102.5,13224
2016-12-02,121.5,121.5,111.0,117.5,100.78,228
2016-12-05,110.5,119.0,110.5,117.0,100.35,33526
2016-12-06,120.0,120.0,110.0,114.18,97.93,584
2016-12-07,116.38,117.0,108.5,108.72,93.26,260
2016-12-08,119.0,120.0,107.5,119.72,102.69,15348
2016-12-09,120.0,120.0,113.97,119.45,102.46,17606
2016-12-12,119.0,120.0,116.9,120.0,102.93,10080
2016-12-13,119.43,120.0,116.32,120.0,102.93,10340
2016-12-14,118.4,118.4,113.3,114.18,97.93,14038
2016-12-15,114.0,120.0,111.65,119.45,102.46,10864
2016-12-16,119.0,119.1,107.55,116.12,99.6,15684
2016-12-19,116.5,116.5,110.0,114.1,97.87,12706
2016-12-20,114.07,114.97,110.5,112.05,96.11,27722
2016-12-21,112.0,113.5,105.5,110.3,94.61,21440
2016-12-22,110.28,112.75,109.32,110.28,94.59,10318
2016-12-23,117.5,118.0,110.0,113.15,97.05,40166
2016-12-26,112.1,112.5,110.05,112.25,96.28,13678
2016-12-27,112.5,116.5,110.03,110.38,94.67,16620
2016-12-28,98.25,120.0,96.3,111.55,95.68,14768
2016-12-29,119.5,123.0,113.12,120.7,103.53,17150
2016-12-30,121.0,125.47,118.4,121.03,103.81,24544
2017-01-02,124.45,126.75,121.05,126.2,108.25,18506
2017-01-03,125.0,126.5,122.47,126.43,108.44,17120
2017-01-04,130.0,130.0,125.0,125.75,107.86,11328
2017-01-05,126.0,128.45,122.5,125.1,107.3,560
2017-01-06,128.95,128.95,122.53,127.0,108.93,590
2017-01-09,115.05,131.7,115.03,127.5,109.36,866
2017-01-10,122.5,122.5,122.5,122.5,105.07,4
2017-01-11,120.05,120.05,119.5,119.5,102.5,1020
2017-01-12,119.5,128.5,119.5,127.65,109.49,964
2017-01-13,125.0,126.5,121.45,126.0,108.07,240
2017-01-16,120.0,120.0,120.0,120.0,102.93,10
2017-01-17,116.03,122.5,116.03,120.0,102.93,5668
2017-01-18,120.0,125.97,120.0,120.03,102.95,104
2017-01-19,121.95,122.0,120.43,120.43,103.29,7166
2017-01-20,121.0,122.15,111.65,117.95,101.17,10766
2017-01-23,118.0,122.5,117.95,122.5,105.07,3776
2017-01-24,122.5,122.5,122.5,122.5,105.07,4
2017-01-25,123.05,128.5,117.7,119.5,102.5,18034
2017-01-27,117.1,124.0,117.1,120.12,103.03,10546
2017-01-30,125.0,127.0,121.53,124.25,106.57,29074
2017-01-31,125.0,125.55,119.05,124.35,106.66,16230
2017-02-01,125.0,127.5,120.12,123.9,106.27,18072
2017-02-02,123.2,126.45,122.97,125.2,107.39,720
2017-02-03,125.47,126.4,122.55,124.5,106.79,2082
2017-02-06,124.5,125.5,123.25,125.07,107.28,13574
2017-02-07,122.5,125.5,121.55,123.95,106.32,11494
2017-02-08,132.73,132.73,121.2,123.82,106.21,17468
2017-02-09,126.0,126.0,122.55,124.9,107.13,18764
2017-02-10,132.5,132.5,125.07,125.7,107.82,26364
2017-02-13,126.05,129.02,120.68,122.68,105.22,15152
2017-02-14,124.43,126.95,120.5,124.57,106.85,12140
2017-02-15,123.0,125.05,121.95,123.88,106.25,14598
2017-02-16,122.5,126.88,121.03,124.8,107.04,11852
2017-02-17,123.03,124.88,123.0,123.93,106.29,12816
2017-02-20,126.88,129.0,122.5,124.12,106.47,32212
2017-02-21,128.0,128.05,122.55,125.55,107.69,11472
2017-02-22,125.6,126.3,123.0,123.5,105.93,12302
2017-02-23,125.25,125.25,121.5,122.3,104.9,10288
2017-02-27,127.82,127.82,117.75,122.82,105.35,13448
2017-02-28,120.3,124.93,120.3,121.05,103.83,12184
2017-03-01,121.5,122.5,116.5,118.15,101.34,16716
2017-03-02,118.5,121.97,117.75,118.88,101.96,10956
2017-03-03,118.5,123.25,115.25,122.0,104.64,16674
2017-03-06,122.5,127.53,117.68,119.7,102.67,13792
