Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,6.2,6.56,6.1,6.36,2.82,594050
2002-07-02,6.61,6.61,6.24,6.52,2.89,594725
2002-07-03,6.58,7.1,6.56,6.86,3.04,978175
2002-07-04,6.9,7.08,6.65,6.81,3.02,568900
2002-07-05,7.01,7.12,6.83,7.07,3.13,1542850
2002-07-08,7.47,8.18,7.3,7.91,3.5,3012400
2002-07-09,7.64,8.0,7.52,7.62,3.38,1354400
2002-07-10,7.6,7.92,7.35,7.38,3.27,717100
2002-07-11,7.24,7.48,7.02,7.06,3.13,752625
2002-07-12,7.21,7.32,6.91,6.98,3.09,698875
2002-07-15,6.85,7.0,6.75,6.9,3.06,294150
2002-07-16,6.65,6.8,6.58,6.62,2.93,369675
2002-07-17,6.82,6.82,6.43,6.54,2.9,127500
2002-07-18,6.6,7.15,6.54,6.58,2.91,330350
2002-07-19,6.7,6.8,6.56,6.63,2.94,326975
2002-07-22,6.26,6.5,6.08,6.15,2.72,226500
2002-07-23,5.46,6.74,5.45,6.3,2.79,174900
2002-07-24,6.34,6.52,6.2,6.25,2.77,60875
2002-07-25,6.34,6.4,6.2,6.21,2.75,77525
2002-07-26,6.1,6.1,5.7,5.78,2.56,250150
2002-07-29,5.7,6.09,4.94,5.49,2.43,657900
2002-07-30,5.45,5.6,5.4,5.42,2.4,184250
2002-07-31,5.05,5.66,5.01,5.63,2.49,139975
2002-08-01,5.74,5.75,5.5,5.6,2.48,88500
2002-08-02,5.43,5.53,5.28,5.41,2.4,148050
2002-08-05,5.5,5.59,5.38,5.54,2.45,250025
2002-08-06,5.6,5.77,5.6,5.72,2.53,77450
2002-08-07,5.8,5.95,5.8,5.89,2.61,102900
2002-08-08,5.54,5.78,5.44,5.59,2.48,283175
2002-08-09,5.25,5.79,5.25,5.55,2.46,128050
2002-08-12,5.68,5.77,5.6,5.76,2.55,87775
2002-08-13,5.8,5.83,5.55,5.77,2.56,235575
2002-08-14,5.52,5.79,5.52,5.67,2.51,91275
2002-08-15,5.67,5.67,5.67,5.67,2.51,0
2002-08-16,5.33,5.85,5.33,5.8,2.57,132775
2002-08-19,6.0,6.0,5.64,5.8,2.57,119250
2002-08-20,5.99,6.0,5.7,5.97,2.64,294075
2002-08-21,5.85,6.22,5.82,5.98,2.65,395125
2002-08-22,5.95,6.2,5.85,5.9,2.61,498900
2002-08-23,6.0,6.1,5.9,6.0,2.66,345050
2002-08-26,6.0,6.01,5.74,5.76,2.55,119400
2002-08-27,5.81,5.93,5.59,5.64,2.5,106100
2002-08-28,5.65,5.8,5.53,5.64,2.5,100825
2002-08-29,5.61,5.62,5.42,5.43,2.41,61550
2002-08-30,5.55,5.55,5.46,5.48,2.43,56250
2002-09-02,5.52,5.6,5.42,5.45,2.41,81450
2002-09-03,5.69,5.69,5.43,5.63,2.49,120500
2002-09-04,5.6,5.64,5.55,5.55,2.46,52700
2002-09-05,5.5,5.6,5.45,5.6,2.48,227300
2002-09-06,5.55,5.56,5.46,5.5,2.44,109475
2002-09-09,5.44,5.5,5.26,5.33,2.36,44225
2002-09-10,5.33,5.33,5.33,5.33,2.36,0
2002-09-11,5.56,5.56,5.4,5.44,2.41,19500
2002-09-12,5.41,5.5,5.41,5.47,2.42,27500
2002-09-13,5.4,5.43,5.39,5.39,2.39,24000
2002-09-16,5.39,5.49,5.35,5.37,2.38,43300
2002-09-17,5.34,5.4,5.33,5.4,2.39,52500
2002-09-18,5.33,5.53,5.3,5.33,2.36,45075
2002-09-19,5.26,5.26,4.99,5.08,2.25,392500
2002-09-20,5.07,5.16,5.07,5.16,2.29,12000
2002-09-23,5.16,5.36,5.15,5.26,2.33,98250
2002-09-24,5.18,5.18,5.02,5.15,2.28,123500
2002-09-25,5.04,5.05,5.02,5.05,2.24,57450
2002-09-26,5.04,5.54,4.89,5.06,2.24,33025
2002-09-27,5.27,5.27,5.11,5.16,2.29,22000
2002-09-30,4.65,5.41,4.65,5.16,2.29,69750
