Date,Open,High,Low,Close,Adj Close,Volume
2015-03-02,463.25,486.4,461.0,486.15,477.84,42480
2015-03-03,510.45,510.45,489.0,510.45,501.73,42711
2015-03-04,534.0,535.95,520.0,535.95,526.79,7544
2015-03-05,562.7,562.7,540.5,562.65,553.04,23923
2015-03-09,582.0,582.0,534.55,535.75,526.6,11503
2015-03-10,530.0,530.0,509.0,509.45,500.75,5368
2015-03-11,512.0,519.0,485.2,494.45,486.0,4918
2015-03-12,474.0,500.0,474.0,488.05,479.71,3228
2015-03-13,499.95,501.0,465.05,466.95,458.97,4580
2015-03-16,469.0,471.0,451.1,459.4,451.55,2788
2015-03-17,459.0,482.0,431.0,449.2,441.53,8243
2015-03-18,455.0,474.85,451.05,469.75,461.72,5073
2015-03-19,468.4,477.8,450.0,463.0,455.09,6551
2015-03-20,464.0,464.8,448.0,452.0,444.28,1309
2015-03-23,445.4,456.5,445.4,450.45,442.75,7653
2015-03-24,455.1,455.1,432.4,441.6,434.05,2139
2015-03-25,445.0,453.0,411.0,436.6,429.14,9952
2015-03-26,435.0,445.0,402.4,416.2,409.09,3639
2015-03-27,425.0,435.0,405.05,429.45,422.11,3788
2015-03-30,425.0,440.0,420.0,439.35,431.84,1752
2015-03-31,435.0,440.0,425.35,439.45,431.94,2001
2015-04-01,440.0,440.0,430.0,431.85,424.47,528
2015-04-06,445.0,445.0,430.0,436.3,428.85,1509
2015-04-07,431.05,445.9,422.0,439.95,432.43,5288
2015-04-08,440.0,440.0,426.0,428.9,421.57,4875
2015-04-09,425.0,450.0,405.5,438.9,431.4,10889
2015-04-10,438.7,450.0,435.0,440.0,432.48,2086
2015-04-13,448.0,455.05,441.0,449.9,442.21,3984
2015-04-15,453.0,453.0,430.0,433.55,426.14,3045
2015-04-16,439.95,440.0,425.0,434.85,427.42,1312
2015-04-17,436.95,436.95,422.0,425.35,418.08,1178
2015-04-20,423.75,434.0,410.0,416.35,409.24,4637
2015-04-21,411.35,420.9,410.0,411.35,404.32,2935
2015-04-22,410.65,430.45,410.65,418.7,411.55,937
2015-04-23,410.55,420.9,410.05,410.8,403.78,354
2015-04-24,411.1,412.85,404.0,409.45,402.45,3055
2015-04-27,410.0,410.0,331.25,400.05,393.21,3894
2015-04-28,400.0,411.0,390.0,400.95,394.1,1316
2015-04-29,395.0,400.0,379.1,385.85,379.26,304
2015-04-30,399.35,407.95,386.55,397.55,390.76,6554
2015-05-04,385.2,408.0,385.2,402.1,395.23,2323
2015-05-05,390.7,420.0,390.7,409.8,402.8,904
2015-05-06,408.0,408.0,383.0,387.3,380.68,1001
2015-05-07,396.95,400.05,368.0,376.55,370.12,1768
2015-05-08,388.0,399.7,375.0,380.0,373.51,101823
2015-05-11,383.0,410.0,383.0,402.75,395.87,942
2015-05-12,390.0,410.0,386.05,401.25,394.39,350
2015-05-13,400.0,414.5,399.9,404.5,397.59,1054
2015-05-14,405.45,408.7,395.0,396.3,389.53,666
2015-05-15,408.0,408.0,391.0,394.95,388.2,443
2015-05-18,394.95,412.0,392.05,404.25,397.34,21184
2015-05-19,409.95,432.0,401.55,421.05,413.86,1240
2015-05-20,419.2,440.0,419.2,436.55,429.09,380
2015-05-21,420.0,434.0,410.0,429.2,421.87,332
2015-05-22,428.2,440.0,416.0,433.8,426.39,1378
2015-05-25,419.75,448.95,419.75,436.2,428.75,1534
2015-05-26,441.9,441.9,420.0,420.0,412.82,102
2015-05-27,425.0,425.0,405.0,412.45,405.4,737
2015-05-28,435.8,437.9,402.75,419.1,411.94,2617
2015-05-29,432.0,432.0,401.55,414.8,407.71,2585
2015-06-01,401.65,431.45,401.65,423.35,416.12,446
2015-06-02,412.15,415.0,408.0,411.5,404.47,676
2015-06-03,401.5,408.0,390.0,391.4,384.71,946
2015-06-04,399.65,400.0,381.0,394.5,387.76,1260
2015-06-05,389.05,389.15,373.5,375.2,368.79,2208
2015-06-08,382.0,398.45,359.95,364.75,358.52,6147
2015-06-09,379.75,379.75,313.7,344.85,338.96,5333
2015-06-10,340.0,359.5,340.0,349.4,343.43,2396
2015-06-11,343.0,409.75,332.1,380.6,374.1,7642
2015-06-12,352.4,379.8,352.4,360.2,354.05,3450
2015-06-15,351.75,399.5,347.95,351.05,345.05,2324
2015-06-16,352.0,380.0,345.0,347.35,341.42,12107
2015-06-17,350.0,355.0,347.0,350.0,344.02,23193
2015-06-18,351.0,351.0,345.65,349.65,343.68,1196
2015-06-19,350.0,358.0,345.0,345.05,339.15,5601
2015-06-22,346.0,349.95,331.6,334.55,328.83,6304
2015-06-23,344.9,344.9,336.0,339.55,333.75,2708
2015-06-24,340.0,348.0,335.0,335.45,329.72,1630
2015-06-25,338.05,340.0,330.1,335.05,329.33,5357
2015-06-26,339.95,340.0,332.5,333.7,328.0,2289
2015-06-29,314.0,334.7,314.0,322.8,317.28,5808
2015-06-30,330.0,343.0,310.0,316.2,310.8,3777
2015-07-01,310.0,328.9,310.0,312.6,307.26,2702
2015-07-02,313.05,319.9,303.2,316.75,311.34,7335
2015-07-03,324.95,333.75,320.0,328.95,323.33,2441
2015-07-06,325.0,350.0,311.5,315.1,309.72,14070
2015-07-07,314.7,320.0,309.95,312.5,307.16,14494
2015-07-08,310.0,310.0,299.0,308.45,303.18,8150
2015-07-09,309.0,333.0,300.0,314.9,309.52,14164
2015-07-10,320.0,376.0,318.0,333.4,327.7,34646
2015-07-13,334.85,368.0,334.85,350.9,344.9,29657
2015-07-14,356.0,383.0,345.0,353.1,347.07,203489
2015-07-15,350.0,360.0,321.4,331.6,325.93,23628
2015-07-16,331.0,338.9,323.1,325.3,319.74,13516
2015-07-17,320.5,330.0,320.5,324.65,319.1,12779
2015-07-20,329.0,337.8,323.0,331.95,326.28,13622
2015-07-21,332.0,342.0,326.0,329.75,324.12,4923
2015-07-22,328.1,335.0,312.0,329.05,323.43,22262
2015-07-23,334.0,341.1,327.05,336.0,330.26,6042
2015-07-24,342.0,342.0,325.0,333.6,327.9,5138
2015-07-27,331.0,346.2,324.5,329.1,323.48,2456
2015-07-28,330.0,339.8,330.0,333.8,328.1,2878
2015-07-29,338.0,340.0,322.0,336.8,331.05,10906
2015-07-30,338.0,353.85,337.0,339.7,333.9,7340
2015-07-31,348.0,357.7,345.05,352.65,346.62,11748
2015-08-03,360.0,375.0,359.0,367.05,360.78,12236
2015-08-04,367.1,407.0,360.0,403.3,396.41,37647
2015-08-05,411.0,419.0,403.0,405.25,398.33,16176
2015-08-06,402.6,406.0,390.05,391.75,385.06,3250
2015-08-07,385.0,389.95,375.05,386.15,379.55,2627
2015-08-10,390.0,397.65,385.0,389.3,382.65,1513
2015-08-11,385.05,387.0,375.0,380.5,374.0,2208
2015-08-12,375.55,380.0,370.0,374.15,367.76,12109
2015-08-13,374.95,383.9,367.0,375.0,368.59,14013
2015-08-14,375.05,380.95,375.0,375.0,369.08,8473
2015-08-17,387.95,390.0,368.0,378.25,372.28,970
2015-08-18,375.5,384.0,370.4,375.0,369.08,3190
2015-08-19,375.0,393.5,375.0,381.55,375.53,761
2015-08-20,375.05,380.0,374.0,379.25,373.27,2733
2015-08-21,355.0,380.0,347.7,378.2,372.23,4406
2015-08-24,355.0,372.0,351.7,359.55,353.88,12375
2015-08-25,360.0,400.0,330.0,368.15,362.34,7300
2015-08-26,368.0,373.0,350.0,368.3,362.49,3583
2015-08-27,370.05,378.9,365.45,372.85,366.97,2776
2015-08-28,376.95,377.0,360.0,361.25,355.55,3089
2015-08-31,360.0,385.0,360.0,375.0,369.08,3559
2015-09-01,363.75,380.0,362.55,375.75,369.82,4074
2015-09-02,375.0,377.9,361.55,375.25,369.33,5699
2015-09-03,375.0,380.0,375.0,377.65,371.69,3479
2015-09-04,365.1,376.2,365.1,371.85,365.98,2792
2015-09-07,365.5,373.45,358.0,358.6,352.94,1281
2015-09-08,355.35,358.95,347.35,356.05,350.43,1748
2015-09-09,355.5,373.0,355.5,367.95,362.15,445
2015-09-10,355.0,380.0,348.0,376.15,370.22,5024
2015-09-11,380.0,387.95,375.1,384.95,378.88,926
2015-09-14,387.0,396.75,378.15,391.05,384.88,982
2015-09-15,390.0,397.95,383.5,387.2,381.09,1585
2015-09-16,387.2,395.0,378.0,391.25,385.08,1215
2015-09-18,385.3,397.85,380.0,380.65,374.65,1632
2015-09-21,384.85,387.35,379.0,382.3,376.27,532
2015-09-22,397.0,401.4,380.05,400.0,393.69,5403
2015-09-23,398.95,399.0,390.0,396.05,389.8,1159
2015-09-24,400.0,404.95,398.0,399.95,393.64,2542
2015-09-28,406.0,414.0,401.6,408.8,402.35,1343
2015-09-29,398.05,409.3,391.8,395.9,389.66,1091
2015-09-30,390.05,394.75,363.7,390.05,383.9,2657
2015-10-01,394.0,399.5,393.95,394.0,387.79,2036
2015-10-05,415.0,415.0,362.0,397.1,390.84,2082
2015-10-06,397.05,405.0,391.9,391.9,385.72,300
2015-10-07,399.95,400.0,380.0,388.55,382.42,2136
2015-10-08,393.0,400.0,391.7,399.8,393.49,1273
2015-10-09,401.0,410.0,395.05,402.15,395.81,3355
2015-10-12,399.55,405.0,390.0,392.5,386.31,221
2015-10-13,405.0,415.0,403.55,410.0,403.53,1885
2015-10-14,413.9,414.0,405.35,407.6,401.17,669
2015-10-15,402.05,420.0,402.05,408.5,402.06,1407
2015-10-16,401.75,415.0,401.75,410.35,403.88,615
2015-10-19,412.0,419.7,402.2,416.75,410.18,1243
2015-10-20,410.0,421.0,403.65,412.75,406.24,1771
2015-10-21,410.0,430.0,402.2,426.1,419.38,1591
2015-10-23,424.95,425.0,398.0,411.8,405.3,1535
2015-10-26,419.9,424.0,403.7,409.0,402.55,1499
2015-10-27,408.0,422.5,403.0,416.65,410.08,858
2015-10-28,421.5,421.5,403.1,407.0,400.58,2336
2015-10-29,408.0,415.95,400.9,410.5,404.02,170
2015-10-30,415.0,420.05,405.0,405.55,399.15,2025
2015-11-02,414.95,421.0,406.0,420.55,413.92,2752
2015-11-03,413.0,425.0,401.05,420.2,413.57,1573
2015-11-04,418.0,449.0,405.0,414.4,407.86,25701
2015-11-05,416.0,420.0,408.0,408.0,401.56,1117
2015-11-06,410.0,424.95,406.0,413.65,407.13,4149
2015-11-09,410.0,413.9,408.0,413.3,406.78,201
2015-11-10,411.0,423.9,397.95,400.2,393.89,1615
2015-11-13,413.0,421.9,402.95,405.45,399.05,989
2015-11-16,406.0,418.0,406.0,410.1,403.63,2177
2015-11-17,416.95,425.0,412.0,422.05,415.39,1440
2015-11-18,415.55,415.55,410.0,411.45,404.96,1641
2015-11-19,413.0,426.0,408.0,410.25,403.78,216
2015-11-20,413.0,427.9,408.0,419.95,413.33,1536
2015-11-23,413.0,440.0,413.0,433.6,426.76,1418
2015-11-24,433.6,446.0,430.0,439.3,432.37,890
2015-11-26,440.0,440.0,425.0,432.15,425.33,2520
2015-11-27,442.95,450.0,431.1,432.0,425.19,2046
2015-11-30,431.55,435.0,426.6,434.9,428.04,1164
2015-12-01,446.0,449.0,438.0,440.05,433.11,923
2015-12-02,439.0,482.0,436.0,456.65,449.45,6419
2015-12-03,453.0,465.0,452.95,458.7,451.46,2496
2015-12-04,448.05,499.7,448.0,484.45,476.81,3062
2015-12-07,484.45,524.0,484.45,512.95,504.86,4927
2015-12-08,520.0,549.0,504.5,532.3,523.9,4293
2015-12-09,535.0,558.0,511.0,515.45,507.32,9114
2015-12-10,455.5,536.0,455.5,522.8,514.55,2541
2015-12-11,513.5,537.9,513.5,529.35,521.0,3413
2015-12-14,513.3,535.0,513.3,517.2,509.04,1316
2015-12-15,536.0,542.0,515.0,528.45,520.11,2821
2015-12-16,514.0,544.9,514.0,526.2,517.9,1618
2015-12-17,530.0,530.0,525.05,528.55,520.21,838
2015-12-18,522.0,541.9,519.1,536.0,527.55,2268
2015-12-21,540.0,581.0,540.0,557.2,548.41,5187
