Date,Open,High,Low,Close,Adj Close,Volume
2019-10-23,42.55,44.65,40.45,40.45,40.45,35451
2019-10-24,38.45,38.45,38.45,38.45,38.45,942
2019-10-25,36.55,36.55,36.55,36.55,36.55,9383
2019-10-29,33.05,36.45,33.05,33.05,33.05,1767669
2019-10-30,31.4,32.95,31.4,31.4,31.4,162234
2019-10-31,29.85,31.0,29.85,29.85,29.85,471976
2019-11-01,29.4,31.3,28.4,31.3,31.3,390460
2019-11-04,32.5,32.85,32.5,32.85,32.85,66644
2019-11-05,34.2,34.45,32.1,34.1,34.1,876129
2019-11-06,35.9,35.9,28.35,33.2,33.2,138583
2019-11-07,32.75,38.0,32.75,35.0,35.0,939547
2019-11-08,35.85,42.0,35.85,40.35,40.35,999702
2019-11-11,44.0,48.4,44.0,48.4,48.4,602224
2019-11-13,53.2,53.2,45.0,48.35,48.35,815608
2019-11-14,48.0,48.0,44.2,46.25,46.25,115819
2019-11-15,44.4,48.0,44.4,45.65,45.65,197753
2019-11-18,45.65,47.0,42.0,46.15,46.15,99444
2019-11-19,46.15,49.3,45.65,48.3,48.3,222630
2019-11-20,49.2,49.2,46.0,47.5,47.5,176732
2019-11-21,48.5,48.7,47.0,47.5,47.5,249446
2019-11-22,47.25,48.0,45.0,46.0,46.0,40154
2019-11-25,47.5,47.9,45.9,47.3,47.3,112390
2019-11-26,47.3,50.0,46.0,47.0,47.0,114713
2019-11-27,46.5,48.25,45.0,47.45,47.45,139523
2019-11-28,47.45,47.8,45.05,45.95,45.95,85675
2019-11-29,47.35,47.35,45.3,45.7,45.7,18011
2019-12-02,45.0,46.9,44.6,46.3,46.3,52614
2019-12-03,46.3,47.5,44.1,45.45,45.45,65973
2019-12-04,46.0,46.25,44.15,45.85,45.85,19330
2019-12-05,46.0,46.55,45.1,45.75,45.75,26757
2019-12-06,46.0,47.2,44.55,45.25,45.25,44006
2019-12-09,45.0,46.5,44.1,45.75,45.75,23682
2019-12-10,45.75,46.7,42.0,45.1,45.1,85327
2019-12-11,45.1,45.3,43.6,43.8,43.8,12579
2019-12-12,43.8,47.0,43.3,46.35,46.35,117719
2019-12-13,45.1,47.5,44.0,44.85,44.85,58340
2019-12-16,45.0,46.1,44.25,44.65,44.65,79254
2019-12-17,44.6,45.5,44.1,44.8,44.8,86375
2019-12-18,44.5,45.0,44.35,44.4,44.4,240746
2019-12-19,44.8,45.0,43.0,43.25,43.25,740730
2019-12-20,43.25,44.2,43.0,43.15,43.15,869429
2019-12-23,43.0,45.8,43.0,44.05,44.05,241951
2019-12-24,44.4,46.3,44.4,44.7,44.7,236157
2019-12-26,45.8,46.5,44.35,45.7,45.7,41242
2019-12-27,46.0,46.0,44.2,45.05,45.05,59373
2019-12-30,45.9,46.0,44.6,45.55,45.55,60268
2019-12-31,45.85,46.0,45.0,45.45,45.45,59883
2020-01-01,45.3,45.65,44.05,44.95,44.95,73326
2020-01-02,45.65,49.4,44.8,48.0,48.0,169592
2020-01-03,47.3,48.45,46.7,47.45,47.45,148154
2020-01-06,47.45,47.85,45.1,46.5,46.5,39676
2020-01-07,45.35,47.8,45.35,46.95,46.95,49038
2020-01-08,46.9,46.9,45.5,45.75,45.75,21904
2020-01-09,46.0,46.3,44.4,44.75,44.75,78960
2020-01-10,44.6,45.05,43.9,44.05,44.05,154754
2020-01-13,44.15,44.9,42.8,43.6,43.6,110064
2020-01-14,43.85,44.4,43.1,43.35,43.35,51401
2020-01-15,43.1,46.0,43.05,45.65,45.65,45799
2020-01-16,45.05,50.2,44.0,47.8,47.8,436030
2020-01-17,48.75,49.8,47.0,49.05,49.05,60590
2020-01-20,48.0,53.0,48.0,50.95,50.95,174318
2020-01-21,52.5,56.0,52.35,56.0,56.0,334421
2020-01-22,58.65,58.8,55.65,58.8,58.8,85453
2020-01-23,59.9,61.0,56.15,57.55,57.55,345469
2020-01-24,59.85,59.85,54.85,55.75,55.75,165335
2020-01-27,54.5,56.2,53.6,54.1,54.1,38092
2020-01-28,56.7,56.75,53.0,53.9,53.9,72808
2020-01-29,55.0,55.9,54.55,55.05,55.05,36594
2020-01-30,55.1,57.8,54.55,57.55,57.55,79242
2020-01-31,57.6,58.65,55.35,56.7,56.7,70122
2020-02-03,55.0,56.5,51.25,55.7,55.7,96898
2020-02-04,55.5,58.45,54.3,58.2,58.2,81829
2020-02-05,59.5,61.1,55.3,55.3,55.3,634891
2020-02-06,52.6,54.3,50.65,52.45,52.45,243022
2020-02-07,51.05,54.8,51.05,52.4,52.4,77816
2020-02-10,51.35,55.7,51.35,55.0,55.0,677905
2020-02-11,55.0,57.35,54.0,55.0,55.0,1635908
2020-02-12,56.45,56.75,53.6,55.55,55.55,60649
2020-02-13,55.0,57.0,54.3,56.15,56.15,45986
2020-02-14,56.2,57.5,56.0,56.85,56.85,54334
2020-02-17,56.85,56.85,54.0,54.5,54.5,54959
2020-02-18,54.15,55.85,53.3,54.15,54.15,137912
2020-02-19,55.8,55.8,54.15,54.5,54.5,13316
2020-02-20,56.3,56.3,54.3,54.85,54.85,46282
2020-02-24,54.85,54.85,52.5,53.3,53.3,64330
2020-02-25,52.0,56.0,51.1,53.4,53.4,49679
2020-02-26,53.05,53.05,51.7,52.35,52.35,83341
2020-02-27,51.5,53.0,48.5,51.65,51.65,101856
2020-02-28,49.0,50.4,46.5,48.55,48.55,180969
2020-03-02,50.0,52.45,47.0,49.55,49.55,66150
2020-03-03,50.75,50.8,46.55,47.0,47.0,79166
2020-03-04,47.95,47.95,42.4,42.9,42.9,203749
2020-03-05,45.4,45.4,38.65,39.5,39.5,539391
2020-03-06,39.9,40.0,37.6,38.95,38.95,56238
2020-03-09,38.1,39.45,37.1,37.9,37.9,125974
2020-03-11,38.9,39.75,36.05,36.15,36.15,161964
2020-03-12,36.0,36.0,34.35,34.4,34.4,64837
2020-03-13,33.0,36.0,32.7,34.75,34.75,88081
2020-03-16,34.75,34.75,33.05,33.05,33.05,56820
2020-03-17,31.55,34.35,31.4,32.1,32.1,44518
2020-03-18,32.1,33.0,31.4,31.75,31.75,36666
2020-03-19,30.25,33.0,30.2,30.5,30.5,92604
2020-03-20,30.5,32.0,29.25,32.0,32.0,135411
2020-03-23,31.5,33.6,30.4,30.4,30.4,63769
2020-03-24,30.5,31.75,28.9,28.9,28.9,43658
2020-03-25,28.0,30.0,27.5,29.55,29.55,162443
2020-03-26,29.0,30.95,28.1,29.55,29.55,92035
2020-03-27,30.8,30.9,29.0,29.85,29.85,31655
2020-03-30,30.65,30.65,28.55,29.0,29.0,16894
2020-03-31,30.45,30.45,27.55,28.6,28.6,64403
2020-04-01,29.7,29.7,27.85,28.7,28.7,26466
2020-04-03,28.75,29.5,28.0,28.25,28.25,37284
2020-04-07,29.55,29.65,28.3,29.6,29.6,108499
2020-04-08,30.0,30.15,28.6,28.95,28.95,89564
2020-04-09,29.1,30.1,28.75,29.1,29.1,235043
2020-04-13,29.0,29.1,27.65,29.0,29.0,142813
2020-04-15,29.05,29.9,28.0,29.5,29.5,261039
2020-04-16,29.8,30.15,28.9,29.5,29.5,79039
2020-04-17,29.6,30.95,29.6,30.95,30.95,30705
2020-04-20,32.4,32.45,30.0,31.95,31.95,53575
2020-04-21,30.6,31.15,30.4,30.4,30.4,22663
2020-04-22,30.25,30.25,28.9,29.0,29.0,91577
2020-04-23,29.2,30.0,28.9,29.3,29.3,27330
2020-04-24,30.75,30.75,28.9,29.6,29.6,56069
2020-04-27,29.2,30.35,29.0,29.2,29.2,53242
2020-04-28,30.65,30.65,27.75,27.75,27.75,177855
2020-04-29,28.55,28.8,26.5,28.25,28.25,167801
2020-04-30,28.85,28.85,26.85,27.4,27.4,143216
2020-05-04,26.05,26.95,26.05,26.55,26.55,98365
2020-05-05,26.9,27.45,25.5,25.8,25.8,95453
2020-05-06,26.65,26.65,24.6,25.15,25.15,55742
2020-05-07,25.75,25.75,24.8,24.8,24.8,52798
2020-05-08,25.2,25.7,24.65,25.05,25.05,46328
2020-05-11,25.0,25.5,24.25,25.4,25.4,47629
2020-05-12,26.15,26.15,24.15,24.25,24.25,55602
