Date,Open,High,Low,Close,Adj Close,Volume
2006-09-11,73.5,73.5,66.53,67.4,47.84,44154
2006-09-12,65.62,67.43,60.08,65.57,46.55,10336
2006-09-13,66.53,69.9,66.53,68.55,48.66,6240
2006-09-14,70.0,70.38,67.8,68.07,48.32,12878
2006-09-15,68.03,69.97,66.5,67.65,48.02,5886
2006-09-18,67.5,68.0,66.85,66.9,47.49,5380
2006-09-19,67.15,68.32,66.5,66.82,47.44,6218
2006-09-20,66.75,67.25,65.28,65.4,46.42,3092
2006-09-21,65.3,68.9,65.0,67.43,47.86,5000
2006-09-22,67.0,67.35,66.0,66.7,47.35,2466
2006-09-25,66.03,66.03,64.6,64.68,45.91,9930
2006-09-26,65.5,66.07,65.0,66.0,46.85,2904
2006-09-27,65.05,74.5,65.03,70.75,50.22,63484
2006-09-28,70.0,72.5,69.12,69.78,49.53,29414
2006-09-29,72.0,72.0,68.03,68.4,48.55,13500
2006-10-03,70.0,71.0,68.28,70.3,49.9,7950
2006-10-04,71.25,71.62,69.0,69.7,49.48,12166
2006-10-05,70.0,71.75,70.0,71.1,50.47,14912
2006-10-06,70.3,72.75,70.3,71.62,50.84,19488
2006-10-09,71.0,72.75,70.7,71.53,50.77,9338
2006-10-10,72.5,72.5,69.12,70.35,49.94,12414
2006-10-11,70.5,72.35,68.75,70.25,49.87,29498
2006-10-12,71.5,72.45,70.0,70.7,50.19,4058
2006-10-13,70.93,71.5,70.0,70.47,50.03,26048
2006-10-16,71.0,71.47,70.03,70.85,50.29,16916
2006-10-17,70.12,70.25,69.05,69.62,49.42,2026
2006-10-18,68.55,68.95,68.28,68.28,48.46,2680
2006-10-19,69.5,70.0,67.57,68.7,48.77,6206
2006-10-20,71.5,71.5,68.55,68.62,48.71,9670
2006-10-23,70.25,70.25,66.0,69.78,49.53,10530
2006-10-26,69.95,80.0,69.5,70.5,50.04,17456
2006-10-27,70.5,71.0,69.5,70.18,49.81,20220
2006-10-30,69.97,70.97,68.22,70.15,49.8,26060
2006-10-31,70.0,71.5,69.5,69.53,49.35,39582
2006-11-01,69.28,70.0,68.5,68.7,48.77,6116
2006-11-02,68.05,70.4,68.05,69.93,49.64,4800
2006-11-03,69.55,70.5,68.47,68.6,48.7,17478
2006-11-06,69.97,70.5,67.75,68.32,48.5,24790
2006-11-07,69.38,69.38,67.1,67.72,48.07,8910
2006-11-08,67.1,67.5,64.25,65.85,46.74,17972
2006-11-09,65.05,66.85,64.53,65.18,46.26,11658
2006-11-10,66.0,67.0,63.9,64.15,45.54,14918
2006-11-13,65.0,66.18,64.28,64.72,45.95,6578
2006-11-14,65.0,65.0,63.5,63.85,45.32,9434
