Date,Open,High,Low,Close,Adj Close,Volume
2016-07-14,356.5,374.3,356.5,374.3,364.14,228
2016-07-15,393.0,393.0,393.0,393.0,382.33,151
2016-07-18,412.65,412.65,412.65,412.65,401.45,50
2016-07-19,433.25,433.25,433.25,433.25,421.49,1069
2016-07-20,454.8,454.9,454.8,454.9,442.56,440
2016-07-21,477.6,477.6,477.6,477.6,464.64,61
2016-07-22,501.45,501.45,501.45,501.45,487.84,790
2016-07-25,526.5,526.5,526.5,526.5,512.21,370
2016-07-26,552.8,552.8,552.8,552.8,537.8,1230
2016-07-27,580.4,580.4,530.55,580.4,564.65,2088
2016-07-28,609.4,609.4,585.0,605.1,588.68,827
2016-07-29,576.0,576.0,574.85,574.85,559.25,9
2016-08-01,546.15,546.15,546.15,546.15,531.33,3
2016-08-02,518.85,518.85,518.85,518.85,504.77,2
2016-08-03,492.95,492.95,492.95,492.95,479.57,1
2016-08-04,468.35,468.35,468.35,468.35,455.64,14
2016-08-05,444.95,444.95,444.95,444.95,432.88,14
2016-08-08,422.75,422.75,422.75,422.75,411.28,401
2016-08-09,401.65,401.65,401.65,401.65,390.75,261
2016-08-10,381.6,399.0,381.6,381.6,371.24,700
2016-08-11,362.55,362.55,362.55,362.55,352.71,145
2016-08-12,362.55,362.55,344.45,344.45,335.1,214
2016-08-16,327.25,327.4,327.25,327.25,318.37,196
2016-08-17,343.0,343.0,310.9,325.0,316.18,477
2016-08-18,308.75,339.9,308.75,311.3,302.85,196
2016-08-19,326.85,326.85,320.0,326.85,317.98,150
2016-08-22,342.0,342.0,341.85,341.85,332.57,66
2016-08-23,342.0,358.0,324.8,349.95,340.45,452
2016-08-24,340.0,340.0,332.5,332.5,323.48,9
2016-08-25,316.0,332.0,315.9,328.0,319.1,64
2016-08-26,315.9,325.0,311.6,311.6,303.14,62
2016-08-29,296.05,296.05,296.05,296.05,288.02,152
2016-08-30,281.25,297.95,281.25,281.25,273.62,864
2016-08-31,267.3,268.45,267.2,268.4,261.12,186
2016-09-01,275.0,275.0,270.0,275.0,267.54,36
2016-09-02,259.35,285.8,259.35,285.8,280.08,48
2016-09-06,300.0,300.0,290.0,298.8,292.82,106
2016-09-07,284.0,285.1,283.9,285.0,279.3,45
2016-09-08,278.0,278.0,270.75,275.0,269.5,52
2016-09-09,263.1,288.4,261.25,287.5,281.75,137
2016-09-12,299.4,299.4,273.15,274.3,268.81,24
2016-09-14,279.95,288.0,275.0,275.05,269.55,202
2016-09-15,275.1,288.8,275.05,288.0,282.24,65
2016-09-16,273.65,273.65,273.65,273.65,268.17,17
2016-09-19,273.65,273.65,273.65,273.65,268.17,0
2016-09-20,261.5,287.0,261.5,287.0,281.26,121
2016-09-21,295.0,300.0,275.1,275.1,269.6,52
2016-09-22,275.1,275.1,275.1,275.1,269.6,0
2016-09-23,275.1,275.1,275.1,275.1,269.6,0
2016-09-26,275.1,275.1,275.1,275.1,269.6,0
2016-09-27,275.1,275.1,275.1,275.1,269.6,0
2016-09-28,261.5,288.85,261.4,288.85,283.07,90
2016-09-29,275.0,275.0,275.0,275.0,269.5,10
2016-09-30,261.3,261.3,261.3,261.3,256.07,340
2016-10-03,250.0,274.3,248.25,248.65,243.67,154
2016-10-04,248.65,261.05,248.65,261.0,255.78,127
2016-10-05,261.0,261.0,261.0,261.0,255.78,50
2016-10-06,261.0,261.0,261.0,261.0,255.78,0
2016-10-07,261.0,261.0,261.0,261.0,255.78,0
2016-10-10,261.0,261.0,261.0,261.0,255.78,0
2016-10-13,260.0,274.0,259.0,274.0,268.52,656
2016-10-14,284.0,286.0,270.0,275.0,269.5,1105
2016-10-17,270.0,270.0,261.3,261.3,256.07,45
2016-10-18,261.5,267.0,250.35,267.0,261.66,110
2016-10-19,266.95,267.0,260.1,266.95,261.61,157
2016-10-20,254.05,267.0,254.0,267.0,261.66,151
2016-10-21,263.65,265.0,263.0,263.0,257.74,68
2016-10-24,260.0,260.0,260.0,260.0,254.8,60
2016-10-25,250.0,250.0,247.0,247.0,242.06,90
2016-10-26,258.0,259.35,258.0,259.35,254.16,112
2016-10-27,271.85,271.85,271.8,271.8,266.36,151
2016-10-28,285.25,285.25,264.0,274.0,268.52,65
2016-11-01,270.75,288.75,270.75,270.75,265.33,37
2016-11-02,270.75,270.75,270.75,270.75,265.33,0
2016-11-03,270.75,270.75,270.75,270.75,265.33,0
2016-11-04,270.75,270.75,270.75,270.75,265.33,0
2016-11-07,282.9,282.9,257.25,258.65,253.47,74
2016-11-08,264.95,265.0,264.95,265.0,259.7,324
2016-11-09,265.0,265.0,265.0,265.0,259.7,0
2016-11-10,265.0,265.0,265.0,265.0,259.7,242
2016-11-11,252.0,252.0,252.0,252.0,246.96,35
2016-11-15,247.0,247.0,239.45,239.45,234.66,75
2016-11-16,228.3,251.4,227.5,251.4,246.37,474
2016-11-17,251.4,255.0,251.4,255.0,249.9,19
2016-11-18,242.6,250.0,242.25,250.0,245.0,213
2016-11-21,238.1,245.0,238.1,245.0,240.1,51
2016-11-22,232.8,244.85,232.8,244.85,239.95,14
2016-11-23,232.65,247.95,232.65,233.15,228.48,194
2016-11-24,221.55,234.85,221.55,228.0,223.44,303
2016-11-25,231.95,231.95,231.95,231.95,227.31,1
2016-11-28,222.55,239.9,222.55,237.95,233.19,476
2016-11-29,245.3,245.7,245.3,245.7,240.78,50
2016-11-30,245.7,245.7,245.7,245.7,240.78,0
2016-12-01,256.1,256.5,256.1,256.3,251.17,20
2016-12-02,248.1,248.1,243.5,243.5,238.63,10
2016-12-05,250.0,254.95,240.0,240.0,235.2,340
2016-12-06,240.0,240.0,240.0,240.0,235.2,0
2016-12-07,240.0,240.0,240.0,240.0,235.2,0
2016-12-08,228.2,251.6,228.2,242.0,237.16,612
2016-12-09,239.9,248.2,239.9,248.2,243.23,2
2016-12-12,248.2,248.2,248.2,248.2,243.23,0
2016-12-13,237.0,251.0,235.9,244.0,239.12,450
2016-12-14,243.0,245.0,232.2,245.0,240.1,170
2016-12-15,232.75,256.0,232.75,249.6,244.61,43
2016-12-16,237.15,256.8,237.15,249.0,244.02,25
2016-12-19,249.0,249.0,249.0,249.0,244.02,0
2016-12-20,236.75,254.0,236.75,253.85,248.77,388
2016-12-21,260.0,265.0,259.9,265.0,259.7,170
2016-12-22,251.75,270.0,251.75,260.0,254.8,160
2016-12-23,260.0,260.0,260.0,260.0,254.8,0
2016-12-26,260.0,260.0,260.0,260.0,254.8,0
2016-12-27,255.0,255.0,254.1,254.75,249.65,40
2016-12-28,243.1,246.1,243.1,246.1,241.18,4
2016-12-29,246.1,246.1,246.1,246.1,241.18,0
2016-12-30,246.1,246.1,246.1,246.1,241.18,51
2017-01-02,246.1,246.1,246.1,246.1,241.18,0
2017-01-03,246.1,246.1,246.1,246.1,241.18,0
2017-01-04,255.0,255.0,250.0,250.0,245.0,102
2017-01-05,250.0,250.0,250.0,250.0,245.0,0
2017-01-06,262.5,262.5,262.5,262.5,257.25,7
2017-01-09,262.5,262.5,262.5,262.5,257.25,42
2017-01-10,275.6,275.6,260.0,274.7,269.2,461
2017-01-11,287.95,288.3,266.1,270.55,265.14,87
2017-01-12,270.55,270.55,270.55,270.55,265.14,0
2017-01-13,270.55,270.55,270.55,270.55,265.14,0
2017-01-16,270.55,270.55,270.55,270.55,265.14,20
2017-01-17,270.0,270.0,270.0,270.0,264.6,50
2017-01-18,270.0,270.0,270.0,270.0,264.6,400
2017-01-19,282.5,283.5,282.5,283.25,277.58,100
2017-01-20,270.0,270.0,270.0,270.0,264.6,2
2017-01-23,275.1,283.5,275.1,283.5,277.83,42
2017-01-24,297.65,297.65,270.0,285.0,279.3,646
2017-01-25,285.0,285.0,285.0,285.0,279.3,0
2017-01-27,299.0,299.0,270.75,277.3,271.75,1305
2017-01-30,277.3,277.3,277.3,277.3,271.75,50
2017-01-31,267.4,267.4,266.0,266.0,260.68,105
2017-02-01,266.0,266.0,266.0,266.0,260.68,0
2017-02-02,266.0,266.0,266.0,266.0,260.68,0
2017-02-03,279.3,279.3,276.0,276.0,270.48,25
2017-02-06,280.0,280.0,262.2,262.2,256.95,107
2017-02-07,260.1,260.1,260.1,260.1,254.9,13
2017-02-08,260.55,267.0,260.1,267.0,261.66,300
2017-02-09,279.9,280.35,271.5,280.3,274.69,477
2017-02-10,280.35,294.0,267.0,275.1,269.6,435
2017-02-13,284.0,288.85,284.0,288.75,282.97,320
2017-02-14,275.35,303.0,275.0,299.95,293.95,149
2017-02-15,299.0,299.0,285.0,294.65,288.75,386
2017-02-16,298.0,309.35,280.25,295.25,289.34,233
2017-02-17,295.25,310.0,295.25,310.0,303.8,479
2017-02-20,325.5,325.5,325.0,325.5,318.99,280
2017-02-21,325.0,338.0,325.0,332.7,326.04,489
2017-02-22,325.0,325.0,325.0,325.0,318.5,364
2017-02-23,310.2,331.0,310.2,310.7,304.48,139
2017-02-27,312.0,312.0,301.5,301.5,295.47,24
2017-02-28,310.0,311.0,290.15,311.0,304.78,240
2017-03-01,299.0,300.0,297.2,300.0,294.0,50
2017-03-02,300.0,301.0,294.0,301.0,294.98,130
2017-03-03,292.0,292.0,291.1,291.55,285.72,40
2017-03-06,301.0,301.0,287.0,287.0,281.26,126
2017-03-07,301.0,301.0,299.9,299.9,293.9,25
2017-03-08,299.9,299.9,299.9,299.9,293.9,0
2017-03-09,309.0,310.0,309.0,309.75,303.55,130
2017-03-10,301.0,305.0,300.0,305.0,298.9,400
2017-03-14,291.0,304.5,289.75,304.5,298.41,515
2017-03-15,304.5,304.5,300.0,302.0,295.96,50302
2017-03-16,309.95,309.95,292.15,300.0,294.0,55
2017-03-17,299.0,299.0,286.0,288.85,283.07,2754
2017-03-20,289.0,289.0,275.0,287.85,282.09,945
2017-03-21,284.0,284.0,274.0,274.0,268.52,485
2017-03-22,280.0,287.0,265.05,267.1,261.76,741
2017-03-23,280.4,280.4,272.0,279.0,273.42,2070
2017-03-24,270.0,290.0,270.0,280.65,275.03,8465
2017-03-27,271.35,292.0,271.35,285.65,279.93,12300
2017-03-28,299.8,299.9,279.05,287.0,281.26,259
2017-03-29,287.0,287.0,287.0,287.0,281.26,0
2017-03-30,279.25,294.5,279.25,284.45,278.76,200
2017-03-31,288.65,288.65,288.65,288.65,282.87,25
2017-04-03,288.65,288.65,288.65,288.65,282.87,0
2017-04-05,299.75,303.05,299.75,303.05,296.99,816
2017-04-06,294.05,314.5,294.05,296.9,290.96,225
2017-04-07,310.0,310.9,300.0,306.8,300.66,222
2017-04-10,312.0,315.0,312.0,315.0,308.7,145
2017-04-11,338.9,343.45,313.05,332.2,325.55,351
2017-04-12,320.1,339.0,320.1,334.95,328.25,203
2017-04-13,325.0,325.0,325.0,325.0,318.5,10
2017-04-17,335.0,340.0,333.5,333.5,326.83,409
2017-04-18,359.0,359.0,359.0,359.0,351.82,25
2017-04-19,331.0,366.0,331.0,341.1,334.27,306
2017-04-20,366.9,368.0,325.5,332.0,325.36,394
2017-04-21,332.0,332.0,332.0,332.0,325.36,0
2017-04-24,332.0,332.0,332.0,332.0,325.36,0
2017-04-25,335.0,347.9,332.0,347.9,340.94,21
2017-04-26,342.05,380.0,330.1,337.55,330.8,561
2017-04-27,337.55,337.55,337.55,337.55,330.8,0
2017-04-28,337.55,337.55,337.55,337.55,330.8,0
2017-05-02,333.1,340.0,325.55,326.95,320.41,102
2017-05-03,305.6,340.0,305.6,337.0,330.26,150
2017-05-04,325.0,325.0,318.05,325.0,318.5,95
2017-05-05,307.55,331.0,307.55,316.85,310.51,11
2017-05-08,306.05,334.95,306.05,319.0,312.62,313
2017-05-09,291.05,319.95,291.05,313.3,307.03,117
2017-05-10,311.0,344.6,310.0,342.55,335.7,1184
2017-05-11,345.6,369.95,311.05,322.1,315.65,1162
2017-05-12,309.0,327.85,309.0,320.5,314.09,37
2017-05-15,328.95,337.0,328.95,337.0,330.26,100
2017-05-16,347.0,347.0,330.0,337.95,331.19,42
2017-05-17,360.95,362.95,325.55,331.05,324.43,455
2017-05-18,325.05,325.05,321.0,321.1,314.67,9
2017-05-19,353.0,353.0,311.8,312.5,306.25,433
2017-05-22,342.95,342.95,285.5,297.2,291.25,625
2017-05-23,300.15,309.05,300.1,308.45,302.28,86
2017-05-24,338.95,338.95,291.5,301.05,295.03,187
2017-05-25,301.05,309.5,294.05,298.0,292.04,280
2017-05-26,300.05,309.0,300.0,308.05,301.89,220
2017-05-29,292.6,324.85,292.6,322.05,315.61,71
2017-05-30,291.5,305.0,291.5,300.0,294.0,298
2017-05-31,305.0,310.95,292.4,297.15,291.2,312
2017-06-01,276.5,326.8,276.5,299.15,293.16,376
2017-06-02,291.2,315.05,291.2,309.3,303.11,343
2017-06-05,297.1,297.1,297.1,297.1,291.15,10
2017-06-06,297.15,297.15,297.15,297.15,291.2,10
2017-06-07,297.15,297.15,297.15,297.15,291.2,0
2017-06-08,291.05,313.95,291.0,293.3,287.43,182
2017-06-09,287.15,309.65,287.0,299.95,293.95,391
2017-06-12,290.5,291.0,290.5,291.0,285.18,2
2017-06-13,310.1,316.8,292.2,300.0,294.0,663
2017-06-14,300.0,300.25,293.05,296.55,290.62,303
2017-06-15,293.2,295.1,293.2,295.1,289.19,18
2017-06-16,314.95,314.95,294.05,302.0,295.96,81
2017-06-19,304.9,304.9,304.9,304.9,298.8,50
2017-06-20,304.85,304.9,301.0,301.0,294.98,134
2017-06-21,301.0,301.0,301.0,301.0,294.98,0
2017-06-22,251.65,316.95,251.65,290.6,284.78,344
2017-06-23,292.0,292.0,281.0,282.45,276.8,150
2017-06-27,261.5,288.0,257.65,259.65,254.45,1063
2017-06-28,288.05,298.6,220.7,260.7,255.48,1984
2017-06-29,275.0,275.0,255.2,274.0,268.52,126
2017-06-30,280.0,280.0,255.1,261.55,256.32,52
2017-07-03,261.55,261.55,261.55,261.55,256.32,0
2017-07-04,243.5,295.0,243.5,286.35,280.62,289
2017-07-05,284.95,284.95,267.0,278.3,272.73,73
2017-07-06,266.9,299.95,255.5,277.0,271.46,449
2017-07-07,287.0,297.85,272.05,279.2,273.61,348
2017-07-10,266.0,266.0,257.0,263.35,258.08,17
2017-07-11,279.5,283.0,277.0,281.3,275.67,141
2017-07-12,284.35,284.4,275.6,276.6,271.07,572
2017-07-13,276.6,292.95,268.1,286.85,281.11,121
2017-07-14,290.0,295.5,280.45,288.1,282.33,43
2017-07-17,299.7,299.7,278.5,285.0,279.3,93
2017-07-18,302.5,302.5,282.0,296.0,290.08,26
2017-07-19,273.3,298.4,272.65,293.3,287.43,223
2017-07-20,296.0,296.0,291.05,294.0,288.12,94
2017-07-21,287.5,295.0,287.5,294.25,288.36,172
2017-07-24,295.55,296.0,285.6,294.1,288.21,3224
2017-07-25,290.0,309.45,290.0,299.25,293.26,6174
2017-07-26,277.5,309.45,277.5,303.7,297.62,3262
2017-07-27,303.7,303.7,303.7,303.7,297.62,0
2017-07-28,308.5,309.0,290.1,309.0,302.82,26
2017-07-31,289.3,308.4,289.3,290.05,284.25,313
2017-08-01,319.0,348.05,291.5,313.95,307.67,5355
2017-08-02,334.0,344.5,320.0,327.2,320.65,1399
2017-08-03,329.95,342.95,313.1,339.35,332.56,634
2017-08-04,322.4,336.85,316.1,316.1,309.77,618
2017-08-07,316.1,324.4,301.5,302.05,296.01,249
2017-08-08,305.5,310.0,305.5,309.5,303.31,30
2017-08-09,306.0,317.8,299.85,299.95,293.95,301
2017-08-10,286.05,300.0,286.05,290.05,284.25,151
2017-08-11,299.75,300.0,272.3,294.65,288.75,37
2017-08-14,281.55,282.6,281.55,282.6,276.95,8
2017-08-16,324.4,324.4,271.0,303.0,296.94,324
2017-08-17,288.3,313.5,288.3,290.75,284.93,58
2017-08-18,281.75,289.95,281.75,289.95,284.15,8
2017-08-21,289.95,289.95,289.95,289.95,284.15,0
2017-08-22,280.55,282.8,280.55,282.65,276.99,4
2017-08-23,270.0,300.0,260.1,284.55,278.86,464
2017-08-24,280.0,295.0,280.0,287.3,281.55,815
2017-08-28,285.0,285.0,280.35,281.4,277.7,156
2017-08-29,273.0,273.0,271.35,272.5,268.92,210
2017-08-30,275.05,284.95,275.0,275.8,272.18,280
2017-08-31,292.45,292.45,270.3,279.9,276.22,195
2017-09-01,281.15,281.25,271.05,271.55,267.98,197
2017-09-04,287.9,325.0,287.4,315.65,311.5,3143
2017-09-05,316.05,325.55,306.5,311.05,306.96,397
2017-09-06,310.5,317.0,310.0,316.35,312.19,196
2017-09-07,304.05,315.65,304.0,307.0,302.97,468
2017-09-08,302.8,303.55,302.8,303.3,299.31,228
2017-09-11,303.3,303.3,303.3,303.3,299.31,0
2017-09-12,303.3,303.3,303.3,303.3,299.31,0
2017-09-13,316.85,316.85,315.95,315.95,311.8,3
2017-09-14,314.95,315.0,300.65,315.0,310.86,192
2017-09-15,299.5,324.6,299.5,319.35,315.15,1939
2017-09-18,322.95,335.55,321.0,332.65,328.28,650
2017-09-19,335.0,335.0,330.0,332.7,328.33,360
2017-09-20,338.0,355.0,330.0,349.7,345.1,1694
2017-09-21,375.0,375.0,352.0,366.95,362.13,1267
2017-09-22,367.0,380.0,367.0,370.0,365.14,867
2017-09-25,374.9,380.0,350.05,379.95,374.96,424
2017-09-26,355.5,394.5,355.5,370.0,365.14,162
2017-09-27,352.05,385.0,331.5,335.15,330.75,441
2017-09-28,355.0,369.0,320.9,364.95,360.15,1090
2017-09-29,350.5,369.95,350.0,350.0,345.4,156
2017-10-03,345.0,349.95,341.05,344.85,340.32,405
2017-10-04,369.5,413.8,340.1,413.8,408.36,4238
2017-10-05,447.8,496.55,425.1,496.55,490.02,3968
2017-10-06,545.0,546.2,531.0,546.2,539.02,3132
2017-10-09,598.8,600.8,551.25,600.8,592.91,3722
2017-10-10,660.85,660.85,650.0,660.85,652.17,1758
2017-10-11,693.85,693.85,693.85,693.85,684.73,822
2017-10-12,728.0,728.0,659.2,659.2,650.54,1798
2017-10-13,626.25,626.25,626.25,626.25,618.02,666
2017-10-16,620.0,620.0,594.95,594.95,587.13,193
2017-10-17,565.25,570.0,565.25,565.25,557.82,125
2017-10-18,564.4,593.5,537.0,593.5,585.7,1640
2017-10-19,619.0,620.0,595.0,617.15,609.04,570
2017-10-23,627.15,627.15,586.3,586.3,578.6,700
2017-10-24,557.0,614.0,557.0,585.65,577.95,447
2017-10-25,556.4,556.4,556.4,556.4,549.09,523
2017-10-26,560.0,570.0,530.0,567.75,560.29,268
2017-10-27,595.0,595.0,540.1,564.4,556.98,241
2017-10-30,589.7,589.7,545.0,550.0,542.77,515
2017-10-31,550.0,550.0,550.0,550.0,542.77,112
2017-11-01,560.0,560.0,522.55,548.95,541.74,139
2017-11-02,545.0,545.0,525.0,525.1,518.2,98
2017-11-03,526.0,551.35,526.0,551.35,544.1,594
2017-11-06,578.0,578.0,525.0,573.0,565.47,369
2017-11-07,590.3,590.3,544.35,548.05,540.85,662
2017-11-08,549.0,573.95,548.25,550.05,542.82,87
2017-11-09,550.0,568.9,527.1,547.95,540.75,148
2017-11-10,559.95,559.95,530.0,534.65,527.62,467
2017-11-13,530.0,559.95,530.0,550.0,542.77,195
2017-11-14,522.5,554.4,522.5,541.95,534.83,312
2017-11-15,542.0,548.5,514.9,515.6,508.82,315
2017-11-16,538.95,538.95,505.05,537.8,530.73,82
2017-11-17,524.0,540.0,524.0,539.0,531.92,215
2017-11-20,549.4,549.4,515.15,528.0,521.06,1078
2017-11-21,519.0,550.0,519.0,543.95,536.8,2027
2017-11-22,522.5,570.95,522.0,567.25,559.8,1808
2017-11-23,570.0,593.8,543.0,570.0,562.51,1853
2017-11-24,587.7,589.95,550.0,566.8,559.35,865
2017-11-27,589.45,589.45,551.0,575.95,568.38,940
2017-11-28,555.0,604.7,555.0,604.7,596.75,8300
2017-11-29,623.0,634.9,592.05,634.9,626.56,3166
2017-11-30,654.95,666.6,640.05,663.65,654.93,642
2017-12-01,690.0,696.8,645.05,665.0,656.26,810
2017-12-04,697.0,697.0,631.75,641.35,632.92,1144
2017-12-05,640.5,650.1,609.3,611.9,603.86,168
2017-12-06,611.9,633.0,581.5,600.0,592.12,156
2017-12-07,600.05,659.0,540.0,639.3,630.9,4364
2017-12-08,658.2,691.8,626.0,659.05,650.39,2572
2017-12-11,676.9,724.95,676.0,724.95,715.42,5926
2017-12-12,759.9,797.4,743.65,797.4,786.92,3600
2017-12-13,836.8,837.25,836.8,837.25,826.25,1296
2017-12-14,879.1,879.1,879.1,879.1,867.55,796
2017-12-15,923.05,923.05,923.05,923.05,910.92,725
2017-12-18,948.0,969.2,876.9,969.2,956.46,4726
2017-12-19,1017.65,1017.65,974.05,990.6,977.58,3078
2017-12-20,1030.0,1040.1,1025.0,1040.1,1026.43,1554
2017-12-21,1092.1,1092.1,1092.1,1092.1,1077.75,557
2017-12-22,1146.6,1146.7,1037.5,1146.7,1131.63,3485
2017-12-26,1204.0,1204.0,1204.0,1204.0,1188.18,381
2017-12-27,1264.2,1264.2,1264.2,1264.2,1247.59,337
2017-12-28,1327.4,1327.4,1327.4,1327.4,1309.96,256
2017-12-29,1393.75,1393.75,1393.75,1393.75,1375.44,276
2018-01-01,1463.4,1463.4,1463.4,1463.4,1444.17,331
2018-01-02,1536.55,1536.55,1536.55,1536.55,1516.36,309
2018-01-03,1613.35,1613.35,1613.35,1613.35,1592.15,134
2018-01-04,1694.0,1694.0,1694.0,1694.0,1671.74,338
2018-01-05,1778.7,1778.7,1695.0,1778.7,1755.33,3336
2018-01-08,1867.6,1867.6,1696.6,1867.6,1843.06,1954
2018-01-09,1960.95,1960.95,1959.95,1960.95,1935.18,1987
2018-01-10,2058.95,2058.95,2058.95,2058.95,2031.89,421
2018-01-11,2161.85,2161.85,2110.45,2161.85,2133.44,1328
2018-01-12,2269.9,2269.9,2269.9,2269.9,2240.07,254
2018-01-15,2383.35,2383.35,2383.35,2383.35,2352.03,269
2018-01-16,2502.5,2502.5,2502.5,2502.5,2469.62,570
2018-01-17,2627.6,2627.6,2377.4,2377.4,2346.16,2200
2018-01-18,2258.55,2258.55,2258.55,2258.55,2228.87,589
2018-01-19,2145.65,2145.65,2145.65,2145.65,2117.45,62
2018-01-22,2038.4,2038.4,2038.4,2038.4,2011.61,264
2018-01-23,1936.5,1936.5,1936.5,1936.5,1911.05,91
2018-01-24,1839.7,1839.7,1839.7,1839.7,1815.52,217
2018-01-25,1747.75,1747.75,1747.75,1747.75,1724.78,73
2018-01-29,1660.4,1835.1,1660.4,1835.1,1810.99,4844
2018-01-30,1926.85,1926.85,1755.55,1860.5,1836.05,2610
2018-01-31,1768.0,1777.0,1767.5,1767.5,1744.27,313
2018-02-01,1679.15,1679.15,1679.15,1679.15,1657.08,199
2018-02-02,1595.2,1595.2,1595.2,1595.2,1574.24,14
2018-02-05,1515.45,1515.45,1515.45,1515.45,1495.54,21
2018-02-06,1439.7,1439.7,1439.7,1439.7,1420.78,14
2018-02-07,1367.75,1367.75,1367.75,1367.75,1349.78,355
2018-02-08,1299.4,1436.1,1299.4,1436.1,1417.23,2526
2018-02-09,1498.0,1507.9,1364.3,1501.4,1481.67,2044
2018-02-12,1525.0,1575.0,1500.0,1558.2,1537.72,1206
2018-02-14,1520.0,1520.0,1480.3,1480.3,1460.85,239
2018-02-15,1406.3,1406.3,1406.3,1406.3,1387.82,114
2018-02-16,1336.0,1472.0,1336.0,1336.0,1318.44,1229
2018-02-19,1269.2,1269.2,1269.2,1269.2,1252.52,122
2018-02-20,1205.75,1205.75,1205.75,1205.75,1189.91,112
2018-02-21,1145.5,1145.5,1145.5,1145.5,1130.45,360
2018-02-22,1088.25,1202.75,1088.25,1166.5,1151.17,996
2018-02-23,1200.0,1200.0,1111.0,1177.5,1162.03,632
2018-02-26,1120.2,1175.0,1118.65,1118.65,1103.95,385
2018-02-27,1063.0,1118.65,1062.75,1062.75,1048.78,565
2018-02-28,1010.0,1115.0,1009.75,1035.0,1021.4,835
2018-03-01,1060.0,1080.0,983.25,996.2,983.11,1331
2018-03-05,980.0,996.2,946.4,948.65,936.18,555
2018-03-06,975.0,975.0,901.25,901.25,889.41,324
2018-03-07,856.2,880.0,856.2,860.4,849.09,320
2018-03-08,830.0,903.3,818.0,856.8,845.54,533
2018-03-09,879.95,897.9,821.1,889.8,878.11,402
2018-03-12,850.0,888.0,845.35,847.0,835.87,269
2018-03-13,805.1,886.0,805.1,873.65,862.17,95
2018-03-14,865.0,908.0,831.0,894.8,883.04,268
2018-03-15,939.0,939.5,875.0,939.5,927.15,196
2018-03-16,940.0,986.45,940.0,986.45,973.49,292
2018-03-19,1035.75,1035.75,990.0,1020.65,1007.24,757
2018-03-20,1070.0,1071.65,1050.0,1071.65,1057.57,543
2018-03-21,1124.95,1125.2,1124.95,1125.2,1110.41,598
2018-03-22,1181.45,1181.45,1181.45,1181.45,1165.92,220
2018-03-23,1240.0,1240.5,1240.0,1240.5,1224.2,778
2018-03-26,1302.0,1302.5,1302.0,1302.5,1285.38,557
2018-03-27,1367.0,1367.6,1367.0,1367.6,1349.63,138
2018-03-28,1435.95,1435.95,1435.95,1435.95,1417.08,355
2018-04-02,1507.7,1507.7,1364.2,1364.2,1346.27,872
2018-04-03,1296.0,1296.0,1296.0,1296.0,1278.97,67
2018-04-04,1231.2,1231.2,1231.2,1231.2,1215.02,27
2018-04-05,1169.65,1169.65,1169.65,1169.65,1154.28,68
2018-04-06,1111.2,1111.2,1111.2,1111.2,1096.6,104
2018-04-09,1055.65,1166.75,1055.65,1166.75,1151.42,1823
2018-04-10,1225.0,1225.05,1225.0,1225.05,1208.95,840
2018-04-11,1286.3,1286.3,1225.05,1286.3,1269.4,1476
2018-04-12,1350.6,1350.6,1230.0,1267.3,1250.65,1818
2018-04-13,1280.0,1300.0,1203.95,1230.45,1214.28,800
