Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,26.25,26.3,25.7,26.3,15.06,2000
1996-01-02,26.0,26.0,25.65,26.0,14.88,4250
1996-01-03,26.0,26.0,26.0,26.0,14.88,0
1996-01-04,24.0,25.4,24.0,25.4,14.54,750
1996-01-05,25.4,25.0,25.0,25.0,14.31,500
1996-01-08,25.0,24.8,24.2,24.4,13.97,1500
1996-01-09,24.4,24.8,24.4,24.8,14.2,10250
1996-01-10,25.0,25.0,25.0,25.0,14.31,1000
1996-01-11,25.0,25.6,25.0,25.05,14.34,2500
1996-01-12,25.0,25.0,24.65,24.65,14.11,500
1996-01-15,24.6,24.65,24.6,24.65,14.11,750
1996-01-16,24.65,25.15,24.15,25.15,14.4,19000
1996-01-17,24.2,24.8,24.2,24.8,14.2,2000
1996-01-18,24.8,24.0,23.7,23.95,13.71,15250
1996-01-19,23.95,24.0,23.05,23.8,13.62,6500
1996-01-22,23.8,23.3,22.45,22.45,12.85,1250
1996-01-23,22.45,23.99,23.6,23.95,13.71,1250
1996-01-24,23.75,23.8,23.0,23.08,13.21,1750
1996-01-25,23.2,23.2,22.6,22.6,12.94,2250
1996-01-26,22.6,22.6,22.6,22.6,12.94,0
1996-01-29,22.6,22.6,22.6,22.6,12.94,0
1996-01-30,22.8,22.8,22.8,22.8,13.05,250
1996-01-31,22.8,24.78,23.4,23.89,13.68,5250
1996-02-01,23.89,24.0,23.8,24.0,13.74,750
1996-02-02,24.0,25.2,24.4,25.0,14.31,1250
1996-02-05,26.2,26.2,24.2,24.2,13.85,1000
1996-02-06,25.0,25.6,24.66,24.7,14.14,4500
1996-02-07,24.7,24.7,24.7,24.7,14.14,0
1996-02-08,24.0,24.4,24.0,24.4,13.97,1750
1996-02-09,26.6,26.6,26.6,26.6,15.23,750
1996-02-12,28.0,29.0,28.0,28.75,16.46,11250
1996-02-13,28.75,28.1,27.6,28.09,16.08,4250
1996-02-14,28.09,29.7,29.0,29.01,16.61,10000
1996-02-15,29.01,29.0,28.0,28.5,16.32,3000
1996-02-16,28.0,29.0,28.0,28.55,16.34,7750
1996-02-19,28.55,28.4,28.0,28.2,16.14,3750
1996-02-20,28.2,28.0,27.22,27.24,15.59,7250
1996-02-21,27.24,27.24,27.24,27.24,15.59,0
1996-02-22,27.24,27.5,27.2,27.5,15.74,500
1996-02-23,26.6,27.2,26.6,27.2,15.57,1000
1996-02-26,27.2,27.6,27.0,27.0,15.46,4500
1996-02-27,26.8,26.8,26.0,26.6,15.23,1250
1996-02-28,26.8,26.8,26.6,26.63,15.25,7250
1996-02-29,26.6,26.8,25.2,25.2,14.43,1000
1996-03-01,25.2,25.21,24.8,24.91,14.26,2000
1996-03-04,25.2,25.2,22.8,24.64,14.11,3750
1996-03-05,24.64,24.64,24.64,24.64,14.11,0
1996-03-06,24.4,24.98,24.2,24.2,13.85,63750
1996-03-07,24.2,24.4,23.4,24.0,13.74,42500
