Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,18.86,22.5,18.79,21.76,15.86,149867
2002-07-02,22.09,23.3,21.62,21.96,16.01,106440
2002-07-03,22.7,23.3,21.62,21.89,15.96,207050
2002-07-04,22.23,23.78,22.09,23.44,17.09,248374
2002-07-05,23.84,28.15,23.84,27.68,20.18,1071011
2002-07-08,28.42,29.03,27.41,27.55,20.08,343787
2002-07-09,27.82,28.83,25.59,26.07,19.0,182797
2002-07-10,26.47,26.81,24.25,24.45,17.83,63373
2002-07-11,24.58,24.99,23.84,24.18,17.63,58246
2002-07-12,24.85,25.12,23.84,23.91,17.43,28771
2002-07-15,24.32,24.32,23.57,23.98,17.48,16279
2002-07-16,23.98,24.92,23.98,24.32,17.73,33235
2002-07-17,23.51,24.45,23.3,23.64,17.24,64118
2002-07-18,23.84,25.19,23.84,24.32,17.73,100032
2002-07-19,24.52,24.85,23.51,23.64,17.24,26302
2002-07-22,22.83,22.83,21.49,21.62,15.76,29886
2002-07-23,20.81,22.5,20.21,22.29,16.25,18641
2002-07-24,22.83,22.83,20.88,21.35,15.57,15360
2002-07-25,21.96,22.16,21.15,21.42,15.62,40616
2002-07-26,19.8,21.62,19.8,20.41,14.88,38441
2002-07-29,20.14,20.54,17.98,18.39,13.41,33090
2002-07-30,19.94,20.0,18.32,18.46,13.45,45172
2002-07-31,17.92,18.52,17.44,18.32,13.36,6839
2002-08-01,18.46,19.2,17.85,17.85,13.01,14961
2002-08-02,18.79,18.79,17.24,17.65,12.87,6731
2002-08-05,17.78,18.05,14.41,16.1,11.74,13914
2002-08-06,17.71,17.71,15.96,16.17,11.79,27570
2002-08-07,16.64,17.78,16.64,17.31,12.62,11763
2002-08-08,17.92,17.92,16.64,16.77,12.23,8685
2002-08-09,16.84,17.44,16.5,17.24,12.57,11550
2002-08-12,17.11,17.38,16.91,16.97,12.37,1446
2002-08-13,17.11,17.31,16.43,16.57,12.08,12319
2002-08-14,17.04,17.04,16.1,16.64,12.13,9237
2002-08-15,16.64,16.64,16.64,16.64,12.13,0
2002-08-16,16.3,17.38,16.3,16.5,12.03,4486
2002-08-19,16.43,16.5,16.1,16.17,11.79,7065
2002-08-20,16.17,16.17,15.42,15.63,11.39,5521
2002-08-21,15.56,15.9,15.15,15.63,11.39,4690
2002-08-22,15.76,15.76,15.42,15.76,11.49,3175
2002-08-23,15.63,15.96,15.36,15.36,11.2,3931
2002-08-26,15.02,16.3,15.02,16.23,11.83,1296
2002-08-27,15.96,16.1,15.36,15.36,11.2,5062
2002-08-28,15.09,15.9,14.28,15.15,11.05,2617
2002-08-29,15.09,15.36,14.75,14.82,10.8,6587
2002-08-30,14.48,14.75,14.28,14.55,10.61,4226
2002-09-02,14.48,15.29,14.48,15.02,10.95,2090
2002-09-03,14.82,15.09,14.08,14.41,10.51,9975
2002-09-04,13.47,14.75,13.47,14.41,10.51,3364
2002-09-05,14.35,14.62,14.14,14.55,10.61,1114
2002-09-06,13.47,16.77,12.39,15.76,11.49,41083
2002-09-09,13.47,14.41,13.13,13.34,9.72,7644
2002-09-10,13.34,13.34,13.34,13.34,9.72,0
2002-09-11,13.47,13.74,13.34,13.74,10.02,5423
2002-09-12,13.4,13.67,13.34,13.47,9.82,2320
2002-09-13,13.67,14.55,13.27,14.28,10.41,3717
2002-09-16,14.01,14.82,13.81,14.28,10.41,13552
2002-09-17,13.94,13.94,13.54,13.61,9.92,8238
2002-09-18,13.4,13.94,13.27,13.61,9.92,4780
2002-09-19,13.4,13.61,13.0,13.4,9.77,3153
2002-09-20,13.13,13.61,12.06,12.8,9.33,6235
2002-09-23,15.29,15.29,12.86,13.4,9.77,4173
2002-09-24,13.07,13.07,12.53,12.73,9.28,4290
2002-09-25,12.46,13.07,11.92,12.19,8.89,11779
2002-09-26,12.39,14.68,12.39,14.68,10.7,44868
2002-09-27,14.68,16.37,14.68,15.36,11.2,89029
2002-09-30,14.95,15.49,13.94,14.21,10.36,15511
2002-10-01,14.21,14.21,13.4,14.01,10.21,9439
2002-10-02,14.01,14.01,14.01,14.01,10.21,0
2002-10-03,14.08,14.48,13.27,13.4,9.77,24747
2002-10-04,13.61,13.81,13.07,13.47,9.82,6195
2002-10-07,13.4,15.42,13.4,14.41,10.51,40002
2002-10-08,14.55,15.02,14.41,14.62,10.66,29056
2002-10-09,14.75,15.02,14.41,14.48,10.56,19098
2002-10-10,14.89,14.89,13.61,14.08,10.26,38957
2002-10-11,14.14,14.62,14.08,14.21,10.36,74860
2002-10-14,15.09,15.09,14.41,14.48,10.56,1872
2002-10-15,14.48,14.48,14.48,14.48,10.56,0
2002-10-16,14.62,14.62,14.08,14.08,10.26,12794
2002-10-17,14.75,14.75,14.21,14.35,10.46,7641
2002-10-18,14.41,14.75,13.94,14.21,10.36,14006
2002-10-21,14.55,14.62,14.08,14.14,10.31,7482
2002-10-22,14.14,14.14,13.67,13.67,9.97,4853
2002-10-23,13.47,13.61,13.27,13.27,9.67,10780
2002-10-24,13.2,13.88,13.2,13.74,10.02,4338
2002-10-25,12.39,13.4,12.39,13.0,9.48,14775
2002-10-28,13.13,13.61,12.93,13.47,9.82,12999
2002-10-29,13.0,13.54,13.0,13.4,9.77,4192
2002-10-30,13.74,14.28,13.67,13.94,10.16,4070
2002-10-31,14.08,14.41,13.81,14.01,10.21,3272
2002-11-01,15.36,15.36,13.74,13.94,10.16,6746
2002-11-04,14.01,14.55,14.01,14.14,10.31,1417
2002-11-05,14.08,14.14,14.01,14.01,10.21,3199
2002-11-06,14.01,14.01,14.01,14.01,10.21,0
2002-11-07,14.01,14.35,13.74,14.08,10.26,3456
2002-11-08,13.88,13.94,13.81,13.88,10.12,801
2002-11-11,14.75,14.75,13.94,14.08,10.26,5220
2002-11-12,14.21,14.35,13.81,13.88,10.12,3990
2002-11-13,13.88,14.35,13.74,14.21,10.36,3046
2002-11-14,14.14,14.75,14.08,14.68,10.7,11066
2002-11-15,14.68,15.56,14.48,15.36,11.2,14411
2002-11-18,14.62,15.49,14.62,14.95,10.9,7245
2002-11-19,14.95,14.95,14.95,14.95,10.9,0
2002-11-20,15.09,15.76,14.82,15.49,11.29,11035
2002-11-21,15.63,15.96,15.42,15.49,11.29,9026
2002-11-22,15.76,16.03,15.36,15.42,11.25,8704
2002-11-25,15.42,15.63,14.95,15.09,11.0,2654
2002-11-26,14.95,15.69,14.95,15.22,11.1,8470
2002-11-27,15.15,15.15,14.82,14.95,10.9,5122
2002-11-28,14.82,15.69,14.82,15.22,11.1,2700
2002-11-29,14.48,15.63,14.48,15.36,11.2,6149
2002-12-02,15.29,17.51,15.29,16.7,12.18,44556
