Date,Open,High,Low,Close,Adj Close,Volume
2004-09-24,12.44,12.44,9.33,9.53,8.1,8329630
2004-09-27,9.71,9.71,8.79,8.99,7.64,2364029
2004-09-28,8.76,8.93,8.54,8.57,7.28,1211370
2004-09-29,8.65,8.76,8.55,8.64,7.34,588531
2004-09-30,8.71,8.92,8.67,8.78,7.46,582165
2004-10-01,8.79,8.85,8.48,8.57,7.28,348733
2004-10-04,8.57,8.76,8.5,8.54,7.26,540076
2004-10-05,8.51,8.67,8.3,8.41,7.15,613996
2004-10-06,8.48,9.58,8.21,9.16,7.79,3244350
2004-10-07,9.19,9.42,9.06,9.16,7.79,801803
2004-10-08,9.16,9.16,9.16,9.16,7.79,0
2004-10-11,9.01,9.12,8.79,8.85,7.52,257482
2004-10-12,8.88,8.88,8.57,8.61,7.32,281533
2004-10-14,8.67,8.69,8.45,8.47,7.2,385870
2004-10-15,8.47,8.47,8.47,8.47,7.2,0
2004-10-18,8.45,8.58,8.3,8.34,7.09,159511
2004-10-19,8.44,8.44,8.21,8.35,7.1,280825
2004-10-20,8.48,8.86,8.48,8.57,7.28,668817
2004-10-21,8.62,8.64,8.34,8.4,7.14,284362
2004-10-22,8.4,8.4,8.4,8.4,7.14,0
2004-10-25,8.47,8.47,8.26,8.28,7.04,139351
2004-10-26,8.27,8.38,7.86,7.92,6.73,523099
2004-10-27,8.17,8.27,8.0,8.07,6.86,367478
2004-10-28,8.2,8.27,8.0,8.04,6.84,265617
2004-10-29,8.04,8.04,8.04,8.04,6.84,0
2004-11-01,8.2,8.28,8.04,8.06,6.85,251823
2004-11-02,8.17,8.2,8.06,8.09,6.87,188160
2004-11-03,8.11,8.14,7.94,7.99,6.79,253592
2004-11-04,7.97,8.07,7.9,7.93,6.74,365356
2004-11-05,8.11,8.19,7.7,7.76,6.6,514611
2004-11-08,7.89,7.92,7.65,7.69,6.54,409920
2004-11-09,7.78,7.89,7.63,7.66,6.51,282240
2004-11-10,7.63,7.8,7.58,7.72,6.56,531234
2004-11-11,7.73,7.8,7.49,7.55,6.42,526636
2004-11-12,7.49,7.75,7.46,7.53,6.4,164109
2004-11-15,7.53,7.53,7.53,7.53,6.4,0
2004-11-16,7.55,8.3,7.42,8.13,6.91,1946681
2004-11-17,8.23,9.16,8.17,8.74,7.43,3772755
2004-11-18,8.85,8.88,8.43,8.54,7.32,908616
2004-11-19,8.54,8.54,8.54,8.54,7.32,0
2004-11-22,8.24,8.34,7.94,8.3,7.11,252177
2004-11-23,8.23,8.71,8.23,8.57,7.34,979706
2004-11-24,8.54,8.6,8.28,8.35,7.16,268093
2004-11-25,8.34,8.51,8.24,8.3,7.11,379857
2004-11-26,8.3,8.3,8.3,8.3,7.11,0
2004-11-29,8.28,8.6,8.23,8.47,7.26,489499
2004-11-30,8.48,8.48,8.13,8.2,7.03,320792
2004-12-01,8.89,8.89,8.07,8.28,7.1,252177
2004-12-02,8.43,8.52,8.2,8.3,7.11,403908
2004-12-03,8.41,8.47,8.13,8.14,6.98,495158
2004-12-06,9.42,9.42,8.0,8.21,7.04,279764
2004-12-07,8.2,8.2,7.96,7.99,6.84,191343
2004-12-08,8.11,8.19,8.03,8.09,6.93,180025
2004-12-09,8.07,8.16,8.0,8.04,6.89,128741
2004-12-10,8.14,8.14,7.94,8.03,6.88,161280
2004-12-13,8.03,8.03,8.03,8.03,6.88,0
2004-12-14,8.55,8.76,8.23,8.72,7.47,1316414
2004-12-15,8.89,8.89,8.3,8.34,7.15,434324
2004-12-16,8.23,8.43,8.2,8.28,7.1,258543
2004-12-17,8.28,8.47,8.16,8.3,7.11,241920
2004-12-20,8.2,8.33,8.17,8.21,7.04,142181
2004-12-21,8.44,8.88,8.23,8.44,7.23,1270789
2004-12-22,8.48,8.6,8.23,8.34,7.15,321853
2004-12-23,8.2,8.41,8.14,8.23,7.05,281179
2004-12-24,8.34,8.41,8.16,8.21,7.04,308059
2004-12-27,8.06,8.41,7.96,8.21,7.04,549979
2004-12-28,8.21,8.21,8.21,8.21,7.04,0
2004-12-29,8.91,8.91,8.27,8.34,7.15,713735
2004-12-30,8.4,8.67,8.27,8.33,7.13,703125
2004-12-31,8.27,8.71,8.27,8.55,7.33,837879
2005-01-03,8.88,8.99,8.54,8.88,7.61,2383481
2005-01-04,9.02,9.05,8.72,8.88,7.61,1842697
2005-01-05,8.79,9.19,8.03,8.24,7.06,1893982
2005-01-06,8.24,8.44,8.09,8.24,7.06,484548
2005-01-07,8.41,8.48,8.26,8.37,7.17,346257
2005-01-10,8.43,8.69,8.38,8.44,7.23,518501
2005-01-11,8.88,8.91,8.14,8.21,7.04,263495
2005-01-12,8.44,8.44,7.55,7.7,6.6,382686
2005-01-13,8.45,8.45,7.78,7.85,6.72,248994
2005-01-14,8.03,8.06,7.72,7.76,6.65,184269
2005-01-17,8.03,8.03,7.46,7.59,6.5,218577
2005-01-18,7.87,7.87,7.48,7.68,6.58,65431
2005-01-19,7.69,7.73,7.58,7.66,6.57,114593
2005-01-20,7.63,7.7,7.46,7.49,6.42,124850
2005-01-24,7.49,7.49,7.49,7.49,6.42,0
2005-01-25,7.49,7.58,7.41,7.51,6.43,79932
2005-01-27,7.75,7.75,7.55,7.61,6.52,109642
2005-01-28,7.72,7.72,7.49,7.53,6.46,148547
2005-01-31,7.72,8.28,7.62,7.69,6.59,223528
2005-02-01,7.66,7.7,7.42,7.48,6.41,262080
2005-02-02,7.62,7.62,7.51,7.56,6.48,251469
2005-02-03,7.63,7.73,7.59,7.66,6.57,266678
2005-02-04,7.72,7.78,7.52,7.7,6.6,263495
2005-02-07,7.73,7.78,7.58,7.61,6.52,178610
2005-02-08,7.7,7.7,7.49,7.52,6.44,159511
2005-02-09,7.56,8.16,7.56,7.99,6.84,1118705
2005-02-10,8.06,8.17,7.86,8.0,6.86,521685
2005-02-11,8.17,8.19,7.78,7.79,6.67,206905
2005-02-14,7.89,7.9,7.63,7.66,6.57,204429
2005-02-15,8.09,8.09,7.52,7.58,6.49,115301
2005-02-16,7.55,7.68,7.51,7.53,6.46,204076
2005-02-17,7.49,7.62,7.46,7.51,6.43,118838
2005-02-18,7.61,7.66,7.51,7.52,6.44,195234
2005-02-21,7.35,7.69,7.35,7.46,6.4,109288
2005-02-22,7.49,8.96,7.38,8.45,7.24,2537688
2005-02-23,8.62,8.68,7.92,7.96,6.82,1553029
2005-02-24,9.03,9.03,7.73,8.27,7.09,1508819
2005-02-25,8.48,8.55,7.96,8.04,6.89,1038772
2005-02-28,8.3,8.3,7.96,8.04,6.89,433971
2005-03-01,8.17,8.75,7.97,8.62,7.39,2342100
2005-03-02,8.91,9.02,8.55,8.62,7.39,4381093
2005-03-03,8.68,8.81,8.57,8.65,7.41,970864
2005-03-04,8.75,8.75,8.47,8.51,7.29,617887
2005-03-07,8.61,9.03,8.54,8.55,7.33,1331623
2005-03-08,8.57,8.65,8.45,8.51,7.29,600203
2005-03-09,8.61,8.62,8.23,8.33,7.13,443520
2005-03-10,8.33,8.33,8.33,8.33,7.13,0
2005-03-11,8.37,8.54,8.23,8.27,7.09,447764
2005-03-14,8.5,8.5,7.51,8.14,6.98,242981
2005-03-15,8.27,8.34,8.0,8.04,6.89,256421
2005-03-16,7.96,9.4,7.96,8.84,7.57,4180908
2005-03-17,8.84,8.84,8.84,8.84,7.57,0
2005-03-18,8.38,8.4,8.06,8.19,7.01,675184
2005-03-21,8.27,8.33,8.06,8.1,6.94,303815
2005-03-22,8.0,8.16,7.75,7.79,6.67,347672
2005-03-23,7.83,7.92,7.49,7.56,6.48,419116
2005-03-24,7.49,7.63,7.42,7.48,6.41,203722
2005-03-28,7.56,7.69,7.48,7.52,6.44,287545
2005-03-29,7.29,7.55,7.29,7.45,6.38,435739
2005-03-30,7.49,7.62,7.41,7.49,6.42,133339
2005-03-31,7.59,7.72,7.49,7.61,6.52,191343
2005-04-01,7.61,7.87,7.59,7.82,6.7,217869
2005-04-04,8.17,8.17,7.65,7.79,6.67,156328
2005-04-05,7.69,8.43,7.63,7.85,6.72,530880
2005-04-06,7.99,8.11,7.82,7.86,6.73,303461
2005-04-07,7.8,7.96,7.73,7.78,6.66,169415
2005-04-08,7.75,7.82,7.62,7.66,6.57,149254
2005-04-11,7.66,7.66,7.66,7.66,6.57,0
2005-04-12,7.62,7.73,7.56,7.61,6.52,84176
2005-04-13,7.66,7.78,7.61,7.66,6.57,127680
2005-04-15,7.66,7.69,7.38,7.46,6.4,140059
2005-04-18,7.34,7.51,7.24,7.42,6.36,93372
2005-04-19,7.49,7.61,7.35,7.37,6.31,125911
2005-04-20,7.38,7.55,7.28,7.41,6.35,225650
2005-04-21,7.37,7.46,7.29,7.38,6.32,139351
2005-04-22,7.24,7.53,7.24,7.39,6.34,100800
2005-04-25,7.34,7.44,7.32,7.34,6.29,69322
2005-04-26,7.32,7.41,7.29,7.34,6.29,115301
2005-04-27,7.29,7.34,7.24,7.27,6.23,106459
2005-04-28,7.28,7.29,7.07,7.12,6.1,117777
2005-04-29,7.18,7.18,6.93,6.94,5.95,120252
2005-05-02,7.2,7.2,6.79,6.84,5.86,116715
2005-05-03,6.91,6.93,6.79,6.88,5.9,78518
2005-05-04,6.84,6.96,6.79,6.83,5.85,95848
2005-05-05,6.88,7.1,6.83,6.97,5.97,120252
2005-05-06,6.86,7.17,6.86,6.96,5.96,123435
2005-05-09,7.0,7.12,7.0,7.05,6.04,110349
2005-05-10,7.1,7.35,7.01,7.14,6.12,164817
2005-05-11,7.14,7.18,7.03,7.1,6.08,59772
2005-05-12,7.1,7.2,7.1,7.14,6.12,47040
2005-05-13,7.18,7.29,7.1,7.24,6.2,100446
2005-05-16,7.31,7.49,7.14,7.35,6.3,362880
