Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,10.0,10.17,9.83,9.83,8.85,480
2002-07-02,10.0,11.67,10.0,10.33,9.29,1854
2002-07-03,10.0,10.5,10.0,10.5,9.44,405
2002-07-04,10.67,11.5,9.83,10.83,9.74,1383
2002-07-05,11.0,12.0,10.83,11.67,10.49,2745
2002-07-08,12.0,13.33,10.5,13.0,11.69,2598
2002-07-09,13.0,13.67,11.33,12.17,10.94,3760
2002-07-10,11.67,12.17,10.5,12.0,10.79,1657
2002-07-11,10.83,11.67,10.83,10.83,9.74,228
2002-07-12,10.0,10.67,10.0,10.67,9.59,870
2002-07-15,10.67,10.67,10.67,10.67,9.59,0
2002-07-16,10.0,10.0,9.0,9.5,8.55,302
2002-07-17,9.33,9.33,7.67,8.0,7.2,675
2002-07-18,8.0,8.17,7.67,8.17,7.35,615
2002-07-19,8.0,9.67,8.0,9.67,8.7,345
2002-07-22,7.83,9.5,7.83,9.5,8.55,165
2002-07-23,8.0,8.0,8.0,8.0,7.2,15
2002-07-24,9.67,9.67,8.0,9.5,8.55,1560
2002-07-25,8.67,8.83,8.67,8.83,7.95,157
2002-07-26,7.5,7.5,7.33,7.33,6.6,165
2002-07-29,7.0,7.0,6.67,6.67,6.0,150
2002-07-30,6.67,6.67,6.67,6.67,6.0,15
2002-07-31,6.0,6.0,6.0,6.0,5.4,15
2002-08-01,6.67,6.67,6.67,6.67,6.0,75
2002-08-02,5.5,7.33,5.5,7.33,6.6,240
2002-08-05,8.67,8.67,8.67,8.67,7.8,0
2002-08-06,7.17,7.17,7.17,7.17,6.45,52
2002-08-07,5.83,8.17,5.83,8.17,7.35,0
2002-08-08,8.33,8.83,7.83,8.0,7.2,2683
2002-08-09,7.17,7.17,7.17,7.17,6.45,150
2002-08-12,8.33,8.5,7.17,7.33,6.6,599
2002-08-13,7.5,7.5,7.5,7.5,6.75,15
2002-08-14,7.33,8.67,7.33,7.33,6.6,480
2002-08-15,7.33,7.33,7.33,7.33,6.6,0
2002-08-16,7.5,8.5,7.5,7.5,6.75,132
2002-08-19,6.67,6.83,6.67,6.83,6.15,30
2002-08-20,6.67,7.67,6.67,7.0,6.3,690
2002-08-21,6.0,8.0,6.0,8.0,7.2,150
2002-08-22,8.0,8.0,8.0,8.0,7.2,0
2002-08-23,7.0,9.0,7.0,8.5,7.65,900
2002-08-26,7.83,9.0,7.33,7.33,6.6,360
2002-08-27,6.67,7.17,6.67,7.17,6.45,45
2002-08-28,5.83,6.83,5.83,6.83,6.15,15
2002-08-29,5.83,8.0,5.83,8.0,7.2,0
2002-08-30,7.83,7.83,7.5,7.5,6.75,193
2002-09-02,8.67,8.67,7.67,7.67,6.9,240
2002-09-03,7.0,7.0,7.0,7.0,6.3,60
2002-09-04,6.83,6.83,6.83,6.83,6.15,1830
2002-09-05,6.67,7.5,6.67,7.0,6.3,810
2002-09-06,5.83,7.5,5.83,7.5,6.75,150
2002-09-09,7.17,7.5,7.17,7.17,6.45,390
