Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,3.03,3.03,2.92,2.98,2.42,350000
1996-01-02,2.98,3.03,2.95,2.97,2.41,412000
1996-01-03,2.97,2.99,2.95,2.98,2.42,284000
1996-01-04,2.98,2.98,2.94,2.96,2.41,282000
1996-01-05,2.96,2.98,2.95,2.96,2.4,189000
1996-01-08,2.96,2.95,2.91,2.92,2.37,237000
1996-01-09,2.92,2.92,2.8,2.83,2.3,483000
1996-01-10,2.83,2.87,2.81,2.84,2.3,226000
1996-01-11,2.84,2.88,2.8,2.83,2.3,318000
1996-01-12,2.83,2.84,2.8,2.83,2.29,431000
1996-01-15,2.83,2.82,2.78,2.79,2.26,181000
1996-01-16,2.79,2.8,2.74,2.74,2.22,358000
1996-01-17,2.74,2.8,2.63,2.65,2.15,429000
1996-01-18,2.65,2.65,2.6,2.64,2.14,330000
1996-01-19,2.64,2.63,2.54,2.56,2.07,426000
1996-01-22,2.56,2.59,2.52,2.55,2.06,359000
1996-01-23,2.55,2.6,2.51,2.53,2.05,399000
1996-01-24,2.53,2.53,2.45,2.46,2.0,449000
1996-01-25,2.46,2.45,2.41,2.43,1.98,390000
1996-01-26,2.43,2.43,2.43,2.43,1.98,0
1996-01-29,2.43,2.49,2.39,2.48,2.02,311000
1996-01-30,2.48,2.55,2.48,2.52,2.04,452000
1996-01-31,2.52,2.63,2.55,2.59,2.1,344000
1996-02-01,2.59,2.8,2.6,2.78,2.26,424000
1996-02-02,2.78,2.99,2.8,2.91,2.37,819000
1996-02-05,2.91,3.1,2.95,2.99,2.43,906000
1996-02-06,2.99,3.05,2.95,2.97,2.41,888000
1996-02-07,2.97,2.92,2.83,2.87,2.32,586000
1996-02-08,2.87,3.15,2.88,3.05,2.47,667000
1996-02-09,3.05,3.65,3.35,3.65,2.96,1720000
1996-02-12,3.65,3.8,3.45,3.51,2.85,2851000
1996-02-13,3.6,3.6,3.33,3.45,2.8,1451000
1996-02-14,3.45,3.8,3.59,3.71,3.01,2464000
1996-02-15,3.71,3.77,3.67,3.68,2.99,1191000
1996-02-16,3.68,3.67,3.51,3.56,2.89,1396000
1996-02-19,3.56,3.65,3.5,3.52,2.85,1297000
1996-02-20,3.52,3.52,3.31,3.37,2.73,1361000
1996-02-21,3.37,3.37,3.37,3.37,2.73,0
1996-02-22,3.37,3.47,3.4,3.42,2.78,848000
1996-02-23,3.42,3.5,3.4,3.42,2.77,687000
1996-02-26,3.42,3.47,3.38,3.38,2.75,647000
1996-02-27,3.39,3.42,3.3,3.39,2.75,841000
1996-02-28,3.39,3.44,3.31,3.33,2.7,422000
1996-02-29,3.3,3.3,3.0,3.07,2.49,1275000
1996-03-01,3.07,3.15,3.0,3.11,2.52,732000
1996-03-04,3.11,3.1,3.05,3.07,2.49,647000
1996-03-05,3.07,3.07,3.07,3.07,2.49,0
1996-03-06,3.07,3.15,3.08,3.1,2.52,360000
1996-03-07,3.1,3.15,3.03,3.06,2.48,486000
1996-03-08,3.06,3.07,3.0,3.05,2.47,387000
