Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,37.1,37.1,34.6,35.65,20.21,199334
2002-07-02,36.0,40.25,35.9,37.55,21.29,253918
2002-07-03,38.5,39.9,37.05,37.65,21.35,183844
2002-07-04,38.4,41.9,38.1,39.6,22.45,321979
2002-07-05,40.35,41.0,38.5,38.95,22.08,80927
2002-07-08,45.0,45.0,38.8,39.3,22.28,151424
2002-07-09,39.65,40.9,38.2,38.4,21.77,106971
2002-07-10,39.9,40.0,38.1,38.9,22.05,70874
2002-07-11,38.5,40.0,37.35,37.5,21.26,72678
2002-07-12,38.45,38.75,36.65,37.15,21.06,37062
2002-07-15,38.9,41.8,37.55,37.9,21.49,192679
2002-07-16,38.1,39.25,37.55,37.8,21.43,70205
2002-07-17,38.0,38.05,36.9,37.3,21.15,41385
2002-07-18,37.95,38.25,37.4,37.65,21.35,27535
2002-07-19,37.3,37.95,37.3,37.45,21.23,25467
2002-07-22,37.5,37.5,35.25,35.7,20.24,25751
2002-07-23,31.0,36.0,29.6,35.85,20.33,26810
2002-07-24,35.9,35.9,34.2,34.35,19.48,23409
2002-07-25,35.8,36.15,33.55,33.9,19.22,20151
2002-07-26,34.4,34.4,31.0,31.2,17.69,37244
2002-07-29,32.0,32.15,30.05,31.0,17.58,37458
2002-07-30,32.1,32.1,30.3,30.6,17.35,16515
2002-07-31,30.5,31.0,30.05,30.75,17.43,14894
2002-08-01,30.7,31.55,30.55,30.75,17.43,7409
2002-08-02,30.4,30.65,30.3,30.35,17.21,7918
2002-08-05,30.35,31.0,30.3,30.95,17.55,5395
2002-08-06,30.95,31.2,30.35,31.0,17.58,8102
2002-08-07,31.5,31.95,31.3,31.5,17.86,7270
2002-08-08,31.4,31.4,30.5,30.75,17.43,18500
2002-08-09,30.75,31.0,30.5,30.55,17.32,9884
2002-08-12,30.75,31.25,30.75,30.85,17.49,8994
2002-08-13,31.0,31.2,30.8,30.9,17.52,5428
2002-08-14,31.15,31.15,30.75,30.8,17.46,7213
2002-08-15,30.8,30.8,30.8,30.8,17.46,0
2002-08-16,31.0,31.1,30.5,30.65,17.38,13741
2002-08-19,31.2,31.35,30.9,31.1,17.63,10044
2002-08-20,31.1,31.4,31.1,31.25,17.72,2532
2002-08-21,32.0,32.0,31.1,31.2,17.69,6591
2002-08-22,32.0,32.0,31.1,31.3,17.75,3783
2002-08-23,31.95,31.95,31.15,31.25,17.72,6564
2002-08-26,31.25,31.5,31.05,31.15,17.66,5184
2002-08-27,31.25,31.45,31.0,31.0,17.58,12639
2002-08-28,31.25,31.25,31.0,31.2,17.69,11050
2002-08-29,31.25,31.5,31.0,31.1,17.63,4886
2002-08-30,31.25,31.3,31.0,31.1,17.63,8244
2002-09-02,31.25,31.5,31.25,31.35,17.77,5397
2002-09-03,31.25,31.3,31.25,31.25,17.72,3326
2002-09-04,31.25,31.25,31.1,31.15,17.66,3102
2002-09-05,31.5,31.5,31.25,31.45,17.83,5325
2002-09-06,31.5,31.6,31.25,31.35,17.77,6037
2002-09-09,31.3,31.45,31.0,31.0,17.58,6689
2002-09-10,31.0,31.0,31.0,31.0,17.58,0
2002-09-11,31.5,31.75,31.25,31.5,17.86,4977
2002-09-12,31.5,31.7,31.5,31.7,17.97,2600
2002-09-13,31.6,31.75,31.5,31.6,17.92,9824
2002-09-16,31.6,31.95,31.5,31.6,17.92,8909
2002-09-17,30.3,30.7,30.0,30.5,18.34,10902
2002-09-18,30.25,30.35,29.75,29.95,18.01,23526
2002-09-19,30.0,30.25,29.75,29.75,17.89,12115
2002-09-20,30.0,30.0,29.75,29.75,17.89,16630
2002-09-23,29.0,29.0,28.1,28.7,17.25,6651
2002-09-24,28.5,28.5,27.5,27.5,16.53,2050
2002-09-25,26.1,27.2,26.1,26.65,16.02,3250
2002-09-26,26.55,27.0,26.5,26.55,15.96,5328
2002-09-27,26.65,27.3,26.65,27.05,16.26,2600
2002-09-30,27.1,27.45,26.85,26.9,16.17,4942
2002-10-01,27.0,27.0,26.0,26.15,15.72,3925
2002-10-02,26.15,26.15,26.15,26.15,15.72,0
2002-10-03,25.75,26.1,25.5,26.1,15.69,4426
2002-10-04,26.0,26.4,25.6,25.9,15.57,2461
2002-10-07,25.2,26.45,25.15,26.15,15.72,2220
2002-10-08,26.1,27.5,26.1,26.75,16.08,2050
2002-10-09,27.0,27.0,26.1,26.1,15.69,1100
2002-10-10,21.4,26.8,21.4,26.1,15.69,907
2002-10-11,26.5,26.75,26.5,26.7,16.05,5300
2002-10-14,26.5,26.9,26.45,26.5,15.93,6810
2002-10-15,26.5,26.5,26.5,26.5,15.93,0
2002-10-16,26.5,26.65,26.4,26.45,15.9,2526
2002-10-17,26.25,26.55,26.2,26.2,15.75,2276
2002-10-18,26.25,26.7,26.25,26.55,15.96,5441
2002-10-21,26.4,26.85,26.2,26.2,15.75,12289
2002-10-22,26.3,26.6,26.15,26.25,15.78,1277
2002-10-23,26.15,26.4,26.0,26.2,15.75,2368
2002-10-24,26.1,26.25,25.75,26.0,15.63,5999
2002-10-25,24.8,25.85,24.8,25.8,15.51,3317
2002-10-28,25.65,25.7,25.1,25.2,15.15,1226
2002-10-29,25.5,25.5,24.0,25.1,15.09,4950
2002-10-30,25.35,25.35,25.0,25.25,15.18,2900
2002-10-31,23.0,25.4,23.0,25.1,15.09,7330
2002-11-01,25.0,25.8,25.0,25.65,15.42,1270
2002-11-04,26.75,26.75,25.2,25.2,15.15,795
2002-11-05,25.0,26.0,24.8,24.9,14.97,2860
2002-11-06,24.9,24.9,24.9,24.9,14.97,0
2002-11-07,28.9,28.9,25.5,25.5,15.33,3170
2002-11-08,25.45,25.5,24.8,25.0,15.03,6178
2002-11-11,25.25,25.95,24.75,24.8,14.91,9127
2002-11-12,24.75,25.1,24.65,24.95,15.0,2376
2002-11-13,24.8,25.2,24.6,24.8,14.91,1025
2002-11-14,24.25,25.05,24.25,24.9,14.97,2537
2002-11-15,24.3,25.0,24.25,24.5,14.73,4531
2002-11-18,24.9,24.9,24.5,24.5,14.73,6727
2002-11-19,24.5,24.5,24.5,24.5,14.73,0
2002-11-20,24.7,25.1,24.05,25.0,15.03,13238
2002-11-21,25.0,25.9,25.0,25.15,15.12,35619
2002-11-22,25.5,26.1,25.2,26.0,15.63,5680
2002-11-25,25.25,26.2,25.25,25.9,15.57,4062
2002-11-26,26.5,26.5,25.9,26.05,15.66,2474
