Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,1002.0,1015.0,975.6,983.6,568.95,493131
2002-08-13,992.0,1049.6,990.0,1021.4,590.82,679720
2002-08-14,1004.0,1029.6,986.6,1000.0,578.44,617355
2002-08-15,1000.0,1000.0,1000.0,1000.0,578.44,0
2002-08-16,1021.2,1035.6,1005.0,1014.6,586.88,367111
2002-08-19,1026.0,1044.0,1012.8,1034.8,598.57,450263
2002-08-20,1040.0,1090.0,1040.0,1065.8,616.5,605690
2002-08-21,1058.0,1107.6,1050.0,1069.8,618.81,622339
2002-08-22,1080.6,1089.2,1036.0,1040.4,601.81,430130
2002-08-23,1048.0,1141.6,1036.4,1123.2,649.7,1017089
2002-08-26,1116.0,1171.2,1096.8,1119.4,647.5,1136825
2002-08-27,1122.0,1141.4,1067.2,1078.2,623.67,652175
2002-08-28,1068.0,1100.0,1054.0,1084.0,627.03,726183
2002-08-29,1076.0,1106.4,1072.0,1089.6,630.26,606406
2002-08-30,1087.6,1123.6,1087.6,1112.4,643.45,532009
2002-09-02,1140.0,1171.2,1112.6,1123.6,649.93,662525
2002-09-03,1124.4,1137.8,1088.0,1094.4,633.04,451358
2002-09-04,1068.0,1148.0,1060.6,1139.8,659.3,1582136
2002-09-05,1152.0,1176.0,1128.4,1141.4,660.23,1211403
2002-09-06,1119.2,1139.2,1085.2,1096.2,634.08,793817
2002-09-09,1108.0,1150.0,1100.0,1136.0,657.1,554052
2002-09-10,1136.0,1136.0,1136.0,1136.0,657.1,0
2002-09-11,1154.0,1219.6,1154.0,1201.8,695.17,1229277
2002-09-12,1208.0,1222.0,1162.4,1168.8,676.08,571855
2002-09-13,1162.4,1176.0,1147.8,1163.8,673.18,784354
2002-09-16,1184.0,1207.4,1162.4,1174.0,679.08,659470
2002-09-17,1160.0,1236.0,1160.0,1224.0,708.01,958719
2002-09-18,1210.0,1215.2,1160.0,1171.4,677.58,575190
2002-09-19,1179.2,1191.2,1138.6,1165.6,674.23,720147
2002-09-20,1131.6,1176.0,1120.0,1165.2,673.99,699107
2002-09-23,1186.4,1206.8,1168.8,1181.6,683.48,614892
2002-09-24,1159.6,1171.6,1140.6,1163.8,673.18,519240
2002-09-25,1142.6,1223.6,1140.0,1205.4,697.25,742572
2002-09-26,1236.0,1247.2,1200.0,1209.2,699.45,486046
2002-09-27,1215.6,1252.0,1210.4,1223.4,707.66,569722
2002-09-30,1206.0,1219.0,1141.4,1164.2,673.42,514756
2002-10-01,1152.0,1177.6,1116.4,1146.8,663.35,739488
2002-10-02,1146.8,1146.8,1146.8,1146.8,663.35,0
2002-10-03,1160.0,1166.0,1118.0,1129.4,653.29,542946
2002-10-04,1140.0,1160.4,1118.0,1146.2,663.0,587467
2002-10-07,1140.0,1204.0,1140.0,1193.0,690.07,823754
2002-10-08,1187.6,1210.8,1176.6,1193.0,690.07,503120
2002-10-09,1216.0,1230.4,1168.0,1179.8,682.44,605254
2002-10-10,1180.2,1200.0,1139.0,1184.0,684.87,423740
2002-10-11,1332.0,1332.0,1202.4,1218.4,704.77,390908
2002-10-14,1307.2,1318.4,1153.6,1162.4,672.37,624442
2002-10-15,1162.4,1162.4,1162.4,1162.4,672.37,0
2002-10-16,1185.0,1191.6,1150.0,1158.6,670.18,520997
2002-10-17,1164.0,1178.0,1133.2,1145.2,662.43,633701
2002-10-18,1166.2,1189.6,1140.0,1150.4,665.43,686298
2002-10-21,1166.6,1177.6,1143.4,1153.8,667.4,481947
2002-10-22,1168.0,1168.0,1110.0,1131.4,654.44,603987
2002-10-23,1140.0,1188.0,1135.2,1150.4,665.43,606980
2002-10-24,1164.4,1177.0,1137.6,1155.4,668.33,531702
2002-10-25,1156.0,1159.2,1118.2,1135.2,656.64,351355
2002-10-28,1144.4,1148.0,1111.2,1123.0,649.58,248849
2002-10-29,1106.2,1144.0,1062.2,1130.4,653.86,553584
2002-10-30,1142.0,1154.4,1124.6,1141.6,660.34,256132
2002-10-31,1148.0,1152.0,1114.2,1124.8,650.63,278561
2002-11-01,1129.6,1131.2,1065.4,1076.6,622.74,336910
2002-11-04,1098.0,1100.2,1020.0,1047.4,605.85,142278
2002-11-05,1056.0,1067.2,1032.0,1043.8,603.77,281493
2002-11-06,1043.8,1043.8,1043.8,1043.8,603.77,0
2002-11-07,1051.6,1067.0,1025.0,1034.4,598.33,299816
2002-11-08,1024.0,1057.0,1012.4,1050.4,607.59,338995
2002-11-11,1048.6,1060.0,1002.6,1008.8,583.53,350651
2002-11-12,1000.0,1017.8,987.0,1012.8,585.84,353816
2002-11-13,1024.0,1024.8,998.8,1003.8,580.63,243265
2002-11-14,1007.0,1044.0,1000.0,1016.6,588.04,516042
2002-11-15,1000.4,1017.6,972.8,988.8,571.96,693148
2002-11-18,1000.0,1019.6,984.8,1007.4,582.72,368224
2002-11-19,1007.4,1007.4,1007.4,1007.4,582.72,0
2002-11-20,1016.0,1039.2,1010.8,1014.8,587.0,242181
2002-11-21,1028.8,1055.8,1017.0,1044.4,604.12,422545
2002-11-22,1065.4,1079.6,1031.0,1038.4,600.65,296515
2002-11-25,1039.2,1045.2,1014.2,1024.4,592.55,248492
2002-11-26,1028.2,1055.6,1023.2,1043.4,603.54,335776
2002-11-27,1044.6,1098.0,1044.4,1091.6,631.42,769007
2002-11-28,1112.0,1121.2,1088.4,1093.2,632.35,368031
2002-11-29,1093.2,1093.2,1093.2,1093.2,632.35,0
2002-12-02,1093.0,1134.6,1093.0,1122.6,649.35,402051
2002-12-03,1140.0,1159.0,1073.6,1098.8,635.59,419052
2002-12-04,1088.4,1088.4,1050.4,1056.2,610.94,164223
2002-12-05,1057.4,1086.4,1056.0,1073.4,620.89,242125
2002-12-06,1084.0,1099.4,1076.0,1088.6,629.69,190229
2002-12-09,1112.0,1164.0,1094.0,1131.2,654.33,439320
2002-12-10,1160.0,1180.0,1124.6,1171.4,677.58,605855
2002-12-11,1210.2,1219.2,1126.8,1154.4,667.75,724173
2002-12-12,1160.0,1173.8,1138.8,1145.8,662.77,296786
2002-12-13,1158.8,1227.6,1146.2,1217.0,703.96,941370
2002-12-16,1226.2,1235.2,1151.6,1161.0,671.56,389248
2002-12-17,1171.8,1176.8,1120.4,1129.8,653.52,313661
2002-12-18,1128.0,1188.0,1124.4,1173.2,678.62,673681
2002-12-19,1157.6,1183.2,1154.2,1172.4,678.16,223040
2002-12-20,1174.8,1184.0,1132.2,1149.4,664.86,450984
2002-12-23,1160.0,1160.0,1104.6,1112.6,643.57,206783
2002-12-24,1110.0,1143.6,1108.0,1136.8,657.57,397509
2002-12-25,1136.8,1136.8,1136.8,1136.8,657.57,0
2002-12-26,1140.0,1159.2,1128.0,1133.6,655.72,232400
2002-12-27,1138.8,1148.8,1113.2,1117.8,646.58,153776
2002-12-30,1124.6,1125.6,1107.0,1116.8,646.0,147192
2002-12-31,1127.2,1138.4,1112.6,1116.2,645.65,154782
2003-01-01,1120.2,1130.2,1112.8,1119.8,647.73,77816
2003-01-02,1124.0,1130.0,1088.8,1096.6,634.31,162158
2003-01-03,1108.0,1117.4,1088.8,1093.0,632.23,91626
2003-01-06,1097.8,1103.6,1045.4,1050.2,607.47,167620
2003-01-07,1060.0,1066.0,1022.6,1028.6,594.98,172305
2003-01-08,1033.6,1067.6,1033.6,1043.2,603.43,261505
2003-01-09,1048.4,1092.0,1040.0,1072.8,620.55,360528
2003-01-10,1092.0,1103.2,1040.4,1046.2,605.16,308509
2003-01-13,1057.8,1200.0,1052.0,1167.0,675.04,773967
2003-01-14,1160.0,1176.0,1122.4,1129.0,653.06,385690
2003-01-15,1141.6,1166.8,1110.0,1139.8,659.3,353409
2003-01-16,1150.8,1162.8,1133.6,1147.6,663.81,177369
2003-01-17,1149.6,1152.0,1114.2,1120.8,648.31,117641
2003-01-20,1118.8,1154.0,1118.8,1136.6,657.45,313457
2003-01-21,1184.0,1184.0,1066.6,1075.0,621.82,446891
2003-01-22,1079.6,1096.0,1042.0,1057.6,611.75,226655
2003-01-23,1044.0,1056.0,1012.0,1018.0,588.85,117639
2003-01-24,1000.0,1009.6,866.6,907.4,524.87,884960
2003-01-27,880.0,887.6,726.0,738.4,427.12,552739
2003-01-28,632.0,794.0,632.0,767.0,443.66,1263250
2003-01-29,764.0,809.6,728.0,743.6,430.13,761513
2003-01-30,752.4,771.2,728.2,752.6,435.33,390008
2003-01-31,752.0,764.0,732.0,740.6,428.39,253896
2003-02-03,760.0,888.8,760.0,888.8,514.11,661804
2003-02-04,914.6,970.8,896.6,907.4,524.87,1013697
2003-02-05,909.8,909.8,804.6,826.6,478.14,1144708
2003-02-06,834.8,867.4,826.4,860.4,497.69,855885
2003-02-07,878.6,896.0,850.6,862.4,498.84,828890
2003-02-10,858.2,867.8,810.6,820.4,474.55,346404
2003-02-11,835.2,843.6,810.0,833.4,482.07,456404
2003-02-12,840.0,850.8,808.4,822.2,475.59,391996
2003-02-13,822.2,822.2,822.2,822.2,475.59,0
2003-02-14,828.0,828.0,777.2,783.2,453.03,369104
2003-02-17,801.0,835.2,801.0,828.6,479.29,241617
2003-02-18,840.0,858.0,822.0,828.4,479.18,319096
2003-02-19,838.2,847.6,804.4,810.6,468.88,231204
2003-02-20,812.8,815.6,782.4,803.0,464.48,228700
2003-02-21,799.6,821.2,771.0,785.6,454.42,640397
2003-02-24,797.6,812.0,788.4,791.6,457.89,329501
2003-02-25,788.0,788.0,770.2,773.2,447.25,170270
2003-02-26,783.6,784.0,754.4,757.8,438.34,179646
2003-02-27,750.0,777.2,745.6,766.4,443.31,241028
2003-02-28,792.0,804.0,768.8,796.4,460.67,270169
2003-03-03,804.2,807.6,776.4,778.6,450.37,172254
2003-03-04,775.8,775.8,755.2,764.0,441.93,166583
2003-03-05,756.0,767.6,744.2,762.0,440.77,145951
2003-03-06,766.0,777.8,736.0,749.6,433.6,274331
2003-03-07,732.0,732.0,700.0,712.2,411.96,150930
2003-03-10,712.0,717.6,680.4,689.0,398.54,124648
2003-03-11,678.0,687.6,662.0,682.8,394.96,166799
2003-03-12,684.0,712.6,674.8,681.0,393.92,246471
2003-03-13,684.0,688.8,664.4,670.2,387.67,135645
2003-03-14,670.2,670.2,670.2,670.2,387.67,0
2003-03-17,675.2,675.2,628.0,642.2,371.47,139619
2003-03-18,642.2,642.2,642.2,642.2,371.47,0
2003-03-19,660.0,668.0,634.2,641.8,371.24,174038
2003-03-20,642.0,720.0,629.4,676.2,391.14,319249
2003-03-21,676.2,676.2,676.2,676.2,391.14,0
2003-03-24,735.8,735.8,694.2,705.2,407.91,442834
2003-03-25,660.0,697.0,660.0,694.0,401.43,269830
2003-03-26,698.6,758.4,698.6,740.8,428.51,607734
2003-03-27,736.0,744.0,715.2,720.0,416.47,261432
2003-03-28,726.2,738.0,715.0,718.8,415.78,244106
2003-03-31,712.0,712.0,610.6,619.4,358.28,256463
2003-04-01,616.0,658.8,612.0,637.4,368.7,371414
2003-04-02,652.0,671.0,642.0,663.0,383.5,229291
2003-04-03,672.4,690.8,668.0,684.6,396.0,244994
2003-04-04,683.8,695.0,669.4,689.6,398.89,208781
2003-04-07,696.4,731.0,695.4,718.2,415.43,260900
2003-04-08,712.0,712.0,684.0,687.4,397.62,145645
2003-04-09,684.0,708.0,668.4,694.8,401.9,343637
2003-04-10,692.0,692.0,608.4,632.8,366.03,219545
2003-04-11,643.8,657.2,578.0,621.6,359.56,173573
2003-04-15,624.0,699.2,624.0,684.2,395.77,261144
2003-04-16,704.2,744.0,665.0,679.8,393.22,463059
2003-04-17,660.0,686.8,648.0,658.2,380.73,186105
2003-04-18,658.2,658.2,658.2,658.2,380.73,0
2003-04-21,665.6,692.0,665.6,675.4,390.68,142222
2003-04-22,679.8,698.0,672.6,680.4,393.57,178829
2003-04-23,699.2,712.0,660.4,669.6,387.32,182023
2003-04-24,668.0,699.0,663.6,683.4,395.3,236298
2003-04-25,684.0,701.2,681.0,687.6,397.73,149798
2003-04-28,692.0,698.4,680.6,685.0,396.23,94541
2003-04-29,694.0,717.0,680.8,692.6,400.63,385964
2003-04-30,696.0,701.6,680.2,685.6,396.58,125231
2003-05-01,685.6,685.6,685.6,685.6,396.58,0
2003-05-02,699.6,748.0,699.6,743.4,430.01,456789
2003-05-05,762.2,792.4,754.4,780.4,451.41,407294
2003-05-06,777.0,822.0,760.2,766.2,443.2,548437
2003-05-07,776.0,779.2,746.0,750.8,434.29,171568
2003-05-08,758.6,770.4,736.4,741.2,428.74,166938
2003-05-09,740.0,754.2,728.0,745.6,431.28,190149
2003-05-12,752.0,759.2,724.2,727.8,420.99,81678
2003-05-13,732.0,811.6,728.8,798.6,461.94,578282
2003-05-14,798.0,802.8,760.0,795.0,459.86,213457
2003-05-15,804.0,816.0,786.4,810.4,468.77,233118
2003-05-16,813.6,827.2,790.4,803.4,464.72,151641
2003-05-19,804.0,813.4,740.2,745.6,431.28,147136
2003-05-20,752.0,767.8,728.0,760.4,439.84,150546
2003-05-21,764.0,774.8,724.0,731.0,422.84,158853
2003-05-22,734.2,740.0,720.0,725.0,419.37,106691
2003-05-23,731.2,748.0,720.6,727.6,420.87,110702
2003-05-26,726.0,735.2,706.0,710.4,410.92,92893
2003-05-27,715.4,735.6,714.0,720.8,416.94,105226
2003-05-28,740.0,740.0,720.4,727.8,420.99,65261
2003-05-29,735.2,785.6,722.4,776.8,449.33,232181
2003-05-30,779.2,872.0,779.2,848.6,490.86,498347
2003-06-02,864.0,900.0,840.4,848.8,490.98,136007
2003-06-03,852.0,860.0,822.0,828.2,479.06,93888
2003-06-04,840.0,850.8,810.0,817.4,472.81,108204
2003-06-05,910.8,960.0,840.0,859.0,496.88,323361
2003-06-06,867.4,912.0,862.4,896.2,518.4,284022
2003-06-09,952.0,1075.6,888.0,1075.0,621.82,779146
2003-06-10,1280.0,1280.0,974.2,992.2,573.92,719916
2003-06-11,1018.6,1054.8,1012.0,1016.8,588.15,293677
2003-06-12,1032.0,1056.8,1022.0,1043.0,603.31,249617
2003-06-13,1052.0,1054.6,974.0,991.2,573.35,146038
2003-06-16,987.2,1018.8,900.0,984.8,569.64,216130
2003-06-17,1005.2,1030.8,1005.2,1017.8,588.73,150903
2003-06-18,1020.0,1029.6,1000.2,1006.4,582.14,80707
2003-06-19,1008.0,1008.0,960.0,971.4,561.89,134273
2003-06-20,963.6,983.4,948.0,966.4,559.0,134291
2003-06-23,980.0,1019.6,972.6,979.2,566.41,166907
2003-06-24,972.0,995.2,964.0,971.0,561.66,111974
2003-06-25,985.0,1007.4,978.4,982.4,568.26,123123
2003-06-26,1000.6,1011.0,989.2,996.4,576.35,102517
2003-06-27,1009.0,1047.2,1005.2,1021.8,591.05,223112
2003-06-30,1013.2,1026.4,986.2,990.6,573.0,151914
2003-07-01,989.6,1016.8,980.8,984.6,569.53,107335
2003-07-02,992.0,1010.0,966.0,975.6,564.32,83547
2003-07-03,989.0,1020.0,964.4,1007.0,582.49,177033
2003-07-04,1021.2,1079.2,1020.0,1032.4,597.18,403511
2003-07-07,1027.8,1027.8,996.4,1006.8,582.37,102302
2003-07-08,960.0,1011.6,960.0,985.2,569.88,101009
2003-07-09,996.0,996.0,954.2,967.6,559.7,46263
