Date,Open,High,Low,Close,Adj Close,Volume
2007-05-24,73.1,77.8,66.05,67.75,55.68,10658727
2007-05-25,66.4,66.8,62.1,63.0,51.77,1100500
2007-05-28,63.7,64.0,57.5,58.7,48.24,643700
2007-05-29,59.15,66.5,56.2,63.5,52.18,2548000
2007-05-30,63.3,63.5,59.1,59.7,49.06,650400
2007-05-31,62.95,67.2,60.7,62.05,50.99,1565600
2007-06-01,63.25,63.75,60.5,60.9,50.05,414321
2007-06-04,61.45,62.7,59.1,59.7,49.06,265900
2007-06-05,59.15,60.8,57.65,58.15,47.79,180200
2007-06-06,58.5,59.9,55.15,55.8,45.86,217300
2007-06-07,55.05,56.8,53.25,53.7,44.13,185900
2007-06-08,53.0,53.0,50.5,51.05,41.95,200400
2007-06-11,52.5,53.9,50.6,50.75,41.71,126000
2007-06-12,50.55,51.5,46.5,47.15,38.75,214800
2007-06-13,48.05,49.7,46.1,47.45,38.99,312200
2007-06-14,50.25,56.95,47.6,54.9,45.12,1425500
2007-06-15,54.55,56.0,51.15,52.0,42.73,452500
2007-06-18,54.0,56.35,52.5,54.05,44.42,454800
2007-06-19,53.9,53.9,51.6,53.05,43.6,166400
2007-06-20,52.3,54.0,51.55,52.05,42.77,93000
2007-06-21,52.1,53.2,50.75,51.0,41.91,119000
2007-06-22,51.0,51.0,49.6,50.1,41.17,60800
2007-06-25,49.75,51.1,49.1,49.35,40.56,105400
2007-06-26,50.2,50.2,48.6,49.1,40.35,50900
2007-06-27,49.1,49.5,47.55,48.1,39.53,52200
2007-06-28,48.65,52.1,48.0,48.9,40.19,204200
2007-06-29,49.5,49.9,48.0,48.15,39.57,72800
2007-07-02,48.55,49.95,48.05,48.3,39.69,42600
2007-07-03,48.9,49.0,48.3,48.65,39.98,58200
2007-07-04,48.3,49.7,48.05,48.45,39.82,54600
2007-07-05,49.4,49.4,47.7,47.85,39.32,43700
2007-07-06,48.65,48.65,38.5,46.95,38.58,65400
2007-07-09,47.1,48.0,46.5,46.6,38.3,41200
2007-07-10,47.5,47.8,40.25,45.85,37.68,45600
2007-07-11,47.0,48.3,45.0,46.15,37.93,105800
2007-07-12,46.8,48.7,46.5,47.4,38.95,111000
2007-07-13,48.2,48.85,46.75,47.1,38.71,56200
2007-07-16,47.1,49.2,47.1,47.55,39.08,82500
2007-07-17,48.5,48.5,45.75,46.15,37.93,36000
2007-07-18,46.5,47.15,45.15,46.1,37.88,58300
2007-07-19,46.5,47.5,45.15,45.6,37.47,44000
2007-07-20,47.2,47.2,44.0,44.4,36.49,49700
2007-07-23,44.6,44.7,40.5,42.75,35.13,44500
2007-07-24,40.6,43.25,40.6,40.9,33.61,53800
2007-07-25,40.6,42.1,40.25,40.95,33.65,75400
2007-07-26,41.25,44.3,41.0,43.0,35.34,105500
2007-07-27,41.25,42.95,40.7,40.95,33.65,66100
2007-07-30,41.0,41.7,40.5,40.85,33.57,26900
2007-07-31,42.45,42.45,40.1,40.5,33.28,33900
2007-08-01,40.25,41.0,37.5,38.25,31.43,33400
2007-08-02,41.0,41.0,38.1,38.45,31.6,33400
2007-08-03,38.25,38.95,37.05,37.65,30.94,39525
2007-08-06,36.0,37.25,36.0,36.65,30.12,34000
2007-08-07,37.75,37.75,36.4,36.7,30.16,40500
2007-08-08,37.3,40.85,37.3,39.2,32.21,118800
2007-08-09,40.0,40.0,38.3,38.55,31.68,38900
2007-08-10,37.55,37.85,36.0,37.45,30.78,27900
2007-08-13,37.9,40.4,37.05,38.85,31.93,62114
2007-08-14,40.0,40.7,38.45,39.85,32.75,41475
2007-08-16,37.3,40.0,37.1,37.45,30.78,28728
2007-08-17,37.4,37.5,35.6,36.2,29.75,29316
2007-08-20,37.5,37.85,36.7,36.95,30.37,14664
2007-08-21,36.5,37.0,35.0,35.1,28.85,20183
2007-08-22,34.8,35.45,32.0,33.1,27.2,30248
2007-08-23,35.0,35.0,33.2,33.9,27.86,34936
2007-08-24,32.15,34.85,32.15,33.25,27.32,8900
2007-08-27,33.1,34.9,33.1,34.5,28.35,16597
2007-08-28,31.15,34.95,31.15,33.45,27.49,26186
2007-08-29,33.95,36.0,32.8,34.25,28.15,36895
2007-08-30,34.9,35.9,34.05,35.1,28.85,37967
2007-08-31,35.55,37.25,35.35,35.9,29.5,57032
2007-09-03,36.0,39.4,35.7,37.85,31.11,64700
2007-09-04,38.4,42.2,37.65,39.7,32.63,204584
2007-09-05,40.0,42.0,39.1,39.7,32.63,48441
2007-09-06,39.1,39.8,38.2,38.8,31.89,29543
2007-09-07,38.7,40.5,38.1,38.75,31.84,26102
2007-09-10,38.25,39.65,37.55,38.55,31.68,27640
2007-09-11,39.0,39.3,38.05,38.45,31.6,22790
2007-09-12,38.8,40.3,30.85,39.5,32.46,69900
2007-09-13,40.0,43.6,39.1,42.9,35.26,296368
