Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,78.57,86.39,77.88,78.22,60.24,15273
1996-01-02,78.22,78.43,78.14,78.39,60.38,17623
1996-01-03,78.39,78.14,78.05,78.05,60.11,5286
1996-01-04,77.88,77.88,77.2,77.2,59.46,12336
1996-01-05,77.11,77.2,76.88,77.0,59.3,12923
1996-01-08,77.03,77.11,76.6,76.63,59.02,14685
1996-01-09,76.63,77.11,75.75,76.6,59.0,26434
1996-01-10,76.6,77.45,76.6,76.6,59.0,7636
1996-01-11,76.6,77.03,74.9,77.03,59.33,14685
1996-01-12,77.03,77.28,76.6,77.2,59.46,6461
1996-01-15,77.2,76.94,76.6,76.6,59.0,14685
1996-01-16,76.6,76.39,75.41,75.45,58.11,10573
1996-01-17,75.45,77.37,75.83,77.2,59.46,67555
1996-01-18,77.2,77.88,74.05,76.69,59.07,46407
1996-01-19,76.69,81.71,76.43,76.95,59.27,24085
1996-01-22,76.95,76.94,76.49,76.83,59.18,15273
1996-01-23,76.83,77.03,76.61,76.61,59.01,43470
1996-01-24,76.61,76.94,76.01,76.48,58.9,82241
1996-01-25,76.48,77.11,76.18,77.0,59.3,46407
1996-01-26,77.0,77.0,77.0,77.0,59.3,0
1996-01-29,77.0,77.45,76.27,77.11,59.39,249074
1996-01-30,77.11,78.48,76.69,77.51,59.7,293719
1996-01-31,77.51,77.88,77.03,77.11,59.39,12336
1996-02-01,77.11,80.43,77.46,79.11,60.93,358338
1996-02-02,79.11,82.56,80.69,82.56,63.59,27609
1996-02-05,82.56,90.64,81.46,85.49,65.85,509897
1996-02-06,85.49,86.82,83.84,85.44,65.8,647945
1996-02-07,85.44,86.82,83.84,85.57,65.91,549255
1996-02-08,85.57,91.5,85.97,88.18,67.91,520471
1996-02-09,88.18,93.24,87.33,92.43,71.19,142747
1996-02-12,94.82,96.18,93.63,93.92,72.34,99864
1996-02-13,93.92,95.33,91.92,95.18,73.31,109851
1996-02-14,95.18,104.69,94.99,103.64,79.82,511072
1996-02-15,103.64,99.16,97.03,98.32,75.73,54631
1996-02-16,98.32,99.16,88.95,98.12,75.57,98102
1996-02-19,98.12,96.18,90.22,95.4,73.47,31134
1996-02-20,95.4,95.5,93.63,95.18,73.3,48757
1996-02-21,95.18,95.18,95.18,95.18,73.3,0
1996-02-22,95.18,97.03,95.5,95.84,73.81,25847
1996-02-23,95.84,98.65,95.33,97.21,74.87,56394
1996-02-26,97.21,98.39,95.75,97.88,75.38,60506
1996-02-27,97.88,99.16,94.69,95.69,73.7,37596
1996-02-28,95.69,99.41,96.18,97.96,75.45,102214
1996-02-29,97.96,101.96,94.9,96.06,73.98,65205
1996-03-01,96.06,96.18,93.63,95.66,73.68,18210
1996-03-04,95.66,98.05,95.33,97.71,75.26,173882
1996-03-05,97.71,97.71,97.71,97.71,75.26,0
1996-03-06,97.71,98.22,95.75,97.77,75.3,32896
1996-03-07,97.77,97.46,96.73,96.87,74.6,11161
1996-03-08,96.87,96.52,95.33,96.18,74.08,21735
1996-03-11,96.18,94.73,92.78,93.92,72.34,16448
1996-03-12,93.92,94.05,93.2,93.33,71.88,41120
1996-03-13,93.33,94.39,93.29,93.29,71.85,22322
1996-03-14,93.29,94.48,92.86,94.04,72.43,32896
1996-03-15,89.37,94.63,89.37,93.55,72.05,14098
1996-03-18,93.55,93.63,92.86,92.93,71.57,7636
1996-03-19,92.93,96.61,93.63,94.29,72.62,380660
1996-03-20,94.29,94.29,94.29,94.29,72.62,0
1996-03-21,94.29,93.63,93.2,93.62,72.11,127474
1996-03-22,93.62,94.39,89.37,93.63,72.11,116900
1996-03-25,93.63,92.78,91.24,91.25,70.28,16448
1996-03-26,91.25,92.88,89.37,91.86,70.75,25259
1996-03-27,91.86,95.75,91.92,95.55,73.59,31134
1996-03-28,95.55,96.18,95.33,95.75,73.75,9986
1996-03-29,95.75,96.61,94.48,95.97,73.91,34658
1996-04-01,95.97,96.61,95.78,96.61,74.4,7636
1996-04-02,96.61,97.03,95.75,95.91,73.87,29959
1996-04-03,95.91,97.03,95.75,96.27,74.14,17623
1996-04-04,96.27,97.88,95.93,96.47,74.3,18798
1996-04-05,96.47,96.47,96.47,96.47,74.3,0
1996-04-08,96.47,97.83,96.19,97.12,74.8,15273
1996-04-09,97.12,98.73,96.61,98.28,75.7,28784
1996-04-10,98.28,98.74,97.63,98.73,76.04,25847
1996-04-11,98.73,102.05,97.65,98.31,75.72,22910
