Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,4.9,5.65,4.9,5.65,4.65,120
2002-07-02,5.98,6.67,5.98,6.67,5.49,300
2002-07-03,6.67,8.0,6.33,6.33,5.21,888
2002-07-04,7.0,7.6,7.0,7.37,6.07,1950
2002-07-05,8.63,8.63,8.08,8.08,6.66,600
2002-07-08,8.0,8.98,7.48,8.98,7.4,4800
2002-07-09,7.67,8.6,7.58,7.85,6.46,2895
2002-07-10,7.17,7.5,7.0,7.5,6.18,3600
2002-07-11,6.83,6.83,6.67,6.67,5.49,2175
2002-07-12,6.67,6.67,6.67,6.67,5.49,0
2002-07-15,6.67,6.67,6.67,6.67,5.49,0
2002-07-16,5.68,6.33,5.67,5.85,4.82,498
2002-07-17,6.5,6.5,5.25,5.25,4.32,450
2002-07-18,6.07,6.07,6.07,6.07,5.19,3
2002-07-19,6.5,6.5,6.5,6.5,5.56,150
2002-07-22,6.03,6.03,6.0,6.02,5.15,246
2002-07-23,6.02,6.02,6.02,6.02,5.15,0
2002-07-24,5.83,5.83,5.83,5.83,4.99,75
2002-07-25,6.33,6.33,6.33,6.33,5.42,603
2002-07-26,6.33,6.33,6.33,6.33,5.42,0
2002-07-29,6.33,6.33,6.33,6.33,5.42,0
2002-07-30,7.5,7.5,5.17,5.17,4.42,153
2002-07-31,5.17,5.17,5.17,5.17,4.42,0
2002-08-01,5.0,5.17,4.78,4.83,4.14,2175
2002-08-02,4.83,4.83,4.83,4.83,4.14,0
2002-08-05,4.83,4.83,4.83,4.83,4.14,0
2002-08-06,4.83,4.83,4.83,4.83,4.14,0
2002-08-07,5.65,5.65,5.65,5.65,4.84,15
2002-08-08,5.65,5.65,5.65,5.65,4.84,0
2002-08-09,4.85,4.85,4.85,4.85,4.15,75
2002-08-12,4.85,4.85,4.85,4.85,4.15,0
2002-08-13,4.85,4.85,4.85,4.85,4.15,0
2002-08-14,4.83,4.83,4.83,4.83,4.14,150
2002-08-15,4.83,4.83,4.83,4.83,4.14,0
2002-08-16,4.67,5.08,4.67,5.08,4.35,675
2002-08-19,5.08,5.08,4.97,4.98,4.27,900
2002-08-20,4.82,5.03,4.82,5.03,4.31,93
2002-08-21,5.03,5.03,5.03,5.03,4.31,0
2002-08-22,5.03,5.03,5.03,5.03,4.31,0
2002-08-23,5.57,5.57,4.5,4.68,4.01,168
2002-08-26,4.68,4.68,4.68,4.68,4.01,0
2002-08-27,4.68,4.68,4.68,4.68,4.01,0
2002-08-28,4.33,4.33,4.33,4.33,3.71,150
2002-08-29,4.37,4.37,4.37,4.37,3.74,54
2002-08-30,5.0,5.2,5.0,5.12,4.38,600
2002-09-02,5.12,5.12,5.12,5.12,4.38,0
2002-09-03,4.93,4.93,4.93,4.93,4.22,75
2002-09-04,4.57,4.57,4.33,4.48,3.84,366
2002-09-05,4.48,4.48,4.48,4.48,3.84,0
2002-09-06,4.33,4.33,4.33,4.33,3.71,75
2002-09-09,4.03,4.7,4.03,4.7,4.02,153
2002-09-10,4.7,4.7,4.7,4.7,4.02,0
2002-09-11,4.68,4.68,4.68,4.68,4.01,600
2002-09-12,4.68,4.68,4.68,4.68,4.01,0
2002-09-13,4.05,4.05,4.05,4.05,3.47,3
2002-09-16,4.05,4.05,4.05,4.05,3.47,0
2002-09-17,4.05,4.05,4.05,4.05,3.47,0
2002-09-18,4.07,4.07,4.03,4.03,3.45,600
2002-09-19,4.07,4.07,4.07,4.07,3.48,75
2002-09-20,4.07,4.07,4.07,4.07,3.48,0
2002-09-23,4.07,4.07,4.07,4.07,3.48,0
2002-09-24,4.07,4.07,4.07,4.07,3.48,0
2002-09-25,4.05,4.05,4.05,4.05,3.47,150
2002-09-26,4.05,4.05,4.05,4.05,3.47,0
2002-09-27,4.0,4.0,3.67,3.67,3.14,285
2002-09-30,3.67,3.67,3.67,3.67,3.14,0
2002-10-01,3.67,3.67,3.67,3.67,3.14,0
2002-10-02,3.67,3.67,3.67,3.67,3.14,0
2002-10-03,3.67,3.67,3.67,3.67,3.14,0
2002-10-04,3.67,3.67,3.67,3.67,3.14,0
2002-10-07,3.67,3.67,3.67,3.67,3.14,0
2002-10-08,3.2,4.28,3.18,3.67,3.14,2403
2002-10-09,3.42,4.15,3.42,3.53,3.02,81
2002-10-10,3.53,3.53,3.53,3.53,3.02,0
2002-10-11,3.53,3.53,3.53,3.53,3.02,0
2002-10-14,3.28,3.37,3.28,3.37,2.88,81
2002-10-15,3.37,3.37,3.37,3.37,2.88,0
2002-10-16,3.37,3.37,3.37,3.37,2.88,0
2002-10-17,3.37,3.37,3.37,3.37,2.88,0
2002-10-18,3.37,3.37,3.37,3.37,2.88,0
2002-10-21,3.37,3.37,3.37,3.37,2.88,0
2002-10-22,3.33,3.33,3.33,3.33,2.85,300
2002-10-23,3.33,3.33,3.33,3.33,2.85,0
2002-10-24,3.33,3.33,3.33,3.33,2.85,0
2002-10-25,3.33,3.33,3.33,3.33,2.85,0
2002-10-28,3.33,3.33,3.33,3.33,2.85,0
2002-10-29,2.82,3.17,2.82,3.17,2.71,150
2002-10-30,3.17,3.17,3.17,3.17,2.71,0
2002-10-31,3.5,3.67,3.5,3.67,3.14,150
2002-11-01,3.18,3.18,3.18,3.18,2.73,3
2002-11-04,3.18,3.18,3.18,3.18,2.73,0
2002-11-05,3.18,3.18,3.18,3.18,2.73,0
2002-11-06,3.18,3.18,3.18,3.18,2.73,0
2002-11-07,2.55,3.78,2.55,3.78,3.24,153
2002-11-08,3.78,3.78,3.78,3.78,3.24,0
2002-11-11,3.08,3.5,3.08,3.5,3.0,1350
2002-11-12,2.8,4.15,2.8,4.15,3.55,453
2002-11-13,4.15,4.15,4.15,4.15,3.55,0
2002-11-14,4.97,4.97,4.97,4.97,4.25,3
2002-11-15,5.95,5.95,4.67,4.67,3.99,300
2002-11-18,5.0,5.0,4.17,4.97,4.25,822
2002-11-19,4.97,4.97,4.97,4.97,4.25,0
2002-11-20,3.98,4.17,3.98,4.17,3.57,153
2002-11-21,3.33,4.17,3.33,3.75,3.21,612
2002-11-22,4.17,4.17,4.0,4.0,3.42,1275
2002-11-25,3.38,3.38,3.38,3.38,2.9,3
2002-11-26,3.7,4.0,3.7,4.0,3.42,150
2002-11-27,4.5,4.77,4.5,4.77,4.08,300
2002-11-28,4.75,5.73,4.75,5.73,4.91,2490
2002-11-29,6.88,6.88,5.78,6.22,5.32,456
