Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,15.93,15.97,15.55,15.63,14.72,3756
1996-01-02,15.76,15.76,15.5,15.67,14.76,7630
1996-01-03,15.67,15.76,15.38,15.38,14.48,2582
1996-01-04,15.38,16.06,15.42,15.76,14.84,7161
1996-01-05,16.78,16.78,16.06,16.18,15.24,4695
1996-01-08,16.18,16.23,15.42,15.42,14.52,4930
1996-01-09,15.42,15.42,14.48,14.82,13.96,5752
1996-01-10,14.82,14.91,14.52,14.57,13.72,2700
1996-01-11,14.57,14.69,14.48,14.48,13.64,4226
1996-01-12,14.48,14.91,14.74,14.82,13.96,3169
1996-01-15,14.82,15.12,14.91,14.99,14.12,821
1996-01-16,14.99,14.91,14.48,14.52,13.68,1643
1996-01-17,14.52,15.25,14.06,14.18,13.36,1643
1996-01-18,14.18,14.06,12.86,12.86,12.11,1878
1996-01-19,12.86,13.97,13.29,13.42,12.63,1643
1996-01-22,12.82,13.42,12.82,12.95,12.19,939
1996-01-23,13.2,13.67,13.2,13.67,12.87,3639
1996-01-24,13.63,14.06,13.63,13.67,12.87,3052
1996-01-25,13.63,13.84,13.59,13.63,12.83,2934
1996-01-26,13.63,13.63,13.63,13.63,12.83,0
1996-01-29,13.63,14.27,13.63,14.14,13.32,1643
1996-01-30,14.48,14.69,14.23,14.69,13.84,3991
1996-01-31,14.91,15.55,14.91,15.12,14.24,2817
1996-02-01,15.55,16.61,15.55,16.61,15.64,6456
1996-02-02,16.61,17.46,16.61,17.46,16.44,4813
1996-02-05,17.89,18.27,17.68,17.68,16.64,3287
1996-02-06,17.68,18.31,17.04,17.85,16.8,14439
1996-02-07,17.46,17.46,17.04,17.04,16.04,4108
1996-02-08,17.04,17.04,16.18,17.04,16.04,1291
1996-02-09,16.61,17.46,16.61,17.46,16.44,2582
1996-02-12,17.46,17.68,17.25,17.25,16.24,1878
1996-02-13,17.29,17.89,17.04,17.04,16.04,3874
1996-02-14,17.04,17.89,17.04,17.08,16.08,1760
1996-02-15,16.99,16.99,15.8,16.18,15.24,1408
1996-02-16,15.12,16.18,14.57,16.18,15.24,1878
1996-02-19,16.18,16.18,15.12,16.18,15.24,4226
1996-02-20,16.18,16.18,15.33,15.33,14.44,4461
1996-02-21,15.33,15.33,15.33,15.33,14.44,0
1996-02-22,15.33,16.18,15.76,15.76,14.84,1526
1996-02-23,15.76,16.1,15.55,16.06,15.12,821
1996-02-26,15.76,15.93,15.55,15.93,15.0,2230
1996-02-27,15.72,16.18,15.72,16.18,15.24,5752
1996-02-28,16.18,16.18,15.97,16.18,15.24,586
1996-02-29,15.97,16.14,15.33,15.33,14.44,3521
1996-03-01,15.38,15.76,15.12,15.76,14.84,6104
1996-03-04,15.33,15.33,14.99,15.33,14.44,6339
1996-03-05,15.33,15.33,15.33,15.33,14.44,0
1996-03-06,15.33,16.82,14.95,15.76,14.84,5752
1996-03-07,15.76,15.55,14.91,15.03,14.16,2700
1996-03-08,15.03,15.03,14.82,14.82,13.96,3521
1996-03-11,14.82,14.65,14.48,14.48,13.64,1995
1996-03-12,14.48,13.63,12.99,13.2,12.43,4930
1996-03-13,13.63,14.06,13.63,13.67,12.87,821
1996-03-14,14.27,14.44,14.06,14.06,13.23,4813
1996-03-15,14.06,14.06,13.54,13.84,13.03,1056
1996-03-18,13.88,14.06,13.84,13.84,13.03,4226
1996-03-19,14.01,14.06,12.82,13.29,12.51,4930
1996-03-20,13.29,13.29,13.29,13.29,12.51,0
1996-03-21,12.99,13.2,12.86,13.2,12.43,1408
1996-03-22,13.25,13.63,13.12,13.16,12.39,4813
1996-03-25,13.29,13.29,13.2,13.29,12.51,939
1996-03-26,13.42,13.42,13.2,13.25,12.47,2582
1996-03-27,13.97,13.97,13.46,13.46,12.67,821
1996-03-28,13.46,13.97,13.37,13.63,12.83,1643
1996-03-29,13.42,13.42,13.03,13.2,12.43,1643
1996-04-01,13.2,13.84,13.59,13.84,13.03,2817
1996-04-02,14.23,14.27,13.84,13.84,13.03,3639
1996-04-03,14.06,14.48,14.06,14.14,13.32,2347
1996-04-04,14.27,14.95,14.06,14.57,13.72,3404
1996-04-05,14.57,14.57,14.57,14.57,13.72,0
1996-04-08,14.57,16.1,16.01,16.1,15.16,2934
1996-04-09,16.1,17.8,17.29,17.8,16.76,2347
1996-04-10,17.8,19.68,18.1,18.48,17.41,26531
1996-04-11,18.48,18.53,17.8,17.85,16.8,15144
1996-04-12,17.85,17.85,16.91,17.08,16.08,8922
1996-04-15,17.08,17.12,16.4,17.08,16.08,5048
1996-04-16,17.08,17.38,15.89,16.18,15.24,20074
1996-04-17,16.18,17.04,16.18,16.82,15.84,3404
1996-04-18,16.82,17.25,16.31,16.99,16.0,7395
1996-04-19,16.99,17.8,16.23,17.12,16.12,7278
1996-04-22,17.12,17.25,16.23,16.35,15.4,2347
1996-04-23,16.35,16.31,15.89,15.97,15.04,7748
1996-04-24,16.61,16.99,16.61,16.95,15.96,4578
1996-04-25,16.95,17.04,16.18,16.18,15.24,8922
1996-04-26,15.33,16.18,15.33,15.76,14.84,7161
1996-04-29,15.76,15.76,14.65,15.33,14.44,4343
1996-04-30,15.33,15.97,14.95,15.84,14.92,2465
1996-05-01,15.84,15.76,15.33,15.46,14.56,2113
1996-05-02,15.46,15.76,15.55,15.76,14.84,3404
1996-05-03,15.8,15.8,15.59,15.76,14.84,5282
1996-05-06,15.76,15.38,14.91,14.99,14.12,10330
1996-05-07,14.99,15.12,14.65,14.69,13.84,7748
1996-05-08,14.99,14.99,14.69,14.78,13.92,1408
1996-05-09,14.48,14.61,14.48,14.52,13.68,939
1996-05-10,14.91,14.91,14.27,14.27,13.44,2817
1996-05-13,13.63,14.44,13.63,13.71,12.91,1291
1996-05-14,14.06,14.06,13.63,13.84,13.03,5400
1996-05-15,14.06,14.23,13.97,14.23,13.4,2465
1996-05-16,14.23,14.78,14.27,14.52,13.68,3404
1996-05-17,14.52,14.69,14.23,14.57,13.72,2817
1996-05-20,14.57,14.57,13.84,14.57,13.72,3287
1996-05-21,14.57,14.48,13.42,14.01,13.19,7395
1996-05-22,13.63,13.67,13.42,13.54,12.75,1995
