Date,Open,High,Low,Close,Adj Close,Volume
2003-05-15,24.6,24.6,24.6,24.6,15.66,200
2003-05-16,24.6,24.6,24.6,24.6,15.66,0
2003-05-19,24.6,24.6,24.6,24.6,15.66,0
2003-05-20,25.84,25.84,25.84,25.84,16.45,400
2003-05-21,25.84,25.84,25.84,25.84,16.45,0
2003-05-22,25.84,25.84,25.84,25.84,16.45,0
2003-05-23,27.14,27.14,27.14,27.14,17.28,1000
2003-05-26,27.14,27.14,27.14,27.14,17.28,0
2003-05-27,27.14,27.14,27.14,27.14,17.28,0
2003-05-28,27.14,27.14,27.14,27.14,17.28,0
2003-05-29,27.14,27.14,27.14,27.14,17.28,0
2003-05-30,27.14,27.14,27.14,27.14,17.28,0
2003-06-02,27.14,27.14,27.14,27.14,17.28,0
2003-06-03,27.14,27.14,27.14,27.14,17.28,0
2003-06-04,29.9,29.92,29.9,29.92,19.05,104
2003-06-05,31.42,31.42,31.25,31.25,19.9,300
2003-06-06,31.84,31.84,30.0,30.01,19.11,770
2003-06-09,31.22,31.49,31.12,31.48,20.04,360
2003-06-10,31.25,31.25,30.0,30.17,19.21,764
2003-06-11,31.19,31.25,30.32,30.32,19.3,1236
2003-06-12,30.32,30.32,30.32,30.32,19.3,0
2003-06-13,30.32,30.32,30.32,30.32,19.3,0
2003-06-16,30.32,30.32,30.32,30.32,19.3,0
2003-06-17,30.32,30.32,30.32,30.32,19.3,0
2003-06-18,30.32,30.32,30.32,30.32,19.3,0
2003-06-19,30.32,30.32,30.32,30.32,19.3,0
2003-06-20,30.32,30.32,30.32,30.32,19.3,0
2003-06-23,30.32,30.32,30.32,30.32,20.67,0
2003-06-24,32.0,32.0,30.17,31.1,21.2,34
2003-06-25,31.75,32.5,31.75,32.47,22.13,2100
2003-06-26,33.0,33.15,31.38,32.0,21.81,958
2003-06-27,32.8,33.0,32.28,32.97,22.48,550
2003-06-30,33.45,33.45,32.97,32.97,22.48,240
2003-07-01,34.25,34.25,32.5,32.5,22.16,122
2003-07-02,33.25,33.25,32.45,32.49,22.15,822
2003-07-03,32.01,32.01,32.01,32.01,21.82,100
2003-07-04,32.0,32.9,32.0,32.9,22.43,404
2003-07-07,33.62,34.5,33.5,33.51,22.85,1630
2003-07-08,34.28,34.47,34.25,34.25,23.35,550
2003-07-09,35.0,35.97,35.0,35.34,24.09,8810
2003-07-10,35.34,35.34,35.34,35.34,24.09,0
2003-07-11,35.03,35.62,34.5,34.5,23.52,7650
2003-07-14,34.5,34.5,34.5,34.5,23.52,0
2003-07-15,34.0,34.0,34.0,34.0,23.18,100
2003-07-16,34.0,34.0,34.0,34.0,23.18,0
2003-07-17,32.84,32.84,32.84,32.84,22.39,18
2003-07-18,32.84,32.84,32.84,32.84,22.39,0
2003-07-21,32.84,32.84,32.84,32.84,22.39,0
2003-07-22,32.84,32.84,32.84,32.84,22.39,0
2003-07-23,32.84,32.84,32.84,32.84,22.39,0
2003-07-24,34.0,34.0,31.77,31.86,21.72,824
2003-07-25,32.75,32.75,31.75,32.26,22.0,600
2003-07-28,32.75,33.88,32.75,33.88,23.09,6096
2003-07-29,33.88,33.88,33.88,33.88,23.09,0
2003-07-30,33.88,35.58,33.75,35.55,24.23,1970
2003-07-31,36.25,37.34,36.25,37.34,25.45,2930
2003-08-01,39.19,39.22,39.19,39.22,26.73,840
2003-08-04,40.75,41.17,37.64,40.44,27.57,992
2003-08-05,38.5,39.89,38.44,38.44,26.2,170
2003-08-06,39.88,40.0,38.0,38.03,25.92,750
2003-08-07,37.92,38.72,36.38,37.88,25.82,404
2003-08-08,38.75,39.74,38.74,39.74,27.09,1692
2003-08-11,38.06,40.0,38.06,40.0,27.27,100
2003-08-12,39.97,40.5,39.5,40.09,27.33,480
2003-08-13,40.09,40.09,40.09,40.09,27.33,0
2003-08-14,40.0,40.0,37.81,37.81,25.78,92
2003-08-15,37.81,37.81,37.81,37.81,25.78,0
2003-08-18,37.81,40.7,37.81,38.22,26.05,302
2003-08-19,37.99,40.0,37.97,40.0,27.27,400
2003-08-20,37.75,37.75,37.75,37.75,25.73,50
2003-08-21,37.75,37.75,37.75,37.75,25.73,0
2003-08-22,36.88,36.88,36.88,36.88,25.14,200
2003-08-25,37.25,37.25,35.75,35.75,24.37,3300
2003-08-26,35.75,35.75,35.75,35.75,24.37,0
2003-08-27,35.75,35.75,34.88,34.88,23.77,300
2003-08-28,34.88,34.88,34.88,34.88,23.77,0
2003-08-29,35.25,35.25,35.25,35.25,24.03,2000
2003-09-01,36.62,36.75,36.56,36.59,24.94,500
2003-09-02,37.5,37.5,35.0,35.0,23.86,1200
2003-09-03,34.74,34.74,33.75,33.89,23.1,1400
2003-09-04,33.25,36.25,33.03,34.62,23.6,29020
2003-09-05,35.0,35.0,35.0,35.0,23.86,400
2003-09-08,33.76,33.76,33.75,33.75,23.01,400
2003-09-09,32.99,32.99,32.5,32.5,22.16,208
2003-09-10,32.5,32.5,32.5,32.5,22.16,0
2003-09-11,32.5,32.5,32.5,32.5,22.16,0
2003-09-12,31.77,33.0,31.75,33.0,22.5,1550
2003-09-15,33.0,33.0,33.0,33.0,22.5,0
2003-09-16,29.75,29.75,29.7,29.7,20.25,800
2003-09-17,30.5,31.25,30.5,31.25,21.3,240
2003-09-18,29.55,29.55,29.5,29.52,20.13,200
2003-09-19,29.5,29.5,28.75,28.88,19.68,200
2003-09-22,28.88,28.88,28.88,28.88,19.68,0
2003-09-23,28.88,28.88,28.88,28.88,19.68,0
2003-09-24,30.0,30.0,30.0,30.0,20.45,10
2003-09-25,30.0,30.0,30.0,30.0,20.45,0
2003-09-26,30.0,32.25,30.0,32.25,21.98,250
2003-09-29,32.25,32.25,32.25,32.25,21.98,0
2003-09-30,34.92,35.0,34.92,35.0,23.86,160
2003-10-01,35.67,35.75,35.67,35.75,24.37,450
2003-10-02,35.75,35.75,35.75,35.75,24.37,0
2003-10-03,37.1,37.54,36.38,37.54,25.59,1610
2003-10-06,39.42,39.42,39.25,39.42,26.88,31230
2003-10-07,41.4,41.4,41.4,41.4,28.22,80502
2003-10-08,42.5,43.47,41.0,42.72,29.13,41816
2003-10-09,42.5,43.75,42.14,43.24,29.48,109592
2003-10-10,45.0,45.4,41.75,42.83,29.19,92012
2003-10-13,43.24,46.89,42.85,45.42,30.96,130258
2003-10-14,45.88,47.0,44.99,45.12,30.75,40122
2003-10-15,44.5,44.5,42.14,42.67,29.08,19174
2003-10-16,43.75,44.95,43.22,43.65,29.76,22510
2003-10-17,45.95,45.95,40.89,42.17,28.74,18304
2003-10-20,42.38,42.87,40.26,41.29,28.15,9814
2003-10-21,40.88,41.0,40.0,40.05,27.3,8506
2003-10-22,39.5,40.75,39.5,39.99,27.26,5598
2003-10-23,40.25,40.31,40.25,40.31,27.48,800
2003-10-24,41.47,42.12,40.01,41.75,28.46,3338
2003-10-27,44.51,44.56,42.5,42.92,29.26,4408
2003-10-28,42.65,42.75,41.76,42.74,29.14,1210
2003-10-29,43.5,43.5,41.25,42.72,29.12,3540
2003-10-30,43.06,43.5,41.0,42.65,29.07,16808
2003-10-31,42.38,43.5,41.5,43.14,29.41,7064
2003-11-03,43.25,43.75,42.75,43.25,29.48,20548
2003-11-04,42.67,43.19,41.25,42.17,28.75,12148
2003-11-05,41.81,41.88,40.25,40.62,27.69,8542
2003-11-06,41.25,42.35,41.25,42.19,28.76,3758
2003-11-07,42.28,42.28,41.0,41.1,28.02,11796
2003-11-10,42.99,43.25,42.0,43.06,29.36,680
2003-11-11,38.12,43.75,38.12,43.1,29.38,16768
2003-11-12,43.0,47.75,43.0,46.59,31.76,13792
2003-11-13,51.25,51.25,43.81,45.39,30.94,21700
2003-11-14,46.24,46.24,43.99,44.31,30.21,3334
2003-11-17,45.0,45.72,43.75,45.22,30.83,3166
2003-11-18,46.22,46.75,44.58,45.74,31.18,6724
2003-11-19,44.25,44.25,43.0,43.25,29.48,7106
2003-11-20,38.53,46.25,38.53,45.0,30.68,8514
2003-11-21,44.12,44.88,43.5,44.19,30.12,2668
2003-11-24,43.88,50.5,43.88,49.58,33.8,17544
2003-11-25,50.5,53.5,50.05,51.6,35.18,23450
2003-11-26,51.6,51.6,51.6,51.6,35.18,0
2003-11-27,53.75,55.25,51.78,53.26,36.31,26278
2003-11-28,54.0,54.0,51.78,52.51,35.8,25026
2003-12-01,53.01,55.0,53.0,53.81,36.69,29348
2003-12-02,54.2,54.85,52.75,54.0,36.81,14530
2003-12-03,54.49,58.75,54.49,57.94,39.5,30414
2003-12-04,58.75,59.0,55.25,56.34,38.41,13486
2003-12-05,57.5,57.5,55.38,56.97,38.83,26212
2003-12-08,57.0,57.0,54.5,54.67,37.27,5344
2003-12-09,55.75,57.22,54.04,55.14,37.59,10244
2003-12-10,56.25,56.25,54.0,54.67,37.27,11718
2003-12-11,55.0,56.0,53.0,54.92,37.44,13828
2003-12-12,54.12,55.0,53.88,55.0,37.49,4932
2003-12-15,55.0,55.37,54.5,55.22,37.65,4658
2003-12-16,56.0,56.45,53.88,54.75,37.32,6522
2003-12-17,54.28,54.28,51.5,52.79,35.99,10798
2003-12-18,53.0,56.22,53.0,55.39,37.76,8544
2003-12-19,56.22,56.22,54.0,54.06,36.86,1816
2003-12-22,54.75,55.25,54.5,55.25,37.66,3042
2003-12-23,54.28,55.75,53.0,53.37,36.38,3408
2003-12-24,54.87,54.87,52.62,53.19,36.26,4050
2003-12-25,53.19,53.19,53.19,53.19,36.26,0
2003-12-26,52.75,54.44,52.0,53.89,36.74,9604
2003-12-29,54.56,55.0,53.75,54.15,36.91,8492
2003-12-30,53.75,54.75,52.5,52.92,36.08,5210
2003-12-31,52.53,52.53,52.5,52.51,35.8,1706
2004-01-01,53.75,54.75,52.75,53.31,36.34,3260
2004-01-02,52.53,54.62,52.53,54.12,36.9,3928
2004-01-05,55.0,55.0,52.53,53.7,36.61,10702
2004-01-06,53.0,53.0,52.26,52.59,35.85,2478
2004-01-07,50.56,50.56,49.31,50.3,34.29,2140
2004-01-08,51.25,52.0,51.25,51.35,35.01,2764
2004-01-09,53.75,53.75,52.25,52.25,35.62,3410
2004-01-12,56.22,56.5,51.75,52.51,35.8,7574
2004-01-13,51.5,52.19,51.25,51.35,35.01,2680
2004-01-14,52.47,53.17,51.5,52.95,36.1,1836
2004-01-15,54.42,57.75,54.42,54.97,37.47,11750
2004-01-16,54.5,54.5,51.25,52.01,35.46,8134
2004-01-19,51.0,51.5,50.5,51.03,34.78,6072
2004-01-20,51.01,51.95,50.0,51.9,35.38,1112
2004-01-21,49.5,50.0,44.97,45.12,30.75,6544
2004-01-22,45.64,45.76,44.5,44.5,30.34,1816
2004-01-23,45.8,48.75,45.0,48.2,32.86,2424
2004-01-26,48.2,48.2,48.2,48.2,32.86,0
2004-01-27,51.88,53.75,49.8,53.05,36.93,17552
2004-01-28,53.88,53.88,49.5,49.5,34.46,5656
2004-01-29,48.75,50.0,46.75,48.55,33.8,1526
2004-01-30,49.24,49.24,46.3,46.53,32.39,5008
2004-02-02,46.53,46.53,46.53,46.53,32.39,0
2004-02-03,46.28,46.28,41.25,41.79,29.09,5550
2004-02-04,43.12,44.25,42.81,43.79,30.48,3292
2004-02-05,43.76,46.19,43.38,44.4,30.91,4648
2004-02-06,43.03,43.25,42.12,42.37,29.49,4934
