Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,127.8,129.0,126.1,129.0,97.81,578
2002-07-02,132.0,135.45,131.5,135.45,102.7,4059
2002-07-03,136.95,140.0,133.0,135.2,102.51,2003
2002-07-04,135.0,136.0,131.0,136.0,103.11,980
2002-07-05,131.25,135.85,131.0,131.25,99.51,320
2002-07-08,128.0,128.0,128.0,128.0,97.05,38
2002-07-09,126.1,130.0,125.0,127.05,96.33,1439
2002-07-10,130.2,130.2,125.0,125.0,94.77,1080
2002-07-11,122.0,125.0,122.0,125.0,94.77,56
2002-07-12,131.7,131.7,122.0,122.0,92.5,1130
2002-07-15,122.15,122.15,116.5,116.5,88.33,200
2002-07-16,116.5,116.5,116.5,116.5,88.33,0
2002-07-17,116.5,116.5,116.5,116.5,88.33,0
2002-07-18,125.0,125.0,117.9,118.0,89.47,1415
2002-07-19,118.05,120.0,115.0,115.1,87.27,497
2002-07-22,112.0,112.0,110.0,110.1,83.48,960
2002-07-23,116.9,116.9,107.1,113.65,86.17,304
2002-07-24,113.0,116.0,110.0,113.1,85.75,897
2002-07-25,115.0,117.5,112.0,113.5,86.05,363
2002-07-26,114.0,114.0,111.0,113.25,85.87,453
2002-07-29,114.0,114.0,104.0,105.65,80.1,1265
2002-07-30,109.0,111.0,101.0,101.05,76.62,2573
2002-07-31,100.1,110.0,100.1,108.25,82.07,1928
2002-08-01,113.0,113.0,108.0,108.0,81.88,500
2002-08-02,107.0,107.0,99.5,101.3,76.8,638
2002-08-05,101.25,105.0,101.05,104.0,78.85,395
2002-08-06,102.1,106.0,102.0,106.0,80.37,120
2002-08-07,106.0,110.0,106.0,110.0,83.4,56
2002-08-08,109.0,109.0,108.0,108.0,81.88,335
2002-08-09,108.5,110.0,105.5,105.5,79.99,868
2002-08-12,105.5,105.5,105.5,105.5,79.99,0
2002-08-13,108.0,108.0,108.0,108.0,81.88,20
2002-08-14,106.3,108.0,106.3,108.0,81.88,499
2002-08-15,108.0,108.0,108.0,108.0,81.88,0
2002-08-16,108.3,108.3,108.2,108.2,82.04,210
2002-08-19,108.2,108.2,108.2,108.2,82.04,0
2002-08-20,105.35,111.1,105.35,109.0,82.64,242
2002-08-21,104.4,109.8,104.4,109.8,83.25,250
2002-08-22,110.0,112.0,110.0,110.0,83.4,200
2002-08-23,118.0,121.0,111.0,111.0,84.16,1039
2002-08-26,115.0,117.0,115.0,116.0,87.95,736
2002-08-27,113.9,115.0,111.55,114.6,86.89,625
2002-08-28,110.05,111.1,110.05,110.6,83.86,234
2002-08-29,113.85,115.0,113.85,115.0,87.19,415
2002-08-30,111.0,111.0,104.0,104.95,79.57,2859
2002-09-02,107.0,107.0,107.0,107.0,81.13,88
2002-09-03,113.0,113.0,107.5,107.5,81.51,800
2002-09-04,108.0,110.9,107.0,107.05,81.16,325
2002-09-05,108.0,108.0,107.0,107.15,81.24,297
2002-09-06,106.0,106.5,105.0,105.0,79.61,278
2002-09-09,105.0,108.0,103.0,105.0,79.61,450
2002-09-10,105.0,105.0,105.0,105.0,79.61,0
2002-09-11,106.0,112.0,104.05,107.15,81.24,500
2002-09-12,105.5,111.5,105.0,109.9,83.33,1522
2002-09-13,113.0,113.0,110.0,110.0,83.4,95
2002-09-16,107.0,110.5,107.0,110.0,83.4,463
2002-09-17,110.0,110.05,110.0,110.0,83.4,210
2002-09-18,110.0,112.25,110.0,110.4,83.7,1265
2002-09-19,110.0,110.5,108.1,110.5,83.78,1275
2002-09-20,108.1,110.0,108.1,110.0,83.4,180
2002-09-23,110.0,113.75,110.0,110.0,83.4,258
2002-09-24,113.5,113.5,109.0,109.0,82.64,400
2002-09-25,105.6,112.85,105.6,112.75,85.49,202
2002-09-26,106.0,107.0,106.0,107.0,81.13,450
2002-09-27,112.0,114.0,109.0,109.0,82.64,1912
2002-09-30,111.5,113.0,109.0,112.8,85.52,680
2002-10-01,109.0,109.0,109.0,109.0,82.64,100
2002-10-02,109.0,109.0,109.0,109.0,82.64,0
2002-10-03,109.0,109.0,108.0,108.0,81.88,250
2002-10-04,110.0,110.0,110.0,110.0,83.4,100
2002-10-07,109.0,113.45,109.0,110.9,84.08,697
2002-10-08,110.9,110.9,110.9,110.9,84.08,0
2002-10-09,109.0,109.5,109.0,109.0,82.64,150
2002-10-10,109.45,109.45,108.5,108.5,82.26,200
2002-10-11,105.4,109.0,105.0,106.65,80.86,1160
2002-10-14,110.0,110.0,106.0,107.0,81.13,1698
2002-10-15,107.0,107.0,107.0,107.0,81.13,0
2002-10-16,105.0,105.0,105.0,105.0,79.61,100
2002-10-17,105.5,105.5,105.5,105.5,79.99,500
2002-10-18,105.0,107.05,105.0,106.65,80.86,247
2002-10-21,107.1,107.1,107.0,107.0,81.13,303
2002-10-22,108.5,108.5,105.0,105.0,79.61,663
2002-10-23,108.2,108.2,107.0,107.05,81.16,210
2002-10-24,107.5,107.5,107.5,107.5,81.51,95
2002-10-25,105.1,110.0,102.0,103.0,78.09,587
2002-10-28,100.0,106.5,100.0,103.0,78.09,528
2002-10-29,104.0,104.1,104.0,104.1,78.93,258
2002-10-30,104.1,106.0,103.1,103.3,78.32,163
2002-10-31,103.3,103.3,103.3,103.3,78.32,0
2002-11-01,110.0,110.9,110.0,110.1,83.48,276
2002-11-04,110.1,110.1,110.1,110.1,83.48,0
2002-11-05,110.1,110.1,110.1,110.1,83.48,0
2002-11-06,110.1,110.1,110.1,110.1,83.48,0
2002-11-07,112.0,112.0,112.0,112.0,84.92,100
2002-11-08,112.0,112.0,109.25,109.25,82.83,200
2002-11-11,108.25,108.25,108.25,108.25,82.07,1
2002-11-12,112.0,112.0,109.0,109.1,82.72,135
2002-11-13,109.25,109.25,108.0,108.0,81.88,100
2002-11-14,108.0,108.0,108.0,108.0,81.88,0
2002-11-15,107.0,114.0,107.0,112.0,84.92,360
2002-11-18,116.0,118.0,115.0,115.0,87.19,1212
2002-11-19,115.0,115.0,115.0,115.0,87.19,0
2002-11-20,118.0,118.0,116.0,116.0,87.95,210
2002-11-21,114.0,118.8,113.0,113.5,86.05,102
2002-11-22,117.0,117.0,117.0,117.0,88.71,100
2002-11-25,118.25,119.0,117.0,118.5,89.85,932
2002-11-26,115.0,118.95,115.0,118.95,90.19,248
2002-11-27,119.0,119.0,118.65,119.0,90.22,700
2002-11-28,119.0,119.0,114.6,118.5,89.85,112
2002-11-29,115.8,115.8,113.5,113.5,86.05,90
2002-12-02,114.0,116.95,110.0,112.4,85.22,943
2002-12-03,115.9,115.9,110.0,110.25,83.59,393
2002-12-04,111.0,116.9,111.0,116.9,88.63,48
2002-12-05,113.0,113.0,112.25,112.7,85.45,100
2002-12-06,117.9,119.35,114.5,118.0,89.47,2205
2002-12-09,117.9,122.45,117.9,120.95,91.7,518
2002-12-10,118.0,120.0,117.5,118.0,89.47,1195
2002-12-11,118.0,118.95,116.25,118.95,90.19,600
2002-12-12,115.5,116.55,115.0,116.55,88.37,637
2002-12-13,120.9,120.9,114.05,119.0,90.22,576
2002-12-16,113.0,119.0,113.0,116.0,87.95,926
2002-12-17,117.0,119.9,116.0,119.9,90.91,2090
2002-12-18,119.0,121.9,117.25,118.1,89.54,2000
2002-12-19,121.9,122.0,117.0,121.0,91.74,850
2002-12-20,123.0,125.0,120.2,121.9,92.42,2185
2002-12-23,115.55,128.9,115.55,125.0,94.77,3164
2002-12-24,127.5,128.5,124.5,127.75,96.86,5800
2002-12-25,127.75,127.75,127.75,127.75,96.86,0
2002-12-26,127.0,129.25,125.0,126.0,95.53,5911
2002-12-27,129.0,129.0,122.5,124.35,94.28,5352
2002-12-30,121.0,123.0,121.0,123.0,93.26,68
2002-12-31,127.0,129.0,125.35,129.0,97.81,2140
2003-01-01,125.5,129.0,124.0,129.0,97.81,600
