Date,Open,High,Low,Close,Adj Close,Volume
2017-05-19,73.0,77.85,71.0,72.55,62.43,210956446
2017-05-22,72.65,73.45,69.65,70.15,60.36,19233222
2017-05-23,69.4,69.9,66.55,68.15,58.64,14721869
2017-05-24,68.5,69.45,66.4,66.65,57.35,8670873
2017-05-25,67.1,72.25,66.95,70.75,60.88,13265189
2017-05-26,71.0,73.25,70.55,72.95,62.77,12062826
2017-05-29,73.25,74.7,72.75,73.15,62.95,8905003
2017-05-30,73.25,74.0,71.55,73.0,62.82,10410782
2017-05-31,72.55,73.65,71.65,73.2,62.99,5615107
2017-06-01,73.2,74.25,72.5,73.0,62.82,3673826
2017-06-02,73.4,73.6,72.55,73.0,62.82,3123069
2017-06-05,73.0,73.3,72.0,72.2,62.13,1682821
2017-06-06,72.05,72.9,71.3,71.9,61.87,2086019
2017-06-07,72.0,72.25,71.3,71.55,61.57,1284804
2017-06-08,71.6,71.9,69.85,70.0,60.24,2299141
2017-06-09,70.0,70.7,69.7,70.3,60.49,1635150
2017-06-12,70.1,70.1,68.55,68.75,59.16,2136002
2017-06-13,69.25,69.4,68.1,68.3,58.77,2062007
2017-06-14,68.5,68.7,68.0,68.2,58.69,1103623
2017-06-15,68.0,70.7,68.0,69.05,59.42,2373038
2017-06-16,69.4,69.7,68.35,68.55,58.99,1394334
2017-06-19,68.1,69.05,67.75,67.9,58.43,2181687
2017-06-20,68.1,68.35,67.55,68.0,58.51,1856784
2017-06-21,67.7,69.0,67.55,68.05,58.56,1745830
2017-06-22,68.3,68.3,67.8,68.0,58.51,1433730
2017-06-23,69.6,70.0,68.25,68.55,58.99,3423901
2017-06-27,68.8,68.8,66.55,66.8,57.48,1902993
2017-06-28,67.1,67.2,66.0,66.1,56.88,1737873
2017-06-29,66.4,68.15,66.25,67.85,58.39,1866113
2017-06-30,67.15,68.1,66.7,67.1,57.74,1341896
2017-07-03,67.5,67.9,67.05,67.45,58.04,1022100
2017-07-04,67.25,68.85,67.2,67.45,58.04,1760410
2017-07-05,67.5,67.9,67.2,67.65,58.21,710006
2017-07-06,67.7,70.35,67.65,68.7,59.12,3817920
2017-07-07,68.7,69.9,68.3,69.0,59.38,2144002
2017-07-10,69.1,69.65,69.0,69.5,59.81,375350
2017-07-11,69.75,79.8,69.6,78.45,67.51,52983772
2017-07-12,81.0,92.65,81.0,90.05,77.49,104720139
2017-07-13,92.3,99.75,92.0,97.7,84.07,100252333
2017-07-14,99.2,102.3,88.55,90.7,78.05,106125913
2017-07-17,90.5,93.9,86.8,89.65,77.14,50591166
2017-07-18,88.0,91.5,86.55,87.0,74.86,18910056
2017-07-19,87.75,89.15,86.6,87.2,75.04,10858237
2017-07-20,87.75,91.45,86.2,90.25,77.66,29764568
2017-07-21,90.75,91.65,87.75,88.65,76.28,12588587
2017-07-24,89.1,89.9,87.5,87.8,75.55,9212165
2017-07-25,89.0,89.45,86.2,86.4,74.35,15364923
2017-07-26,86.75,86.9,83.15,83.3,71.68,10209823
2017-07-27,83.75,85.45,82.35,82.7,71.16,12314817
2017-07-28,82.2,84.4,80.75,83.3,71.68,19771547
2017-07-31,83.4,83.55,81.4,81.8,70.39,6389486
2017-08-01,82.05,82.45,80.75,81.05,69.74,4152813
2017-08-02,81.3,83.3,80.8,82.65,71.12,8086692
2017-08-03,82.6,83.9,81.15,81.55,70.17,5682769
2017-08-04,81.7,81.8,79.55,79.9,68.75,5373958
2017-08-07,80.25,84.9,80.15,84.3,72.54,15749582
2017-08-08,84.9,84.9,81.65,81.85,70.43,5177438
2017-08-09,81.15,81.7,80.1,80.65,69.4,4098213
2017-08-10,80.5,80.5,75.0,76.8,66.09,6093546
2017-08-11,75.0,78.35,74.1,77.25,66.47,6669956
2017-08-14,78.45,79.4,77.75,78.6,67.64,3008213
2017-08-16,79.25,81.3,78.25,80.8,69.53,6885913
2017-08-17,81.0,82.9,80.45,81.55,70.17,4036546
2017-08-18,80.3,81.05,79.3,80.15,68.97,3353101
2017-08-21,80.75,82.2,79.55,79.75,68.63,4238978
2017-08-22,80.25,80.5,78.5,78.85,67.85,2281770
2017-08-23,79.4,80.6,79.0,79.8,68.67,2882497
2017-08-24,80.2,80.4,79.4,79.55,68.45,1929941
2017-08-28,79.95,80.8,79.5,79.75,68.63,3439649
2017-08-29,79.9,81.75,78.85,79.2,68.15,7048692
2017-08-30,79.9,81.15,79.55,80.55,69.31,4314894
2017-08-31,82.05,83.6,81.6,83.15,71.55,10973531
2017-09-01,83.5,85.6,83.2,84.25,72.5,7797828
2017-09-04,84.25,84.35,81.0,82.45,70.95,3823792
2017-09-05,82.7,87.3,82.2,86.8,74.69,11151207
2017-09-06,86.25,89.15,85.7,87.1,74.95,14628247
2017-09-07,88.1,89.0,86.0,86.35,74.31,6581393
2017-09-08,86.8,87.3,83.7,84.65,72.84,6156417
2017-09-11,85.0,86.45,84.65,85.15,73.27,3748422
2017-09-12,85.4,86.2,84.75,84.95,73.1,3231618
2017-09-13,85.35,85.35,82.55,82.95,71.38,2910395
2017-09-14,83.5,84.7,82.75,83.15,71.59,2805037
2017-09-15,82.7,86.1,82.7,85.6,73.7,7470209
2017-09-18,86.9,88.4,86.15,87.45,75.3,8564963
2017-09-19,87.7,89.0,86.5,88.25,75.99,6253915
2017-09-20,88.45,91.55,87.45,89.45,77.02,17213784
2017-09-21,89.7,92.6,88.6,90.95,78.31,16368508
2017-09-22,90.05,90.65,85.3,85.85,73.92,7831522
