Date,Open,High,Low,Close,Adj Close,Volume
2004-09-24,25.0,26.95,22.6,23.75,20.76,16930372
2004-09-27,24.0,24.0,22.5,22.85,19.97,3621350
2004-09-28,22.5,23.45,22.05,22.15,19.36,2290600
2004-09-29,22.1,23.5,22.1,23.2,20.28,2686927
2004-09-30,23.5,23.75,23.1,23.4,20.45,1597220
2004-10-01,23.35,24.95,22.5,24.55,21.45,2591134
2004-10-04,24.8,26.75,24.15,25.7,22.46,3864897
2004-10-05,26.2,28.3,25.3,27.8,24.3,6188353
2004-10-06,28.0,29.3,27.5,27.6,24.12,3616139
2004-10-07,27.9,30.0,27.75,29.35,25.65,4313866
2004-10-08,29.35,29.35,29.35,29.35,25.65,0
2004-10-11,35.8,35.8,31.3,31.55,27.57,6491444
2004-10-12,33.45,33.45,30.5,30.9,27.0,3081350
2004-10-14,30.0,31.0,29.2,29.9,26.13,1560185
2004-10-15,29.9,29.9,29.9,29.9,26.13,0
2004-10-18,28.45,29.25,27.75,28.0,24.47,1637491
2004-10-19,28.0,28.7,27.5,28.45,24.86,1100419
2004-10-20,28.5,28.7,28.0,28.05,24.51,552949
2004-10-21,28.4,29.7,28.1,29.1,25.43,1681665
2004-10-22,29.1,29.1,29.1,29.1,25.43,0
2004-10-25,29.25,29.45,28.0,29.0,25.34,2744311
2004-10-26,29.2,32.0,28.75,31.3,27.35,2090746
2004-10-27,32.1,32.8,30.75,31.25,27.31,2074681
2004-10-28,31.85,32.8,31.35,32.4,28.32,2550879
2004-10-29,32.4,32.4,32.4,32.4,28.32,0
2004-11-01,32.55,32.95,32.1,32.35,28.27,648100
2004-11-02,32.45,33.0,32.05,32.2,28.14,593570
2004-11-03,32.35,32.65,31.5,31.7,27.7,501239
2004-11-04,31.75,33.15,31.75,32.55,28.45,1495204
2004-11-05,32.8,35.35,32.55,34.9,30.5,4030754
2004-11-08,35.1,35.7,33.2,33.45,29.23,799742
2004-11-09,33.4,34.0,33.0,33.5,29.28,441007
2004-11-10,33.65,34.2,33.05,33.45,29.23,572183
2004-11-11,33.7,34.2,33.25,33.55,29.32,297459
2004-11-12,34.0,34.25,33.05,33.2,29.01,142102
2004-11-15,33.2,33.2,33.2,33.2,29.01,0
2004-11-16,33.25,33.9,33.15,33.7,29.45,235062
2004-11-17,33.75,35.0,33.5,34.75,30.37,977027
2004-11-18,34.95,38.35,34.3,37.7,32.95,3253213
2004-11-19,37.7,37.7,37.7,37.7,32.95,0
2004-11-22,36.5,37.9,33.6,37.4,32.68,426636
2004-11-23,37.0,39.25,37.0,38.7,33.82,620740
2004-11-24,38.95,40.5,38.25,39.95,34.91,1100011
2004-11-25,40.0,40.65,38.55,38.95,34.04,551022
2004-11-26,38.95,38.95,38.95,38.95,34.04,0
2004-11-29,38.2,40.5,38.2,40.15,35.09,333243
2004-11-30,40.5,43.0,40.5,41.75,36.49,5116229
2004-12-01,43.6,50.1,42.4,49.55,43.3,4151001
2004-12-02,51.0,59.15,51.0,56.15,49.07,6307838
2004-12-03,57.8,67.4,56.5,67.3,58.82,7858318
2004-12-06,69.5,74.05,61.65,62.9,54.97,11627471
2004-12-07,64.0,69.2,62.05,68.1,59.51,7721669
2004-12-08,70.0,74.95,70.0,74.85,65.41,7574697
2004-12-09,77.7,82.35,75.6,81.1,70.88,9983953
2004-12-10,84.8,89.25,82.0,89.25,78.0,8813314
2004-12-13,89.25,89.25,89.25,89.25,78.0,0
2004-12-14,97.8,97.8,89.1,89.1,77.87,7865297
2004-12-15,87.9,87.9,84.65,84.65,73.98,728633
2004-12-16,80.5,81.0,80.45,80.45,70.31,95173
2004-12-17,76.45,84.0,76.45,81.2,70.96,9754150
2004-12-20,81.5,81.5,77.15,77.15,67.42,1673046
2004-12-21,73.65,80.5,73.65,77.75,67.95,2005263
2004-12-22,77.0,79.9,76.25,79.05,69.08,1526580
2004-12-23,80.0,83.0,79.0,83.0,72.54,1612260
2004-12-24,86.8,87.15,85.1,87.15,76.16,497547
2004-12-27,90.0,90.6,83.75,84.0,73.41,1239549
2004-12-28,84.0,84.0,84.0,84.0,73.41,0
2004-12-29,83.45,84.9,80.1,81.6,71.31,724680
2004-12-30,82.25,83.1,79.0,80.15,70.05,842884
2004-12-31,81.0,82.8,79.05,80.25,70.13,661477
2005-01-03,84.3,84.3,84.3,84.3,73.67,127092
2005-01-04,88.55,88.55,88.55,88.55,77.39,179078
2005-01-05,92.45,93.0,84.15,85.4,74.63,2908341
