Date,Open,High,Low,Close,Adj Close,Volume
2017-12-08,68.4,68.4,68.4,68.4,64.75,6000
2017-12-11,82.05,82.05,82.05,82.05,77.67,34000
2017-12-12,97.4,98.45,82.05,97.35,92.16,5116000
2017-12-13,100.0,106.8,95.15,97.1,91.92,2360000
2017-12-14,98.0,101.0,94.1,94.75,89.7,454000
2017-12-15,98.0,99.8,94.25,95.3,90.22,386000
2017-12-18,90.0,97.0,88.45,94.85,89.79,256000
2017-12-19,95.0,96.8,94.1,94.45,89.41,134000
2017-12-20,94.5,94.9,92.0,92.55,87.62,154000
2017-12-21,93.55,93.85,91.8,92.85,87.9,148000
2017-12-22,96.5,97.0,90.3,96.25,91.12,310000
2017-12-26,98.0,105.85,98.0,105.85,100.21,624000
2017-12-27,112.7,116.4,110.25,115.7,109.53,878000
2017-12-28,118.9,121.0,111.5,113.65,107.59,496000
2017-12-29,116.85,116.85,111.75,113.25,107.21,160000
2018-01-01,115.1,124.0,114.0,121.75,115.26,628000
2018-01-02,123.5,124.95,118.1,120.1,113.7,224000
2018-01-03,123.0,123.0,118.5,120.95,114.5,146000
2018-01-04,121.0,122.7,120.0,121.3,114.83,148000
2018-01-05,122.5,122.8,117.35,118.55,112.23,134000
2018-01-08,118.0,118.35,114.2,114.95,108.82,180000
2018-01-09,115.0,115.8,109.3,111.0,105.08,150000
2018-01-10,109.9,110.0,107.05,108.1,102.34,126000
2018-01-11,108.1,108.1,108.1,108.1,102.34,0
2018-01-12,119.15,119.15,114.0,116.3,110.1,120000
2018-01-15,119.5,119.7,112.6,113.05,107.02,68000
2018-01-16,114.25,114.25,108.0,108.7,102.9,58000
2018-01-17,110.5,111.5,107.0,109.6,103.76,48000
2018-01-18,112.0,112.0,104.15,106.65,100.96,98000
2018-01-19,104.75,106.95,102.5,103.35,97.84,88000
2018-01-22,104.0,107.9,101.4,106.35,100.68,128000
2018-01-23,105.15,107.0,105.1,105.5,99.87,46000
2018-01-24,105.1,105.5,103.7,104.75,99.16,52000
2018-01-25,105.0,105.5,102.15,102.8,97.32,36000
2018-01-29,102.5,102.5,100.0,101.0,95.61,50000
2018-01-30,101.9,101.9,97.35,98.25,93.01,94000
2018-01-31,100.65,101.4,98.7,101.4,95.99,22000
2018-02-01,101.0,101.5,99.0,100.0,94.67,16000
2018-02-02,97.0,98.45,95.0,95.0,89.93,90000
2018-02-05,90.25,94.75,90.25,93.35,88.37,64000
2018-02-06,89.3,96.5,89.3,96.25,91.12,64000
2018-02-07,99.8,99.8,97.1,98.55,93.3,34000
2018-02-08,99.1,103.0,99.1,102.0,96.56,36000
2018-02-09,103.0,103.0,99.5,99.5,94.19,18000
2018-02-12,102.8,103.6,102.15,103.0,97.51,28000
2018-02-14,103.7,107.5,103.7,106.55,100.87,32000
2018-02-15,108.7,110.0,103.55,103.75,98.22,60000
2018-02-16,104.0,104.9,101.0,101.55,96.14,28000
2018-02-19,103.2,103.2,97.0,97.0,91.83,42000
2018-02-20,100.0,100.9,99.0,100.05,94.72,24000
2018-02-21,100.5,102.4,97.5,100.15,94.81,24000
2018-02-22,98.0,98.25,96.9,97.5,92.3,18000
2018-02-23,99.5,99.5,97.0,98.0,92.77,16000
2018-02-26,99.4,99.4,97.55,98.25,93.01,14000
2018-02-27,97.65,97.65,95.05,95.4,90.31,44000
2018-02-28,95.55,97.55,95.5,97.45,92.25,18000
2018-03-01,98.7,99.0,97.0,98.85,93.58,12000
2018-03-05,95.0,96.85,95.0,95.35,90.27,10000
2018-03-06,96.0,97.0,92.5,93.85,88.85,34000
2018-03-07,93.0,93.0,90.95,91.2,86.34,34000
2018-03-08,90.5,93.0,87.0,90.05,85.25,228000
2018-03-09,88.15,89.3,88.1,88.6,83.88,24000
2018-03-12,86.5,90.0,86.5,89.95,85.15,22000
2018-03-13,90.0,90.7,88.8,90.5,85.67,16000
2018-03-14,89.5,90.8,89.0,90.45,85.63,26000
2018-03-15,89.2,93.0,89.2,92.0,87.09,14000
2018-03-16,93.0,93.0,90.5,92.0,87.09,14000
2018-03-19,90.1,94.75,88.5,90.05,85.25,90000
2018-03-20,89.1,90.25,89.1,89.85,85.06,122000
2018-03-21,87.5,91.0,87.5,89.15,84.4,80000
2018-03-22,89.0,89.9,89.0,89.5,84.73,16000
2018-03-23,87.0,89.0,87.0,88.85,84.11,40000
2018-03-26,86.4,89.4,86.4,88.6,83.88,58000
2018-03-27,89.9,90.0,88.5,89.2,84.44,22000
2018-03-28,90.2,90.2,90.2,90.2,85.39,4000
2018-04-02,91.6,91.6,88.35,90.1,85.3,10000
2018-04-03,91.95,95.4,91.95,94.9,89.84,26000
2018-04-04,94.9,94.9,94.9,94.9,89.84,0
2018-04-05,94.0,94.0,94.0,94.0,88.99,2000
2018-04-06,94.0,94.0,94.0,94.0,88.99,0
2018-04-09,97.0,98.1,97.0,97.95,92.73,18000
2018-04-10,99.7,99.7,96.0,97.05,91.88,30000
2018-04-11,96.0,96.0,96.0,96.0,90.88,2000
2018-04-12,95.1,95.1,95.0,95.0,89.93,4000
2018-04-13,93.0,94.1,92.35,94.1,89.08,8000
2018-04-16,94.75,94.75,93.0,93.0,88.04,6000
2018-04-17,94.0,94.0,94.0,94.0,88.99,2000
2018-04-18,94.95,95.5,94.95,95.0,89.93,18000
2018-04-19,95.0,95.0,91.25,92.05,87.14,22000
2018-04-20,93.75,94.5,93.5,94.5,89.46,6000
2018-04-23,94.0,95.1,94.0,95.1,90.03,6000
2018-04-24,96.0,96.0,96.0,96.0,90.88,4000
2018-04-25,97.0,97.0,95.0,95.0,89.93,12000
2018-04-26,96.5,98.3,96.0,96.75,91.59,40000
2018-04-27,96.25,98.0,91.0,92.8,87.85,36000
2018-04-30,96.15,96.15,91.0,91.2,86.34,26000
2018-05-02,92.0,93.95,91.0,92.0,87.09,16000
2018-05-03,90.1,94.9,90.1,92.0,87.09,14000
2018-05-04,91.1,94.2,91.1,94.1,89.08,16000
2018-05-07,93.8,97.0,92.3,95.8,90.69,28000
2018-05-08,95.0,96.0,93.4,95.85,90.74,16000
2018-05-09,96.8,98.0,94.1,95.0,89.93,32000
2018-05-10,97.9,97.9,94.05,94.8,89.75,40000
2018-05-11,95.9,95.9,94.65,95.0,89.93,16000
2018-05-14,96.0,97.4,95.5,95.5,90.41,22000
2018-05-15,96.0,97.45,95.0,96.45,91.31,34000
2018-05-16,97.0,102.5,96.0,99.85,94.53,72000
2018-05-17,101.45,102.0,99.5,99.75,94.43,72000
2018-05-18,100.8,100.8,98.0,98.4,93.15,24000
2018-05-21,98.6,98.6,97.5,97.5,92.3,26000
2018-05-22,97.5,101.5,97.5,101.3,95.9,38000
2018-05-23,102.0,102.0,98.5,98.9,93.63,26000
2018-05-24,99.5,99.9,97.3,99.55,94.24,14000
2018-05-25,100.4,100.4,95.5,97.45,92.25,30000
2018-05-28,97.4,97.4,96.5,96.5,91.35,8000
2018-05-29,97.05,97.05,97.05,97.05,91.88,2000
2018-05-30,97.85,97.85,97.85,97.85,92.63,2000
2018-05-31,97.85,98.9,97.85,98.9,93.63,8000
2018-06-01,95.0,95.0,93.55,94.0,88.99,14000
2018-06-04,93.6,95.0,91.5,93.0,88.04,36000
2018-06-05,92.0,92.95,90.4,90.4,85.58,34000
2018-06-06,90.5,91.7,90.0,91.7,86.81,16000
2018-06-07,92.1,96.0,92.0,96.0,90.88,118000
2018-06-08,93.6,97.0,92.0,96.0,90.88,118000
2018-06-11,97.0,97.0,95.55,96.2,91.07,18000
2018-06-12,94.0,98.05,94.0,97.9,92.68,52000
2018-06-13,97.9,97.9,97.9,97.9,92.68,0
2018-06-14,94.0,95.0,93.0,95.0,89.93,38000
2018-06-15,94.0,95.0,93.6,94.5,89.46,14000
2018-06-18,92.25,92.95,91.05,92.45,87.52,22000
2018-06-19,91.05,92.6,90.15,91.75,86.86,18000
2018-06-20,91.05,92.5,89.7,91.1,86.24,38000
2018-06-21,88.6,90.0,88.55,88.55,83.83,18000
2018-06-22,85.0,85.05,83.5,84.0,79.52,10000
2018-06-25,83.1,87.0,82.65,84.0,79.52,56000
2018-06-26,84.5,86.95,84.05,85.6,81.04,16000
2018-06-27,85.5,91.85,85.5,89.75,84.96,36000
2018-06-28,89.8,89.8,89.8,89.8,85.01,2000
2018-06-29,89.8,89.8,89.8,89.8,85.01,0
2018-07-02,87.15,87.15,85.75,86.95,82.31,20000
2018-07-03,83.5,85.5,83.5,85.5,80.94,6000
2018-07-04,85.5,85.5,85.5,85.5,80.94,0
2018-07-05,85.05,87.0,85.0,85.0,80.47,10000
