Date,Open,High,Low,Close,Adj Close,Volume
2010-03-30,246.6142,276.5853,246.6142,254.0607,216.4902,28665831
2010-03-31,254.3845,260.8597,251.7019,257.4834,219.4067,4010348
2010-04-01,262.0623,263.5423,255.6333,257.5759,219.4855,1768423
2010-04-05,259.8885,260.3047,247.493,253.1819,215.7414,1455907
2010-04-06,254.3845,259.9347,248.8343,257.9921,219.8403,1311237
2010-04-07,259.6572,271.9601,256.5121,270.1563,230.2056,3230076
2010-04-08,271.0351,274.7353,259.5184,260.9985,222.4021,1505145
2010-04-09,262.3398,263.3573,257.2521,259.9347,221.4955,614030
2010-04-12,261.276,263.9124,253.8295,256.1883,218.3032,548898
2010-04-13,257.8534,262.4785,255.4483,259.7035,221.2985,519133
2010-04-15,261.4148,264.5599,256.4196,257.3909,219.3279,703089
2010-04-16,256.6046,259.7035,252.7657,255.3095,217.5544,221829
2010-04-19,249.7593,253.4595,247.9093,251.7019,214.4802,274476
2010-04-20,253.367,265.2999,251.6556,261.7848,223.0721,646029
2010-04-21,264.2361,274.2727,263.2186,272.6077,232.2944,1989114
2010-04-22,259.9347,277.5104,259.9347,269.2776,229.4568,838779
2010-04-23,269.7863,271.0351,264.1898,268.26,228.5897,319879
2010-04-26,268.63,271.5901,264.5599,266.2249,226.8556,281070
2010-04-27,264.1436,270.5263,264.1436,267.7975,228.1956,258909
2010-04-28,264.5599,267.15,260.6285,262.2473,223.4661,144318
2010-04-29,262.9411,266.2249,261.7848,265.5774,226.3038,78807
2010-04-30,267.0575,268.26,262.016,262.8948,224.0179,198046
2010-05-03,262.8023,265.4849,259.9347,260.8597,222.2838,378256
2010-05-04,262.4785,268.1675,261.9235,263.5886,224.6091,629273
2010-05-05,260.0272,260.6747,254.8933,259.8422,221.4167,154696
2010-05-06,259.9347,261.7848,255.3558,257.9921,219.8403,54592
2010-05-07,249.7593,261.7848,249.7593,259.1947,220.8649,110590
2010-05-10,260.7672,265.3924,257.1596,259.4722,221.1015,95996
2010-05-11,260.7672,261.276,255.8645,256.2346,218.3426,77078
2010-05-12,260.8597,260.8597,254.477,255.3095,217.5544,80861
2010-05-13,256.3271,261.6923,256.3271,259.8422,221.4167,405498
2010-05-14,258.3159,259.9347,255.3558,255.772,217.9485,37079
2010-05-17,255.3095,258.8247,251.6094,254.8933,217.1996,53727
2010-05-18,255.6796,256.6508,251.3781,253.4595,215.9779,272746
2010-05-19,251.7019,254.0145,246.0592,246.9842,210.4602,71889
2010-05-20,247.9093,249.7131,244.2091,245.9667,209.5931,304421
2010-05-21,243.3766,246.0592,234.3575,240.9715,205.3366,46376
2010-05-24,242.4516,249.6668,240.4165,240.4165,204.8637,156534
2010-05-25,240.1852,253.367,237.7339,249.7593,212.8249,1061798
2010-05-26,257.1596,261.7385,249.2968,251.4244,214.2437,181074
2010-05-27,250.6844,260.3972,248.5568,259.2872,220.9438,193830
2010-05-28,259.0097,261.461,254.662,257.1596,219.1308,118590
2010-05-31,256.3271,264.5599,254.5695,264.0974,225.0426,218154
2010-06-01,261.3223,263.6349,254.107,254.477,216.845,174155
2010-06-02,254.3845,259.0097,254.3845,258.5471,220.3132,102374
2010-06-03,255.217,261.2298,255.217,257.6221,219.525,34701
2010-06-04,259.0097,259.8422,255.402,258.3159,220.1161,179668
2010-06-07,255.032,256.0496,251.6556,255.3095,217.5544,45403
2010-06-08,256.0958,258.6859,254.477,255.032,217.3179,25080
2010-06-09,257.3446,258.7784,255.0783,258.0846,219.9191,34593
2010-06-10,258.0384,259.0097,256.1421,257.7146,219.6038,31242
2010-06-11,260.8597,263.6349,257.6221,261.3223,222.6779,290259
2010-06-14,261.4148,261.7848,256.2346,259.1484,220.8255,103996
2010-06-15,257.7146,260.8597,257.7146,259.9347,221.4955,35025
2010-06-16,260.6285,263.1723,258.4084,260.1197,221.6532,23458
2010-06-17,260.0272,260.8135,259.0097,259.5647,221.1803,17945
2010-06-18,260.6285,270.5726,259.0097,264.5599,225.4368,163885
2010-06-21,265.9012,270.0176,263.6349,267.335,227.8015,139778
2010-06-22,265.4849,267.15,264.0974,265.0686,225.8703,44214
2010-06-23,263.6349,269.1851,263.0798,267.3812,227.8409,68862
2010-06-24,268.2138,269.8326,263.6349,264.9299,225.7521,31566
2010-06-25,264.5599,266.78,261.831,262.016,223.2691,17945
2010-06-28,263.6349,264.1898,260.4897,262.7098,223.8603,55889
2010-06-29,269.1851,276.5853,262.2473,265.9474,226.6191,289286
2010-06-30,262.8023,267.2425,262.8023,264.5599,225.4368,23242
2010-07-01,263.6349,269.6013,263.6349,269.1851,229.378,70916
2010-07-02,269.1851,270.5263,265.5774,265.5774,226.3038,33728
2010-07-05,264.5599,268.0287,261.646,262.2473,223.4661,121184
2010-07-06,259.1484,275.799,259.1484,268.0287,228.3926,373823
2010-07-07,269.0926,272.8852,263.9124,269.6476,229.7721,113941
2010-07-08,270.5726,273.7177,265.8549,266.6875,227.2497,75024
2010-07-09,267.335,277.5104,267.335,277.5104,236.4721,276205
2010-07-12,280.193,288.9808,277.5104,280.5167,239.0339,547222
2010-07-13,282.3668,288.2408,278.9904,285.7432,243.4874,383877
2010-07-14,286.7607,291.0621,283.9856,285.3732,243.1721,265395
2010-07-15,286.6682,286.6682,277.8341,278.4354,237.2604,137616
2010-07-16,280.2392,287.6857,278.6667,286.0207,243.724,163453
2010-07-19,279.4529,284.3094,279.3604,279.9617,238.561,112428
2010-07-20,282.0893,285.7432,275.8915,279.2679,237.9698,83672
2010-07-21,281.0255,281.8118,279.4529,281.673,240.0192,35890
2010-07-22,280.2855,285.3732,279.3604,282.1355,240.4133,31133
2010-07-23,283.0606,285.6507,278.7129,280.193,238.758,63997
2010-07-26,282.043,282.1355,270.6651,278.3892,239.5939,89834
2010-07-27,277.4641,279.8229,273.8102,274.7353,236.4492,35890
2010-07-28,273.949,277.1866,272.3302,273.9952,235.8124,36106
2010-07-29,273.3477,275.2903,267.335,270.1101,232.4686,314907
2010-07-30,268.1675,272.9777,268.1675,269.7401,232.1502,80321
