Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,15.54,15.91,15.25,15.29,12.56,130797
2002-07-02,15.31,15.54,15.17,15.25,12.52,155586
2002-07-03,15.63,15.63,15.21,15.27,12.55,159476
2002-07-04,15.35,15.35,15.16,15.23,12.51,409562
2002-07-05,15.19,15.53,15.19,15.25,12.53,276756
2002-07-08,15.54,15.72,15.27,15.42,12.67,169306
2002-07-09,15.54,15.67,15.38,15.42,12.67,245406
2002-07-10,15.44,15.63,15.35,15.54,12.77,78044
2002-07-11,15.48,15.68,15.25,15.61,12.82,109010
2002-07-12,15.62,15.77,15.35,15.41,12.66,221054
2002-07-15,15.43,15.91,15.43,15.69,12.89,185451
2002-07-16,15.63,15.74,15.49,15.61,12.82,282836
2002-07-17,15.49,15.79,15.44,15.73,12.92,294675
2002-07-18,15.79,15.91,15.69,15.91,13.07,369482
2002-07-19,14.96,16.18,14.88,16.02,13.16,689973
2002-07-22,15.44,15.54,15.08,15.42,12.67,394517
2002-07-23,15.54,15.63,15.21,15.34,12.6,149303
2002-07-24,15.16,15.53,15.16,15.24,12.52,179094
2002-07-25,15.25,15.44,15.0,15.06,12.37,251560
2002-07-26,14.97,15.15,14.79,14.85,12.2,243899
2002-07-29,16.38,16.38,14.51,14.55,11.95,374718
2002-07-30,14.55,14.92,14.51,14.61,12.0,136930
2002-07-31,14.51,14.79,14.04,14.62,12.01,673967
2002-08-01,15.91,15.91,14.52,14.59,11.99,111200
2002-08-02,15.44,15.44,14.15,14.62,12.01,137454
2002-08-05,14.79,14.79,14.41,14.52,11.92,206074
2002-08-06,14.45,14.68,14.42,14.5,11.91,89937
2002-08-07,14.37,14.96,14.37,14.48,11.89,137015
2002-08-08,14.48,14.6,14.07,14.17,11.64,102064
2002-08-09,14.23,14.51,14.04,14.14,11.62,198658
2002-08-12,14.33,14.46,14.13,14.22,11.68,130177
2002-08-13,14.23,14.4,14.15,14.25,11.71,129514
2002-08-14,14.07,14.29,14.07,14.19,11.66,51609
2002-08-15,14.19,14.19,14.19,14.19,11.66,0
2002-08-16,14.31,14.31,14.04,14.09,11.58,150810
2002-08-19,14.13,14.51,14.13,14.32,11.76,91657
2002-08-20,14.32,14.34,14.05,14.2,11.66,90385
2002-08-21,14.13,14.27,14.07,14.16,11.63,70586
2002-08-22,14.97,14.97,14.32,14.36,11.79,137421
2002-08-23,14.05,14.41,14.05,14.23,11.69,53201
2002-08-26,14.51,14.51,14.23,14.36,11.79,138415
2002-08-27,14.41,14.41,14.16,14.17,11.64,92757
2002-08-28,14.23,14.23,13.96,14.08,11.56,65232
2002-08-29,14.18,14.23,14.05,14.2,11.66,36447
2002-08-30,14.31,14.31,14.07,14.13,11.61,61087
2002-09-02,14.96,14.96,14.2,14.25,11.71,60702
2002-09-03,14.39,14.39,14.13,14.22,11.68,46533
2002-09-04,14.3,14.3,14.08,14.13,11.61,46865
2002-09-05,14.17,14.23,14.0,14.07,11.56,77520
2002-09-06,14.09,14.2,14.05,14.13,11.61,54515
2002-09-09,14.06,14.26,14.06,14.13,11.61,46181
2002-09-10,14.13,14.13,14.13,14.13,11.61,0
2002-09-11,14.26,14.41,14.18,14.36,11.79,67102
2002-09-12,14.32,14.49,14.13,14.27,11.72,166592
2002-09-13,14.43,14.46,14.09,14.15,11.62,54366
2002-09-16,13.95,14.23,13.95,14.18,11.65,49386
2002-09-17,14.17,14.25,14.04,14.05,11.54,67615
2002-09-18,14.07,14.49,14.07,14.23,11.69,38049
2002-09-19,14.14,14.34,14.12,14.21,11.67,66921
2002-09-20,13.94,14.34,13.8,14.23,11.69,95664
2002-09-23,14.41,14.41,14.16,14.21,11.67,24661
2002-09-24,14.1,14.23,13.94,14.06,11.55,84669
2002-09-25,13.94,14.12,13.85,13.89,11.41,46416
2002-09-26,13.87,14.04,13.87,14.01,11.51,13174
2002-09-27,14.04,14.22,13.85,14.21,11.67,32322
2002-09-30,14.87,14.87,13.25,13.66,11.22,116735
2002-10-01,13.68,13.9,13.57,13.7,11.26,128072
2002-10-02,13.7,13.7,13.7,13.7,11.26,0
2002-10-03,13.85,13.94,13.66,13.94,11.45,65361
2002-10-04,14.04,14.04,13.68,13.85,11.38,49632
2002-10-07,13.67,13.98,13.66,13.93,11.44,25345
2002-10-08,13.94,14.65,12.67,14.06,11.55,78995
2002-10-09,13.95,14.19,13.85,13.9,11.42,55990
2002-10-10,13.62,13.92,13.62,13.79,11.32,33369
2002-10-11,13.66,14.07,13.66,13.88,11.4,71483
2002-10-14,14.5,14.5,13.92,13.94,11.46,26563
2002-10-15,13.94,13.94,13.94,13.94,11.46,0
2002-10-16,14.13,14.13,13.57,13.65,11.21,42879
2002-10-17,13.57,13.91,13.57,13.77,11.31,82393
2002-10-18,13.67,13.91,13.59,13.66,11.22,46181
2002-10-21,13.16,13.97,13.16,13.73,11.28,53500
2002-10-22,13.57,14.32,13.57,13.82,11.36,144271
2002-10-23,13.96,13.96,13.67,13.77,11.31,41875
2002-10-24,13.29,14.04,13.29,13.92,11.43,60200
2002-10-25,13.94,14.04,13.49,13.61,11.18,128264
2002-10-28,13.57,13.76,13.39,13.71,11.26,85331
2002-10-29,13.53,14.22,13.53,13.93,11.44,124653
2002-10-30,13.1,14.04,13.1,13.73,11.28,88355
2002-10-31,13.68,13.78,13.3,13.65,11.21,138885
2002-11-01,13.41,13.71,11.6,13.59,11.16,110976
2002-11-04,14.04,14.04,13.5,13.54,11.12,43477
2002-11-05,13.54,13.84,13.49,13.56,11.14,75309
2002-11-06,13.56,13.56,13.56,13.56,11.14,0
2002-11-07,13.48,13.76,13.39,13.45,11.05,94200
2002-11-08,13.65,13.65,13.29,13.33,10.95,94285
2002-11-11,13.55,13.55,13.11,13.26,10.89,64495
2002-11-12,13.74,13.74,13.07,13.11,10.77,145585
2002-11-13,12.41,13.29,12.27,13.23,10.87,189800
2002-11-14,13.11,13.52,13.11,13.28,10.91,140766
2002-11-15,13.22,13.47,13.22,13.39,11.0,76292
2002-11-18,13.56,13.85,13.35,13.78,11.32,267481
2002-11-19,13.78,13.78,13.78,13.78,11.32,0
2002-11-20,13.8,13.84,13.49,13.76,11.3,167639
2002-11-21,13.63,13.99,13.57,13.84,11.37,199139
2002-11-22,14.04,15.16,13.97,15.05,12.36,578762
2002-11-25,14.97,16.28,14.8,15.54,12.76,1012537
2002-11-26,15.9,16.1,15.26,15.36,12.62,433518
2002-11-27,15.07,15.38,14.98,15.11,12.41,226023
2002-11-28,15.21,15.44,15.02,15.3,12.57,241271
2002-11-29,15.21,15.35,15.07,15.25,12.52,193401
2002-12-02,15.16,16.09,15.16,15.81,12.99,529012
2002-12-03,15.91,16.1,15.72,15.93,13.09,454589
