Date,Open,High,Low,Close,Adj Close,Volume
2007-03-01,93.9,100.25,75.0,98.35,66.02,54802920
2007-03-02,105.0,105.0,95.05,97.95,65.75,8722279
2007-03-05,95.0,95.3,90.0,92.6,62.16,2352089
2007-03-06,94.75,97.0,92.0,93.7,62.9,1299154
2007-03-07,94.85,94.85,85.5,86.7,58.2,768085
2007-03-08,87.2,89.6,87.2,89.3,59.94,453539
2007-03-09,89.9,92.0,88.0,91.2,61.22,573863
2007-03-12,92.5,92.5,87.45,87.85,58.97,656800
2007-03-13,88.0,89.5,86.0,87.65,58.83,429771
2007-03-14,86.0,88.0,82.4,86.75,58.23,410183
2007-03-15,87.0,89.8,87.0,88.0,59.07,937409
2007-03-16,87.1,88.5,85.0,85.35,57.29,489834
2007-03-19,86.0,86.5,84.05,84.45,56.69,263636
2007-03-20,85.5,87.95,85.3,86.85,58.3,325721
2007-03-21,86.05,88.7,85.05,87.05,58.43,410702
2007-03-22,88.0,92.0,88.0,91.8,61.62,1126538
2007-03-23,91.9,92.5,89.5,91.35,61.32,293855
2007-03-26,90.0,92.5,89.05,92.1,61.82,302635
2007-03-28,91.0,91.0,88.2,89.2,59.87,175129
2007-03-29,88.5,94.15,85.5,87.0,58.4,1431559
2007-03-30,87.7,90.8,86.7,90.2,60.55,509576
2007-04-02,88.0,88.0,85.0,87.1,58.47,215016
2007-04-03,87.2,90.25,87.2,90.0,60.41,264540
2007-04-04,89.9,92.25,89.9,91.75,61.59,301207
2007-04-05,91.0,91.25,89.5,90.8,60.95,98458
2007-04-09,90.25,91.4,88.5,89.55,60.11,140905
2007-04-10,90.0,96.1,89.5,93.6,62.83,1404080
2007-04-11,95.0,95.0,93.0,94.05,63.13,614531
2007-04-12,93.5,93.5,89.75,90.4,60.68,246066
2007-04-13,91.85,94.6,91.25,93.5,62.76,727726
2007-04-16,94.9,95.7,92.25,92.5,62.09,458641
2007-04-17,93.0,94.8,91.3,93.65,62.86,631642
2007-04-18,94.0,98.75,93.95,96.95,65.08,2087533
2007-04-19,95.0,97.9,94.5,96.85,65.01,758443
2007-04-20,97.8,98.95,95.6,96.8,64.98,933845
2007-04-23,99.0,99.85,93.7,95.5,64.1,1775391
2007-04-24,96.0,109.95,95.2,104.9,70.41,6133853
2007-04-25,108.75,124.8,106.8,120.3,80.75,10876699
2007-04-26,121.0,130.0,121.0,122.55,82.26,3618512
2007-04-27,122.0,122.0,112.0,114.7,76.99,2075388
2007-04-30,113.0,118.0,105.65,115.5,77.53,1149868
2007-05-03,116.5,120.35,115.0,116.15,77.96,955879
2007-05-04,117.2,120.6,115.0,116.0,77.86,1251131
2007-05-07,116.9,118.8,115.1,115.75,77.7,523983
2007-05-08,116.6,117.75,115.9,117.05,78.57,824891
2007-05-09,118.0,127.5,116.15,126.1,84.64,1843893
2007-05-10,127.7,129.75,120.85,122.55,82.26,1936720
2007-05-11,120.0,128.0,118.1,125.85,84.48,1450405
2007-05-14,129.65,132.4,127.0,128.7,86.39,2261351
2007-05-15,129.0,129.7,125.1,126.15,84.68,714790
2007-05-16,124.5,129.9,124.5,129.2,86.72,1017457
2007-05-17,135.0,135.0,127.5,130.5,87.6,1408555
2007-05-18,130.8,132.5,127.5,128.25,86.09,842089
2007-05-21,129.0,130.5,126.8,128.95,86.56,492382
2007-05-22,129.2,132.5,127.15,130.3,87.46,887502
2007-05-23,131.8,131.8,128.0,128.8,86.46,586081
2007-05-24,128.5,129.9,123.0,125.5,84.24,1226768
2007-05-25,124.5,129.6,118.35,129.05,86.62,867541
2007-05-28,129.25,129.25,125.5,125.95,84.54,317047
2007-05-29,126.0,130.9,126.0,128.4,86.19,1447732
2007-05-30,134.9,134.9,127.0,127.85,85.82,1100665
2007-05-31,128.5,130.25,127.0,127.65,85.68,323902
