Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,39.77,43.39,39.77,43.39,22.43,5954.0
2002-07-02,45.17,45.57,43.22,44.4,22.95,17059.0
2002-07-03,45.62,45.62,44.42,44.42,22.96,19673.0
2002-07-04,44.27,44.72,44.01,44.09,22.79,1204.0
2002-07-05,43.83,43.85,43.1,43.37,22.41,1009.0
2002-07-08,43.37,45.02,42.93,45.0,23.26,7111.0
2002-07-09,44.87,45.39,43.52,44.52,23.01,2913.0
2002-07-10,45.02,45.17,44.87,44.99,23.25,566.0
2002-07-11,45.02,45.02,43.83,44.26,22.88,728.0
2002-07-12,43.82,43.82,43.52,43.67,22.57,337.0
2002-07-15,43.22,43.22,42.03,42.03,21.72,433.0
2002-07-16,42.03,42.03,42.03,42.03,21.72,0.0
2002-07-17,40.69,42.02,40.68,41.42,21.41,780.0
2002-07-18,41.27,41.27,40.67,41.22,21.3,1075.0
2002-07-19,40.07,44.22,40.07,40.78,21.08,323.0
2002-07-22,40.52,41.27,39.77,41.24,21.32,1137.0
2002-07-23,41.72,42.02,41.27,41.27,21.33,357.0
2002-07-24,41.27,42.95,40.52,42.62,22.03,1237.0
2002-07-25,39.84,42.77,39.84,42.59,22.01,138.0
2002-07-26,40.1,41.72,40.1,41.72,21.56,361.0
2002-07-29,39.92,40.22,37.67,39.07,20.19,1923.0
2002-07-30,40.52,41.97,38.27,38.78,20.04,2303.0
2002-07-31,37.69,38.86,37.52,37.52,19.39,3317.0
2002-08-01,38.14,38.27,38.11,38.11,19.7,376.0
2002-08-02,39.02,39.02,37.67,37.84,19.56,1175.0
2002-08-05,37.21,39.02,37.21,38.83,20.07,590.0
2002-08-06,39.02,39.02,38.7,38.95,20.13,323.0
2002-08-07,38.27,39.02,38.27,39.02,20.16,280.0
2002-08-08,38.27,38.27,37.89,37.92,20.71,447.0
2002-08-09,37.92,37.92,37.92,37.92,20.71,0.0
2002-08-12,37.52,37.52,37.52,37.52,20.49,138.0
2002-08-13,37.52,37.52,37.52,37.52,20.49,0.0
2002-08-14,37.52,37.52,37.52,37.52,20.49,0.0
2002-08-15,37.52,37.52,37.52,37.52,20.49,0.0
2002-08-16,36.09,36.09,36.09,36.09,19.71,4.0
2002-08-19,37.52,37.52,37.52,37.52,20.49,280.0
2002-08-20,37.33,37.36,35.11,36.82,20.11,456.0
2002-08-21,36.82,36.82,36.82,36.82,20.11,0.0
2002-08-22,34.66,37.06,34.66,37.06,20.24,261.0
2002-08-23,36.46,37.52,36.46,37.04,20.23,1137.0
2002-08-26,37.04,37.04,37.04,37.04,20.23,0.0
