Date,Open,High,Low,Close,Adj Close,Volume
2018-05-21,600.0,606.8,579.1,586.1,576.96,16614188
2018-05-22,585.8,597.8,580.65,595.6,586.31,1568501
2018-05-23,596.0,605.0,593.3,603.6,594.19,1489463
2018-05-24,603.0,607.8,585.05,589.8,580.6,461588
2018-05-25,586.55,592.85,582.15,588.3,579.13,164099
2018-05-28,588.3,591.0,584.2,587.15,577.99,152266
2018-05-29,584.9,587.45,581.0,584.8,575.68,214823
2018-05-30,584.8,589.0,572.3,582.15,573.07,161239
2018-05-31,585.0,597.9,581.7,590.1,580.9,369402
2018-06-01,585.1,590.0,582.5,587.15,577.99,127900
2018-06-04,584.0,587.9,580.0,584.5,575.39,146430
2018-06-05,576.0,579.1,568.25,572.15,563.23,406120
2018-06-06,570.0,579.9,561.0,570.65,561.75,64585
2018-06-07,570.0,574.9,565.0,566.45,557.62,162542
2018-06-08,561.05,565.8,561.05,563.0,554.22,61224
2018-06-11,560.2,568.6,559.0,559.95,551.22,71839
2018-06-12,558.5,561.95,555.0,555.95,547.28,135782
2018-06-13,553.05,572.05,552.0,555.05,546.4,75077
2018-06-14,555.0,563.0,553.5,559.9,551.17,68006
2018-06-15,562.0,567.0,548.4,557.7,549.0,124746
2018-06-18,562.45,572.0,557.1,564.5,555.7,739283
2018-06-19,569.9,574.5,562.7,566.5,557.67,355921
2018-06-20,567.0,568.45,556.5,561.0,552.25,42393
2018-06-21,562.0,565.55,555.1,562.55,553.78,49250
2018-06-22,560.15,561.9,551.0,553.0,544.38,48001
2018-06-25,558.95,558.95,530.2,532.95,524.64,290974
2018-06-26,530.0,534.0,511.1,520.6,512.48,81418
2018-06-27,528.65,533.0,502.55,507.1,499.19,44410
2018-06-28,503.0,519.6,496.3,510.5,502.54,134056
2018-06-29,516.0,526.5,510.0,520.7,512.58,141955
2018-07-02,520.7,524.4,504.15,506.15,498.26,60487
2018-07-03,505.2,533.0,503.25,525.45,517.26,76999
2018-07-04,528.95,535.3,521.4,527.7,519.47,154727
2018-07-05,530.0,536.95,511.8,516.05,508.0,255236
2018-07-06,513.0,524.45,509.0,515.65,507.61,52008
2018-07-09,524.45,524.45,511.05,514.75,506.72,25867
2018-07-10,512.1,521.5,512.1,515.95,507.91,167106
2018-07-11,515.2,519.6,506.7,511.15,503.18,31055
2018-07-12,513.3,514.85,498.95,501.85,494.02,63544
2018-07-13,501.8,508.35,486.4,488.25,480.64,42780
2018-07-16,494.0,494.0,471.4,489.0,481.38,69096
2018-07-17,497.95,503.25,482.75,488.8,481.18,174862
2018-07-18,494.45,494.5,475.1,480.8,473.3,136741
2018-07-19,486.0,487.05,466.35,470.3,462.97,51679
2018-07-20,470.0,473.9,432.9,447.55,440.57,282236
2018-07-23,460.0,460.0,444.55,445.7,438.75,297295
2018-07-24,442.2,450.0,442.2,445.75,438.8,42785
2018-07-25,446.2,464.95,445.0,460.4,453.22,98048
2018-07-26,464.0,464.8,452.3,458.4,451.25,33345
2018-07-27,455.0,471.4,455.0,468.9,461.59,31366
2018-07-30,474.0,487.0,470.0,483.4,475.86,205724
2018-07-31,494.0,494.0,478.0,481.35,473.84,30098
2018-08-01,485.9,493.95,478.5,486.5,478.91,56886
2018-08-02,486.25,490.45,476.1,481.25,473.75,54719
2018-08-03,489.8,489.8,476.4,482.35,474.83,73304
2018-08-06,482.35,486.8,477.0,479.75,472.27,61685
2018-08-07,475.1,490.0,475.1,486.9,479.31,42559
2018-08-08,488.0,505.0,482.0,500.5,492.7,123633
2018-08-09,505.0,505.0,496.25,500.7,492.89,27794
2018-08-10,504.9,506.85,497.0,500.7,492.89,30256
2018-08-13,482.55,487.35,471.5,480.05,472.56,279031
2018-08-14,490.0,498.95,475.25,480.1,472.61,148161
2018-08-16,483.25,489.95,480.0,484.5,476.95,46364
2018-08-17,489.0,489.0,474.6,478.85,471.38,29781
2018-08-20,479.0,489.55,476.4,481.25,473.75,215997
2018-08-21,487.0,495.0,470.8,474.45,467.05,191207
2018-08-23,475.0,475.0,462.6,464.4,457.16,12216
2018-08-24,466.0,468.3,442.1,447.15,440.18,203620
2018-08-27,447.0,449.25,440.15,441.2,434.32,23281
2018-08-28,441.0,445.0,435.0,436.0,429.2,30315
2018-08-29,439.9,440.0,433.0,436.25,429.45,159443
2018-08-30,436.25,453.4,434.0,447.35,440.37,106332
2018-08-31,450.0,469.4,447.05,459.55,452.38,93656
2018-09-03,465.0,480.0,451.25,453.8,446.72,55234
2018-09-04,457.45,465.9,451.0,452.5,445.44,13748
2018-09-05,460.5,460.5,438.0,439.95,433.09,81358
2018-09-06,443.5,449.95,441.0,444.8,437.86,12460
2018-09-07,448.3,452.25,444.0,445.05,438.11,11560
2018-09-10,450.0,450.0,440.0,441.3,434.42,18182
2018-09-11,449.0,449.0,435.0,437.65,430.83,161232
2018-09-12,436.75,441.7,424.0,427.95,421.28,223756
2018-09-14,436.95,436.95,424.15,425.7,419.06,72526
2018-09-17,426.9,440.0,425.0,434.5,427.73,213396
2018-09-18,439.8,439.8,423.0,425.65,419.01,100212
2018-09-19,431.0,431.0,400.75,411.05,404.64,103666
2018-09-21,412.0,412.5,387.0,396.55,390.37,262686
2018-09-24,404.9,404.9,350.05,366.3,360.59,376403
2018-09-25,370.5,374.35,346.0,351.25,345.77,822913
2018-09-26,359.5,359.95,348.2,351.35,345.87,502522
2018-09-27,353.9,356.5,325.0,345.7,340.31,169228
2018-09-28,353.0,353.0,314.05,319.05,314.08,248653
2018-10-01,315.35,317.45,290.1,300.55,295.86,232978
2018-10-03,303.9,313.0,295.4,303.8,299.06,513124
2018-10-04,299.5,303.7,284.3,289.4,284.89,229693
2018-10-05,296.2,310.0,288.9,300.1,295.42,189560
2018-10-08,300.0,304.8,278.15,282.05,277.65,71663
2018-10-09,284.3,289.1,279.65,284.95,280.51,182504
2018-10-10,292.0,292.0,280.0,286.2,281.74,130497
2018-10-11,280.0,302.0,275.8,295.2,290.6,251982
2018-10-12,300.8,307.25,293.0,301.35,296.65,232603
2018-10-15,304.0,305.0,297.05,300.1,295.42,15808
2018-10-16,305.0,319.95,301.3,310.9,306.05,26451
2018-10-17,313.9,324.0,306.0,308.95,304.13,28334
2018-10-19,305.0,309.0,291.0,297.65,293.01,44852
2018-10-22,300.0,301.8,277.25,284.85,280.41,31009
2018-10-23,284.95,287.9,279.0,283.6,279.18,7336
2018-10-24,287.0,288.6,278.35,282.6,278.19,11404
2018-10-25,282.6,290.0,276.5,286.9,282.43,12463
2018-10-26,287.8,290.05,280.0,281.5,277.11,9224
2018-10-29,285.0,285.0,281.1,282.55,278.14,7138
2018-10-30,283.5,298.4,283.1,294.65,290.06,10547
2018-10-31,295.3,306.5,290.05,301.65,296.95,28864
2018-11-01,305.0,310.0,292.45,298.05,293.4,179463
2018-11-02,300.0,305.0,298.0,300.0,295.32,80141
2018-11-05,300.0,305.0,294.5,301.2,296.5,14874
2018-11-06,302.05,305.0,297.7,302.65,297.93,17002
2018-11-07,309.9,329.9,305.0,311.25,306.4,11220
2018-11-09,319.45,339.0,311.35,327.95,322.84,76823
2018-11-12,330.6,357.5,330.55,341.7,336.37,39253
2018-11-13,341.7,347.85,338.05,344.95,340.57,16359
2018-11-14,347.5,352.8,344.05,348.8,344.37,18517
2018-11-15,345.6,349.95,325.5,330.05,325.86,21690
2018-11-16,333.0,345.0,328.65,343.35,338.99,442368
2018-11-19,345.0,355.0,335.15,351.4,346.94,72674
2018-11-20,348.5,367.0,345.25,362.7,358.09,28878
2018-11-21,364.2,374.0,360.2,364.6,359.97,31456
2018-11-22,368.65,370.0,350.0,352.25,347.78,15433
2018-11-26,355.05,361.45,343.5,346.2,341.8,9270
2018-11-27,348.9,348.9,331.25,335.4,331.14,5915
2018-11-28,339.0,364.75,324.3,347.45,343.04,27265
2018-11-29,350.0,358.95,342.15,349.9,345.46,151814
2018-11-30,350.0,357.7,340.15,343.2,338.84,33924
2018-12-03,343.05,351.0,338.05,340.95,336.62,25051
2018-12-04,340.95,340.95,336.9,338.3,334.0,14506
2018-12-05,335.0,340.75,328.0,329.7,325.51,23202
2018-12-06,337.0,337.0,325.0,326.65,322.5,13676
2018-12-07,332.0,332.8,317.65,320.55,316.48,42584
2018-12-10,320.0,322.7,314.0,316.05,312.04,5997
2018-12-11,314.1,320.5,310.05,318.9,314.85,10176
2018-12-12,320.05,330.0,320.05,328.95,324.77,6861
2018-12-13,329.25,334.05,328.0,333.0,328.77,13176
2018-12-14,333.0,333.0,326.45,328.4,324.23,5337
2018-12-17,327.15,335.05,318.15,321.95,317.86,117299
2018-12-18,323.0,325.55,319.0,321.45,317.37,155699
2018-12-19,322.0,338.0,320.6,334.3,330.05,48712
2018-12-20,334.95,347.9,332.0,340.55,336.22,70657
2018-12-21,342.05,344.95,336.15,338.7,334.4,80706
2018-12-24,341.0,342.0,307.1,309.45,305.52,172826
2018-12-26,314.4,354.9,307.0,341.0,336.67,344943
2018-12-27,342.7,359.0,330.2,347.45,343.04,68637
2018-12-28,350.0,351.95,341.55,349.95,345.5,23772
2018-12-31,352.8,353.75,344.2,346.7,342.3,45152
2019-01-01,350.85,350.85,341.0,346.8,342.39,3619
2019-01-02,350.0,365.0,340.0,343.3,338.94,50884
2019-01-03,345.9,348.0,335.0,342.4,338.05,115669
2019-01-04,342.4,342.4,332.0,335.95,331.68,11702
2019-01-07,336.05,344.0,336.05,340.05,335.73,70136
2019-01-08,338.05,349.0,338.0,346.45,342.05,41394
2019-01-09,349.0,356.8,342.2,353.3,348.81,30838
2019-01-10,353.85,357.4,347.9,356.1,351.58,17991
2019-01-11,358.95,358.95,350.6,354.6,350.1,13062
2019-01-14,352.7,360.0,348.9,355.5,350.98,41759
2019-01-15,352.25,354.9,347.0,350.7,346.25,17886
2019-01-16,349.15,351.9,347.1,348.95,344.52,4696
2019-01-17,350.5,351.8,345.3,349.8,345.36,7860
2019-01-18,346.95,349.15,346.8,347.0,342.59,9970
2019-01-21,355.0,355.0,335.35,338.7,334.4,21013
2019-01-22,346.95,346.95,323.95,328.35,324.18,13204
2019-01-23,329.0,344.7,325.1,328.3,324.13,30927
2019-01-24,333.0,333.0,326.5,328.75,324.57,8371
2019-01-25,331.75,338.0,330.0,332.45,328.23,10006
2019-01-28,338.7,338.75,324.05,325.75,321.61,7435
2019-01-29,328.0,328.0,318.0,318.9,314.85,7501
2019-01-30,320.35,321.5,315.0,317.45,313.42,7182
2019-01-31,322.95,322.95,315.0,316.3,312.28,7588
2019-02-01,317.35,319.95,308.85,310.65,306.7,6041
2019-02-04,318.95,325.0,312.15,321.5,317.42,36437
2019-02-05,324.0,324.0,310.0,313.1,309.12,11434
2019-02-06,311.8,339.0,302.0,325.25,321.12,30312
2019-02-07,328.9,336.6,325.0,334.7,330.45,11867
2019-02-08,333.15,334.95,320.0,327.3,323.14,5392
2019-02-11,330.0,330.0,317.3,318.9,314.85,8640
2019-02-12,323.65,325.0,317.3,319.4,315.34,4571
2019-02-14,326.4,329.35,325.05,327.35,323.19,21509
2019-02-15,330.0,331.05,320.5,325.6,321.46,18548
2019-02-18,325.6,329.15,320.0,322.2,318.11,7013
2019-02-19,322.0,323.95,320.1,322.3,318.21,6767
2019-02-20,320.5,326.8,319.0,320.55,316.48,11167
2019-02-21,323.7,349.7,319.0,339.7,335.38,53109
2019-02-22,335.55,341.9,333.1,340.3,335.98,9713
2019-02-25,341.0,343.0,339.95,341.05,336.72,11927
2019-02-26,337.3,355.0,336.0,346.45,342.05,23308
2019-02-27,350.0,350.0,324.5,338.35,334.05,22887
2019-02-28,335.1,346.6,335.05,342.6,338.25,51250
2019-03-01,338.05,346.0,338.05,342.8,338.45,184268
2019-03-05,341.0,350.0,341.0,344.05,339.68,190116
2019-03-06,345.35,350.75,341.6,347.6,343.18,48734
2019-03-07,346.5,362.5,346.3,355.2,350.69,44487
2019-03-08,354.15,358.3,347.0,350.75,346.29,37260
2019-03-11,359.9,359.9,350.05,354.95,350.44,43866
2019-03-12,358.0,358.6,350.2,352.2,347.73,33006
2019-03-13,350.6,355.05,348.5,353.15,348.66,28842
2019-03-14,351.25,354.0,342.0,343.5,339.14,18157
2019-03-15,343.05,349.0,340.0,345.05,340.67,119442
2019-03-18,344.2,348.0,340.0,345.0,340.62,15464
2019-03-19,344.85,352.5,342.05,350.05,345.6,30151
2019-03-20,351.0,355.0,348.05,349.5,345.06,249680
2019-03-22,346.1,363.0,346.1,350.9,346.44,105349
