Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,19.6,21.0,19.55,20.6,18.3,20865
2002-07-02,21.25,24.75,21.0,24.7,21.95,152636
2002-07-03,25.6,28.55,25.6,28.1,24.97,263315
2002-07-04,28.45,29.25,25.5,26.6,23.64,104418
2002-07-05,27.0,28.9,27.0,28.3,25.15,144237
2002-07-08,28.9,29.0,26.5,26.75,23.77,68450
2002-07-09,27.15,29.95,27.0,27.7,24.61,192146
2002-07-10,28.5,28.5,27.05,27.15,24.12,32110
2002-07-11,26.9,27.4,26.4,26.65,23.68,27335
2002-07-12,26.5,28.5,26.25,26.65,23.68,28345
2002-07-15,26.4,27.6,26.2,26.55,23.59,14304
2002-07-16,25.0,28.45,25.0,26.7,23.72,83595
2002-07-17,25.0,26.75,24.7,26.05,23.15,59221
2002-07-18,25.5,27.7,25.1,26.05,23.15,62272
2002-07-19,26.0,26.6,26.0,26.4,23.46,12755
2002-07-22,25.15,25.3,24.5,24.55,21.81,10916
2002-07-23,25.0,25.0,24.0,24.5,21.77,11828
2002-07-24,24.0,24.55,22.25,23.1,20.53,37060
2002-07-25,25.0,25.0,22.55,23.35,20.75,28334
2002-07-26,22.0,23.95,21.0,21.85,19.41,38694
2002-07-29,22.0,22.0,20.0,20.9,18.57,17724
2002-07-30,23.0,23.0,20.5,20.6,18.3,12689
2002-07-31,20.95,20.95,20.65,20.65,18.35,6093
2002-08-01,21.8,21.8,20.75,21.1,18.75,18800
2002-08-02,20.6,21.25,20.0,20.25,17.99,28866
2002-08-05,20.75,22.6,20.75,22.05,19.59,13751
2002-08-06,22.4,24.0,21.5,21.85,19.41,21981
2002-08-07,22.5,22.7,22.0,22.2,19.73,17665
2002-08-08,20.65,22.3,20.65,21.7,19.28,9694
2002-08-09,24.0,24.0,21.4,21.45,19.06,1127
2002-08-12,22.5,22.5,21.3,21.35,18.97,7305
2002-08-13,24.0,24.0,20.7,21.2,18.84,3005
2002-08-14,21.0,21.45,20.85,21.1,18.75,2700
2002-08-15,21.1,21.1,21.1,21.1,18.75,0
2002-08-16,21.15,21.55,20.7,20.9,18.57,2745
2002-08-19,20.85,20.95,20.4,20.65,18.35,27950
2002-08-20,21.05,21.05,20.1,20.65,18.35,31825
2002-08-21,20.55,22.0,20.5,20.8,18.48,5400
2002-08-22,21.0,21.0,20.25,20.8,18.48,8050
2002-08-23,18.0,20.9,18.0,20.35,18.08,35951
2002-08-26,21.0,21.85,19.6,20.25,17.99,31850
2002-08-27,20.15,20.35,19.6,19.95,17.73,22607
2002-08-28,20.0,20.1,19.8,20.1,17.86,25105
2002-08-29,20.4,20.4,19.5,19.7,17.5,13151
2002-08-30,18.6,20.25,18.6,19.95,17.73,17452
2002-09-02,20.6,21.0,20.15,20.75,18.44,32511
2002-09-03,24.0,24.0,20.5,21.05,18.7,15234
2002-09-04,20.7,21.15,20.7,20.85,18.53,12990
