Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,18.5,18.9,18.3,18.6,13.79,84409
2002-07-02,18.6,19.0,18.5,18.65,13.83,34616
2002-07-03,18.65,19.0,17.65,17.95,13.31,89445
2002-07-04,18.25,18.35,17.9,18.0,13.35,58765
2002-07-05,17.85,18.2,17.65,18.1,13.42,30847
2002-07-08,18.25,18.85,18.25,18.55,13.76,60407
2002-07-09,18.6,18.85,18.3,18.55,13.76,50930
2002-07-10,18.9,18.9,18.2,18.25,13.53,42355
2002-07-11,18.0,18.4,17.9,18.0,13.35,26325
2002-07-12,18.0,18.0,17.5,17.65,13.09,32957
2002-07-15,17.35,17.8,17.05,17.15,12.72,34568
2002-07-16,17.0,17.55,17.0,17.3,12.83,31833
2002-07-17,17.4,17.4,17.0,17.05,12.64,22651
2002-07-18,17.2,17.25,16.8,16.85,12.5,11050
2002-07-19,16.8,17.15,16.7,17.0,12.61,11950
2002-07-22,16.4,16.75,16.15,16.3,12.09,31590
2002-07-23,16.2,16.45,16.0,16.15,11.98,39520
2002-07-24,15.8,16.25,15.8,16.0,11.87,24985
2002-07-25,16.6,16.6,16.1,16.35,12.12,24071
2002-07-26,16.4,16.4,15.8,15.85,11.75,64231
2002-07-29,15.85,15.9,15.5,15.8,11.72,52025
2002-07-30,17.0,17.0,15.7,16.0,11.87,31304
2002-07-31,15.95,16.5,15.6,15.9,11.79,27554
2002-08-01,16.5,16.5,16.0,16.1,11.94,23971
2002-08-02,16.0,16.2,15.9,16.0,11.87,33639
2002-08-05,16.2,16.45,16.15,16.4,12.16,41042
2002-08-06,16.6,16.6,16.25,16.35,12.12,8592
2002-08-07,16.75,16.75,16.4,16.45,12.2,24862
2002-08-08,16.45,16.65,16.05,16.1,11.94,24957
2002-08-09,16.2,16.2,15.85,15.95,11.83,8215
2002-08-12,15.8,16.3,15.8,16.15,11.98,16159
2002-08-13,15.8,16.1,15.6,16.0,11.87,7450
2002-08-14,16.05,16.25,16.0,16.2,12.01,15137
2002-08-15,16.2,16.2,16.2,16.2,12.01,0
2002-08-16,16.15,16.45,16.15,16.3,12.09,15068
2002-08-19,16.25,16.4,16.2,16.3,12.09,6417
2002-08-20,16.4,16.5,16.0,16.25,12.05,43801
2002-08-21,16.3,16.75,16.1,16.15,11.98,25113
2002-08-22,16.65,16.65,15.85,15.95,11.83,20192
2002-08-23,16.0,16.2,15.55,16.0,11.87,47754
2002-08-26,16.0,16.3,16.0,16.1,11.94,10811
2002-08-27,16.25,16.25,15.9,15.9,11.79,23259
2002-08-28,16.25,16.8,16.1,16.15,11.98,19546
2002-08-29,16.35,16.35,16.0,16.05,11.9,17870
2002-08-30,15.95,16.0,15.85,15.9,11.79,27692
2002-09-02,16.0,16.25,15.95,16.05,11.9,19826
2002-09-03,16.0,16.15,16.0,16.05,11.9,10655
2002-09-04,16.0,16.05,15.9,15.95,11.83,11565
2002-09-05,16.0,16.15,16.0,16.05,11.9,12808
2002-09-06,16.1,16.15,15.9,16.0,11.87,16233
2002-09-09,16.0,16.2,16.0,16.1,11.94,24243
2002-09-10,16.1,16.1,16.1,16.1,11.94,0
2002-09-11,16.1,16.4,16.1,16.35,12.12,22785
2002-09-12,19.6,19.6,16.6,17.95,13.31,102613
2002-09-13,17.8,18.1,17.5,17.6,13.05,42666
2002-09-16,17.5,17.8,17.35,17.55,13.01,37459
2002-09-17,17.65,17.8,17.5,17.65,13.09,32100
2002-09-18,16.7,17.0,16.25,16.45,13.25,57165
2002-09-19,16.3,16.4,15.7,15.8,12.73,30765
