Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,0.79,0.8,0.79,0.8,0.55,204800
1996-01-02,0.79,0.8,0.79,0.79,0.55,204800
1996-01-03,0.8,0.8,0.8,0.8,0.55,102400
1996-01-04,0.79,0.79,0.79,0.79,0.55,307200
1996-01-05,0.78,0.78,0.78,0.78,0.54,51200
1996-01-08,0.78,0.79,0.79,0.79,0.54,358400
1996-01-09,0.79,0.78,0.77,0.78,0.54,870400
1996-01-10,0.78,0.78,0.77,0.77,0.53,358400
1996-01-11,0.78,0.79,0.77,0.79,0.55,819200
1996-01-12,0.79,0.79,0.78,0.79,0.54,358400
1996-01-15,0.78,0.79,0.78,0.78,0.54,307200
1996-01-16,0.78,0.78,0.71,0.78,0.54,358400
1996-01-17,0.78,0.78,0.77,0.77,0.53,768000
1996-01-18,0.77,0.78,0.77,0.78,0.54,204800
1996-01-19,0.77,0.77,0.77,0.77,0.53,512000
1996-01-22,0.77,0.78,0.77,0.78,0.54,204800
1996-01-23,0.77,0.78,0.77,0.77,0.53,665600
1996-01-24,0.77,0.77,0.75,0.77,0.53,409600
1996-01-25,0.77,0.77,0.77,0.77,0.53,102400
1996-01-26,0.77,0.77,0.77,0.77,0.53,0
1996-01-29,0.77,0.77,0.76,0.76,0.53,102400
1996-01-30,0.76,0.78,0.77,0.77,0.53,1433600
1996-01-31,0.77,0.78,0.77,0.78,0.54,460800
1996-02-01,0.78,0.81,0.78,0.81,0.56,819200
1996-02-02,0.81,0.84,0.81,0.84,0.58,2355200
1996-02-05,0.84,0.84,0.82,0.84,0.58,819200
1996-02-06,0.84,0.88,0.84,0.86,0.59,1382400
1996-02-07,0.86,0.84,0.83,0.84,0.58,972800
1996-02-08,0.85,0.89,0.85,0.89,0.61,768000
1996-02-09,0.89,0.93,0.83,0.92,0.64,1382400
1996-02-12,0.92,0.94,0.91,0.91,0.63,819200
1996-02-13,0.94,0.96,0.94,0.96,0.66,2048000
1996-02-14,0.96,1.0,0.95,0.99,0.69,972800
1996-02-15,0.99,1.01,0.96,1.0,0.69,2201600
1996-02-16,1.0,1.02,0.97,1.01,0.69,2764800
1996-02-19,1.01,0.99,0.98,0.98,0.68,1024000
1996-02-20,0.98,0.98,0.97,0.97,0.67,614400
1996-02-21,0.97,0.97,0.97,0.97,0.67,0
1996-02-22,0.97,0.97,0.96,0.96,0.66,307200
1996-02-23,0.96,0.97,0.96,0.97,0.67,153600
1996-02-26,0.97,0.98,0.97,0.98,0.67,204800
1996-02-27,0.98,0.95,0.93,0.93,0.64,153600
1996-02-28,0.93,0.93,0.93,0.93,0.64,51200
1996-02-29,0.93,0.92,0.91,0.92,0.63,460800
1996-03-01,0.92,0.93,0.9,0.92,0.64,512000
1996-03-04,0.93,0.94,0.93,0.94,0.65,153600
1996-03-05,0.94,0.94,0.94,0.94,0.65,0
1996-03-06,0.95,0.95,0.91,0.91,0.63,204800
1996-03-07,0.91,0.94,0.92,0.94,0.65,307200
1996-03-08,0.94,0.95,0.93,0.95,0.65,256000
1996-03-11,0.95,0.94,0.93,0.94,0.65,153600
1996-03-12,0.94,0.94,0.92,0.94,0.65,409600
1996-03-13,0.94,0.93,0.92,0.92,0.63,870400
1996-03-14,0.92,0.94,0.94,0.94,0.65,307200
1996-03-15,0.94,0.93,0.93,0.93,0.64,153600
1996-03-18,0.93,0.94,0.93,0.93,0.64,1228800
1996-03-19,0.93,0.94,0.93,0.94,0.65,256000
1996-03-20,0.94,0.94,0.94,0.94,0.65,0
1996-03-21,0.94,0.94,0.93,0.93,0.64,256000
1996-03-22,0.93,0.95,0.94,0.95,0.65,768000
1996-03-25,0.95,0.94,0.92,0.94,0.65,409600
1996-03-26,0.94,0.93,0.92,0.92,0.64,204800
1996-03-27,0.92,0.94,0.93,0.93,0.64,716800
1996-03-28,0.93,0.95,0.95,0.95,0.65,307200
1996-03-29,0.95,0.98,0.96,0.98,0.68,716800
1996-04-01,0.98,0.98,0.98,0.98,0.68,0
1996-04-02,0.98,0.99,0.97,0.99,0.68,614400
1996-04-03,0.99,0.99,0.98,0.98,0.67,512000
1996-04-04,0.98,0.98,0.98,0.98,0.67,51200
1996-04-05,0.98,0.98,0.98,0.98,0.67,0
1996-04-08,0.98,0.98,0.98,0.98,0.68,256000
1996-04-09,0.98,1.04,0.99,1.03,0.71,2099200
1996-04-10,1.03,1.14,1.08,1.09,0.75,4505600
1996-04-11,1.09,1.09,1.06,1.08,0.74,1536000
1996-04-12,1.08,1.09,1.07,1.09,0.75,1587200
1996-04-15,1.09,1.17,1.09,1.16,0.8,3174400
1996-04-16,1.16,1.22,1.15,1.21,0.83,2918400
1996-04-17,1.21,1.28,1.21,1.27,0.87,4249600
1996-04-18,1.27,1.32,1.23,1.25,0.86,3532800
1996-04-19,1.25,1.27,1.24,1.24,0.86,1587200
1996-04-22,1.24,1.24,1.21,1.21,0.84,1689600
1996-04-23,1.21,1.22,1.2,1.22,0.84,3276800
1996-04-24,1.22,1.27,1.23,1.24,0.86,1280000
1996-04-25,1.24,1.26,1.24,1.24,0.86,1484800
1996-04-26,1.24,1.26,1.22,1.24,0.85,1382400
1996-04-29,1.24,1.23,1.22,1.23,0.85,460800
1996-04-30,1.23,1.24,1.22,1.23,0.85,1075200
1996-05-01,1.23,1.24,1.23,1.23,0.85,358400
1996-05-02,1.23,1.29,1.24,1.25,0.87,1280000
1996-05-03,1.25,1.27,1.24,1.25,0.87,1638400
1996-05-06,1.25,1.27,1.25,1.26,0.88,2150400
1996-05-07,1.26,1.27,1.25,1.27,0.88,1536000
1996-05-08,1.27,1.3,1.26,1.29,0.89,1638400
1996-05-09,1.29,1.38,1.26,1.32,0.92,4864000
1996-05-10,1.32,1.35,1.28,1.34,0.93,3328000
1996-05-13,1.34,1.36,1.33,1.34,0.93,1587200
1996-05-14,1.34,1.35,1.32,1.34,0.93,1536000
1996-05-15,1.34,1.35,1.3,1.32,0.91,1894400
1996-05-16,1.32,1.35,1.33,1.33,0.92,972800
1996-05-17,1.33,1.35,1.29,1.31,0.91,1177600
1996-05-20,1.31,1.31,1.29,1.29,0.9,870400
1996-05-21,1.29,1.31,1.29,1.3,0.9,2355200
1996-05-22,1.3,1.31,1.3,1.3,0.9,1024000
1996-05-23,1.3,1.29,1.28,1.29,0.89,460800
1996-05-24,1.29,1.29,1.27,1.29,0.9,819200
1996-05-27,1.29,1.28,1.27,1.27,0.88,614400
1996-05-28,1.27,1.28,1.25,1.28,0.89,921600
1996-05-29,1.28,1.29,1.28,1.29,0.9,512000
1996-05-30,1.29,1.28,1.26,1.27,0.88,563200
1996-05-31,1.27,1.27,1.26,1.26,0.88,409600
1996-06-03,1.26,1.3,1.29,1.3,0.9,819200
1996-06-04,1.3,1.31,1.3,1.31,0.91,460800
1996-06-05,1.31,1.32,1.3,1.31,0.91,460800
1996-06-06,1.32,1.33,1.32,1.33,0.92,512000
1996-06-07,1.33,1.35,1.33,1.35,0.94,1331200
1996-06-10,1.39,1.39,1.37,1.38,0.95,819200
