Date,Open,High,Low,Close,Adj Close,Volume
2021-05-05,596.25,618.0,567.55,572.95,572.95,246983
2021-05-06,572.75,572.75,555.85,560.6,560.6,54294
2021-05-07,567.0,573.05,546.95,551.05,551.05,67647
2021-05-10,553.0,598.85,553.0,584.8,584.8,405407
2021-05-11,576.0,599.85,568.05,571.7,571.7,166749
2021-05-12,570.0,576.6,553.9,556.15,556.15,84596
2021-05-14,558.0,562.25,538.8,540.15,540.15,93025
2021-05-17,536.5,553.15,536.5,548.0,548.0,53559
2021-05-18,551.1,554.0,536.3,542.2,542.2,51187
2021-05-19,542.2,575.8,540.6,558.4,558.4,167274
2021-05-20,561.75,563.9,538.0,543.55,543.55,80640
2021-05-21,543.55,548.9,534.0,536.35,536.35,51430
2021-05-24,539.55,543.05,524.15,528.85,528.85,75409
2021-05-25,530.0,540.0,524.8,526.85,526.85,38393
2021-05-26,530.9,553.0,528.0,536.75,536.75,338267
2021-05-27,544.5,579.0,540.05,568.25,568.25,362319
2021-05-28,569.9,577.9,565.0,570.35,570.35,116002
2021-05-31,570.35,586.0,553.25,565.85,565.85,118936
2021-06-01,568.0,576.9,552.0,556.05,556.05,64412
2021-06-02,555.5,573.95,555.45,571.55,571.55,62072
2021-06-03,583.0,615.0,583.0,591.4,591.4,393566
2021-06-04,592.0,594.9,575.65,579.95,579.95,137734
2021-06-07,590.0,609.9,588.95,605.1,605.1,146143
2021-06-08,608.65,644.95,606.1,640.2,640.2,355844
2021-06-09,647.7,654.0,595.75,614.9,614.9,155148
2021-06-10,620.55,627.9,611.75,620.85,620.85,86342
2021-06-11,624.2,626.7,604.5,607.75,607.75,52520
2021-06-14,613.75,642.9,587.0,618.15,618.15,104060
2021-06-15,620.0,628.0,605.8,613.45,613.45,65619
2021-06-16,616.0,618.0,589.0,598.3,598.3,88785
2021-06-17,607.0,628.0,595.0,598.05,598.05,152211
2021-06-18,603.65,624.65,582.25,618.15,618.15,145828
2021-06-21,604.0,627.0,595.85,623.3,623.3,70199
2021-06-22,629.45,632.75,608.85,613.8,613.8,78713
2021-06-23,623.9,626.4,612.05,614.9,614.9,44445
2021-06-24,615.5,629.0,613.5,622.6,622.6,67738
2021-06-25,627.9,635.0,607.05,615.6,615.6,99438
2021-06-28,623.5,738.7,623.5,714.4,714.4,1637496
2021-06-29,735.0,777.0,693.0,704.6,704.6,1451347
2021-06-30,714.0,825.0,712.3,767.5,767.5,1749754
2021-07-01,784.0,801.9,743.75,775.2,775.2,612668
2021-07-02,782.9,816.0,754.15,801.65,801.65,589794
2021-07-05,845.5,878.35,840.0,854.75,854.75,929617
2021-07-06,863.0,863.0,827.25,831.35,831.35,243076
2021-07-07,822.0,872.4,804.35,846.55,846.55,693804
2021-07-08,854.25,865.35,812.85,823.5,823.5,398907
2021-07-09,829.7,834.0,809.75,812.2,812.2,220304
