Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,8.2,8.35,8.18,8.29,5.78,319840
2002-08-13,8.5,8.96,8.35,8.62,6.01,1255090
2002-08-14,8.64,8.84,8.55,8.57,5.98,555980
2002-08-15,8.57,8.57,8.57,8.57,5.98,0
2002-08-16,8.68,8.73,8.58,8.6,5.99,229830
2002-08-19,8.68,8.85,8.61,8.78,6.12,589210
2002-08-20,8.85,8.9,8.7,8.78,6.12,354950
2002-08-21,8.8,9.03,8.71,8.95,6.24,761470
2002-08-22,9.0,9.3,8.87,9.06,6.32,564820
2002-08-23,9.15,9.48,9.12,9.16,6.39,906280
2002-08-26,9.14,9.39,9.12,9.23,6.44,321580
2002-08-27,9.2,9.21,7.77,9.02,6.28,293600
2002-08-28,8.98,9.1,8.91,8.97,6.25,178810
2002-08-29,9.02,9.02,8.85,8.89,6.2,137690
2002-08-30,8.94,9.14,8.89,9.06,6.31,302290
2002-09-02,9.19,9.2,8.81,8.85,6.17,236300
2002-09-03,8.89,8.95,8.7,8.76,6.11,341120
2002-09-04,8.7,8.84,8.6,8.74,6.09,229340
2002-09-05,8.8,8.87,8.8,8.82,6.15,166570
2002-09-06,8.8,8.81,8.7,8.7,6.07,140840
2002-09-09,8.79,8.79,8.57,8.59,5.98,223140
2002-09-10,8.59,8.59,8.59,8.59,5.98,0
2002-09-11,8.69,8.85,8.63,8.78,6.12,201520
2002-09-12,8.86,8.89,8.8,8.85,6.17,291800
2002-09-13,8.82,9.02,8.81,8.9,6.2,1867470
2002-09-16,9.4,9.4,8.65,8.7,6.06,179600
2002-09-17,8.8,8.92,8.68,8.89,6.19,328600
2002-09-18,8.73,8.9,8.72,8.77,6.11,70870
2002-09-19,8.73,8.8,8.6,8.69,6.06,148560
2002-09-20,8.6,8.73,8.53,8.65,6.03,137080
2002-09-23,8.51,8.88,8.46,8.73,6.08,99960
2002-09-24,8.66,8.7,8.61,8.67,6.04,102630
2002-09-25,8.51,8.74,8.45,8.73,6.08,82320
2002-09-26,8.72,8.8,8.72,8.77,6.11,69350
2002-09-27,8.77,9.45,8.76,9.07,6.32,1170480
2002-09-30,9.3,9.3,8.92,9.07,6.33,705580
2002-10-01,9.1,9.1,8.85,9.02,6.29,389900
2002-10-02,9.02,9.02,9.02,9.02,6.29,0
2002-10-03,9.02,9.2,8.97,9.14,6.37,246360
2002-10-04,9.18,9.23,9.0,9.04,6.3,322580
2002-10-07,9.4,9.4,9.01,9.12,6.36,412770
2002-10-08,9.3,9.35,9.14,9.15,6.38,444940
2002-10-09,9.12,9.23,8.8,8.91,6.21,316440
2002-10-10,8.8,8.94,8.77,8.8,6.13,189550
2002-10-11,8.81,8.85,8.52,8.58,5.98,466450
2002-10-14,8.55,8.6,8.36,8.43,5.87,531710
2002-10-15,8.43,8.43,8.43,8.43,5.87,0
2002-10-16,8.5,8.52,8.4,8.42,5.87,151690
2002-10-17,8.4,8.4,8.2,8.22,5.73,320140
2002-10-18,8.49,8.49,8.2,8.32,5.8,187530
2002-10-21,8.35,8.41,8.15,8.23,5.74,182820
2002-10-22,8.38,8.39,8.18,8.24,5.75,172460
2002-10-23,8.27,8.27,8.16,8.19,5.71,111700
2002-10-24,8.2,8.2,8.03,8.11,5.65,197860
2002-10-25,8.03,8.15,8.01,8.06,5.62,180030
2002-10-28,8.6,8.6,7.86,7.99,5.57,406080
2002-10-29,8.07,8.19,8.02,8.15,5.68,184960
2002-10-30,8.25,8.28,8.13,8.2,5.72,143980
2002-10-31,8.25,8.36,8.2,8.33,5.81,112650
2002-11-01,8.3,8.36,8.25,8.26,5.75,149650
2002-11-04,8.32,8.37,8.25,8.32,5.8,48940
2002-11-05,8.35,8.38,8.27,8.34,5.81,71050
2002-11-06,8.34,8.34,8.34,8.34,5.81,0
2002-11-07,8.4,8.4,8.2,8.22,5.73,172660
2002-11-08,8.28,8.28,8.07,8.14,5.67,263760
2002-11-11,8.2,8.3,8.15,8.2,5.72,151150
2002-11-12,8.19,8.21,8.09,8.2,5.72,167940
2002-11-13,8.02,8.22,8.02,8.15,5.68,150530
2002-11-14,8.15,8.2,8.0,8.03,5.6,168680
2002-11-15,8.1,8.1,8.01,8.05,5.61,169080
2002-11-18,8.12,8.15,8.0,8.07,5.63,297020
2002-11-19,8.07,8.07,8.07,8.07,5.63,0
2002-11-20,8.1,8.19,8.05,8.1,5.65,470200
2002-11-21,8.1,8.2,8.1,8.13,5.67,256540
2002-11-22,8.19,8.39,8.18,8.27,5.76,1005400
2002-11-25,8.2,8.4,8.1,8.16,5.69,497260
2002-11-26,8.29,8.32,8.22,8.27,5.77,359390
2002-11-27,8.27,8.38,8.2,8.23,5.73,574470
2002-11-28,8.35,8.37,8.26,8.3,5.79,215200
2002-11-29,8.3,8.3,8.3,8.3,5.79,0
2002-12-02,8.44,8.85,8.4,8.81,6.14,1145120
2002-12-03,8.98,9.09,8.75,8.85,6.17,936410
2002-12-04,8.83,8.83,8.61,8.63,6.02,237530
2002-12-05,8.59,8.75,8.59,8.65,6.03,267860
2002-12-06,8.61,8.99,8.61,8.94,6.23,668550
2002-12-09,9.1,9.24,8.8,8.89,6.2,958880
2002-12-10,8.99,9.05,8.85,9.01,6.28,504700
2002-12-11,9.1,9.23,8.95,9.02,6.29,1047370
2002-12-12,9.19,9.85,9.09,9.77,6.81,3015330
2002-12-13,9.86,10.3,9.85,10.23,7.13,2449680
2002-12-16,10.27,10.64,10.12,10.23,7.13,2145970
2002-12-17,10.2,10.57,9.73,10.36,7.22,1860100
2002-12-18,10.5,10.7,10.32,10.41,7.26,1507560
2002-12-19,10.4,10.49,10.0,10.13,7.06,878730
2002-12-20,10.01,10.27,10.0,10.02,6.99,470970
2002-12-23,10.0,10.04,9.81,9.86,6.87,576410
2002-12-24,9.91,10.18,9.91,10.01,6.97,456670
2002-12-25,10.01,10.01,10.01,10.01,6.97,0
2002-12-26,10.19,10.19,9.9,9.97,6.95,404430
2002-12-27,10.06,10.06,9.88,9.92,6.91,303910
2002-12-30,10.1,10.1,9.71,9.81,6.83,437740
2002-12-31,9.94,9.94,9.69,9.73,6.79,433120
2003-01-01,9.88,9.88,9.62,9.69,6.75,192670
2003-01-02,9.82,10.25,9.77,10.1,7.04,1447280
2003-01-03,10.2,10.3,10.15,10.2,7.11,1040800
2003-01-06,10.2,10.3,10.16,10.24,7.14,563250
2003-01-07,10.28,10.89,10.2,10.43,7.27,1683710
2003-01-08,10.58,10.58,10.41,10.48,7.3,601250
2003-01-09,10.5,10.77,10.41,10.7,7.46,1402210
2003-01-10,10.85,11.58,10.61,11.41,7.96,6041360
2003-01-13,11.5,11.8,11.3,11.52,8.03,2896900
2003-01-14,11.77,11.94,11.5,11.53,8.04,3184950
2003-01-15,11.6,12.27,11.56,12.1,8.43,4542090
2003-01-16,12.15,12.73,12.15,12.45,8.68,3682130
2003-01-17,12.52,12.58,12.0,12.18,8.49,1753260
2003-01-20,12.2,12.3,11.91,12.09,8.42,1752510
2003-01-21,12.1,12.78,12.1,12.57,8.76,5703800
2003-01-22,12.75,13.47,12.51,13.19,9.19,6233350
2003-01-23,13.3,13.3,12.75,13.01,9.07,3431160
2003-01-24,13.2,13.28,12.27,12.56,8.75,2399500
2003-01-27,13.0,13.0,11.5,11.94,8.33,1298510
2003-01-28,12.02,12.38,11.6,12.15,8.47,2947780
2003-01-29,12.66,12.7,12.21,12.26,8.55,1480530
2003-01-30,12.3,12.48,11.9,11.94,8.32,981390
2003-01-31,11.82,12.07,11.7,11.91,8.31,1131930
2003-02-03,12.1,12.68,12.05,12.58,8.77,1752940
2003-02-04,12.73,13.24,12.61,12.69,8.85,2582190
2003-02-05,12.6,12.81,12.38,12.52,8.73,1066930
2003-02-06,12.68,12.83,12.1,12.77,8.9,1173710
2003-02-07,12.77,13.45,12.7,13.27,9.25,4779360
2003-02-10,13.18,13.4,12.32,12.45,8.68,2082800
2003-02-11,12.45,12.57,12.1,12.15,8.47,1512470
2003-02-12,12.16,12.39,11.9,12.02,8.38,1503930
2003-02-13,12.02,12.02,12.02,12.02,8.38,0
2003-02-14,11.9,11.99,11.78,11.81,8.23,1251320
2003-02-17,12.1,12.28,11.9,12.14,8.46,1367860
2003-02-18,12.44,12.44,12.05,12.1,8.43,1152270
2003-02-19,12.29,12.93,12.23,12.79,8.92,2858490
2003-02-20,13.01,13.14,11.8,12.52,8.72,3806640
2003-02-21,12.86,13.06,12.51,12.59,8.77,2029420
2003-02-24,12.79,13.05,12.71,12.81,8.93,2901060
2003-02-25,12.81,12.81,12.25,12.32,8.59,1056280
2003-02-26,12.4,12.56,12.08,12.1,8.44,1467280
2003-02-27,12.1,12.4,12.02,12.35,8.6,897760
2003-02-28,12.45,12.52,12.05,12.15,8.47,2122980
2003-03-03,12.29,12.62,12.29,12.4,8.64,1192520
2003-03-04,12.4,12.4,12.13,12.15,8.47,621800
2003-03-05,12.2,12.2,11.8,11.94,8.32,837090
2003-03-06,12.0,12.05,11.69,11.77,8.21,1751860
2003-03-07,11.62,11.8,11.49,11.54,8.04,866190
2003-03-10,11.6,11.6,11.31,11.44,7.97,678280
2003-03-11,11.31,11.56,11.18,11.47,7.99,1016880
2003-03-12,11.57,11.71,11.4,11.48,8.01,465380
2003-03-13,11.63,11.63,11.28,11.38,7.93,535120
2003-03-14,11.38,11.38,11.38,11.38,7.93,0
2003-03-17,11.6,11.68,10.5,11.27,7.86,418850
2003-03-18,11.27,11.27,11.27,11.27,7.86,0
2003-03-19,11.66,11.66,11.24,11.33,7.9,399490
2003-03-20,11.35,11.52,11.26,11.48,8.0,474640
2003-03-21,11.48,11.48,11.48,11.48,8.0,0
2003-03-24,11.7,11.7,11.27,11.31,7.89,665760
2003-03-25,11.24,11.46,11.11,11.4,7.95,434630
2003-03-26,11.5,11.6,11.27,11.35,7.91,307440
2003-03-27,11.5,11.5,11.27,11.38,7.93,140320
2003-03-28,11.44,11.68,11.31,11.61,8.1,625630
2003-03-31,11.65,11.65,11.35,11.39,7.94,353070
2003-04-01,11.42,11.8,11.31,11.72,8.17,518530
2003-04-02,11.75,12.55,11.73,12.38,8.63,1224830
2003-04-03,12.59,12.75,12.5,12.68,8.83,936470
2003-04-04,12.77,12.95,12.65,12.85,8.95,919140
2003-04-07,13.1,13.15,12.5,12.59,8.78,1538060
2003-04-08,12.59,13.13,12.5,12.9,8.99,1603250
2003-04-09,12.94,13.1,12.6,12.68,8.83,1117990
2003-04-10,12.51,12.8,12.45,12.51,8.72,663720
2003-04-11,12.3,12.74,12.3,12.57,8.77,271960
2003-04-15,12.75,13.0,12.31,12.95,9.03,1298370
2003-04-16,13.1,13.3,12.9,13.23,9.23,1747840
2003-04-17,13.21,13.32,12.81,12.93,9.01,887100
2003-04-18,12.93,12.93,12.93,12.93,9.01,0
