Date,Open,High,Low,Close,Adj Close,Volume
2003-12-09,12.0,13.8,11.6,13.1,11.69,947481
2003-12-10,14.0,15.75,13.9,15.75,14.06,681500
2003-12-11,17.45,18.85,16.95,17.3,15.44,1119400
2003-12-12,17.0,17.25,14.95,16.15,14.41,916400
2003-12-15,16.9,19.4,16.15,19.3,17.23,1522200
2003-12-16,19.9,23.2,18.6,22.2,19.81,1842100
2003-12-17,23.0,26.65,23.0,26.65,23.79,2373200
2003-12-18,27.9,32.0,27.5,32.0,28.56,2237000
2003-12-19,34.4,38.4,30.5,32.05,28.6,2654100
2003-12-22,33.0,33.0,26.15,29.35,26.19,1632600
2003-12-23,30.2,33.65,30.2,30.9,27.58,1784600
2003-12-24,32.0,32.0,29.5,30.05,26.82,727800
2003-12-25,30.05,30.05,30.05,30.05,26.82,0
2003-12-26,30.4,30.4,25.0,28.75,25.66,802800
2003-12-29,28.7,29.4,26.75,27.35,24.41,778700
2003-12-30,27.95,28.4,25.05,25.4,22.67,692700
2003-12-31,24.0,29.5,24.0,28.05,25.03,1073100
2004-01-01,28.5,29.0,27.5,28.1,25.08,382000
2004-01-02,28.8,28.8,27.3,27.65,24.68,402200
2004-01-05,27.5,28.3,26.05,26.35,23.52,448500
2004-01-06,26.0,27.0,23.5,24.4,21.78,348600
2004-01-07,24.9,27.0,24.05,26.05,23.25,480300
2004-01-08,26.25,27.7,26.0,26.55,23.7,268100
2004-01-09,27.45,30.0,26.15,28.6,25.53,716700
2004-01-12,28.9,30.0,28.3,28.9,25.79,631700
2004-01-13,29.45,31.85,28.65,31.25,27.89,887900
2004-01-14,31.6,33.85,31.25,33.3,29.72,1553600
2004-01-15,33.4,33.5,31.05,31.3,27.94,349200
2004-01-16,31.75,31.9,28.55,29.0,25.88,287800
2004-01-19,28.5,30.5,26.0,28.75,25.66,326500
2004-01-20,29.5,30.4,26.55,26.95,24.05,429900
2004-01-21,26.75,28.0,23.5,24.3,21.69,428000
2004-01-22,24.0,25.9,20.25,21.0,18.74,352400
2004-01-23,19.9,25.2,19.5,23.8,21.24,393400
2004-01-26,23.8,23.8,23.8,23.8,21.24,0
2004-01-27,24.9,26.2,24.3,25.3,22.58,242800
2004-01-28,25.5,25.5,23.5,23.85,21.29,156100
2004-01-29,24.25,24.5,23.0,23.4,20.88,115500
2004-01-30,24.25,24.25,22.1,22.2,19.81,158900
2004-02-02,22.2,22.2,22.2,22.2,19.81,0
2004-02-03,21.5,23.75,20.25,21.5,19.19,197100
2004-02-04,20.75,25.8,20.75,24.8,22.13,250400
2004-02-05,25.0,25.95,23.75,24.0,21.42,205000
2004-02-06,24.5,25.0,23.4,24.05,21.46,110000
2004-02-09,24.1,25.5,24.05,25.2,22.49,111200
2004-02-10,26.5,26.5,24.0,24.45,21.82,116200
2004-02-11,24.5,24.85,24.0,24.1,21.51,65100
2004-02-12,24.5,24.7,24.0,24.15,21.55,76700
2004-02-13,24.0,25.7,23.8,24.9,22.22,252100
2004-02-16,24.75,25.2,24.25,24.45,21.82,155900
2004-02-17,26.4,26.4,24.65,24.95,22.27,255000
2004-02-18,24.6,25.0,24.4,24.5,21.87,53800
2004-02-19,24.5,24.6,23.6,23.8,21.24,67900
2004-02-20,23.9,23.95,22.4,23.15,20.66,101900
2004-02-23,23.35,23.75,22.25,22.85,20.39,64500
2004-02-24,22.55,24.0,22.25,23.65,21.11,71000
2004-02-25,23.75,23.75,22.4,22.75,20.3,55200
2004-02-26,23.0,23.55,21.75,21.95,19.59,55900
2004-02-27,22.4,22.8,21.1,22.05,19.68,32200
2004-03-01,22.9,22.9,21.0,21.85,19.5,75100
2004-03-02,21.85,21.85,21.85,21.85,19.5,0
2004-03-03,22.0,22.0,20.5,20.8,18.56,68800
2004-03-04,21.0,21.35,18.6,19.1,17.05,91200
2004-03-05,20.0,20.0,17.8,18.4,16.42,149200
2004-03-08,18.05,19.4,17.75,18.0,16.06,60700
2004-03-09,17.75,18.0,16.8,17.1,15.26,74900
2004-03-10,17.2,17.2,16.5,16.85,15.04,54500
2004-03-11,16.4,17.9,16.25,16.5,14.73,268700
2004-03-12,16.5,17.3,16.2,16.9,15.08,75200
2004-03-15,16.85,17.65,13.95,14.6,13.03,653600
2004-03-16,14.25,15.5,14.25,14.65,13.08,96900
2004-03-17,13.0,15.4,13.0,14.9,13.3,103200
2004-03-18,12.0,15.45,12.0,15.05,13.43,89500
2004-03-19,15.1,15.7,15.0,15.05,13.43,91600
2004-03-22,15.1,15.6,14.5,14.65,13.08,97500
2004-03-23,16.5,16.5,13.5,14.65,13.08,60000
2004-03-24,14.5,15.35,14.5,15.0,13.39,178100
2004-03-25,15.5,15.5,14.75,15.0,13.39,67500
2004-03-26,15.0,15.6,15.0,15.25,13.61,93600
2004-03-29,15.5,16.4,15.35,15.55,13.88,125800
2004-03-30,15.8,16.25,15.5,15.55,13.88,51100
2004-03-31,15.75,16.1,15.7,15.95,14.24,35000
2004-04-01,16.5,17.4,16.0,16.95,15.13,89300
2004-04-02,17.6,18.0,17.1,17.9,15.98,86700
2004-04-05,18.4,19.0,17.6,18.2,16.24,166100
2004-04-06,16.5,18.75,16.5,17.9,15.98,93100
2004-04-07,18.5,18.5,16.65,16.9,15.08,72000
2004-04-08,18.0,18.5,16.85,17.65,15.75,148300
2004-04-09,17.65,17.65,17.65,17.65,15.75,0
