Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,4.89,5.05,4.89,5.05,4.68,14640
2002-07-02,5.4,5.55,5.15,5.55,5.14,21120
2002-07-03,5.83,5.83,5.83,5.83,5.4,26600
2002-07-04,6.11,6.12,5.64,5.87,5.44,47920
2002-07-05,6.07,6.16,5.8,6.16,5.71,27560
2002-07-08,6.39,6.47,6.39,6.47,5.99,36280
2002-07-09,6.55,6.7,6.24,6.41,5.95,39880
2002-07-10,6.4,6.7,5.8,6.1,5.65,31300
2002-07-11,6.1,6.31,5.56,5.8,5.38,281520
2002-07-12,5.81,6.1,5.8,5.97,5.53,17160
2002-07-15,5.6,5.9,5.37,5.37,4.98,35200
2002-07-16,4.95,5.09,4.84,4.86,4.5,34080
2002-07-17,4.66,4.8,4.66,4.74,4.39,139120
2002-07-18,4.8,4.9,4.76,4.9,4.54,16580
2002-07-19,4.82,5.14,4.82,4.99,4.63,184960
2002-07-22,4.85,4.85,4.74,4.78,4.43,16860
2002-07-23,4.8,4.85,4.78,4.83,4.48,3720
2002-07-24,4.8,4.8,4.7,4.7,4.36,7120
2002-07-25,4.5,4.7,4.5,4.5,4.17,11120
2002-07-26,4.5,4.5,4.5,4.5,4.17,0
2002-07-29,4.4,4.4,4.3,4.3,3.99,1760
2002-07-30,4.21,4.23,4.09,4.09,3.79,22480
2002-07-31,4.0,4.0,3.9,3.9,3.61,2000
2002-08-01,3.86,3.86,3.7,3.71,3.44,14300
2002-08-02,3.69,3.75,3.53,3.54,3.28,3680
2002-08-05,3.7,3.72,3.7,3.72,3.45,6320
2002-08-06,3.85,3.91,3.75,3.76,3.48,16080
2002-08-07,3.91,3.95,3.91,3.95,3.66,9800
2002-08-08,3.79,4.14,3.78,3.83,3.55,15320
2002-08-09,3.82,4.0,3.7,3.92,3.64,10960
2002-08-12,4.07,4.07,3.62,3.96,3.67,3720
2002-08-13,3.72,3.72,3.72,3.72,3.45,500
2002-08-14,3.81,3.98,3.81,3.93,3.65,1800
2002-08-15,3.93,3.93,3.93,3.93,3.65,0
2002-08-16,3.93,3.93,3.93,3.93,3.65,0
2002-08-19,4.05,4.05,3.71,3.72,3.45,6200
2002-08-20,3.45,3.68,3.45,3.6,3.33,10780
2002-08-21,3.6,3.79,3.6,3.71,3.44,1900
2002-08-22,3.41,3.99,3.41,3.63,3.37,4520
2002-08-23,3.52,3.96,3.52,3.85,3.57,5520
2002-08-26,3.56,3.8,3.56,3.74,3.47,2160
2002-08-27,3.53,3.7,3.53,3.67,3.4,800
2002-08-28,3.56,3.87,3.56,3.87,3.59,2200
2002-08-29,3.51,3.7,3.51,3.53,3.27,9040
2002-08-30,3.51,3.54,3.18,3.37,3.12,39140
2002-09-02,3.41,3.52,3.4,3.42,3.17,10880
2002-09-03,3.4,3.55,3.4,3.55,3.29,600
2002-09-04,3.36,3.58,3.36,3.38,3.14,2100
2002-09-05,3.36,3.5,3.36,3.44,3.19,4520
2002-09-06,3.32,3.53,3.32,3.53,3.27,3840
2002-09-09,3.2,3.5,3.2,3.49,3.24,5160
2002-09-10,3.49,3.49,3.49,3.49,3.24,0
2002-09-11,3.58,3.58,3.37,3.56,3.3,1000
2002-09-12,3.58,3.58,3.3,3.36,3.11,6120
2002-09-13,3.6,3.6,3.5,3.54,3.28,13820
2002-09-16,3.74,3.74,3.51,3.52,3.26,2000
2002-09-17,3.72,3.72,3.42,3.67,3.41,2000
2002-09-18,3.47,3.65,3.47,3.57,3.3,1840
2002-09-19,3.38,3.41,3.38,3.4,3.16,700
2002-09-20,3.28,3.35,3.28,3.35,3.1,720
2002-09-23,3.3,3.65,3.3,3.58,3.31,1960
2002-09-24,3.68,3.72,3.6,3.7,3.43,5720
2002-09-25,3.53,3.53,3.45,3.45,3.2,400
2002-09-26,3.6,3.6,3.2,3.41,3.16,1000
2002-09-27,3.12,3.69,3.12,3.63,3.37,7680
2002-09-30,3.41,3.55,3.41,3.54,3.28,5800
2002-10-01,3.5,3.68,3.5,3.65,3.39,6640
2002-10-02,3.65,3.65,3.65,3.65,3.39,0
2002-10-03,3.52,3.52,3.51,3.51,3.25,380
2002-10-04,3.62,3.62,3.38,3.38,3.13,2160
2002-10-07,3.5,3.6,3.47,3.6,3.34,5440
2002-10-08,3.65,3.65,3.5,3.51,3.25,2800
2002-10-09,3.51,3.51,3.51,3.51,3.25,0
2002-10-10,3.51,3.51,3.51,3.51,3.25,0
2002-10-11,3.6,3.6,3.6,3.6,3.34,0
2002-10-14,3.47,3.47,3.47,3.47,3.22,500
2002-10-15,3.47,3.47,3.47,3.47,3.22,0
2002-10-16,3.47,3.48,3.47,3.48,3.23,720
2002-10-17,3.48,3.48,3.48,3.48,3.23,0
2002-10-18,3.48,3.48,3.42,3.42,3.17,2700
2002-10-21,3.1,3.33,3.1,3.33,3.08,960
2002-10-22,3.11,3.62,3.11,3.26,3.02,720
2002-10-23,3.35,3.35,3.3,3.3,3.06,1000
2002-10-24,3.33,3.58,3.23,3.44,3.19,3480
2002-10-25,3.3,3.31,3.3,3.31,3.06,1500
2002-10-28,3.31,3.31,3.31,3.31,3.06,0
2002-10-29,3.23,3.48,3.15,3.26,3.02,4320
2002-10-30,3.3,3.3,3.3,3.3,3.06,240
2002-10-31,3.4,3.5,3.4,3.42,3.17,7540
2002-11-01,3.24,3.34,3.24,3.33,3.09,3360
2002-11-04,3.33,3.33,3.33,3.33,3.09,0
2002-11-05,3.33,3.33,3.33,3.33,3.09,0
2002-11-06,3.33,3.33,3.33,3.33,3.09,0
2002-11-07,3.33,3.33,3.33,3.33,3.09,0
2002-11-08,3.01,3.66,3.01,3.28,3.04,1840
2002-11-11,3.35,3.42,3.31,3.4,3.16,3200
2002-11-12,3.32,3.48,3.32,3.48,3.23,540
2002-11-13,3.32,3.32,3.2,3.22,2.99,15500
2002-11-14,3.31,3.31,3.28,3.28,3.04,13160
2002-11-15,3.3,3.3,3.16,3.16,2.93,32940
2002-11-18,3.3,3.47,3.3,3.47,3.22,1000
2002-11-19,3.47,3.47,3.47,3.47,3.22,0
2002-11-20,3.4,3.4,3.26,3.33,3.08,8600
2002-11-21,3.21,3.38,3.21,3.35,3.1,2840
2002-11-22,3.3,3.3,3.27,3.3,3.05,7500
2002-11-25,3.2,3.6,3.2,3.38,3.14,5580
2002-11-26,3.63,3.63,3.28,3.28,3.04,1120
2002-11-27,3.05,3.39,3.05,3.36,3.11,17220
2002-11-28,3.25,3.43,3.25,3.32,3.08,4220
2002-11-29,3.17,3.51,3.17,3.39,3.14,8120
2002-12-02,3.4,3.6,3.39,3.6,3.34,11600
2002-12-03,3.51,3.51,3.51,3.51,3.25,2900
2002-12-04,3.15,3.5,3.15,3.5,3.24,1460
2002-12-05,3.5,3.58,3.4,3.45,3.2,7800
2002-12-06,3.58,3.58,3.52,3.52,3.26,1520
2002-12-09,3.4,3.5,3.35,3.45,3.2,3620
2002-12-10,3.49,3.5,3.45,3.47,3.22,5520
2002-12-11,3.42,3.5,3.4,3.43,3.18,8440
2002-12-12,3.45,3.54,3.45,3.5,3.24,7200
2002-12-13,3.5,3.55,3.47,3.47,3.22,11720
2002-12-16,3.5,3.5,3.4,3.49,3.24,4100
2002-12-17,3.22,3.45,3.22,3.45,3.2,800
2002-12-18,3.59,3.6,3.45,3.45,3.2,15800
2002-12-19,3.3,3.35,3.3,3.35,3.1,180
2002-12-20,3.3,3.55,3.3,3.55,3.29,3900
2002-12-23,3.54,3.64,3.54,3.62,3.35,2360
2002-12-24,3.64,3.65,3.42,3.51,3.25,3800
2002-12-25,3.51,3.51,3.51,3.51,3.25,0
2002-12-26,3.51,3.56,3.45,3.45,3.2,6080
2002-12-27,3.45,3.6,3.45,3.54,3.28,6000
2002-12-30,3.59,3.85,3.56,3.64,3.38,11400
2002-12-31,3.62,3.8,3.62,3.78,3.5,5480
2003-01-01,3.73,3.75,3.72,3.74,3.47,1740
2003-01-02,3.72,3.83,3.72,3.72,3.45,7260
2003-01-03,3.75,3.75,3.73,3.73,3.46,4840
2003-01-06,3.66,3.7,3.66,3.7,3.43,800
2003-01-07,3.55,3.85,3.55,3.8,3.52,1060
2003-01-08,3.8,3.8,3.6,3.6,3.34,2100
2003-01-09,3.79,3.79,3.62,3.62,3.36,10440
2003-01-10,3.65,3.72,3.65,3.68,3.41,1640
2003-01-13,3.68,4.0,3.68,3.82,3.54,6640
2003-01-14,3.52,3.86,3.52,3.62,3.36,4500
2003-01-15,3.85,3.9,3.62,3.69,3.42,2700
2003-01-16,3.67,3.67,3.67,3.67,3.4,1000
2003-01-17,3.65,3.65,3.62,3.63,3.37,6420
2003-01-20,3.7,3.7,3.67,3.68,3.41,10900
2003-01-21,3.68,3.79,3.68,3.7,3.43,7480
2003-01-22,3.55,3.8,3.55,3.71,3.44,4500
2003-01-23,3.64,3.7,3.64,3.7,3.43,540
2003-01-24,3.68,3.7,3.56,3.57,3.31,4200
2003-01-27,3.3,3.71,3.3,3.5,3.24,3520
2003-01-28,3.6,3.6,3.42,3.55,3.29,4000
2003-01-29,3.74,3.74,3.51,3.72,3.45,480
2003-01-30,3.6,3.6,3.45,3.5,3.24,6640
2003-01-31,3.46,3.47,3.46,3.47,3.22,200
2003-02-03,3.47,3.47,3.47,3.47,3.22,0
2003-02-04,3.4,3.55,3.4,3.55,3.29,1100
2003-02-05,3.46,3.46,3.46,3.46,3.21,1560
2003-02-06,3.33,3.55,3.33,3.35,3.1,11900
2003-02-07,3.41,3.68,3.41,3.64,3.37,12400
2003-02-10,3.84,3.84,3.58,3.62,3.35,7100
2003-02-11,3.55,3.6,3.5,3.52,3.26,1240
2003-02-12,3.4,3.41,3.4,3.41,3.16,760
2003-02-13,3.41,3.41,3.41,3.41,3.16,0
2003-02-14,3.4,3.4,3.27,3.3,3.06,1000
2003-02-17,3.4,3.4,2.99,3.33,3.08,5040
2003-02-18,3.48,3.5,3.37,3.37,3.12,3960
2003-02-19,3.49,3.5,3.49,3.5,3.24,760
2003-02-20,3.26,3.4,3.25,3.4,3.16,720
2003-02-21,3.4,3.44,3.4,3.43,3.18,3760
2003-02-24,3.47,3.47,3.47,3.47,3.22,360
2003-02-25,3.51,3.82,3.51,3.73,3.46,13960
2003-02-26,3.62,3.79,3.62,3.77,3.49,2640
2003-02-27,3.48,3.7,3.48,3.7,3.43,2800
2003-02-28,3.8,3.8,3.52,3.53,3.27,1400
2003-03-03,3.55,3.6,3.53,3.58,3.31,3040
2003-03-04,3.6,3.6,3.45,3.45,3.2,840
2003-03-05,3.4,3.4,3.35,3.4,3.15,3000
2003-03-06,3.39,3.39,3.39,3.39,3.14,1500
2003-03-07,3.4,3.4,3.31,3.32,3.08,3120
2003-03-10,3.32,3.32,3.32,3.32,3.08,0
2003-03-11,3.26,3.3,3.04,3.12,2.89,11500
2003-03-12,3.35,3.35,3.15,3.16,2.93,4520
2003-03-13,2.91,3.24,2.91,3.19,2.96,4680
2003-03-14,3.19,3.19,3.19,3.19,2.96,0
2003-03-17,3.19,3.19,3.19,3.19,2.96,0
2003-03-18,3.19,3.19,3.19,3.19,2.96,0
2003-03-19,3.19,3.19,3.19,3.19,2.96,0
2003-03-20,3.19,3.19,3.19,3.19,2.96,0
2003-03-21,3.19,3.19,3.19,3.19,2.96,0
2003-03-24,3.19,3.19,3.19,3.19,2.96,0
2003-03-25,3.19,3.19,3.19,3.19,2.96,0
2003-03-26,3.19,3.19,3.19,3.19,2.96,0
2003-03-27,3.19,3.19,3.19,3.19,2.96,0
2003-03-28,3.19,3.19,3.19,3.19,2.96,0
2003-03-31,3.19,3.19,3.19,3.19,2.96,0
2003-04-01,3.19,3.19,3.19,3.19,2.96,0
2003-04-02,3.19,3.19,3.19,3.19,2.96,0
2003-04-03,3.19,3.19,3.19,3.19,2.96,0
2003-04-04,3.19,3.19,3.19,3.19,2.96,0
2003-04-07,3.19,3.19,3.19,3.19,2.96,0
2003-04-08,3.19,3.19,3.19,3.19,2.96,0
2003-04-09,3.19,3.19,3.19,3.19,2.96,0
2003-04-10,3.19,3.19,3.19,3.19,2.96,0
2003-04-11,3.19,3.19,3.19,3.19,2.96,0
2003-04-14,3.19,3.19,3.19,3.19,2.96,0
2003-04-15,3.19,3.19,3.19,3.19,2.96,0
2003-04-16,3.19,3.19,3.19,3.19,2.96,0
2003-04-17,3.19,3.19,3.19,3.19,2.96,0
2003-04-18,3.19,3.19,3.19,3.19,2.96,0
2003-04-21,3.19,3.19,3.19,3.19,2.96,0
2003-04-22,3.19,3.19,3.19,3.19,2.96,0
2003-04-23,3.19,3.19,3.19,3.19,2.96,0
2003-04-24,3.19,3.19,3.19,3.19,2.96,0
2003-04-25,3.19,3.19,3.19,3.19,2.96,0
2003-04-28,3.19,3.19,3.19,3.19,2.96,0
2003-04-29,3.19,3.19,3.19,3.19,2.96,0
2003-04-30,3.19,3.19,3.19,3.19,2.96,0
2003-05-01,3.19,3.19,3.19,3.19,2.96,0
2003-05-02,3.19,3.19,3.19,3.19,2.96,0
2003-05-05,3.19,3.19,3.19,3.19,2.96,0
2003-05-06,3.19,3.19,3.19,3.19,2.96,0
2003-05-07,3.19,3.19,3.19,3.19,2.96,0
2003-05-08,3.19,3.19,3.19,3.19,2.96,0
2003-05-09,3.19,3.19,3.19,3.19,2.96,0
2003-05-12,3.19,3.19,3.19,3.19,2.96,0
2003-05-13,3.19,3.19,3.19,3.19,2.96,0
2003-05-14,3.19,3.19,3.19,3.19,2.96,0
2003-05-15,3.19,3.19,3.19,3.19,2.96,0
2003-05-16,3.19,3.19,3.19,3.19,2.96,0
2003-05-19,3.19,3.19,3.19,3.19,2.96,0
2003-05-20,3.19,3.19,3.19,3.19,2.96,0
2003-05-21,3.19,3.19,3.19,3.19,2.96,0
2003-05-22,3.19,3.19,3.19,3.19,2.96,0
2003-05-23,3.19,3.19,3.19,3.19,2.96,0
2003-05-26,3.19,3.19,3.19,3.19,2.96,0
2003-05-27,3.19,3.19,3.19,3.19,2.96,0
2003-05-28,3.19,3.19,3.19,3.19,2.96,0
2003-05-29,3.19,3.19,3.19,3.19,2.96,0
2003-05-30,3.19,3.19,3.19,3.19,2.96,0
2003-06-02,3.19,3.19,3.19,3.19,2.96,0
2003-06-03,3.19,3.19,3.19,3.19,2.96,0
2003-06-04,3.19,3.19,3.19,3.19,2.96,0
2003-06-05,3.19,3.19,3.19,3.19,2.96,0
2003-06-06,3.19,3.19,3.19,3.19,2.96,0
2003-06-09,3.19,3.19,3.19,3.19,2.96,0
2003-06-10,3.19,3.19,3.19,3.19,2.96,0
2003-06-11,3.19,3.19,3.19,3.19,2.96,0
2003-06-12,3.19,3.19,3.19,3.19,2.96,0
2003-06-13,3.19,3.19,3.19,3.19,2.96,0
2003-06-16,3.19,3.19,3.19,3.19,2.96,0
2003-06-17,3.19,3.19,3.19,3.19,2.96,0
2003-06-18,3.19,3.19,3.19,3.19,2.96,0
2003-06-19,3.19,3.19,3.19,3.19,2.96,0
2003-06-20,3.19,3.19,3.19,3.19,2.96,0
2003-06-23,3.19,3.19,3.19,3.19,2.96,0
2003-06-24,3.19,3.19,3.19,3.19,2.96,0
2003-06-25,3.19,3.19,3.19,3.19,2.96,0
2003-06-26,3.19,3.19,3.19,3.19,2.96,0
2003-06-27,3.19,3.19,3.19,3.19,2.96,0
2003-06-30,3.19,3.19,3.19,3.19,2.96,0
2003-07-01,3.19,3.19,3.19,3.19,2.96,0
2003-07-02,3.19,3.19,3.19,3.19,2.96,0
2003-07-03,3.19,3.19,3.19,3.19,2.96,0
2003-07-04,3.19,3.19,3.19,3.19,2.96,0
2003-07-07,3.19,3.19,3.19,3.19,2.96,0
2003-07-08,3.19,3.19,3.19,3.19,2.96,0
2003-07-09,3.19,3.19,3.19,3.19,2.96,0
2003-07-10,3.19,3.19,3.19,3.19,2.96,0
2003-07-11,3.19,3.19,3.19,3.19,2.96,0
2003-07-14,3.19,3.19,3.19,3.19,2.96,0
2003-07-15,3.19,3.19,3.19,3.19,2.96,0
2003-07-16,3.19,3.19,3.19,3.19,2.96,0
2003-07-17,3.19,3.19,3.19,3.19,2.96,0
2003-07-18,3.19,3.19,3.19,3.19,2.96,0
2003-07-21,3.19,3.19,3.19,3.19,2.96,0
2003-07-22,3.19,3.19,3.19,3.19,2.96,0
2003-07-23,3.19,3.19,3.19,3.19,2.96,0
2003-07-24,3.19,3.19,3.19,3.19,2.96,0
2003-07-25,3.19,3.19,3.19,3.19,2.96,0
2003-07-28,3.19,3.19,3.19,3.19,2.96,0
2003-07-29,3.19,3.19,3.19,3.19,2.96,0
2003-07-30,3.19,3.19,3.19,3.19,2.96,0
2003-07-31,3.19,3.19,3.19,3.19,2.96,0
2003-08-01,3.19,3.19,3.19,3.19,2.96,0
2003-08-04,3.19,3.19,3.19,3.19,2.96,0
2003-08-05,3.19,3.19,3.19,3.19,2.96,0
2003-08-06,3.19,3.19,3.19,3.19,2.96,0
2003-08-07,3.19,3.19,3.19,3.19,2.96,0
2003-08-08,3.19,3.19,3.19,3.19,2.96,0
2003-08-11,3.19,3.19,3.19,3.19,2.96,0
2003-08-12,3.19,3.19,3.19,3.19,2.96,0
2003-08-13,3.19,3.19,3.19,3.19,2.96,0
2003-08-14,3.19,3.19,3.19,3.19,2.96,0
2003-08-15,3.19,3.19,3.19,3.19,2.96,0
2003-08-18,3.19,3.19,3.19,3.19,2.96,0
2003-08-19,9.01,9.1,8.75,9.0,8.34,9840
2003-08-20,8.7,9.9,8.7,8.79,8.15,89560
2003-08-21,8.51,8.95,8.46,8.5,7.88,62760
2003-08-22,8.45,8.8,8.4,8.4,7.79,20040
2003-08-25,8.61,8.8,7.79,7.97,7.39,59040
2003-08-26,7.95,8.75,7.85,8.59,7.96,36560
2003-08-27,8.7,8.9,8.53,8.61,7.98,41720
2003-08-28,8.31,8.41,8.0,8.05,7.46,13760
2003-08-29,8.05,8.49,8.01,8.19,7.59,30100
2003-09-01,8.23,8.48,8.12,8.38,7.77,11020
2003-09-02,8.2,8.3,8.1,8.1,7.51,30140
2003-09-03,7.72,8.19,7.72,7.82,7.24,36600
2003-09-04,7.61,8.1,7.61,7.9,7.32,17360
2003-09-05,8.68,8.68,7.76,7.89,7.31,14320
2003-09-08,7.71,7.99,7.71,7.8,7.23,18000
2003-09-09,7.91,7.91,7.4,7.4,6.86,32760
2003-09-10,7.17,7.25,6.81,7.02,6.51,12960
2003-09-11,7.03,7.2,6.93,7.03,6.51,29960
2003-09-12,7.1,7.4,7.03,7.26,6.73,17720
2003-09-15,7.01,7.2,6.7,6.75,6.26,25840
