Date,Open,High,Low,Close,Adj Close,Volume
2010-12-10,14.36,14.36,13.66,14.01,11.76,38780
2010-12-13,14.25,14.3,13.9,13.9,11.67,10900
2010-12-14,13.95,14.15,13.9,13.93,11.69,13200
2010-12-15,14.59,14.97,13.9,13.93,11.69,6510
2010-12-16,13.91,14.02,13.9,13.9,11.67,6450
2010-12-20,13.91,14.1,13.9,14.09,11.83,3100
2010-12-21,13.9,13.9,13.9,13.9,11.67,32900
2010-12-22,15.0,15.0,13.9,14.1,11.84,7070
2010-12-23,14.1,14.1,13.3,13.41,11.26,4620
2010-12-24,13.99,14.3,13.6,14.01,11.76,20250
2010-12-27,14.0,14.35,14.0,14.02,11.77,10890
2010-12-28,14.0,14.24,14.0,14.0,11.75,13730
2010-12-29,14.01,14.18,14.0,14.18,11.91,1750
2010-12-30,14.92,14.92,13.9,14.0,11.75,27820
2010-12-31,14.0,14.0,14.0,14.0,11.75,15530
2011-01-03,14.02,14.7,14.0,14.35,12.05,11450
2011-01-04,14.5,14.8,14.1,14.14,11.87,21410
2011-01-05,14.7,15.99,14.7,15.37,12.9,774180
2011-01-06,15.51,15.6,14.75,15.26,12.81,107180
2011-01-07,15.0,15.0,14.25,14.41,12.1,40030
2011-01-10,14.25,14.4,14.0,14.12,11.86,19210
2011-01-11,14.0,14.48,14.0,14.01,11.76,12390
2011-01-12,14.0,14.49,14.0,14.14,11.87,21110
2011-01-13,15.4,15.4,14.0,14.1,11.84,15750
2011-01-14,14.02,14.24,14.0,14.07,11.81,40640
2011-01-17,14.0,14.19,14.0,14.0,11.75,41720
2011-01-18,14.1,14.1,14.0,14.0,11.75,58730
2011-01-19,14.0,14.23,14.0,14.18,11.9,51700
2011-01-20,14.01,14.5,14.0,14.03,11.78,28610
2011-01-21,14.2,14.3,14.2,14.21,11.93,14750
2011-01-24,14.02,14.55,14.0,14.2,11.93,21600
2011-01-25,14.02,14.1,14.0,14.1,11.84,34410
2011-01-27,14.41,14.42,14.1,14.27,11.98,12760
2011-01-28,14.27,14.27,14.0,14.01,11.76,116260
2011-01-31,14.0,14.3,14.0,14.01,11.76,79200
2011-02-01,14.17,14.5,14.01,14.19,11.91,36330
2011-02-02,14.3,14.37,14.3,14.35,12.05,18630
2011-02-03,14.26,14.48,14.1,14.43,12.11,5200
2011-02-04,14.51,15.1,14.0,14.05,11.79,124790
2011-02-07,14.02,14.1,14.0,14.01,11.76,17120
2011-02-08,14.01,14.1,14.0,14.0,11.75,25330
2011-02-09,14.0,14.3,14.0,14.01,11.76,52420
2011-02-10,14.01,14.1,14.0,14.0,11.84,26890
2011-02-11,14.13,14.14,14.0,14.0,11.84,24280
2011-02-14,14.1,14.2,14.0,14.01,11.84,16880
2011-02-15,14.02,14.07,14.01,14.02,11.86,6610
2011-02-16,14.01,14.01,14.0,14.01,11.84,6040
2011-02-17,14.01,14.18,14.0,14.05,11.88,16710
2011-02-18,14.28,14.28,14.0,14.0,11.84,9130
2011-02-21,14.01,14.2,13.81,13.82,11.69,2230
2011-02-22,13.61,14.0,13.55,13.64,11.53,4040
2011-02-23,13.51,13.52,13.51,13.52,11.43,2020
2011-02-24,13.5,13.5,12.81,13.0,10.99,12780
2011-02-25,12.81,12.99,12.2,12.35,10.44,4970
2011-02-28,13.78,14.0,13.2,13.85,11.72,26690
2011-03-01,14.89,14.89,12.56,13.27,11.22,24340
2011-03-03,13.85,13.85,12.86,13.0,10.99,4060
2011-03-04,12.71,13.4,12.71,13.1,11.08,5430
2011-03-07,13.0,13.45,13.0,13.39,11.32,17360
2011-03-08,14.05,14.05,13.2,13.49,11.41,3290
2011-03-09,13.02,13.84,13.01,13.01,11.0,6780
2011-03-10,14.5,14.55,13.0,13.04,11.03,85480
2011-03-11,13.01,14.28,13.0,13.02,11.01,48640
2011-03-14,13.06,13.6,13.0,13.05,11.04,10140
2011-03-15,13.45,13.45,13.03,13.1,11.08,4850
2011-03-16,13.1,13.1,13.1,13.1,11.08,0
2011-03-17,13.1,13.1,13.1,13.1,11.08,0
2011-03-18,13.02,13.3,13.01,13.1,11.08,2230
2011-03-21,13.4,13.45,13.0,13.13,11.1,11950
2011-03-22,13.2,13.49,13.0,13.01,11.0,46270
2011-03-23,13.02,13.28,13.0,13.1,11.07,15900
2011-03-24,13.01,13.2,13.01,13.2,11.16,13000
2011-03-25,13.12,13.45,13.12,13.3,11.25,8120
2011-03-28,13.35,13.35,13.05,13.1,11.08,17250
2011-03-29,13.15,13.2,13.0,13.05,11.04,92150
2011-03-30,13.1,13.2,13.1,13.2,11.16,3980
2011-03-31,13.2,13.3,13.1,13.3,11.25,52210
2011-04-01,13.25,13.25,13.2,13.2,11.16,3000
2011-04-04,13.88,14.1,13.61,14.07,11.9,71770
2011-04-05,14.1,14.49,14.0,14.0,11.84,83730
2011-04-06,14.4,14.59,14.05,14.21,12.02,25020
2011-04-07,14.3,14.7,14.23,14.23,12.04,13030
2011-04-08,14.07,14.25,14.0,14.0,11.84,6700
2011-04-11,14.1,14.28,14.0,14.24,12.04,4420
2011-04-13,14.15,14.49,14.0,14.3,12.09,12050
2011-04-15,14.0,14.65,14.0,14.21,12.02,17530
2011-04-18,14.0,14.6,14.0,14.22,12.02,17100
2011-04-19,15.4,15.4,14.1,14.15,11.97,13990
2011-04-20,14.75,15.74,14.55,15.6,13.2,239360
2011-04-21,15.98,16.58,15.5,15.6,13.19,451990
2011-04-25,15.6,16.3,15.1,15.94,13.48,48960
2011-04-26,16.19,16.19,15.4,15.55,13.15,64700
2011-04-27,16.25,16.25,15.21,15.35,12.98,16900
2011-04-28,15.9,15.9,14.51,14.78,12.5,23720
2011-04-29,15.14,15.14,14.35,14.61,12.35,12640
2011-05-02,14.42,14.69,14.3,14.45,12.22,3310
2011-05-03,15.0,16.4,13.65,13.98,11.83,30320
2011-05-04,14.84,14.84,13.5,13.81,11.68,7060
2011-05-05,14.14,14.35,13.61,13.8,11.67,2590
2011-05-06,13.2,14.3,13.2,13.69,11.58,11360
2011-05-09,13.43,14.6,12.8,13.25,11.2,13750
2011-05-10,12.73,13.6,12.73,13.02,11.01,10770
2011-05-11,13.03,13.59,13.03,13.12,11.1,13110
2011-05-12,14.5,14.5,13.03,13.09,11.06,13910
2011-05-13,13.9,13.9,12.62,13.18,11.14,24410
2011-05-16,13.81,13.81,12.78,13.1,11.08,4900
2011-05-17,13.75,13.75,12.68,12.78,10.81,21310
2011-05-18,13.49,13.49,12.55,12.55,10.61,18800
2011-05-19,13.45,13.45,12.55,12.83,10.85,9080
2011-05-20,13.5,13.5,12.45,12.64,10.69,3490
2011-05-23,12.5,12.6,12.5,12.55,10.61,4660
2011-05-24,12.9,13.1,12.51,12.6,10.65,10170
2011-05-25,12.51,12.95,12.5,12.59,10.64,27950
2011-05-26,12.51,12.8,12.5,12.5,10.57,12460
2011-05-27,13.0,13.0,12.51,12.7,10.74,1780
2011-05-30,12.7,12.7,12.7,12.7,10.74,0
2011-05-31,12.61,12.61,12.5,12.5,10.57,4160
2011-06-01,12.52,12.94,12.51,12.53,10.6,9210
2011-06-02,12.51,12.71,12.5,12.63,10.68,3930
2011-06-03,12.5,12.7,12.5,12.53,10.6,2810
2011-06-06,12.5,12.88,12.5,12.73,10.76,4160
2011-06-07,12.51,12.51,12.5,12.5,10.57,2640
2011-06-08,12.85,12.85,12.5,12.5,10.57,9210
2011-06-09,12.51,12.75,12.5,12.5,10.57,5500
2011-06-10,12.51,12.6,12.5,12.6,10.65,2900
2011-06-13,12.5,13.29,12.5,12.84,10.85,10570
2011-06-14,12.6,12.95,12.6,12.73,10.76,28120
2011-06-15,12.7,12.7,12.6,12.61,10.67,9060
2011-06-16,12.55,12.55,12.55,12.55,10.61,500
2011-06-17,12.52,12.7,12.51,12.65,10.7,2000
2011-06-20,12.52,12.99,12.5,12.5,10.57,21180
