Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,3.49,3.77,3.49,3.76,2.24,32152
2002-07-02,3.78,3.87,3.75,3.78,2.25,30208
2002-07-03,3.62,3.88,3.62,3.78,2.25,8192
2002-07-04,3.88,3.94,3.74,3.88,2.31,42568
2002-07-05,3.92,4.0,3.88,3.95,2.35,71000
2002-07-08,4.08,4.15,4.03,4.15,2.47,44504
2002-07-09,4.32,4.36,4.25,4.26,2.54,112608
2002-07-10,4.38,4.38,3.88,3.92,2.34,30832
2002-07-11,3.92,3.94,3.78,3.83,2.28,16400
2002-07-12,3.69,3.86,3.66,3.8,2.26,10800
2002-07-15,3.75,3.75,3.58,3.67,2.19,23600
2002-07-16,3.72,3.72,3.68,3.69,2.2,37136
2002-07-17,3.64,3.64,3.5,3.5,2.09,2320
2002-07-18,3.69,3.69,3.58,3.6,2.14,4800
2002-07-19,3.62,3.62,3.57,3.57,2.12,90408
2002-07-22,3.47,3.6,3.47,3.47,2.07,2456
2002-07-23,3.5,3.5,3.5,3.5,2.09,60000
2002-07-24,3.4,3.44,3.38,3.43,2.04,156000
2002-07-25,3.44,3.5,3.39,3.45,2.06,121600
2002-07-26,3.38,3.44,3.27,3.36,2.0,97600
2002-07-29,3.03,3.32,3.03,3.2,1.91,22400
2002-07-30,3.28,3.28,3.25,3.25,1.94,21000
2002-07-31,3.0,3.32,3.0,3.32,1.97,21400
2002-08-01,3.37,3.38,3.37,3.38,2.01,68000
2002-08-02,3.37,3.38,3.37,3.38,2.01,68000
2002-08-05,3.25,3.38,3.25,3.38,2.01,100000
2002-08-06,3.06,3.38,3.06,3.38,2.01,68808
2002-08-07,3.04,3.37,3.04,3.25,1.94,4816
2002-08-08,3.0,3.0,3.0,3.0,1.79,8
2002-08-09,2.75,3.3,2.75,3.13,1.86,1216
2002-08-12,2.88,3.38,2.88,3.38,2.01,17608
2002-08-13,3.07,3.38,3.07,3.38,2.01,56824
2002-08-14,3.07,3.42,3.07,3.25,1.94,39936
2002-08-15,3.25,3.25,3.25,3.25,1.94,0
2002-08-16,3.38,3.38,3.32,3.37,2.01,24800
2002-08-19,3.04,3.38,3.04,3.38,2.01,20008
2002-08-20,3.13,3.13,3.13,3.13,1.86,8
2002-08-21,2.82,3.44,2.82,3.37,2.01,6424
2002-08-22,3.38,3.38,3.38,3.38,2.01,8000
2002-08-23,3.07,3.38,3.07,3.38,2.01,9608
2002-08-26,3.32,3.32,3.32,3.32,1.97,3120
2002-08-27,3.47,3.5,3.38,3.38,2.01,126400
2002-08-28,3.39,3.5,3.39,3.5,2.09,340336
2002-08-29,3.53,3.53,3.41,3.47,2.07,14360
2002-08-30,3.49,3.5,3.4,3.44,2.05,365600
2002-09-02,3.5,3.5,3.5,3.5,2.09,81600
2002-09-03,3.5,3.5,3.45,3.45,2.06,1600
2002-09-04,3.4,3.4,3.4,3.4,2.03,800
2002-09-05,3.08,3.5,3.08,3.5,2.09,1608
2002-09-06,3.39,3.39,3.39,3.39,2.02,1600
2002-09-09,3.38,3.49,3.38,3.49,2.08,13600
2002-09-10,3.49,3.49,3.49,3.49,2.08,0
2002-09-11,3.33,3.47,3.33,3.38,2.01,3320
2002-09-12,3.38,3.39,3.38,3.39,2.02,2400
2002-09-13,3.57,3.57,3.29,3.37,2.01,16320
2002-09-16,3.38,3.47,3.38,3.45,2.06,8880
2002-09-17,3.5,3.5,3.38,3.38,2.01,1680
2002-09-18,3.35,3.35,3.35,3.35,1.99,1560
2002-09-19,3.33,3.44,3.33,3.4,2.03,27680
