Date,Open,High,Low,Close,Adj Close,Volume
2004-02-25,37.25,40.0,37.25,39.25,25.85,1039
2004-02-26,42.0,42.0,38.6,38.85,25.59,924
2004-02-27,40.7,40.7,38.55,38.85,25.59,3640
2004-03-01,36.0,40.3,36.0,40.1,26.41,2734
2004-03-02,40.1,40.1,40.1,40.1,26.41,0
2004-03-03,41.0,43.0,40.4,40.8,26.87,1663
2004-03-04,41.75,41.75,36.75,36.75,24.21,78720
2004-03-05,36.0,36.7,35.05,36.45,24.01,13224
2004-03-08,34.0,35.0,33.05,34.25,22.56,2224
2004-03-09,32.5,32.5,32.3,32.45,21.37,450
2004-03-10,33.0,33.15,33.0,33.15,21.84,532
2004-03-11,33.15,33.15,33.15,33.15,21.84,0
2004-03-12,34.0,35.0,34.0,35.0,23.05,1250
2004-03-15,34.0,36.0,34.0,34.7,22.86,450
2004-03-16,34.0,34.0,33.0,33.0,21.74,5200
2004-03-17,33.25,35.7,33.0,35.7,23.51,400
2004-03-18,33.5,35.0,33.5,33.75,22.23,564
2004-03-19,34.0,35.0,34.0,34.0,22.39,400
2004-03-22,35.25,36.7,34.9,35.55,23.42,6836
2004-03-23,35.0,36.3,35.0,35.65,23.48,336
2004-03-24,37.0,38.8,35.0,38.8,25.56,2300
2004-03-25,36.25,39.3,36.25,39.3,25.89,855
2004-03-26,38.8,39.5,37.6,38.8,25.56,3247
2004-03-29,39.5,41.9,39.0,41.9,27.6,3748
2004-03-30,44.3,44.4,43.1,43.25,28.49,1500
2004-03-31,43.15,43.25,43.0,43.0,28.32,5579
2004-04-01,39.3,43.6,39.15,43.3,28.52,3189
2004-04-02,42.55,43.4,42.35,43.0,28.32,873
2004-04-05,43.1,43.3,43.0,43.3,28.52,987
2004-04-06,43.1,44.1,43.0,43.0,28.32,6925
2004-04-07,42.2,42.25,41.85,42.05,27.7,826
2004-04-08,43.0,43.0,41.5,42.5,27.99,574
2004-04-09,42.5,42.5,42.5,42.5,27.99,0
2004-04-12,41.35,44.0,41.35,42.05,27.7,1959
2004-04-13,41.05,42.0,40.5,41.2,27.14,7463
2004-04-14,41.2,41.2,41.2,41.2,27.14,0
2004-04-15,41.55,42.9,41.55,41.75,27.5,1369
2004-04-16,42.1,42.5,42.1,42.35,27.89,830
2004-04-19,43.25,44.0,43.2,43.25,28.49,2295
2004-04-20,44.0,44.0,41.15,42.4,27.93,1776
2004-04-21,41.05,43.0,41.0,41.75,27.5,7582
2004-04-22,40.0,45.0,40.0,43.15,28.42,5436
2004-04-23,43.6,44.25,43.0,44.1,29.05,11087
2004-04-27,42.05,42.8,41.1,41.55,27.37,13181
2004-04-28,43.25,43.25,42.5,42.9,28.26,1495
2004-04-29,42.4,43.5,42.35,43.0,28.32,500
2004-04-30,42.0,43.2,41.8,42.05,27.7,6642
2004-05-03,42.15,42.3,41.0,41.0,27.01,1814
2004-05-04,41.5,43.0,41.5,43.0,28.32,530
2004-05-05,42.0,42.0,39.7,40.0,26.35,7858
2004-05-06,41.9,42.6,41.1,41.65,27.43,2900
2004-05-07,41.5,42.8,40.6,40.6,26.74,1505
2004-05-10,38.0,40.15,38.0,40.15,26.45,200
2004-05-11,40.1,40.1,37.2,39.55,26.05,1136
2004-05-12,38.25,38.25,38.0,38.05,25.06,1300
2004-05-13,38.95,38.95,36.25,38.85,25.59,303
2004-05-14,36.5,36.95,35.0,35.0,23.05,1449
2004-05-17,33.95,33.95,33.95,33.95,22.36,50
2004-05-18,33.0,33.0,30.55,30.55,20.12,3400
2004-05-19,32.0,33.65,32.0,33.65,22.16,6251
2004-05-20,36.7,36.9,32.6,36.35,23.94,13259
2004-05-21,36.9,36.95,35.0,35.75,23.55,967
2004-05-24,37.0,37.0,35.55,35.55,23.42,975
2004-05-25,34.6,36.9,34.6,36.15,23.81,3772
2004-05-26,37.0,37.0,35.25,36.0,23.71,1191
2004-05-27,33.65,36.0,33.65,35.4,23.32,1275
2004-05-28,34.5,34.5,32.3,33.85,22.3,547
2004-05-31,30.5,32.5,30.2,30.2,19.89,1207
2004-06-01,35.85,35.85,31.25,31.5,20.75,1220
2004-06-02,32.5,32.5,28.55,30.25,19.92,13809
2004-06-03,30.75,30.75,30.0,30.0,19.76,764
2004-06-04,30.0,30.0,30.0,30.0,19.76,39
2004-06-07,31.15,31.7,31.0,31.6,20.81,775
2004-06-08,31.1,31.95,30.1,31.95,21.04,1700
2004-06-09,31.75,31.95,30.55,30.6,20.16,1740
2004-06-10,30.25,31.95,30.25,30.7,20.22,405
2004-06-11,31.0,32.5,31.0,31.0,20.42,450
2004-06-14,30.1,30.45,29.5,30.0,19.76,976
2004-06-15,30.0,30.9,29.7,30.9,20.35,925
2004-06-16,30.0,30.8,30.0,30.1,19.83,550
2004-06-17,30.25,31.0,29.4,29.55,19.46,2101
2004-06-18,28.8,30.9,28.8,29.75,19.6,414
2004-06-21,29.25,29.4,29.25,29.4,19.37,200
2004-06-22,29.65,30.3,29.6,29.9,19.69,1450
2004-06-23,30.0,30.0,29.35,29.35,19.33,1211
2004-06-24,28.6,29.0,28.35,29.0,19.1,1251
2004-06-25,31.0,31.0,29.0,29.05,19.13,458
2004-06-28,29.6,32.1,29.6,32.1,21.14,660
2004-06-29,33.0,33.0,31.0,31.8,20.95,1400
2004-06-30,32.15,32.15,31.0,31.5,20.75,2166
2004-07-01,31.5,32.0,31.5,32.0,21.08,2987
2004-07-02,31.5,32.75,31.5,32.6,21.47,2522
2004-07-05,32.0,32.5,31.55,32.05,21.11,600
2004-07-06,32.0,34.0,32.0,33.25,21.9,1850
2004-07-07,33.4,33.4,33.25,33.25,21.9,400
2004-07-08,33.5,34.0,31.8,31.8,20.95,799
2004-07-09,27.0,34.0,27.0,33.95,22.36,1701
2004-07-12,33.6,38.8,33.6,34.9,22.99,11650
2004-07-13,34.85,34.9,34.3,34.8,22.92,2900
2004-07-14,34.75,35.45,34.65,34.95,23.02,1644
2004-07-15,35.0,37.4,34.0,35.65,23.48,8546
2004-07-16,36.5,38.5,36.0,38.05,25.06,11159
2004-07-19,38.5,40.0,38.4,39.0,25.69,23134
2004-07-20,38.8,40.55,37.0,37.5,24.7,5410
2004-07-21,38.0,38.3,36.6,37.65,24.8,1875
2004-07-22,38.2,38.9,37.5,38.9,25.62,3286
2004-07-23,38.0,39.0,38.0,38.9,25.62,6194
2004-07-26,37.0,40.0,37.0,38.2,25.16,17277
2004-07-27,38.75,38.95,38.1,38.35,25.26,3090
2004-07-28,38.0,38.95,36.8,38.25,25.19,3820
2004-07-29,37.55,38.95,37.55,38.0,25.03,1000
2004-07-30,38.25,38.95,37.95,38.0,25.03,6701
2004-08-02,37.7,38.7,37.7,38.25,25.19,2600
2004-08-03,38.95,40.0,38.05,38.2,25.16,12165
2004-08-04,39.0,39.75,37.8,37.95,25.0,4649
2004-08-05,37.0,38.8,36.3,37.95,26.39,7047
2004-08-06,38.5,38.5,37.0,38.0,26.42,6034
2004-08-09,37.85,37.9,37.0,37.1,25.8,5398
2004-08-10,37.95,37.95,36.55,37.6,26.14,4509
2004-08-11,36.6,38.5,36.25,36.25,25.21,4830
2004-08-12,36.75,36.9,34.0,35.1,24.41,7133
2004-08-13,34.0,36.95,34.0,35.15,24.44,960
2004-08-16,35.0,35.5,34.5,35.25,24.51,1040
2004-08-17,36.5,36.5,35.25,35.55,24.72,1907
2004-08-18,36.0,36.1,36.0,36.1,25.1,550
2004-08-19,36.3,36.5,36.05,36.4,25.31,1512
2004-08-20,36.15,37.8,35.55,35.9,24.96,4460
2004-08-23,36.0,36.85,35.55,36.45,25.34,1550
2004-08-24,36.0,36.45,36.0,36.1,25.1,1600
2004-08-25,36.15,37.8,36.15,37.3,25.94,1802
2004-08-26,37.5,37.5,36.5,37.25,25.9,4055
