Date,Open,High,Low,Close,Adj Close,Volume
2004-09-23,87.0,89.9,85.0,86.1,82.31,5903
2004-09-24,86.0,87.5,83.75,85.75,81.98,9763
2004-09-27,87.95,88.0,86.55,87.75,83.89,9064
2004-09-28,88.0,90.0,86.3,87.5,83.65,5890
2004-09-29,87.15,96.25,87.15,95.95,91.73,37856
2004-09-30,99.4,105.55,97.1,105.55,100.9,73313
2004-10-01,108.0,113.65,100.5,103.95,99.37,125087
2004-10-04,108.0,109.0,101.0,102.1,97.61,35816
2004-10-05,103.0,105.9,98.0,100.65,96.22,30068
2004-10-06,105.0,106.0,100.1,100.45,96.03,80067
2004-10-07,104.0,104.2,100.0,101.0,96.55,14260
2004-10-08,103.0,103.5,101.05,101.95,97.46,14979
2004-10-11,102.1,106.1,99.1,99.8,95.41,65739
2004-10-12,103.0,103.0,96.0,97.3,93.02,11071
2004-10-13,97.3,97.3,97.3,97.3,93.02,0
2004-10-14,104.0,104.0,94.7,96.55,92.3,7454
2004-10-15,98.0,98.0,93.1,94.85,90.67,4691
2004-10-18,91.5,97.5,91.5,92.85,88.76,1631
2004-10-19,92.5,93.5,91.0,92.05,88.0,5214
2004-10-20,92.3,94.0,92.1,92.7,88.62,6439
2004-10-21,91.7,93.8,90.0,90.85,86.85,6291
2004-10-22,90.85,90.85,90.85,90.85,86.85,0
2004-10-25,91.05,91.55,88.05,88.15,84.27,6470
2004-10-26,82.75,91.0,82.75,89.1,85.18,4673
2004-10-27,87.5,89.95,86.25,87.8,83.94,5648
2004-10-28,82.1,88.7,82.1,85.35,81.59,31432
2004-10-29,85.0,90.1,85.0,86.75,82.93,21035
2004-11-01,87.9,87.9,85.05,86.2,82.41,3993
2004-11-02,87.8,87.8,86.2,86.7,82.88,10292
2004-11-03,88.65,88.65,86.0,86.35,82.55,10638
2004-11-04,80.5,95.0,80.5,95.0,90.82,39457
2004-11-05,99.0,103.5,92.1,94.5,90.34,63410
2004-11-08,95.5,99.0,92.0,92.65,88.57,18340
2004-11-09,98.0,98.0,90.6,91.55,87.52,10124
2004-11-10,91.0,92.8,90.2,90.8,86.8,9516
2004-11-11,91.0,94.85,91.0,92.05,88.0,26091
2004-11-12,89.5,100.0,89.5,97.7,93.4,47756
2004-11-15,97.7,97.7,97.7,97.7,93.4,0
2004-11-16,89.5,97.9,89.5,96.05,91.82,14925
2004-11-17,95.95,96.5,94.1,94.6,90.44,8519
2004-11-18,95.5,96.9,94.1,94.6,90.44,16935
2004-11-19,95.0,96.0,90.1,91.35,87.33,12901
2004-11-22,82.5,93.9,82.5,93.0,88.91,7438
2004-11-23,93.5,94.8,91.4,91.85,87.81,7802
2004-11-24,92.3,94.45,92.0,92.6,88.52,11092
2004-11-25,92.6,94.8,92.0,92.0,87.95,10551
2004-11-26,92.0,92.0,92.0,92.0,87.95,0
2004-11-29,92.0,93.0,92.0,92.3,88.24,6810
2004-11-30,93.0,93.8,89.8,89.95,85.99,11425
2004-12-01,90.05,90.5,88.75,89.5,85.56,7797
2004-12-02,90.45,90.5,88.55,88.7,84.8,9820
2004-12-03,90.0,91.1,87.1,87.8,83.94,6299
2004-12-06,88.85,88.85,87.0,87.1,83.27,8451
2004-12-07,87.65,93.75,86.7,88.95,85.03,16180
2004-12-08,92.0,92.0,88.0,88.35,84.46,7228
2004-12-09,89.0,91.0,88.0,90.35,86.37,8590
2004-12-10,93.0,94.0,89.75,90.45,86.47,12623
2004-12-13,90.0,91.55,88.85,90.2,86.23,10675
2004-12-14,92.5,99.25,90.0,99.25,94.88,134437
2004-12-15,104.1,106.8,96.0,97.9,93.59,102698
2004-12-16,98.4,99.9,95.6,95.85,91.63,16731
2004-12-17,98.0,99.0,95.6,97.05,92.78,28936
2004-12-20,97.0,98.5,95.8,97.15,92.87,12064
2004-12-21,101.0,101.0,96.95,97.75,93.45,7357
2004-12-22,98.0,99.5,94.1,95.85,91.63,15895
2004-12-23,97.0,97.0,93.0,94.0,89.86,7200
2004-12-24,102.0,102.0,92.7,93.9,89.77,30197
2004-12-27,92.8,95.0,92.3,92.55,88.48,7649
2004-12-28,94.0,98.0,93.1,97.85,93.54,53228
2004-12-29,100.0,104.8,97.6,102.95,98.42,158273
2004-12-30,103.05,104.5,97.2,98.8,94.45,52517
2004-12-31,99.05,103.0,98.15,99.25,94.88,36845
2005-01-03,102.25,102.25,99.0,100.75,96.32,26489
2005-01-04,110.8,110.8,92.5,100.15,95.74,38003
2005-01-05,102.0,106.2,99.2,102.6,98.08,224579
2005-01-06,103.1,103.1,97.1,97.75,93.45,20127
2005-01-07,100.85,102.0,98.05,99.8,95.41,20121
2005-01-10,100.0,101.9,98.75,99.25,94.88,7750
2005-01-11,97.5,98.5,94.5,95.15,90.96,14420
2005-01-12,94.3,96.0,90.0,90.8,86.8,11954
2005-01-13,95.0,95.9,91.1,94.3,90.15,19073
2005-01-14,93.2,94.2,92.0,92.35,88.28,8444
2005-01-17,95.0,99.0,93.0,94.2,90.05,19122
2005-01-18,95.0,96.0,93.3,93.85,89.72,10131
2005-01-19,93.0,97.0,92.15,93.4,89.29,7649
2005-01-20,95.5,95.5,84.1,84.7,80.97,55342
2005-01-24,92.9,92.9,82.5,85.4,81.64,18236
2005-01-25,88.9,89.9,83.0,89.6,85.66,14438
2005-01-27,95.0,95.0,89.0,91.15,87.14,6968
2005-01-28,92.95,92.95,88.0,88.65,84.75,4229
2005-01-31,90.0,93.0,90.0,92.35,88.28,7821
2005-02-01,91.0,93.0,90.0,90.35,86.37,6831
2005-02-02,90.2,93.9,90.0,90.1,86.13,5233
2005-02-03,89.0,92.0,89.0,91.75,87.71,7746
2005-02-04,91.4,92.5,90.0,91.15,87.14,9810
2005-02-07,91.55,92.15,90.4,90.95,86.95,16703
2005-02-08,99.0,99.0,90.0,90.85,86.85,14986
2005-02-09,92.7,95.9,92.3,94.45,90.29,29516
2005-02-10,95.0,96.45,94.1,94.75,90.58,15451
2005-02-11,96.5,102.0,95.5,97.9,93.59,52830
2005-02-14,99.0,99.0,95.6,96.5,92.25,28674
2005-02-15,100.0,100.0,93.25,94.0,89.86,37467
2005-02-16,97.9,97.9,91.5,93.55,89.43,22372
2005-02-17,95.0,95.4,92.0,94.65,90.48,28821
2005-02-18,93.75,95.85,93.75,94.75,90.58,33074
2005-02-21,95.7,113.7,95.7,113.7,108.7,372005
2005-02-22,117.15,136.45,116.3,136.45,130.44,2143742
2005-02-23,139.8,158.9,137.45,149.15,142.58,3102103
2005-02-24,151.0,156.0,145.5,146.7,140.24,1748806
2005-02-25,148.45,161.4,147.05,157.95,151.0,2629318
2005-02-28,160.05,160.05,150.1,153.15,146.41,362554
2005-03-01,154.85,154.85,146.15,150.2,143.59,250187
2005-03-02,150.0,162.4,150.0,157.2,150.28,509820
2005-03-03,159.0,163.9,156.1,160.1,153.05,316694
2005-03-04,161.15,162.9,155.5,157.6,150.66,26833
2005-03-07,156.0,165.85,153.05,162.35,155.2,60105
