Date,Open,High,Low,Close,Adj Close,Volume
2006-03-14,160.0,163.0,128.1,155.5,115.63,3649008
2006-03-16,154.0,154.5,148.75,151.1,112.36,889792
2006-03-17,151.9,154.9,150.0,152.8,113.62,265626
2006-03-20,153.6,155.0,150.95,153.1,113.85,272437
2006-03-21,153.8,154.0,151.0,151.15,112.4,84770
2006-03-22,151.45,152.4,149.75,152.05,113.07,139429
2006-03-23,152.05,154.4,151.1,153.2,113.92,227191
2006-03-24,153.0,156.6,152.05,155.15,115.37,301547
2006-03-27,155.15,164.45,155.15,162.3,120.69,631906
2006-03-28,162.9,164.0,158.5,162.95,121.17,180920
2006-03-29,162.9,166.0,155.1,164.1,122.03,214117
2006-03-30,165.0,170.45,162.5,166.1,123.51,292600
2006-03-31,162.5,176.5,162.1,175.3,130.36,255759
2006-04-03,178.0,180.0,172.0,175.55,130.54,201419
2006-04-04,177.5,180.9,172.1,174.9,130.06,112833
2006-04-05,175.0,179.0,174.0,177.65,132.1,145990
2006-04-07,175.0,183.95,174.0,175.6,130.58,306950
2006-04-10,177.0,185.0,177.0,183.8,136.68,235557
2006-04-12,184.0,200.0,175.05,177.55,132.03,329925
2006-04-13,190.0,190.0,171.1,172.95,128.61,194627
2006-04-17,179.9,179.9,178.45,178.45,132.7,89725
2006-04-18,180.0,185.0,175.3,179.95,133.81,352171
2006-04-19,183.0,185.0,178.0,180.85,134.48,161218
2006-04-20,182.65,186.4,176.15,183.5,136.45,281258
2006-04-21,183.0,185.0,178.0,183.1,136.16,117465
2006-04-24,182.85,186.8,180.2,184.0,136.83,192002
2006-04-25,186.5,186.5,181.5,182.9,136.01,67378
2006-04-26,184.9,195.0,182.0,192.5,143.15,165082
2006-04-27,195.0,196.5,188.0,194.7,144.78,346431
2006-04-28,172.25,193.0,172.25,188.35,140.06,130175
2006-05-02,211.9,211.9,193.55,195.75,145.56,604521
2006-05-03,194.0,197.45,187.5,195.3,145.23,389804
2006-05-04,198.0,205.0,193.1,196.3,145.97,180208
2006-05-05,197.5,203.0,195.15,196.1,145.82,114094
2006-05-08,199.0,200.95,195.0,195.7,145.53,53930
2006-05-09,197.95,198.6,193.3,194.4,144.56,64546
2006-05-10,197.0,197.0,186.0,188.1,139.87,82482
2006-05-11,185.25,193.9,183.1,188.7,140.32,71022
2006-05-12,187.8,190.0,181.5,184.8,137.42,121716
2006-05-15,180.0,186.0,151.0,174.85,130.02,97692
2006-05-16,176.05,183.0,170.4,176.55,131.29,74502
2006-05-17,183.0,183.0,179.0,180.45,134.19,85826
2006-05-18,180.5,180.5,166.0,169.65,126.15,73526
2006-05-19,172.0,180.0,155.0,166.95,124.15,119145
2006-05-22,167.0,167.0,133.6,148.9,110.72,89229
2006-05-23,135.1,157.95,135.1,154.9,115.19,134638
2006-05-24,152.0,163.95,151.0,159.7,118.76,76204
2006-05-25,157.85,168.0,153.5,165.0,122.7,36526
2006-05-26,168.0,168.5,155.05,158.75,118.05,44684
2006-05-29,164.95,164.95,155.25,156.8,116.6,30152
2006-05-30,164.9,164.9,151.0,152.6,113.48,40359
2006-05-31,135.0,152.6,135.0,142.25,105.78,43718
2006-06-01,145.1,147.95,139.2,140.0,104.11,36738
2006-06-02,131.1,141.05,131.1,135.75,100.95,44560
2006-06-05,142.0,143.0,137.0,141.25,105.04,56370
2006-06-06,130.1,141.0,130.1,134.9,100.31,57879
2006-06-07,129.0,137.5,116.1,119.55,88.9,87979
2006-06-08,121.0,121.0,108.1,111.5,82.91,30988
2006-06-09,109.25,123.0,109.25,120.9,89.9,27910
2006-06-12,129.0,129.0,118.0,119.3,88.71,14428
2006-06-13,105.25,119.0,105.25,111.95,83.25,16222
2006-06-14,118.95,121.0,112.5,118.75,88.3,29295
2006-06-15,114.0,123.0,114.0,119.4,88.79,20628
2006-06-16,123.05,143.3,123.05,132.8,98.75,107921
2006-06-19,130.0,145.0,128.4,143.05,106.37,40450
2006-06-20,130.0,147.2,125.0,144.55,107.49,55863
2006-06-21,146.0,156.75,146.0,155.45,115.6,76497
2006-06-22,159.9,164.95,156.4,160.35,119.24,106092
2006-06-23,146.0,161.5,146.0,159.35,118.5,31216
2006-06-26,158.15,161.0,145.0,147.8,109.91,18932
2006-06-27,145.0,152.9,140.0,143.8,106.93,21664
2006-06-28,140.0,144.95,137.1,139.3,103.59,23065
2006-06-29,144.5,144.5,140.0,140.35,104.37,5548
2006-06-30,142.0,148.05,142.0,143.25,106.52,19279
2006-07-03,140.5,145.9,137.15,139.6,103.81,17414
2006-07-04,145.9,145.9,141.1,141.9,105.52,16500
2006-07-05,142.0,147.95,139.3,141.35,105.11,18856
2006-07-06,139.15,146.0,132.0,138.35,102.88,57342
2006-07-07,141.9,144.25,139.05,142.05,105.63,52108
2006-07-10,144.0,146.0,141.3,144.95,107.79,16684
2006-07-11,148.0,149.5,145.05,146.15,108.68,32227
2006-07-12,139.0,155.0,139.0,150.55,111.95,84854
2006-07-13,154.0,154.95,145.0,146.85,109.2,41637
2006-07-14,142.0,145.8,140.1,143.35,106.6,27287
2006-07-17,144.0,147.65,142.0,143.55,106.75,17253
2006-07-18,142.1,147.5,133.55,137.3,102.1,53900
2006-07-19,140.0,142.95,136.25,139.4,104.8,29111
2006-07-20,141.1,142.5,139.05,140.45,105.59,14495
2006-07-21,142.5,142.5,135.1,136.55,102.66,9680
2006-07-24,131.2,136.0,129.25,134.9,101.42,50793
2006-07-25,138.0,138.0,134.6,136.35,102.51,17837
2006-07-26,135.5,142.5,135.5,141.45,106.35,88526
2006-07-27,142.9,151.5,142.6,148.9,111.95,115283
2006-07-28,149.8,158.9,148.0,150.95,113.49,102476
2006-07-31,154.4,159.4,152.2,153.3,115.26,92964
2006-08-01,154.0,156.5,131.05,152.8,114.88,68992
2006-08-02,151.0,157.8,150.55,155.75,117.1,111997
2006-08-03,157.3,159.0,152.8,154.7,116.31,86088
2006-08-04,155.65,156.0,152.05,153.0,115.03,45912
2006-08-07,154.55,159.9,153.0,158.1,118.86,205275
2006-08-08,160.0,167.6,158.75,162.8,122.4,206318
2006-08-09,162.0,166.85,160.0,163.45,122.89,60165
2006-08-10,165.45,166.45,161.15,164.95,124.01,60215
2006-08-11,167.85,168.85,162.35,164.1,123.38,110867
2006-08-14,166.5,171.0,163.0,167.65,126.04,110749
2006-08-16,169.4,171.9,167.05,168.6,126.76,62649
2006-08-17,168.6,170.0,162.1,166.05,124.84,48538
2006-08-18,168.0,169.0,164.25,167.6,126.01,68766
2006-08-21,170.0,173.85,168.0,170.45,128.15,151095
2006-08-22,172.0,173.0,168.5,171.6,129.01,119459
2006-08-23,170.0,172.5,168.1,169.3,127.28,36682
2006-08-24,166.5,170.2,162.5,168.7,126.83,49006
2006-08-25,179.6,179.6,168.6,169.7,127.59,55190
2006-08-28,171.6,174.0,169.0,172.8,129.92,62070
2006-08-29,174.4,174.4,171.5,172.65,129.8,100794
2006-08-30,174.0,174.0,169.05,169.85,127.7,32799
2006-08-31,172.95,173.0,168.6,170.1,127.89,38118
2006-09-01,170.0,174.0,166.2,172.8,129.92,53473
2006-09-04,171.65,174.75,170.0,170.5,128.19,37266
2006-09-05,170.6,177.0,169.6,173.5,130.44,88916
2006-09-06,173.5,175.0,172.0,172.7,129.84,39191
