Date,Open,High,Low,Close,Adj Close,Volume
2005-04-18,32.0,35.5,30.65,31.15,28.45,46198201
2005-04-19,31.15,32.5,29.75,29.9,27.3,26251794
2005-04-20,30.4,30.4,27.95,28.95,26.44,20545352
2005-04-21,28.95,30.95,28.35,30.75,28.08,19432325
2005-04-22,31.25,31.45,30.3,30.75,28.08,11600062
2005-04-25,30.75,30.9,30.15,30.35,27.71,4734673
2005-04-26,30.35,30.6,29.55,29.65,27.08,5334820
2005-04-27,29.7,30.35,29.35,29.55,26.98,6053054
2005-04-28,29.7,30.1,29.05,29.25,26.71,5584982
2005-04-29,29.5,29.6,28.85,28.95,26.44,2484674
2005-05-02,29.0,29.3,28.15,28.5,26.03,2063858
2005-05-03,28.6,28.7,28.05,28.1,25.66,3236806
2005-05-04,28.2,29.1,28.2,28.7,26.21,3039332
2005-05-05,28.95,29.2,28.7,28.85,26.34,1927777
2005-05-06,28.8,28.95,28.5,28.75,26.25,1106917
2005-05-09,28.85,29.5,28.6,28.95,26.44,2429854
2005-05-10,29.1,29.9,28.8,29.1,26.57,3827050
2005-05-11,28.9,29.2,28.6,28.9,26.39,1372273
2005-05-12,28.6,29.4,28.6,28.8,26.3,2106497
2005-05-13,28.8,28.85,28.55,28.6,26.12,1504843
2005-05-16,28.7,28.75,28.5,28.6,26.12,1108549
2005-05-17,28.6,28.7,28.0,28.05,25.61,2030722
2005-05-18,28.25,28.3,27.75,27.85,25.43,1902078
2005-05-19,28.0,28.15,27.85,27.9,25.48,1761669
2005-05-20,28.0,28.1,27.7,27.75,25.34,1125535
2005-05-23,27.85,28.45,27.7,27.95,25.52,2873240
2005-05-24,28.0,28.25,27.75,28.0,25.57,3087888
2005-05-25,28.5,28.5,27.95,28.0,25.57,1276867
2005-05-26,28.0,28.1,27.1,27.25,24.88,3340875
2005-05-27,27.7,27.9,27.4,27.45,25.07,1849012
2005-05-30,27.55,27.7,27.0,27.05,24.7,1633938
2005-05-31,27.1,27.75,27.0,27.35,24.98,1642233
2005-06-01,27.45,27.6,27.3,27.4,25.02,765291
2005-06-02,27.4,27.5,27.1,27.15,24.79,574796
2005-06-03,27.25,27.45,27.1,27.25,24.88,726713
2005-06-06,27.6,28.9,27.55,28.7,26.21,4230752
2005-06-07,28.7,30.65,28.2,30.25,27.62,6460529
2005-06-08,30.9,31.4,30.3,30.45,27.81,8063139
2005-06-09,30.25,31.25,30.1,30.55,27.9,5616776
2005-06-10,31.5,31.5,29.55,29.8,27.21,2684708
2005-06-13,30.1,30.1,29.15,29.7,27.12,1791906
2005-06-14,30.1,30.35,29.6,29.75,27.17,1815550
2005-06-15,30.25,30.25,29.5,29.6,27.03,1371752
2005-06-16,29.75,29.75,28.5,28.55,26.07,1285710
2005-06-17,28.7,28.7,28.0,28.2,25.75,1391742
2005-06-20,28.2,29.15,28.0,28.4,25.93,1546216
2005-06-21,28.45,28.95,28.15,28.25,25.8,1393281
2005-06-22,28.45,28.65,28.2,28.25,25.8,887477
2005-06-23,28.45,28.7,28.2,28.55,26.07,868200
2005-06-24,28.5,28.65,28.3,28.45,25.98,919464
2005-06-27,27.6,28.65,27.6,28.4,25.93,756299
2005-06-28,28.25,28.6,28.0,28.1,25.66,900575
2005-06-29,28.3,28.4,28.05,28.1,25.66,1485531
2005-06-30,28.25,28.25,26.8,27.5,25.11,4974211
2005-07-01,28.1,28.35,27.6,28.05,25.61,1434853
2005-07-04,28.2,29.15,28.0,28.95,26.44,2187854
2005-07-05,29.4,29.45,28.3,28.45,25.98,1749630
2005-07-06,28.65,29.0,28.45,28.85,26.34,1062516
2005-07-07,28.95,29.2,28.25,28.35,25.89,1375329
2005-07-08,28.35,28.7,28.1,28.5,26.03,785718
2005-07-11,28.75,28.75,28.45,28.6,26.12,991916
2005-07-12,28.65,28.75,28.1,28.3,25.84,748547
2005-07-13,28.55,28.7,27.75,27.9,25.48,2053709
2005-07-14,27.25,29.45,27.25,29.25,26.71,4992064
2005-07-15,29.45,30.1,28.9,29.85,27.26,3376685
2005-07-18,30.1,31.65,29.95,31.15,28.45,6481704
2005-07-19,32.0,33.0,31.0,31.4,28.67,6954109
2005-07-20,31.5,32.85,31.25,32.0,29.22,8592647
2005-07-21,32.4,32.95,30.7,31.15,28.45,4635378
2005-07-22,31.0,31.65,30.9,31.3,28.58,2275117
2005-07-25,31.6,32.1,31.25,31.35,28.63,2472403
2005-07-26,31.4,31.7,30.4,30.55,27.9,1952915
2005-07-27,30.6,30.85,30.1,30.2,27.58,910692
2005-07-28,30.2,30.2,30.2,30.2,27.58,0
2005-07-29,30.0,30.25,29.5,29.7,27.12,3333321
2005-08-01,29.45,30.65,29.1,30.45,27.81,1879191
2005-08-02,30.45,31.35,30.45,30.9,28.22,2241507
2005-08-03,31.1,31.1,30.2,30.3,27.67,1026892
2005-08-04,30.3,30.85,30.15,30.4,27.76,1242035
2005-08-05,30.1,31.35,30.1,30.5,27.85,2642360
2005-08-08,30.5,31.2,29.7,29.95,27.35,1544303
2005-08-09,30.0,30.45,29.7,29.95,27.35,1204016
2005-08-10,30.4,30.65,30.0,30.5,27.85,1557607
2005-08-11,30.5,31.0,30.5,30.65,27.99,3195139
2005-08-12,30.65,30.9,30.3,30.45,27.81,1111873
2005-08-16,30.45,30.95,30.4,30.5,27.85,997222
2005-08-17,30.7,32.2,30.4,32.05,29.27,5722999
2005-08-18,32.5,33.2,32.0,32.8,29.95,8901633
2005-08-19,33.2,33.4,32.6,32.7,29.86,5440055
2005-08-22,32.9,33.85,32.25,32.6,29.77,5098348
2005-08-23,32.85,33.0,31.6,31.75,28.99,2938550
2005-08-24,31.8,31.95,30.65,31.15,28.45,2522215
2005-08-25,31.1,32.2,30.9,31.95,29.18,3284421
2005-08-26,32.1,32.9,32.1,32.7,29.86,2542331
2005-08-29,32.85,32.95,32.05,32.8,29.95,1915741
2005-08-30,32.7,33.85,32.7,33.45,30.55,6199487
2005-08-31,32.8,33.4,32.45,32.75,30.59,2875143
2005-09-01,33.25,33.25,32.45,32.55,30.41,2658047
2005-09-02,32.75,32.95,32.25,32.45,30.31,1127521
