Date,Open,High,Low,Close,Adj Close,Volume
2013-06-05,590.0,631.9,581.15,612.35,610.13,12483316
2013-06-06,597.0,614.9,589.85,605.15,602.95,1982995
2013-06-07,603.3,676.8,603.0,646.35,644.0,4217874
2013-06-10,652.1,684.4,626.5,674.9,672.45,1972922
2013-06-11,674.5,683.3,644.0,655.05,652.67,1365020
2013-06-12,648.0,665.0,628.1,636.0,633.69,570462
2013-06-13,635.85,644.6,605.15,628.6,626.32,500264
2013-06-14,634.0,648.25,623.0,628.8,626.52,333721
2013-06-17,630.0,639.95,625.0,638.4,636.08,240055
2013-06-18,640.0,644.45,626.0,630.4,628.11,203424
2013-06-19,631.0,657.0,630.0,649.25,646.89,451906
2013-06-20,639.75,651.0,614.5,622.1,619.84,262921
2013-06-21,618.0,635.0,617.0,624.0,621.73,202871
2013-06-24,625.0,629.0,590.1,607.95,605.74,297338
2013-06-25,612.9,627.95,600.55,622.2,619.94,141748
2013-06-26,625.5,634.8,609.1,612.55,610.33,100568
2013-06-27,618.0,636.8,618.0,629.25,626.97,444777
2013-06-28,632.05,652.3,624.05,650.15,647.79,258472
2013-07-01,636.65,648.0,632.0,637.25,634.94,156411
2013-07-02,640.0,640.5,630.05,636.55,634.24,160712
2013-07-03,634.5,639.4,626.0,635.6,633.29,82629
2013-07-04,636.5,645.0,636.5,642.15,639.82,71739
2013-07-05,646.85,671.7,641.0,653.95,651.58,180177
2013-07-08,636.5,692.0,636.5,681.0,678.53,426983
2013-07-09,686.35,763.35,685.0,718.1,715.49,2114847
2013-07-10,717.9,727.3,695.0,705.6,703.04,548167
2013-07-11,709.9,715.0,671.0,685.75,683.26,464258
2013-07-12,694.95,704.95,686.0,699.7,697.16,246937
2013-07-15,694.0,717.7,694.0,705.3,702.74,185522
2013-07-16,700.0,702.0,690.0,697.3,694.77,50145
2013-07-17,704.0,707.0,667.95,695.4,692.87,153411
2013-07-18,699.9,721.8,692.0,698.8,696.26,206713
2013-07-19,699.1,699.1,665.15,682.6,680.12,84571
2013-07-22,675.1,707.9,675.1,684.55,682.06,91773
2013-07-23,688.0,701.85,684.05,690.05,687.54,113799
2013-07-24,689.0,694.3,665.0,678.8,676.34,75880
2013-07-25,683.0,694.0,675.35,680.45,677.98,96283
2013-07-26,682.0,688.3,666.95,680.1,677.63,71524
2013-07-29,680.0,684.9,661.0,680.1,677.63,136506
2013-07-30,681.0,690.0,671.9,677.5,675.04,231338
2013-07-31,687.95,703.8,662.2,697.8,695.27,215260
2013-08-01,693.0,701.0,676.0,680.75,678.28,79059
2013-08-02,687.6,705.0,675.8,695.5,692.97,142223
2013-08-05,705.0,733.75,659.0,679.1,676.63,197203
2013-08-06,689.9,689.9,651.1,658.2,655.81,295553
2013-08-07,659.0,675.0,642.3,669.85,667.42,82383
2013-08-08,674.0,676.55,658.0,666.35,663.93,40314
2013-08-12,670.0,680.0,660.15,670.75,668.31,46418
2013-08-13,675.95,679.0,665.0,666.4,663.98,51732
2013-08-14,674.9,684.8,668.0,671.6,669.16,18143
2013-08-16,680.9,680.9,649.0,661.05,658.65,54845
2013-08-19,656.2,656.2,625.5,641.1,638.77,48167
2013-08-20,636.2,659.0,625.1,644.25,641.91,41364
2013-08-21,649.9,659.05,635.65,650.05,647.69,18003
2013-08-22,649.85,669.0,643.4,667.7,665.28,36975
2013-08-23,666.3,679.0,658.9,675.4,672.95,13488
2013-08-26,675.3,680.0,660.0,674.0,671.55,8015
2013-08-27,665.2,690.0,652.0,679.6,677.13,293684
2013-08-28,668.0,682.75,653.4,676.05,673.6,108173
2013-08-29,689.95,689.95,668.0,672.15,669.71,3698
2013-08-30,674.85,684.0,672.5,678.35,675.89,22843
2013-09-02,679.9,685.0,676.95,682.55,680.07,8658
2013-09-03,689.0,689.0,674.95,680.15,677.68,8444
2013-09-04,680.0,705.0,679.9,699.3,696.76,48979
2013-09-05,701.9,710.0,689.95,706.45,703.88,30300
2013-09-06,700.0,747.0,700.0,728.25,725.61,49072
2013-09-10,727.3,740.0,717.0,728.6,725.95,11422
2013-09-11,736.5,819.4,713.75,769.05,766.26,107693
2013-09-12,769.95,805.0,752.05,777.8,774.98,33719
2013-09-13,775.1,788.0,767.05,773.15,770.34,32819
2013-09-16,760.0,782.0,760.0,774.35,771.54,42712
2013-09-17,774.95,775.25,737.3,740.65,737.96,8091
2013-09-18,757.45,773.85,745.7,769.4,766.61,28249
2013-09-19,779.9,785.0,762.9,772.8,769.99,45025
2013-09-20,764.45,795.0,757.3,766.35,763.57,59586
2013-09-23,759.95,774.75,753.0,763.75,760.98,4254
2013-09-24,766.6,767.0,755.4,757.15,754.4,5726
2013-09-25,760.2,799.0,754.0,785.05,782.2,18275
2013-09-26,794.95,829.95,781.0,816.8,813.83,107245
2013-09-27,820.0,854.0,799.0,846.9,843.82,73214
2013-09-30,843.5,873.9,825.4,844.2,841.13,161293
2013-10-01,835.0,860.0,833.0,838.0,834.96,37987
2013-10-03,835.0,867.95,830.65,859.0,855.88,223664
2013-10-04,867.65,1030.8,859.35,1029.45,1025.71,1102562
2013-10-07,1039.0,1048.0,912.2,925.35,921.99,946798
2013-10-08,931.0,947.95,900.0,912.6,909.29,472011
2013-10-09,903.5,926.0,891.2,904.65,901.36,279552
2013-10-10,907.0,934.7,900.0,908.25,904.95,193654
2013-10-11,913.0,915.9,875.1,880.75,877.55,147988
2013-10-14,889.0,905.0,862.1,868.8,865.65,147473
2013-10-15,872.0,897.0,859.75,875.15,871.97,313029
2013-10-17,880.8,892.9,870.0,881.85,878.65,153766
2013-10-18,888.8,1002.7,883.5,953.3,949.84,1141707
2013-10-21,955.0,989.9,930.0,969.75,966.23,308633
2013-10-22,970.0,977.5,955.0,960.65,957.16,100306
2013-10-23,962.0,1152.75,962.0,1148.1,1143.93,2116308
2013-10-24,1154.8,1167.0,1036.0,1058.65,1054.81,927385
2013-10-25,1044.0,1189.0,963.25,1029.55,1025.81,3171849
2013-10-28,1030.0,1078.0,1015.0,1058.75,1054.91,973338
2013-10-29,1065.5,1103.0,1040.1,1071.9,1068.01,605327
2013-10-30,1070.0,1098.5,1046.7,1054.4,1050.57,362592
2013-10-31,1060.0,1265.25,1060.0,1246.9,1242.37,2211618
2013-11-01,1217.3,1225.0,1150.0,1175.3,1171.03,845428
2013-11-05,1229.5,1290.0,1180.0,1196.4,1192.06,958891
2013-11-06,1200.0,1239.55,1145.55,1157.55,1153.35,626357
2013-11-07,1175.3,1204.7,1142.2,1172.65,1168.39,563612
2013-11-08,1187.0,1239.7,1178.0,1193.3,1188.97,635180
