Date,Open,High,Low,Close,Adj Close,Volume
2007-12-19,44.75,44.75,37.06,39.7,30.25,102730800
2007-12-20,39.25,39.81,38.5,39.08,29.78,13877760
2007-12-24,39.5,41.7,39.31,40.55,30.9,11964180
2007-12-26,42.1,42.1,40.25,40.8,31.08,4938260
2007-12-27,41.0,42.75,40.65,41.51,31.63,7934060
2007-12-28,41.25,43.0,41.25,42.81,32.61,5699620
2007-12-31,42.0,43.45,42.0,43.14,32.87,3136960
2008-01-01,42.9,43.72,42.9,43.14,32.87,1494560
2008-01-02,43.1,48.0,42.63,44.81,34.14,5928800
2008-01-03,44.49,45.97,43.0,43.06,32.8,1657320
2008-01-04,43.45,44.5,43.17,43.84,33.4,2066720
2008-01-07,43.55,43.95,43.0,43.68,33.28,896820
2008-01-08,43.75,44.5,42.5,42.83,32.63,978600
2008-01-09,42.5,43.4,42.45,43.07,32.81,853640
2008-01-10,43.25,43.35,42.75,43.0,32.76,1415400
2008-01-11,43.25,43.3,42.6,43.02,32.77,902860
2008-01-14,43.0,43.75,43.0,43.01,32.76,223460
2008-01-15,43.05,43.25,43.0,43.05,32.8,217380
2008-01-16,43.0,44.25,42.75,43.7,33.29,404600
2008-01-17,44.25,45.49,43.7,45.03,34.31,479360
2008-01-18,44.7,46.5,44.0,45.25,34.48,1239220
2008-01-21,43.05,44.05,39.5,40.39,30.77,282820
2008-01-22,35.1,37.5,32.45,35.74,27.23,138740
2008-01-23,38.05,42.45,37.5,40.65,30.97,172420
2008-01-24,35.1,40.0,35.1,39.08,29.77,148040
2008-01-25,37.5,39.75,36.5,38.17,29.08,109460
2008-01-28,35.65,40.05,35.65,39.99,30.47,73820
2008-01-29,40.05,40.75,37.05,38.31,29.19,22140
2008-01-30,38.15,39.25,38.1,38.83,29.59,43880
2008-01-31,37.4,40.25,37.4,39.85,30.36,286280
2008-02-01,35.25,40.1,35.25,39.71,30.25,44640
2008-02-04,39.01,40.5,39.01,39.74,30.28,216500
2008-02-05,39.5,40.25,38.8,40.01,30.48,54280
2008-02-06,38.0,40.29,38.0,40.0,30.48,1579660
2008-02-07,41.0,41.0,38.0,38.64,29.44,48240
2008-02-08,38.16,39.5,31.9,36.49,27.8,102400
2008-02-11,36.75,37.4,32.6,33.52,25.54,300600
2008-02-12,34.25,35.75,33.5,35.08,26.73,72540
2008-02-13,34.83,35.5,34.0,34.46,26.25,33920
2008-02-14,37.4,37.4,33.0,35.36,26.94,382280
2008-02-15,32.62,35.4,32.6,34.95,26.63,23900
2008-02-18,35.0,35.2,32.5,34.98,26.65,41360
2008-02-19,34.8,35.35,34.56,35.12,26.76,26600
2008-02-20,34.51,35.0,33.5,33.72,25.69,29320
2008-02-21,35.2,36.8,34.95,36.33,27.68,640160
2008-02-22,35.06,37.0,35.06,36.37,27.71,75060
2008-02-25,36.0,36.5,35.25,36.25,27.62,33500
2008-02-26,35.75,37.95,35.55,37.55,28.61,98840
2008-02-27,37.62,37.62,36.0,36.06,27.48,49100
2008-02-28,35.13,37.75,35.13,37.52,28.59,170400
2008-02-29,36.3,38.0,36.3,37.77,28.77,81920
2008-03-03,36.0,37.49,35.75,37.0,28.19,108120
2008-03-04,35.76,38.0,34.9,35.04,26.69,1117920
2008-03-05,34.75,36.95,34.55,35.36,26.94,42660
2008-03-07,35.0,35.0,34.15,34.71,26.45,75280
2008-03-10,33.0,33.75,32.25,33.19,25.29,140660
2008-03-11,33.0,34.4,32.62,33.81,25.76,64960
2008-03-12,34.9,35.0,32.65,33.02,25.16,17020
2008-03-13,31.25,33.0,31.25,32.51,24.77,84480
2008-03-14,31.12,32.97,31.0,32.53,24.78,43320
2008-03-17,30.91,32.5,27.06,28.22,21.5,795260
2008-03-18,28.35,29.5,25.0,29.25,22.29,483300
2008-03-19,27.05,31.2,27.05,30.75,23.43,306720
2008-03-24,30.25,30.5,28.15,30.08,22.91,203920
2008-03-25,31.2,34.0,29.25,33.51,25.53,199340
2008-03-26,31.75,35.0,30.27,34.42,26.22,353560
2008-03-27,33.75,38.75,32.05,37.5,28.57,871540
2008-03-28,35.01,37.75,35.01,37.5,28.57,453760
2008-03-31,35.61,40.0,35.0,39.26,29.92,438880
2008-04-01,38.99,38.99,36.0,38.38,29.24,113780
2008-04-02,39.0,39.0,35.1,35.78,27.26,20960
2008-04-03,35.5,36.2,34.25,34.29,26.12,15520
2008-04-04,34.88,35.0,32.55,32.87,25.04,16580
2008-04-07,30.6,34.0,30.6,32.5,24.76,139140
2008-04-08,32.5,33.45,32.5,32.52,24.78,23260
2008-04-09,31.55,32.9,31.55,32.56,24.81,5880
2008-04-10,32.6,33.05,32.5,32.75,24.95,5540
2008-04-11,33.25,33.65,32.62,32.94,25.09,16200
2008-04-15,34.4,34.4,32.65,33.5,25.53,7280
2008-04-16,34.5,34.7,33.55,33.6,25.6,5500
2008-04-17,34.5,34.5,33.0,33.06,25.19,12780
2008-04-21,34.5,34.5,33.0,33.5,25.52,5160
2008-04-22,33.75,33.75,33.05,33.25,25.33,10000
2008-04-23,33.05,33.75,32.5,32.57,24.81,24480
2008-04-24,33.35,33.35,32.5,32.6,24.84,7840
2008-04-25,33.75,33.75,32.56,33.16,25.26,11900
2008-04-28,33.0,33.5,32.5,32.64,24.87,7280
2008-04-29,34.0,34.0,31.75,33.02,25.16,108400
2008-04-30,33.0,33.47,31.75,31.99,24.37,26440
2008-05-02,33.75,34.4,31.05,31.34,23.88,48860
2008-05-05,31.5,31.5,29.9,30.03,22.88,141980
2008-05-06,30.3,30.3,29.0,29.66,22.6,22340
2008-05-07,29.5,29.95,28.82,29.48,22.46,12460
2008-05-08,29.05,29.5,29.0,29.47,22.45,322880
2008-05-09,29.5,29.5,28.1,28.51,21.72,20820
2008-05-12,27.55,29.0,27.0,27.48,20.93,177940
2008-05-13,26.8,27.5,24.42,25.03,19.07,698820
2008-05-14,29.25,29.25,25.05,25.22,19.22,98280
2008-05-15,25.27,25.64,24.5,25.33,19.3,53200
2008-05-16,25.49,26.25,25.3,25.77,19.63,410260
2008-05-20,27.55,27.55,25.1,25.57,19.48,26020
2008-05-21,25.7,26.0,25.5,25.65,19.54,17520
2008-05-22,25.4,27.24,25.4,26.11,19.9,280500
2008-05-23,26.25,27.65,26.25,27.01,20.58,2958600
2008-05-26,25.45,27.25,25.45,25.77,19.64,23960
2008-05-27,25.65,26.7,25.5,25.73,19.6,57100
2008-05-28,26.0,26.25,26.0,26.1,19.89,15060
2008-05-29,26.25,26.52,26.0,26.02,19.83,15600
2008-05-30,26.0,26.22,26.0,26.0,19.81,9240
2008-06-02,25.06,27.5,25.06,27.02,20.59,152880
2008-06-03,25.81,26.2,25.75,26.0,19.81,10200
2008-06-04,25.65,26.23,25.6,25.68,19.56,13780
2008-06-05,25.5,25.84,25.12,25.53,19.45,5300
2008-06-06,25.31,26.24,25.3,25.36,19.33,7960
2008-06-09,24.0,25.3,24.0,24.31,18.52,19520
2008-06-10,24.3,24.75,24.01,24.08,18.34,11240
2008-06-11,24.2,25.09,24.2,24.64,18.77,22460
2008-06-12,24.5,25.7,24.2,25.38,19.34,15640
2008-06-13,25.06,25.65,25.05,25.22,19.21,2900
2008-06-16,25.55,25.55,25.0,25.3,19.28,19180
2008-06-17,25.08,25.5,25.0,25.44,19.39,6300
2008-06-18,25.07,25.5,25.07,25.29,19.27,5420
2008-06-19,24.75,25.49,24.75,25.1,19.12,6720
2008-06-20,26.25,26.25,24.52,24.72,18.83,23680
2008-06-23,24.05,27.45,23.0,24.34,18.55,24720
2008-06-24,23.89,25.25,23.26,24.48,18.65,11340
