Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,2.94,3.09,2.85,2.91,2.41,391510
2002-07-02,2.88,3.0,2.74,2.81,2.32,316930
2002-07-03,2.82,2.89,2.71,2.72,2.26,392930
2002-07-04,2.72,2.76,2.57,2.6,2.15,463760
2002-07-05,2.66,2.97,2.62,2.82,2.33,1322020
2002-07-08,2.89,2.89,2.57,2.76,2.29,241470
2002-07-09,2.98,2.98,2.71,2.74,2.27,390040
2002-07-10,2.8,2.81,2.67,2.7,2.24,350680
2002-07-11,2.6,2.71,2.6,2.68,2.22,139080
2002-07-12,2.68,2.9,2.65,2.75,2.28,200060
2002-07-15,2.71,2.76,2.6,2.61,2.16,70170
2002-07-16,2.2,2.6,2.2,2.55,2.11,69770
2002-07-17,2.4,2.45,2.28,2.34,1.93,131750
2002-07-18,1.91,2.42,1.91,2.38,1.97,45770
2002-07-19,2.35,2.45,2.35,2.38,1.98,100070
2002-07-22,2.33,2.35,2.0,2.21,1.83,28270
2002-07-23,1.83,2.3,1.83,2.2,1.82,32550
2002-07-24,1.85,2.28,1.85,2.14,1.77,113170
2002-07-25,1.86,2.28,1.86,2.17,1.8,45890
2002-07-26,1.78,2.19,1.78,2.07,1.71,55400
2002-07-29,1.69,2.05,1.69,2.04,1.69,17520
2002-07-30,1.66,2.15,1.66,2.05,1.7,55390
2002-07-31,1.7,2.04,1.7,1.95,1.61,66160
2002-08-01,1.59,2.03,1.59,2.0,1.66,128790
2002-08-02,1.8,2.0,1.8,1.96,1.62,49480
2002-08-05,1.84,2.13,1.84,2.12,1.76,79460
2002-08-06,1.85,2.09,1.75,2.08,1.72,168520
2002-08-07,2.49,2.49,1.92,2.03,1.68,127890
2002-08-08,2.02,2.05,1.97,1.98,1.64,188000
2002-08-09,1.82,2.0,1.82,1.99,1.65,35340
2002-08-12,2.05,2.09,2.0,2.09,1.73,30940
2002-08-13,2.49,2.49,2.01,2.01,1.67,778850
2002-08-14,2.07,2.07,2.03,2.05,1.7,6500
2002-08-15,2.05,2.05,2.05,2.05,1.7,0
2002-08-16,1.82,2.1,1.82,2.06,1.71,51300
2002-08-19,2.01,2.05,2.01,2.04,1.69,7440
2002-08-20,2.05,2.13,2.05,2.08,1.72,30120
2002-08-21,2.01,2.21,2.01,2.08,1.72,22290
2002-08-22,2.08,2.27,2.08,2.11,1.75,29040
2002-08-23,2.13,2.14,2.05,2.12,1.75,28340
2002-08-26,2.02,2.15,2.02,2.14,1.77,10010
2002-08-27,1.86,2.28,1.86,2.08,1.72,35230
2002-08-28,2.13,2.13,2.03,2.03,1.68,10140
2002-08-29,2.05,2.05,2.0,2.0,1.65,10340
2002-08-30,2.0,2.05,1.96,2.0,1.66,30500
2002-09-02,1.8,2.03,1.8,2.01,1.67,29480
2002-09-03,1.64,2.07,1.64,1.98,1.64,139800
2002-09-04,1.8,2.06,1.75,1.97,1.63,4040
2002-09-05,1.93,2.04,1.93,2.01,1.67,5260
2002-09-06,1.88,1.98,1.88,1.93,1.6,31270
2002-09-09,1.74,2.0,1.74,1.93,1.6,8080
2002-09-10,1.93,1.93,1.93,1.93,1.6,0
2002-09-11,1.83,2.0,1.83,1.98,1.64,17040
2002-09-12,1.93,1.97,1.93,1.93,1.6,14300
2002-09-13,1.73,1.96,1.73,1.91,1.58,16700
2002-09-16,1.7,1.9,1.7,1.9,1.57,60
2002-09-17,1.9,1.97,1.9,1.9,1.58,43500
2002-09-18,1.74,1.9,1.74,1.88,1.56,2020
2002-09-19,1.9,1.9,1.83,1.85,1.53,14660
2002-09-20,1.87,1.87,1.83,1.83,1.52,8960
2002-09-23,1.5,1.87,1.5,1.8,1.5,115200
2002-09-24,1.6,1.8,1.6,1.79,1.49,45910
2002-09-25,1.78,1.83,1.65,1.8,1.5,45170
2002-09-26,1.77,1.82,1.77,1.81,1.5,49870
2002-09-27,1.78,1.85,1.78,1.8,1.5,40830
2002-09-30,1.65,1.82,1.65,1.79,1.48,44030
2002-10-01,1.65,1.78,1.65,1.72,1.42,85810
2002-10-02,1.72,1.72,1.72,1.72,1.42,0
2002-10-03,1.66,1.79,1.66,1.72,1.43,37090
2002-10-04,1.71,1.77,1.71,1.74,1.44,90490
2002-10-07,1.76,1.8,1.76,1.79,1.48,88300
2002-10-08,1.76,1.8,1.75,1.8,1.49,69420
2002-10-09,1.79,1.8,1.78,1.79,1.49,63500
2002-10-10,1.8,1.8,1.78,1.79,1.48,72180
2002-10-11,1.79,1.84,1.79,1.79,1.49,47700
2002-10-14,2.15,2.15,1.67,1.87,1.55,44640
2002-10-15,1.87,1.87,1.87,1.87,1.55,0
