Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,0.15,0.15,0.15,0.15,0.0,455000
2002-07-02,0.16,0.16,0.16,0.16,0.0,964100
2002-07-03,0.17,0.17,0.16,0.17,0.0,338300
2002-07-04,0.17,0.18,0.17,0.18,0.0,554600
2002-07-05,0.18,0.18,0.18,0.18,0.0,440800
2002-07-08,0.19,0.19,0.19,0.19,0.0,300100
2002-07-09,0.2,0.2,0.19,0.19,0.0,1201100
2002-07-10,0.2,0.2,0.18,0.19,0.0,1225900
2002-07-11,0.19,0.19,0.18,0.18,0.0,335500
2002-07-12,0.18,0.19,0.18,0.18,0.0,250000
2002-07-15,0.18,0.18,0.18,0.18,0.0,270000
2002-07-16,0.17,0.19,0.17,0.17,0.0,472100
2002-07-17,0.17,0.17,0.17,0.17,0.0,127900
2002-07-18,0.17,0.17,0.16,0.17,0.0,243100
2002-07-19,0.16,0.17,0.16,0.17,0.0,19900
2002-07-22,0.16,0.16,0.16,0.16,0.0,100800
2002-07-23,0.16,0.16,0.15,0.16,0.0,45000
2002-07-24,0.15,0.17,0.15,0.16,0.0,50700
2002-07-25,0.15,0.17,0.15,0.16,0.0,40500
2002-07-26,0.16,0.16,0.15,0.15,0.0,274500
2002-07-29,0.15,0.16,0.15,0.16,0.0,170700
2002-07-30,0.17,0.17,0.16,0.16,0.0,261600
2002-07-31,0.16,0.16,0.16,0.16,0.0,53000
2002-08-01,0.16,0.16,0.16,0.16,0.0,60000
2002-08-02,0.16,0.16,0.16,0.16,0.0,55000
2002-08-05,0.16,0.17,0.16,0.17,0.0,100000
2002-08-06,0.16,0.17,0.16,0.16,0.0,41100
2002-08-07,0.17,0.17,0.17,0.17,0.0,53600
2002-08-08,0.17,0.17,0.17,0.17,0.0,82000
2002-08-09,0.16,0.16,0.16,0.16,0.0,65000
2002-08-12,0.17,0.17,0.17,0.17,0.0,336600
2002-08-13,0.17,0.17,0.17,0.17,0.01,50000
2002-08-14,0.16,0.16,0.16,0.16,0.01,51000
2002-08-15,0.16,0.16,0.16,0.16,0.01,0
2002-08-16,0.16,0.16,0.16,0.16,0.01,200
2002-08-19,0.14,0.16,0.14,0.16,0.01,40400
2002-08-20,0.16,0.16,0.16,0.16,0.01,10000
