Date,Open,High,Low,Close,Adj Close,Volume
2006-05-09,31.0,52.5,31.0,45.4,39.75,28793400
2006-05-10,52.0,54.5,49.8,54.5,47.72,626200
2006-05-11,63.4,65.4,56.5,65.4,57.27,3894800
2006-05-12,67.2,77.85,60.25,73.05,63.96,11771200
2006-05-15,72.35,76.1,65.75,67.3,58.93,4875600
2006-05-16,67.3,69.8,60.6,63.4,55.51,2123300
2006-05-17,65.0,69.75,64.0,69.75,61.07,1334000
2006-05-18,69.0,70.7,62.8,62.8,54.99,1041000
2006-05-19,61.0,65.45,56.55,56.55,49.52,899300
2006-05-22,56.0,58.0,53.75,53.75,47.06,85800
2006-05-23,51.5,56.4,51.1,54.8,47.98,326400
2006-05-24,56.0,56.75,52.1,52.6,46.06,377700
2006-05-25,50.1,51.3,50.0,50.45,44.18,201700
2006-05-26,51.0,53.0,50.1,50.75,44.44,284100
2006-05-29,51.0,52.5,49.0,49.35,43.21,170500
2006-05-30,50.4,50.45,46.9,46.9,41.07,287500
2006-05-31,46.9,46.9,46.9,46.9,41.07,0
2006-06-01,44.5,44.5,42.35,42.35,37.08,207400
2006-06-02,40.35,40.7,40.25,40.25,35.24,113400
2006-06-05,38.4,39.9,38.25,38.25,33.49,109600
2006-06-06,36.4,36.75,36.35,36.35,31.83,5100
2006-06-07,34.55,34.55,34.55,34.55,30.25,15700
2006-06-08,32.85,32.85,32.85,32.85,28.76,2800
2006-06-09,31.25,31.25,31.25,31.25,27.36,19200
2006-06-12,28.3,34.4,28.3,28.95,25.35,274200
2006-06-13,27.55,28.9,27.5,27.5,24.08,65100
2006-06-14,27.0,28.6,26.15,26.15,22.9,74800
2006-06-15,26.15,26.15,26.15,26.15,22.9,0
2006-06-16,26.15,26.15,26.15,26.15,22.9,0
2006-06-19,27.9,28.1,25.9,27.0,23.64,227600
2006-06-20,26.9,27.9,26.15,27.1,23.73,82100
2006-06-21,27.4,28.5,27.4,28.5,24.96,76400
2006-06-22,29.9,29.95,29.9,29.95,26.22,2500
2006-06-23,31.45,31.45,30.0,31.45,27.54,226400
2006-06-26,34.7,34.7,31.4,31.55,27.63,247200
2006-06-27,33.0,33.0,30.1,31.05,27.19,160100
2006-06-28,31.05,31.05,29.9,30.65,26.84,56400
2006-06-29,31.5,32.0,30.2,30.55,26.75,37700
2006-06-30,32.0,32.1,31.05,31.6,27.67,98500
2006-07-03,33.15,33.15,30.6,31.5,27.58,39600
2006-07-04,31.4,31.75,30.55,30.75,26.93,38800
2006-07-05,31.4,31.45,30.5,30.8,26.97,50600
2006-07-06,30.5,30.95,30.0,30.15,26.4,37400
2006-07-07,31.4,31.4,29.0,29.35,25.7,60500
2006-07-10,30.0,30.0,28.3,28.75,25.17,39400
2006-07-11,28.6,28.95,28.05,28.6,25.04,42700
2006-07-12,28.1,28.85,27.2,28.6,25.04,30400
2006-07-13,28.7,30.05,28.35,30.0,26.27,44300
2006-07-14,28.65,30.5,28.5,30.1,26.36,40000
2006-07-17,31.0,31.65,29.7,30.2,26.44,173700
2006-07-18,31.35,31.35,28.7,28.9,25.31,64300
2006-07-19,30.0,30.0,27.9,28.2,24.69,59300
2006-07-20,28.5,29.0,28.5,28.65,25.09,30000
2006-07-21,29.45,29.45,27.4,27.6,24.17,35000
2006-07-24,28.6,28.9,26.25,27.5,24.08,24400
2006-07-25,27.35,28.0,26.15,26.5,23.2,47500
2006-07-26,27.0,27.8,26.15,26.5,23.2,62600
2006-07-27,26.55,27.1,25.5,25.75,22.55,70600
2006-07-28,26.4,26.6,25.85,26.25,22.99,37800
2006-07-31,27.5,27.6,26.9,27.6,24.17,59600
2006-08-01,27.8,28.7,27.8,28.3,24.78,47700
2006-08-02,28.5,28.5,27.1,27.7,24.25,43500
2006-08-03,27.7,27.7,27.7,27.7,24.25,0
2006-08-04,28.15,28.25,27.6,27.95,24.47,19800
2006-08-07,27.1,28.35,27.05,27.6,24.17,17900
2006-08-08,27.35,28.6,27.3,28.4,24.87,34700
2006-08-09,28.1,28.95,28.0,28.75,25.17,32800
2006-08-10,28.6,31.65,28.25,31.65,27.71,72900
2006-08-11,32.35,34.85,32.35,34.85,30.52,106100
2006-08-14,36.35,36.6,34.2,35.35,30.95,179300
2006-08-16,36.65,36.65,33.75,34.25,29.99,75300
2006-08-17,34.1,34.7,32.55,32.65,28.59,40800
2006-08-18,32.3,33.4,31.3,33.15,29.03,50600
2006-08-21,33.75,33.75,32.8,33.25,29.11,31800
2006-08-22,33.5,34.35,33.5,33.6,29.42,44400
2006-08-23,32.55,34.0,32.15,32.35,28.33,21000
2006-08-24,31.65,32.1,31.5,31.75,27.8,39700
2006-08-25,33.05,33.35,33.05,33.35,29.2,22800
2006-08-28,34.9,34.9,33.55,34.15,29.9,59100
2006-08-29,32.6,34.6,32.6,33.35,29.2,29600
2006-08-30,33.4,33.4,32.2,32.8,28.72,23700
2006-08-31,31.55,32.75,31.55,32.2,28.2,25600
2006-09-01,31.45,32.3,31.45,31.7,27.76,33400
2006-09-04,32.9,33.3,31.55,33.3,29.16,42700
2006-09-05,33.3,33.4,32.25,32.9,28.81,50800
2006-09-06,33.25,33.7,32.4,32.65,28.59,39000
2006-09-07,32.5,34.3,32.1,34.3,30.03,88400
2006-09-08,34.35,36.05,34.35,36.05,31.57,109400
2006-09-11,37.85,37.85,34.35,35.0,30.65,359300
2006-09-12,35.0,36.75,33.7,36.65,32.09,159500
2006-09-13,38.25,38.5,37.9,38.5,33.71,41400
2006-09-14,40.0,40.45,37.1,38.7,33.89,200200
2006-09-15,38.4,40.65,37.5,40.65,35.59,118800
2006-09-18,42.7,42.7,40.0,42.65,37.35,230700
2006-09-19,43.0,43.6,40.55,40.55,35.51,117300
2006-09-20,39.0,40.0,38.7,39.3,34.41,52100
2006-09-21,39.0,40.4,38.65,39.65,34.72,58500
2006-09-22,39.0,39.8,37.75,38.2,33.45,53400
2006-09-25,38.5,40.15,38.5,40.15,35.16,20900
2006-09-26,41.7,42.2,41.7,42.2,36.95,37600
2006-09-27,44.3,44.3,40.1,40.5,35.46,163000
2006-09-28,42.5,42.5,40.5,40.85,35.77,24700
2006-09-29,40.8,42.9,40.8,42.9,37.56,99400
2006-10-03,43.8,45.05,42.0,45.05,39.45,103100
2006-10-04,46.7,46.7,44.0,44.75,39.18,191000
2006-10-05,46.45,47.0,45.85,47.0,41.15,66400
2006-10-06,49.2,49.35,46.8,47.5,41.59,193700
2006-10-09,49.85,49.85,46.7,47.05,41.2,52600
2006-10-10,48.5,48.9,46.15,46.5,40.72,55800
2006-10-11,47.15,47.15,44.55,44.9,39.32,57200
2006-10-12,45.0,45.9,43.05,44.25,38.75,70900
2006-10-13,44.05,45.85,43.1,43.45,38.05,57000
