Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,0.2,0.2,0.2,0.2,0.08,538401
2002-07-02,0.2,0.2,0.2,0.2,0.08,208533
2002-07-03,0.2,0.21,0.2,0.2,0.08,179233
2002-07-04,0.21,0.25,0.21,0.23,0.09,1662503
2002-07-05,0.23,0.24,0.23,0.24,0.1,2638505
2002-07-08,0.24,0.24,0.23,0.24,0.09,1012068
2002-07-09,0.24,0.24,0.24,0.24,0.1,1283002
2002-07-10,0.24,0.24,0.24,0.24,0.1,604834
2002-07-11,0.25,0.25,0.24,0.24,0.09,223767
2002-07-12,0.24,0.24,0.23,0.24,0.09,101933
2002-07-15,0.23,0.24,0.23,0.24,0.09,266300
2002-07-16,0.23,0.24,0.23,0.24,0.09,169167
2002-07-17,0.24,0.24,0.23,0.24,0.09,193767
2002-07-18,0.23,0.24,0.23,0.24,0.09,171967
2002-07-19,0.24,0.24,0.24,0.24,0.09,195967
2002-07-22,0.23,0.23,0.22,0.22,0.09,168533
2002-07-23,0.22,0.22,0.22,0.22,0.09,39733
2002-07-24,0.22,0.22,0.21,0.21,0.08,68000
2002-07-25,0.22,0.22,0.2,0.21,0.08,177200
2002-07-26,0.2,0.21,0.2,0.21,0.08,358400
2002-07-29,0.21,0.21,0.2,0.21,0.08,157566
2002-07-30,0.2,0.21,0.2,0.2,0.08,20700
2002-07-31,0.2,0.2,0.2,0.2,0.08,86333
2002-08-01,0.2,0.2,0.19,0.19,0.08,57833
2002-08-02,0.19,0.2,0.19,0.19,0.08,18866
2002-08-05,0.2,0.2,0.2,0.2,0.08,59166
2002-08-06,0.2,0.21,0.2,0.2,0.08,110400
2002-08-07,0.2,0.21,0.2,0.21,0.08,25533
2002-08-08,0.2,0.2,0.2,0.2,0.08,13000
2002-08-09,0.2,0.2,0.2,0.2,0.08,39433
2002-08-12,0.2,0.2,0.2,0.2,0.08,16400
2002-08-13,0.2,0.21,0.2,0.21,0.08,15800
2002-08-14,0.21,0.21,0.2,0.21,0.08,112833
