Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,2.11,2.22,2.11,2.21,1.26,11270
2002-07-02,2.27,2.27,2.2,2.21,1.26,18020
2002-07-03,2.21,2.21,2.2,2.2,1.25,43500
2002-07-04,2.25,2.35,2.19,2.35,1.33,59440
2002-07-05,2.4,2.48,2.31,2.37,1.35,21560
2002-07-08,2.48,2.49,2.35,2.36,1.34,41940
2002-07-09,2.47,2.47,2.27,2.29,1.3,35000
2002-07-10,2.29,2.29,2.15,2.15,1.23,50250
2002-07-11,2.19,2.2,2.12,2.19,1.25,9030
2002-07-12,2.03,2.25,2.03,2.24,1.27,1530
2002-07-15,2.03,2.24,2.03,2.18,1.24,9040
2002-07-16,2.2,2.2,2.12,2.18,1.24,13750
2002-07-17,2.2,2.2,2.15,2.15,1.23,14000
2002-07-18,2.17,2.17,2.17,2.17,1.24,5000
2002-07-19,2.15,2.2,2.15,2.15,1.23,8290
2002-07-22,2.17,2.17,2.17,2.17,1.24,25920
2002-07-23,2.13,2.13,2.12,2.12,1.21,6000
2002-07-24,2.22,2.22,2.12,2.12,1.2,15000
2002-07-25,2.05,2.17,1.92,1.98,1.13,7000
2002-07-26,2.1,2.1,2.04,2.04,1.16,49290
2002-07-29,1.93,1.99,1.92,1.92,1.09,48500
2002-07-30,1.98,1.98,1.88,1.91,1.09,2250
2002-07-31,2.0,2.08,2.0,2.01,1.14,120
2002-08-01,2.03,2.03,1.86,2.0,1.14,5100
2002-08-02,1.82,1.83,1.8,1.83,1.04,4130
2002-08-05,1.8,2.0,1.8,1.9,1.08,4030
2002-08-06,1.83,1.98,1.83,1.98,1.12,540
2002-08-07,2.0,2.05,2.0,2.05,1.17,7240
2002-08-08,1.95,2.09,1.95,2.02,1.15,20750
2002-08-09,2.0,2.2,2.0,2.04,1.16,28080
2002-08-12,1.99,2.02,1.99,1.99,1.25,11510
2002-08-13,1.82,2.12,1.82,2.1,1.32,30
2002-08-14,2.31,2.31,1.9,1.9,1.2,11270
2002-08-15,1.9,1.9,1.9,1.9,1.2,0
2002-08-16,1.89,1.89,1.78,1.82,1.14,2530
2002-08-19,1.71,1.88,1.71,1.88,1.19,520
2002-08-20,1.73,1.89,1.73,1.76,1.11,1020
2002-08-21,1.62,1.78,1.62,1.77,1.12,240
2002-08-22,1.71,1.74,1.71,1.74,1.09,1500
2002-08-23,1.61,1.75,1.61,1.75,1.1,30
2002-08-26,1.62,1.75,1.62,1.75,1.1,510
2002-08-27,1.62,1.92,1.62,1.87,1.18,4290
2002-08-28,2.06,2.06,1.7,1.91,1.21,6470
2002-08-29,1.78,1.93,1.77,1.77,1.12,4060
2002-08-30,1.93,1.93,1.76,1.76,1.11,3530
2002-09-02,1.66,1.66,1.66,1.66,1.05,10
2002-09-03,1.53,1.76,1.53,1.76,1.11,510
2002-09-04,1.75,1.76,1.75,1.76,1.11,1000
2002-09-05,1.68,1.89,1.65,1.75,1.1,14020
2002-09-06,1.75,1.75,1.68,1.73,1.09,15240
2002-09-09,1.7,1.7,1.7,1.7,1.07,250
2002-09-10,1.7,1.7,1.7,1.7,1.07,0
2002-09-11,1.68,1.8,1.68,1.8,1.13,550
2002-09-12,1.7,1.7,1.7,1.7,1.07,500
2002-09-13,2.04,2.04,1.68,1.79,1.13,2780
2002-09-16,2.12,2.12,1.73,1.75,1.11,50
2002-09-17,2.09,2.09,1.7,1.7,1.07,13560
2002-09-18,2.01,2.01,1.7,1.7,1.07,5670
2002-09-19,2.0,2.0,1.67,1.78,1.12,6340
2002-09-20,1.75,1.85,1.68,1.75,1.1,8160
2002-09-23,2.0,2.0,2.0,2.0,1.26,20
2002-09-24,1.83,1.83,1.8,1.82,1.14,21670
2002-09-25,1.84,1.85,1.71,1.85,1.16,40
2002-09-26,1.85,1.85,1.85,1.85,1.16,0
2002-09-27,1.72,1.73,1.71,1.73,1.09,1870
2002-09-30,1.72,2.0,1.72,1.75,1.1,3190
2002-10-01,1.74,1.84,1.68,1.84,1.16,4840
2002-10-02,1.84,1.84,1.84,1.84,1.16,0
2002-10-03,2.2,2.2,1.73,1.85,1.17,5280
2002-10-04,2.21,2.21,1.78,1.78,1.12,5970
2002-10-07,1.68,1.89,1.68,1.88,1.19,1070
2002-10-08,1.94,1.94,1.8,1.8,1.13,12410
2002-10-09,1.75,1.75,1.7,1.73,1.09,24040
2002-10-10,1.7,1.7,1.7,1.7,1.07,750
2002-10-11,1.79,1.79,1.79,1.79,1.13,260
2002-10-14,1.67,1.89,1.67,1.72,1.08,4030
2002-10-15,1.72,1.72,1.72,1.72,1.08,0
2002-10-16,1.74,1.74,1.72,1.72,1.08,4840
2002-10-17,1.72,1.85,1.72,1.85,1.17,700
2002-10-18,1.8,1.8,1.77,1.78,1.13,6500
2002-10-21,1.8,1.8,1.76,1.76,1.11,5250
2002-10-22,1.8,1.8,1.8,1.8,1.13,550
2002-10-23,1.75,1.82,1.75,1.76,1.11,5750
2002-10-24,1.76,1.76,1.76,1.76,1.11,0
2002-10-25,1.72,1.72,1.7,1.7,1.07,10000
2002-10-28,1.73,1.73,1.73,1.73,1.09,1000
2002-10-29,1.84,1.84,1.7,1.7,1.07,850
2002-10-30,1.7,1.7,1.7,1.7,1.07,0
2002-10-31,1.63,1.75,1.62,1.75,1.1,5480
2002-11-01,1.85,1.85,1.84,1.84,1.16,3000
2002-11-04,1.7,1.7,1.7,1.7,1.07,500
2002-11-05,1.74,1.74,1.71,1.71,1.08,3000
2002-11-06,1.71,1.71,1.71,1.71,1.08,0
2002-11-07,1.7,1.84,1.65,1.75,1.1,4060
2002-11-08,1.71,1.73,1.66,1.66,1.05,61830
2002-11-11,1.6,1.84,1.6,1.7,1.07,2250
2002-11-12,1.53,1.79,1.53,1.79,1.13,6250
2002-11-13,1.7,1.7,1.7,1.7,1.07,3980
2002-11-14,1.71,1.71,1.71,1.71,1.08,1250
2002-11-15,1.71,1.71,1.71,1.71,1.08,0
2002-11-18,1.53,1.75,1.53,1.75,1.1,110
2002-11-19,1.75,1.75,1.75,1.75,1.1,0
2002-11-20,1.6,1.78,1.6,1.7,1.07,1520
2002-11-21,1.7,1.79,1.7,1.79,1.13,2410
2002-11-22,1.72,1.72,1.72,1.72,1.08,500
2002-11-25,1.55,1.8,1.55,1.8,1.13,6300
2002-11-26,1.8,1.8,1.76,1.76,1.11,1120
2002-11-27,1.72,1.79,1.72,1.79,1.13,1380
2002-11-28,1.75,1.75,1.7,1.7,1.07,22220
2002-11-29,1.71,1.75,1.7,1.71,1.08,9890
2002-12-02,1.73,1.85,1.72,1.72,1.08,18620
2002-12-03,2.06,2.06,1.72,1.72,1.08,2020
2002-12-04,1.72,1.72,1.72,1.72,1.08,2250
2002-12-05,1.81,1.82,1.8,1.81,1.14,220
2002-12-06,1.71,1.72,1.71,1.72,1.08,1140
