Date,Open,High,Low,Close,Adj Close,Volume
2006-03-23,75.68,88.2,73.12,75.2,67.15,7037700
2006-03-24,75.78,80.4,74.6,76.55,68.35,3315875
2006-03-27,77.0,78.96,76.3,76.52,68.33,375950
2006-03-28,78.0,78.9,75.0,75.71,67.6,274175
2006-03-29,75.71,75.71,75.71,75.71,67.6,0
2006-03-30,77.53,78.4,73.0,73.82,65.91,663275
2006-03-31,74.0,76.4,72.2,73.8,65.9,582575
2006-04-03,74.01,77.0,72.0,76.02,67.88,338025
2006-04-04,74.6,77.8,74.6,76.94,68.7,117950
2006-04-05,78.0,82.88,76.6,80.06,71.49,1715100
2006-04-07,81.0,81.5,75.6,76.57,68.37,476900
2006-04-10,78.21,91.89,78.21,90.67,80.96,4241625
2006-04-12,90.67,90.67,90.67,90.67,80.96,0
2006-04-13,99.0,100.6,88.0,94.42,84.31,2540525
2006-04-17,92.2,104.8,92.2,102.84,91.83,7330475
2006-04-18,104.58,104.58,94.8,95.77,85.51,5443550
2006-04-19,97.54,97.54,90.4,90.99,81.25,1467025
2006-04-20,93.16,95.58,91.8,92.98,83.02,941200
2006-04-21,94.8,98.2,94.0,94.76,84.61,1163025
2006-04-24,96.75,99.6,95.0,98.06,87.56,1297550
2006-04-25,99.2,99.2,95.0,95.69,85.44,1193950
2006-04-26,97.8,97.8,93.99,94.88,84.72,810400
2006-04-27,96.78,96.78,93.0,94.28,84.18,203125
2006-04-28,94.28,94.28,94.28,94.28,84.18,0
2006-05-02,92.8,94.0,89.2,90.18,80.52,134650
2006-05-03,91.4,92.0,86.0,87.4,78.04,374875
2006-05-04,88.4,90.38,86.0,86.66,77.38,415975
2006-05-05,87.03,88.96,86.02,87.25,77.91,428625
2006-05-08,89.0,89.36,86.62,88.19,78.75,477825
2006-05-09,89.0,89.4,80.11,81.76,73.0,543475
2006-05-10,82.0,86.98,80.52,81.72,72.97,866675
2006-05-11,83.48,83.48,80.0,81.03,72.35,450000
2006-05-12,81.96,93.33,81.2,88.07,78.64,3011750
2006-05-15,88.0,91.8,79.51,81.37,72.66,2748450
2006-05-16,83.6,89.8,82.0,85.34,76.2,5915275
2006-05-17,88.0,90.0,86.4,87.73,78.34,1573375
2006-05-18,86.8,86.8,79.22,82.85,73.98,3169150
2006-05-19,87.8,88.0,76.0,76.44,68.25,914400
2006-05-22,83.4,83.6,61.24,71.09,63.48,464500
2006-05-23,65.4,85.31,65.2,85.02,75.92,476400
2006-05-24,82.4,87.8,78.0,79.17,70.69,491475
2006-05-25,77.57,79.0,72.2,78.15,69.78,266775
2006-05-26,81.6,82.8,78.0,79.29,70.8,371150
2006-05-29,79.8,81.39,75.03,75.4,67.33,349900
2006-05-30,78.1,78.99,75.8,76.98,68.74,308150
2006-05-31,76.98,76.98,76.98,76.98,68.74,0
2006-06-01,76.0,77.8,69.1,70.8,63.22,205025
2006-06-02,70.4,76.0,60.11,71.33,63.69,522425
2006-06-05,72.0,73.02,68.04,69.88,62.4,175625
2006-06-06,65.6,75.0,65.03,69.69,62.23,292025
2006-06-07,67.8,72.0,66.0,68.93,61.55,1122050
2006-06-08,67.0,68.6,54.84,54.97,49.37,594375
2006-06-09,53.0,61.98,50.6,59.63,53.56,352675
2006-06-12,60.0,65.52,56.82,64.16,57.62,168375
2006-06-13,60.0,62.4,51.33,51.59,46.33,1080875
2006-06-14,55.8,57.8,46.5,50.3,45.18,326900
2006-06-15,50.3,50.3,50.3,50.3,45.18,0
2006-06-16,50.3,50.3,50.3,50.3,45.18,0
